0	Index      	 *	Score 	Summary	Detail	
1	53111 28712	 * 	199.24	ACR|3VULN|2DMG|1AART|1CDMG	1RCVC|2RCR|3AART|4MBVNT|56aVULN|7CDMG|8aDMG|9aBEXP|aBPWR
47	21225 13543	   	179.28	DCR|2VULN|2DMG|1AART|3ASPD	18aASPD|26DMG|3aLWND|4AART|5BELT|7aVULN|9RCR|aBPWR
48	21225 33543	   	179.28	DCR|2VULN|2DMG|1AART|3ASPD	18aASPD|27DMG|3aLWND|4AART|5BELT|6aVULN|9RCR|aBPWR
49	21626 23261	   	179.18	DCR|2VULN|2DMG|1AART|3ASPD	168ASPD|27DMG|38VULN|4AART|58CGEN|8BPWR|9RCR|aAIRHEA
50	21626 23263	   	179.18	DCR|2VULN|2DMG|1AART|3ASPD	168ASPD|27DMG|38VULN|4AART|58CGEN|8BPWR|9RCR|aTLV
51	53111 28224	 * 	179.15	ACR|3VULN|2AART|2CDMG	1RCVC|2RCR|39AART|4MBVNT|568VULN|7aCDMG
52	53111 88224	   	179.15	ACR|3VULN|2AART|2CDMG	1RCVC|2RCR|39AART|4MBVNT|568VULN|6BPWR|7aCDMG
53	53612 25231	 * 	178.87	ACR|3DMG|2VULN|1CDMG|1DUR	1RCVC|2RCR|378DMG|4LHND|58VULN|68LWND|8BPWR|9CDMG|aDUR
54	53111 26214	   	178.80	ACR|3VULN|1AART|1DMG|1ZMB	18RCVC|2RCR|3AART|4MBVNT|56aVULN|7ZMB|9DMG
55	53111 26348	   	178.80	ACR|3VULN|1AART|1DMG|1ZMB	1RCVC|2RCR|3AART|4MBVNT|56aVULN|7ZMB|8BELT|9DMG
56	53111 86214	   	178.80	ACR|3VULN|1AART|1DMG|1ZMB	18RCVC|2RCR|3AART|4MBVNT|56aVULN|6BPWR|7ZMB|9DMG
57	26323 45312	 * 	178.13	DCR|3DMG|1AART|1VULN|2ASPD	1aASPD|2VULN|38aDMG|4AART|5RCVC|6RCR|7aMLV|9NUKE|aBPWR
58	26323 42134	 * 	178.13	DCR|3VULN|1AART|1DMG|2ASPD	1aASPD|28aVULN|3DMG|4AART|5RCVC|6RCR|7BASHEA|9aLIT|aBPWR
59	53153 23126	   	178.13	ACR|2DMG|1AART|1VULN|2ASPD|2DUR	1RCVC|2RCR|3AART|4aDMG|5FEWX|6aASPD|7LSRREG|8VULN|9aDUR|aBPWR
60	53442 14543	   	178.05	ACR|3VULN|2DMG|3ASPD	1RCVC|2RCR|3MBVNT|469ASPD|579VULN|89DMG|9BPWR|aLWND
61	26323 46113	   	178.03	DCR|3DMG|1AART|1VULN|2ASPD	1aASPD|2VULN|38aDMG|4AART|5RCVC|6RCR|7aDUST|9BELT|aBPWR
62	53442 14541	   	177.95	ACR|3VULN|2DMG|3ASPD	1RCVC|2RCR|3MBVNT|469ASPD|579VULN|89DMG|9BPWR|aLEGI
63	53442 14542	   	177.95	ACR|3VULN|2DMG|3ASPD	1RCVC|2RCR|3MBVNT|469ASPD|579VULN|89DMG|9BPWR|aDUST
64	21144 36213	   	177.52	DCR|2VULN|1AART|3ASPD|1DMG|2DUR	138ASPD|2DMG|48DUR|58VULN|6RCR|79RMIN|8BPWR|aAART
65	21144 36223	   	177.52	DCR|2VULN|1AART|3ASPD|1DMG|2DUR	138ASPD|2DMG|48DUR|58VULN|6RCR|7RMIN|8BPWR|9RCVC|aAART
66	53141 11632	 * 	177.34	ACR|2AART|2VULN|1DMG|1CDMG	1RCVC|2RCR|35AART|4CDMG|6CGEN|7aVULN|8LHND|9DMG
67	53141 11232	   	177.24	ACR|2AART|2VULN|1DMG|1CDMG	1RCVC|2RCR|35AART|4CDMG|6CGEN|7aVULN|8DUST|9DMG
68	53141 11532	   	177.24	ACR|2AART|2VULN|1DMG|1CDMG	1RCVC|2RCR|35AART|4CDMG|6CGEN|7aVULN|8MBVNT|9DMG
69	53162 23243	   	177.24	ACR|2AART|2VULN|1DMG|2ASPD	18RCVC|2RCR|39AART|46ASPD|5aVULN|7DMG
70	53162 23341	   	177.24	ACR|2AART|2DMG|1VULN|2ASPD	1RCVC|2RCR|39AART|46ASPD|5VULN|78DMG|aBELT
71	53162 23342	   	177.24	ACR|2AART|2DMG|1VULN|2ASPD	1RCVC|2RCR|39AART|46ASPD|5VULN|78DMG|aLHND
72	53131 42212	   	176.97	ACR|2VULN|2DMG|1AART|1ASPD	17RCVC|2RCR|3AART|4aMLV|5ASPD|6RMIN|8aVULN|9aDMG|aBPWR
73	53151 42222	   	176.97	ACR|2VULN|2DMG|1AART|1ASPD	17RCVC|2RCR|3AART|4aDMG|5ASPD|6RMIN|8aVULN|9aMLV|aBPWR
74	53632 31236	   	176.84	ACR|2VULN|2DMG|1AART|1ZMB	1RCVC|2RCR|39DMG|4FEWX|59VULN|6ZMB|7LHND|89BEXP|9BPWR|aAART
75	53111 28441	   	176.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2RCR|3AART|4MBVNT|56VULN|7CDMG|8BEXP|9ZMB|aDMG
76	53111 28841	   	176.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2RCR|3AART|4MBVNT|56VULN|7CDMG|8LWND|9ZMB|aDMG
77	53111 88441	   	176.80	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2RCR|3AART|4MBVNT|56VULN|6BPWR|7CDMG|8BEXP|9ZMB|aDMG
78	53162 33323	   	176.77	ACR|2VULN|2DMG|1AART|1ASPD	1RCVC|2RCR|3AART|4ASPD|5aVULN|6DMSP|78DMG|9CGEN
79	53162 33334	   	176.67	ACR|2VULN|2DMG|1AART|1ASPD	1RCVC|2RCR|3AART|4ASPD|5aVULN|6DMSP|78DMG|9MBVNT
80	53162 33363	   	176.67	ACR|2VULN|2DMG|1AART|1ASPD	1RCVC|2RCR|3AART|4ASPD|5aVULN|6DMSP|78DMG|9ERES
81	16136 44343	 * 	176.64	DCR|3VULN|1AART|1DMG|2CDMG	17FEWX|2ERES|37aVULN|47CDMG|5AART|6MBVNT|7BPWR|8DMG|9RCR
82	21411 21334	 * 	176.54	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD	1aASPD|2DMG|3aCDMG|4CGEN|5LIT|6AART|7BELT|8RCR|9aVULN|aBPWR
83	21431 21334	   	176.44	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD	1aASPD|2DMG|3aCDMG|4TLV|5LIT|6AART|7BELT|8RCR|9aVULN|aBPWR
84	21441 21334	   	176.44	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD	1aASPD|2DMG|3aCDMG|4ERES|5LIT|6AART|7BELT|8RCR|9aVULN|aBPWR
85	21462 21334	   	176.44	DCR|2VULN|1AART|1DMG|2CDMG|2ASPD	1aASPD|2DMG|3aCDMG|4LIT|5ERES|6AART|7BELT|8RCR|9aVULN|aBPWR
86	53111 26132	 * 	176.32	ACR|3VULN|3ZMB|1AART	1RCVC|2RCR|3AART|4MBVNT|56aVULN|79aZMB|8aMLV|aBPWR
87	53111 86132	   	176.32	ACR|3VULN|3ZMB|1AART	1RCVC|2RCR|3AART|4MBVNT|56aVULN|6aBPWR|79aZMB|8aMLV
88	53111 26832	   	176.12	ACR|3VULN|3ZMB|1AART	1RCVC|2RCR|3AART|4MBVNT|56aVULN|79aZMB|8aERES|aBPWR
89	21124 36212	   	175.53	DCR|3VULN|2DMG|3ASPD	138ASPD|2aDMG|48aFEWX|58aVULN|6RCR|79RMIN|8aBPWR
90	21124 36222	   	175.53	DCR|3VULN|2DMG|3ASPD	138ASPD|2aDMG|48aFEWX|58aVULN|6RCR|7RMIN|8aBPWR|9RCVC
91	53111 28261	   	175.49	ACR|4VULN|1AART|1CDMG	1RCVC|2RCR|3AART|4MBVNT|5689VULN|7CDMG|aLHND
92	53111 28263	   	175.39	ACR|4VULN|1AART|1CDMG	1RCVC|2RCR|3AART|4MBVNT|5689VULN|7CDMG|aTLV
93	53155 13132	   	175.38	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1RCVC|2RCR|3AART|47DMG|578ERES|67DUR|7BPWR|9ZMB|aVULN
94	53111 28183	   	175.24	ACR|4VULN|1AART|1CDMG|1SELL	1RCVC|2RCR|3AART|4MBVNT|569aVULN|7CDMG|8SELL
95	21626 23134	   	175.16	DCR|2VULN|2DMG|1AART|2ASPD	16ASPD|27DMG|3aVULN|4AART|5CGEN|8RCR|9BEXP
96	21626 23153	   	175.16	DCR|2VULN|2DMG|1AART|2ASPD	16ASPD|27DMG|3aVULN|4AART|59CGEN|8RCR
97	26326 23134	   	175.16	DCR|2VULN|2DMG|1AART|2ASPD	16ASPD|2aVULN|37DMG|4AART|5CGEN|8RCR|9BEXP
98	26326 23153	   	175.16	DCR|2VULN|2DMG|1AART|2ASPD	16ASPD|2aVULN|37DMG|4AART|59CGEN|8RCR
99	53111 28247	 * 	175.04	ACR|3VULN|1AART|1CDMG|1FLTHEA	1RCVC|2RCR|3AART|4MBVNT|568VULN|7CDMG|9RMIN|aFLTHEA
100	53111 26362	   	175.02	ACR|3VULN|1AART|2ZMB|2DUR	1RCVC|2RCR|3AART|4MBVNT|56aVULN|7aZMB|8BELT|9aDUR|aBPWR
101	53152 51131	   	174.84	ACR|3DMG|1AART|1VULN|1DUR	1RCVC|2RCR|3AART|46aDMG|5RPLT|7VULN|8DUR|9DMSP
102	53111 25214	   	174.74	ACR|3VULN|1AART|1DMG|1ASPD	18RCVC|2RCR|3AART|4MBVNT|56aVULN|7ASPD|9DMG
103	53111 25348	   	174.74	ACR|3VULN|1AART|1DMG|1ASPD	1RCVC|2RCR|3AART|4MBVNT|56aVULN|7ASPD|8BELT|9DMG
104	53111 85214	   	174.74	ACR|3VULN|1AART|1DMG|1ASPD	18RCVC|2RCR|3AART|4MBVNT|56aVULN|6BPWR|7ASPD|9DMG
105	21623 42226	   	174.71	DCR|2VULN|1AART|1DMG|2ASPD|2DUR	1aASPD|2DMG|3aVULN|4AART|5RCVC|6RCR|7BASHEA|8BEXP|9aDUR|aBPWR
106	26323 42226	   	174.71	DCR|2DMG|1AART|1VULN|2ASPD|2DUR	1aASPD|2VULN|3aDMG|4AART|5RCVC|6RCR|7BASHEA|8BEXP|9aDUR|aBPWR
107	21223 44343	 * 	173.82	DCR|2AART|2DMG|1VULN|2ASPD	17ASPD|28DMG|3LWND|49AART|5RCVC|6RCR|aVULN
108	53111 25362	 * 	173.72	ACR|3VULN|1AART|2ASPD|2DUR	1RCVC|2RCR|3AART|4MBVNT|56aVULN|7aASPD|8BELT|9aDUR|aBPWR
109	21621 21563	   	173.46	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2DMG|369VULN|4AART|5DUST|7LIT|8RCR|aDUR
110	26321 21563	   	173.46	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|269VULN|3DMG|4AART|5DUST|7LIT|8RCR|aDUR
111	21623 45323	   	173.35	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|28DMG|3aVULN|4AART|5RCVC|6RCR|79MLV
112	26323 45323	   	173.35	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2aVULN|38DMG|4AART|5RCVC|6RCR|79MLV
113	53113 41633	   	173.31	ACR|2AART|1DMG|1VULN|1CDMG|1FLTHEA	1RCVC|2RCR|3aAART|4MBVNT|5CGEN|6CDMG|7VULN|8FLTHEA|9DMG
114	53143 21532	   	173.31	ACR|2AART|1VULN|1DMG|1CDMG|1FLTHEA	1RCVC|2RCR|3aAART|4CDMG|5LHND|6TLV|7VULN|8FLTHEA|9DMG
115	53116 41633	   	173.21	ACR|2AART|1VULN|1DMG|1FLTHEA|1CDMG	1RCVC|2RCR|3aAART|4MBVNT|5ERES|6CDMG|7VULN|8FLTHEA|9DMG
116	53612 36233	 * 	173.14	ACR|3VULN|2DMG|2ZMB	1RCVC|2RCR|38DMG|4LHND|58aVULN|68ZMB|7RMIN|8BPWR|9LWND
117	53632 36233	   	173.14	ACR|3VULN|2DMG|2ZMB	1RCVC|2RCR|38DMG|4FEWX|58aVULN|68ZMB|7RMIN|8BPWR|9LWND
118	21225 23643	   	172.96	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|28DMG|3aLWND|4AART|5BELT|6DMSP|7aVULN|9RCR|aBPWR
119	21225 32643	   	172.96	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|28DMG|37aLWND|4AART|5BELT|6aVULN|9RCR|aBPWR
120	21625 23143	   	172.96	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|27DMG|3aVULN|4AART|5BELT|6DMSP|8aFEWX|9RCR|aBPWR
121	21625 23243	   	172.96	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|27DMG|3aVULN|4AART|5BELT|6DMSP|8aLWND|9RCR|aBPWR
122	53111 26283	   	172.84	ACR|4VULN|1AART|1ZMB	18RCVC|2RCR|3AART|4MBVNT|569aVULN|7ZMB
123	53131 66313	   	172.83	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RCVC|2RCR|3AART|4MLV|5ASPD|6VULN|7CDMG|8aDMG|9BEXP
124	53143 31533	   	172.83	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|3AART|4CDMG|5LHND|6ASPD|7aVULN|8MGNSTR|9DMG
125	53111 28221	   	172.83	ACR|3VULN|2AART|1CDMG	1RCVC|2RCR|39AART|4MBVNT|568VULN|7CDMG|aLHND
126	53111 28225	   	172.83	ACR|3VULN|2AART|1CDMG	1RCVC|2RCR|39AART|4MBVNT|568VULN|7CDMG|aLWND
127	53111 28226	   	172.83	ACR|3VULN|2AART|1CDMG	1RCVC|2RCR|39AART|4MBVNT|568VULN|7CDMG|aMLV
128	53111 28228	   	172.83	ACR|3VULN|2AART|1CDMG	1RCVC|2RCR|39AART|4MBVNT|568VULN|7CDMG|aRPLT
129	53111 88221	   	172.83	ACR|3VULN|2AART|1CDMG	1RCVC|2RCR|39AART|4MBVNT|568VULN|6BPWR|7CDMG|aLHND
130	53141 11153	   	172.83	ACR|3VULN|2AART|1CDMG	1RCVC|2RCR|35AART|4CDMG|6CGEN|79aVULN|8ERES
131	53145 21123	   	172.83	ACR|3VULN|2AART|1CDMG	1RCVC|2RCR|39AART|4CDMG|57aVULN|6MLV|8ERES
132	53632 11236	   	172.77	ACR|2VULN|2DMG|1AART|1ASPD	1RCVC|2RCR|39DMG|4FEWX|59VULN|6ASPD|7LHND|89BEXP|9BPWR|aAART
133	53151 62113	   	172.73	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1RCVC|2RCR|3AART|4DMG|5ASPD|68VULN|7BASHEA|9BELT|aFLTHEA
134	53151 62131	   	172.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|3AART|4DMG|5ASPD|68VULN|7BASHEA|9LIT|aCDMG
135	53111 28743	   	172.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|3AART|4MBVNT|56VULN|7CDMG|8DMG|9MLV|aASPD
136	53162 23322	   	172.73	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	1RCVC|2RCR|3AART|46ASPD|5VULN|78DMG|9CGEN|aDUR
137	53145 21233	   	172.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|3AART|4CDMG|57VULN|6MLV|8DUST|9DMG|aASPD
138	53145 31211	   	172.73	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|3AART|4CDMG|57VULN|6ASPD|8DUST|9BEXP|aDMG
139	53111 28223	   	172.73	ACR|3VULN|2AART|1CDMG	1RCVC|2RCR|39AART|4MBVNT|568VULN|7CDMG|aTLV
140	53111 88223	   	172.73	ACR|3VULN|2AART|1CDMG	1RCVC|2RCR|39AART|4MBVNT|568VULN|6BPWR|7CDMG|aTLV
141	53151 14334	   	172.63	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	1RCVC|2RCR|3AART|48DMG|57ASPD|6DUR|9MBVNT|aVULN
142	53151 62122	   	172.63	ACR|2VULN|1AART|1DMG|1FLTHEA|1ASPD	1RCVC|2RCR|3AART|4DMG|5ASPD|68VULN|7BASHEA|9ERES|aFLTHEA
143	53151 62123	   	172.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|3AART|4DMG|5ASPD|68VULN|7BASHEA|9ERES|aCDMG
144	53111 28723	   	172.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|3AART|4MBVNT|56VULN|7CDMG|8DMG|9ERES|aASPD
145	53111 28733	   	172.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|3AART|4MBVNT|56VULN|7CDMG|8DMG|9NUKE|aASPD
146	53116 41353	   	172.63	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2RCR|3AART|4MBVNT|5ERES|6CDMG|79VULN|8DMG|aASPD
147	53162 23338	   	172.63	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	1RCVC|2RCR|3AART|46ASPD|5VULN|78DMG|9MBVNT|aDUR
148	53162 23362	   	172.63	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	1RCVC|2RCR|3AART|46ASPD|5VULN|78DMG|9ERES|aDUR
149	53116 41181	   	172.63	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1RCVC|2RCR|3AART|4MBVNT|5ERES|6CDMG|79VULN|8DUR|aDMG
150	53111 28118	   	172.49	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	1RCVC|2RCR|3AART|4MBVNT|56VULN|7CDMG|8SELL|9DMG|aDUR
151	53111 53514	 * 	172.31	ACR|2VULN|1AART|2CDMG|1DMG	1RCVC|2RCR|3AART|4MBVNT|59VULN|6MLV|79LIT|89CDMG|9BPWR|aDMG
152	53111 13514	   	172.21	ACR|2VULN|1AART|2CDMG|1DMG	1RCVC|2RCR|3AART|4MBVNT|59VULN|6TLV|79LIT|89CDMG|9BPWR|aDMG
153	53111 33514	   	172.21	ACR|2VULN|1AART|1DMG|2CDMG	1RCVC|2RCR|3AART|4MBVNT|59VULN|6ERES|79LIT|89CDMG|9BPWR|aDMG
154	53162 26312	   	172.21	ACR|2DMG|1AART|1VULN|3ASPD	1RCVC|2RCR|3AART|46aASPD|5VULN|7aMLV|8aDMG|9NUKE|aBPWR
155	53144 11232	   	172.11	ACR|2VULN|1AART|1DMG|2CDMG	1RCVC|2RCR|3AART|45CDMG|6CGEN|7aVULN|8DUST|9DMG
156	53162 23633	   	172.11	ACR|2DMG|1AART|1VULN|3ASPD	1RCVC|2RCR|3AART|46aASPD|5VULN|79DMG|8RPLT
157	53162 23112	   	172.01	ACR|2DMG|1AART|1VULN|3ASPD	1RCVC|2RCR|3AART|46aASPD|5VULN|7aDMG|8aERES|9NUKE|aBPWR
158	53612 25232	   	171.93	ACR|3DMG|2VULN|1CDMG	1RCVC|2RCR|378DMG|4LHND|58VULN|68LWND|8BPWR|9CDMG|aRMIN
159	53612 25233	   	171.93	ACR|3DMG|2VULN|1CDMG	1aRCVC|2RCR|378DMG|4LHND|58VULN|68LWND|8BPWR|9CDMG
160	21144 36312	   	171.91	DCR|2VULN|2DMG|3ASPD|2DUR	138ASPD|2aDMG|4aDUR|5aVULN|6RCR|79RMIN|aBPWR
161	21144 36322	   	171.91	DCR|2VULN|2DMG|3ASPD|2DUR	138ASPD|2aDMG|4aDUR|5aVULN|6RCR|7RMIN|9RCVC|aBPWR
162	53612 16233	   	171.83	ACR|3VULN|2DMG|2ASPD	1RCVC|2RCR|38DMG|4LHND|58aVULN|68ASPD|7RMIN|8BPWR|9LWND
163	53632 16233	   	171.83	ACR|3VULN|2DMG|2ASPD	1RCVC|2RCR|38DMG|4FEWX|58aVULN|68ASPD|7RMIN|8BPWR|9LWND
164	21351 13643	   	171.76	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|28DMG|3aFEWX|45BELT|6AART|7aVULN|9RCR|aBPWR
