0	Index      	 *	Score 	Summary	Detail	
1	51111 33433	 * 	186.40	DCR|2VULN|2DMG|1AART|1CDMG|2DUR	19DUR|28VULN|39BEXP|4CDMG|5DUST|69DMG|7RCR|9BPWR|aAART
75	55112 52321	   	167.40	DCR|3DMG|1AART|1CDMG|2DUR	13DUR|23aDMG|3BPWR|45RMIN|6RCR|7LIT|8CDMG|9AART
76	55142 22331	   	167.26	DCR|3DMG|1AART|2DUR|1ZMB	13DUR|23aDMG|3BPWR|4RCVC|5RMIN|6AART|7RCR|8DMSP|9ZMB
77	25423 51312	   	167.23	ACR|3AART|1VULN|1DMG|1CDMG|1ZMB	1LHND|2DMG|3ZMB|478AART|5RCR|6VULN|9CDMG|aFEWX
78	51115 33433	 * 	167.11	DCR|2VULN|2DMG|3DUR|1CDMG	19aDUR|28VULN|39BEXP|4CDMG|5LWND|69DMG|7RCR|9BPWR
79	35126 53323	 * 	167.02	DCR|3DMG|1AART|2ZMB|1CDMG	13LWND|238DMG|3BPWR|45ZMB|6RMIN|7RCR|9CDMG|aAART
80	11621 33361	   	167.01	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|28VULN|3DMSP|4AART|5CGEN|6CDMG|7RCR|9DUR|aDMG
81	15323 35531	   	166.94	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|2DMG|3ERES|4AART|5RCR|6DUR|789VULN|aMLV
82	15323 35533	   	166.94	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|2DMG|3ERES|4AART|5RCR|6DUR|789VULN|aLHND
83	11625 33361	   	166.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1BEXP|28VULN|3DMSP|4AART|5ERES|6CDMG|7RCR|9DUR|aDMG
84	51315 33433	   	166.91	DCR|2VULN|2DMG|3DUR|1CDMG	19aDUR|28VULN|39DUST|4CDMG|5LWND|69DMG|7RCR|9BPWR
85	15323 35532	   	166.84	ACR|3VULN|1AART|1DMG|1DUR	1BEXP|2DMG|3ERES|4AART|5RCR|6DUR|789VULN|aDUST
86	51112 32331	   	166.82	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2aVULN|3BEXP|4CDMG|5RCR|69DMG|7ZMB|8LIT
87	25142 22221	   	166.82	DCR|2DMG|2AART|1VULN|1ASPD	13LHND|23DMG|3BPWR|4RCVC|5RMIN|69AART|7RCR|8VULN|aASPD
88	35142 22221	   	166.82	DCR|2DMG|2AART|1VULN|1ASPD	13LWND|23DMG|3BPWR|4RCVC|5RMIN|69AART|7RCR|8VULN|aASPD
89	51312 32331	   	166.72	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1DUR|2aVULN|3DUST|4CDMG|5RCR|69DMG|7ZMB|8LIT
90	15145 22221	   	166.72	DCR|2DMG|2AART|1VULN|1ASPD	13BEXP|23DMG|3BPWR|4RCVC|5ERES|69AART|7RCR|8VULN|aASPD
91	35161 33341	   	166.48	DCR|3DMG|1AART|1VULN|1ZMB	136LWND|23aDMG|3BPWR|4DUST|5VULN|7AART|8ZMB|9RCR
92	25142 13323	   	166.27	DCR|3DMG|1AART|1CDMG|1ZMB	13LHND|238DMG|3BPWR|4RCVC|5RMIN|6ZMB|7RCR|9CDMG|aAART
93	25143 53323	   	166.27	DCR|3DMG|1AART|1CDMG|1ZMB	13LHND|238DMG|3BPWR|4RCVC|5ZMB|6RMIN|7RCR|9CDMG|aAART
94	35142 13323	   	166.27	DCR|3DMG|1AART|1CDMG|1ZMB	13LWND|238DMG|3BPWR|4RCVC|5RMIN|6ZMB|7RCR|9CDMG|aAART
95	35143 53323	   	166.27	DCR|3DMG|1AART|1CDMG|1ZMB	13LWND|238DMG|3BPWR|4RCVC|5ZMB|6RMIN|7RCR|9CDMG|aAART
96	55112 22231	   	166.06	DCR|3DMG|1AART|2DUR|1ZMB	13DUR|23aDMG|3BPWR|45RMIN|6AART|7RCR|8RCVC|9ZMB
97	23164 61834	 * 	165.94	ACR|2VULN|2DMG|2CDMG|1DUR	19LHND|2RCVC|3MBVNT|49VULN|5RCR|6aCDMG|7DUR|89DMG|9BPWR
98	33164 61834	   	165.94	ACR|2VULN|2DMG|2CDMG|1DUR	19LWND|2RCVC|3MBVNT|49VULN|5RCR|6aCDMG|7DUR|89DMG|9BPWR
99	55233 33532	   	165.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3FEWX|4MLV|5CDMG|6AART|7RCR|8aVULN|9RPLT
100	15323 35211	   	165.73	ACR|2AART|1VULN|1DMG|1CDMG|1DUR|1ASPD	1BEXP|2DMG|3ERES|48AART|5RCR|6DUR|7VULN|9ASPD|aCDMG
101	33164 28432	 * 	165.69	ACR|3VULN|2DMG|1ZMB	19LWND|2RCVC|3MBVNT|49aVULN|5RCR|6ZMB|7LIT|89DMG|9BPWR
102	11112 32643	   	165.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|28VULN|39FEWX|4CDMG|5RCR|6DMG|7ZMB|aAART
103	21112 32655	   	165.50	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1LHND|28VULN|39BEXP|4CDMG|5RCR|6DMG|7ZMB|aAART
104	15423 31511	   	165.39	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1BEXP|2DMG|3ZMB|4AART|5RCR|6DUR|7DMSP|8VULN|9ASPD|aCDMG
105	25423 31511	   	165.39	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LHND|2DMG|3ZMB|4AART|5RCR|6DUR|7DMSP|8VULN|9ASPD|aCDMG
106	25423 35311	   	165.39	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LHND|2DMG|3ZMB|4AART|5RCR|6DUR|7VULN|8BELT|9ASPD|aCDMG
107	25423 53212	   	165.39	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LHND|2DMG|3ZMB|4AART|5RCR|6VULN|7BEXP|8DUR|9ASPD|aCDMG
108	52521 32633	   	165.34	DCR|2AART|2VULN|1CDMG|1ASPD|1DUR	1DUR|25CGEN|3ASPD|46AART|7RCR|8CDMG|9aVULN
109	51113 31261	   	165.32	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|279VULN|3aBEXP|45CDMG|6AART|8RCR
110	51113 31264	   	165.32	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|279VULN|3BEXP|45CDMG|6AART|8RCR|aCGEN
111	51113 31266	   	165.32	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|279VULN|3BEXP|45CDMG|6AART|8RCR|aLWND
112	11312 32662	   	165.30	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB	1BEXP|28VULN|3DUST|4CDMG|5RCR|6DMG|7ZMB|9CANHEL|aAART
113	25423 32512	   	165.29	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1LHND|2DMG|3ZMB|4AART|5RCR|6DUR|7DUST|8VULN|9ASPD|aCDMG
114	51313 31261	   	165.22	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|279VULN|3DUST|45CDMG|6AART|8RCR|aBEXP
115	51313 31262	   	165.22	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|279VULN|3DUST|45CDMG|6AART|8RCR|aCGEN
116	51313 31266	   	165.22	DCR|3VULN|1AART|2CDMG|1DUR	1DUR|279VULN|3DUST|45CDMG|6AART|8RCR|aLWND
117	23164 61833	   	164.92	ACR|2VULN|2DMG|1CDMG|2DUR	19LHND|2RCVC|3MBVNT|49VULN|5RCR|6CDMG|7aDUR|89DMG|9BPWR
118	33164 61833	   	164.92	ACR|2VULN|2DMG|1CDMG|2DUR	19LWND|2RCVC|3MBVNT|49VULN|5RCR|6CDMG|7aDUR|89DMG|9BPWR
119	51112 32351	   	164.89	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|29aVULN|3BEXP|4CDMG|5RCR|6DMG|7ZMB|8LIT
120	15323 25213	   	164.83	ACR|2DMG|1AART|1VULN|2ASPD|1DUR	1BEXP|29DMG|3ERES|4AART|5RCR|67ASPD|8DUR|aVULN
121	15423 32316	   	164.82	ACR|3DMG|1AART|1ZMB|1ASPD|1DUR	1BEXP|28aDMG|3ZMB|4AART|5RCR|6DUR|7DUST|9ASPD
122	15112 22552	   	164.80	DCR|3DMG|2AART|2DUR	13aBEXP|23aDMG|3aBPWR|45RMIN|69AART|7RCR|8aDUR
123	51312 32351	   	164.79	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1DUR|29aVULN|3DUST|4CDMG|5RCR|6DMG|7ZMB|8LIT
124	11312 14626	 * 	164.63	ACR|3VULN|2DMG|1CDMG	18BEXP|278VULN|3DUST|4CDMG|5RCR|68MGNSTR|8BPWR|9aDMG
125	11451 33216	   	164.57	DCR|2AART|1VULN|1DMG|1ZMB|1ASPD|1DUR	1BEXP|2VULN|3RMIN|4ZMB|58AART|6DUR|7RCR|9ASPD|aDMG
126	11312 14426	   	164.43	ACR|3VULN|2DMG|1CDMG	1BEXP|278VULN|3DUST|4CDMG|5RCR|6MGNSTR|9aDMG
127	11451 33511	   	164.29	DCR|2VULN|1AART|1CDMG|1ZMB|1ASPD|1DUR	1BEXP|28VULN|3RMIN|4ZMB|5AART|6DUR|7RCR|9ASPD|aCDMG
128	23141 53438	   	164.28	DCR|2VULN|1AART|1DMG|1CDMG	1LHND|2RCVC|3MBVNT|4MLV|59VULN|6RCR|7AART|8DMG|aCDMG
129	33141 53438	   	164.28	DCR|2VULN|1AART|1DMG|1CDMG	1LWND|2RCVC|3MBVNT|4MLV|59VULN|6RCR|7AART|8DMG|aCDMG
130	13123 46618	   	164.23	ACR|3VULN|1AART|1CDMG|1DUR	1BEXP|2RCVC|3MBVNT|4AART|5RCR|678VULN|9DUR|aCDMG
131	13123 46654	   	164.23	ACR|3VULN|1AART|1CDMG|1DUR	1BEXP|2RCVC|3MBVNT|4AART|5RCR|678VULN|9CDMG|aDUR
132	23123 36638	   	164.23	ACR|3VULN|1AART|1CDMG|1DUR	1LHND|2RCVC|3MBVNT|4AART|5RCR|6DUR|789VULN|aCDMG
133	23123 46618	   	164.23	ACR|3VULN|1AART|1CDMG|1DUR	1LHND|2RCVC|3MBVNT|4AART|5RCR|678VULN|9DUR|aCDMG
134	23123 46654	   	164.23	ACR|3VULN|1AART|1CDMG|1DUR	1LHND|2RCVC|3MBVNT|4AART|5RCR|678VULN|9CDMG|aDUR
135	55112 22331	   	164.15	DCR|3DMG|1AART|2DUR|1ZMB	13DUR|23aDMG|3BPWR|45RMIN|6AART|7RCR|8DMSP|9ZMB
136	13521 32216	   	164.11	DCR|3VULN|2AART|1DUR	13BEXP|2RCVC|46AART|58aVULN|7RCR|9DUR
137	25142 22235	   	164.08	DCR|3DMG|1AART|1VULN	139LHND|23aDMG|3BPWR|4RCVC|5RMIN|6AART|7RCR|8VULN
138	61231 43633	   	163.98	DCR|3VULN|1AART|2CDMG|1ZMB	1RPLT|25CDMG|3BELT|458VULN|5BPWR|6BASICY|7AART|9ZMB|aRCR
139	51111 33156	   	163.91	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2aVULN|3BEXP|4CDMG|5DUST|6DMG|7RCR|8FEWX|9AART
140	35126 43332	 * 	163.88	DCR|3DMG|1VULN|2ZMB|1CDMG	13LWND|238DMG|3BPWR|45ZMB|6CGEN|7RCR|9VULN|aCDMG
141	35126 53332	   	163.88	DCR|3DMG|1VULN|2ZMB|1CDMG	13LWND|238DMG|3BPWR|45ZMB|6RMIN|7RCR|9VULN|aCDMG
142	51112 41623	   	163.86	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	1DUR|278VULN|3BEXP|4CDMG|5RCR|6DUST|9ASPD|aAART
143	51111 33267	   	163.81	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2aVULN|3BEXP|4CDMG|5DUST|6DMG|7RCR|8MBVNT|9AART
144	35126 63332	   	163.78	DCR|3DMG|1VULN|2ZMB|1CDMG	13LWND|238DMG|3BPWR|45ZMB|6ERES|7RCR|9VULN|aCDMG
145	33621 33663	   	163.78	DCR|2VULN|1AART|1DMG|1CDMG	1LWND|2RCVC|3FEWX|4AART|5CGEN|6CDMG|7RCR|8DMG|9aVULN
146	25112 22221	   	163.71	DCR|2DMG|2AART|1VULN|1ASPD	13LHND|23DMG|3BPWR|45RMIN|69AART|7RCR|8VULN|aASPD
147	35112 22221	   	163.71	DCR|2DMG|2AART|1VULN|1ASPD	13LWND|23DMG|3BPWR|45RMIN|69AART|7RCR|8VULN|aASPD
148	23123 46636	   	163.70	ACR|3VULN|1AART|1DMG	19LHND|2RCVC|3MBVNT|4AART|5RCR|678VULN|aDMG
149	15423 23411	   	163.69	ACR|2DMG|1AART|1VULN|1ZMB|1ASPD	17BEXP|29DMG|3ZMB|4AART|5RCR|6ASPD|8VULN|aRCVC
150	13123 46646	   	163.60	ACR|3VULN|1AART|1DMG	1BEXP|2RCVC|3MBVNT|4AART|5RCR|678VULN|9DUST|aDMG
151	52421 32215	   	163.52	DCR|2AART|1VULN|1DMG|2DUR|1ZMB	19DUR|25CGEN|3ZMB|46AART|7RCR|8VULN|aDMG
152	15323 34313	   	163.52	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	1BEXP|29DMG|3ERES|4AART|5RCR|68DUR|7ASPD|aVULN
153	55323 23313	   	163.52	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	18DUR|29DMG|3ERES|4AART|5RCR|6ASPD|7BEXP|aVULN
154	55323 24313	   	163.52	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	18DUR|29DMG|3ERES|4AART|5RCR|6ASPD|7FEWX|aVULN
155	31115 31263	   	163.51	DCR|3VULN|2AART|1CDMG	15LWND|279VULN|3BEXP|4CDMG|6aAART|8RCR
156	55323 22313	   	163.42	ACR|2DMG|1AART|1VULN|2DUR|1ASPD	18DUR|29DMG|3ERES|4AART|5RCR|6ASPD|7DUST|aVULN
157	55233 31132	   	163.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2DMG|3FEWX|4MLV|5CDMG|6AART|7aVULN|8RCR|9RPLT
158	53164 31361	 * 	163.33	ACR|4VULN|2FLTHEA|2DUR	1aDUR|2RCVC|3MBVNT|489aVULN|5RCR|6BELT|7aFLTHEA|aBPWR
159	51314 43132	   	163.31	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2aVULN|3DUST|4CDMG|5RMIN|6AART|7DMG|8RCR|9RPLT
160	51115 33431	   	163.29	DCR|2VULN|2DMG|1CDMG|2DUR	19DUR|28VULN|39BEXP|4CDMG|5LWND|69DMG|7RCR|9BPWR|aFEWX
161	51115 33432	   	163.29	DCR|2VULN|2DMG|1CDMG|2DUR	19DUR|28VULN|39BEXP|4CDMG|5LWND|69DMG|7RCR|9BPWR|aCGEN
162	51111 33431	   	163.19	DCR|2VULN|2DMG|1CDMG|2DUR	19DUR|28VULN|39BEXP|4CDMG|5DUST|69DMG|7RCR|9BPWR|aFEWX
