0	Index      	 *	Score 	Summary	Detail	
1	31412 42123	 * 	193.02	ACR|4VULN|1AART|1CDMG|2DUR|1ZMB	156aVULN|2aDUR|3RCR|4CDMG|7ZMB|8aLIT|9AART|aBPWR
15	31433 24363	   	179.95	ACR|3VULN|1AART|3ASPD|3DUR	18aVULN|28aDUR|3RCR|4LHND|5CGEN|6AART|78aASPD|8aBPWR|9DMSP
16	21413 15113	 * 	178.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LWND|2DUR|3RCR|4CDMG|5LIT|67VULN|8AART|9DMG|aZMB
17	53413 15113	   	178.44	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2LWND|3RCR|4CDMG|5LIT|67VULN|8AART|9DMG|aZMB
18	52211 42225	 * 	177.48	ACR|2VULN|2DMG|3CDMG|3DUR	168DUR|28aCDMG|3aVULN|4LIT|5RCR|78TLV|8aBPWR|9aDMG
19	31455 33331	 * 	177.34	ACR|2VULN|1AART|1DMG|3DUR|1CDMG	18VULN|258DUR|3RCR|4RMIN|68MLV|7AART|8BPWR|9CDMG|aDMG
20	31452 53331	   	177.14	ACR|2VULN|1AART|1DMG|3DUR|1CDMG	18VULN|268DUR|3RCR|4RMIN|58TLV|7AART|8BPWR|9CDMG|aDMG
21	31412 42321	   	176.63	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9LWND|aASPD
22	31412 42351	   	176.63	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9LHND|aASPD
23	31412 41142	 * 	176.55	ACR|5VULN|1CDMG|1ZMB|1DUR	15679VULN|2DUR|3RCR|4CDMG|8BELT|aZMB
24	31412 42315	   	176.53	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9SNIHEL|aASPD
25	26413 13252	   	176.27	ACR|3VULN|2DMG|1CDMG|1DUR	1LWND|29DUST|3RCR|4CDMG|5LIT|69aVULN|7DUR|89DMG|9BPWR
26	52361 42222	 * 	176.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2CDMG|3BELT|47AART|5aVULN|6DMG|8RCR|9BEXP
27	52361 42232	   	176.06	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1DUR|2CDMG|3BELT|47AART|5aVULN|6DMG|8RCR|9LWND
28	31412 42332	   	176.00	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|49CDMG|7ZMB|8DMG|aLIT
29	31415 24221	   	175.97	ACR|3VULN|1AART|2ASPD|1CDMG|1DUR	17aVULN|2DUR|3RCR|4CDMG|58ASPD|6LIT|9AART
30	31412 42333	   	175.90	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|49CDMG|7ZMB|8DMG|aERES
31	31412 42334	   	175.90	ACR|3VULN|1DMG|2CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|49CDMG|7ZMB|8DMG|aDUST
32	31452 43311	   	175.86	ACR|3VULN|1AART|1CDMG|2DUR|1ASPD	168VULN|28DUR|3RCR|4RMIN|58TLV|7AART|8BPWR|9CDMG|aASPD
33	31412 41231	   	175.68	ACR|4VULN|1AART|1CDMG|1DUR|1SELL	1567VULN|2DUR|3RCR|4CDMG|8FEWX|9SELL|aAART
34	31412 41331	   	175.58	ACR|4VULN|1AART|1CDMG|1DUR|1SELL	1567VULN|2DUR|3RCR|4CDMG|8DUST|9SELL|aAART
35	21452 24233	   	175.57	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2DUR|3RCR|4RMIN|5aVULN|6AART|7ASPD|8CDMG|9DMG
36	21462 23233	   	175.47	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2DUR|3RCR|4TLV|5aVULN|6AART|7ASPD|8CDMG|9DMG
37	53462 23233	   	175.47	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2LWND|3RCR|4TLV|5aVULN|6AART|7ASPD|8CDMG|9DMG
38	31452 43333	 * 	175.33	ACR|3VULN|1AART|1DMG|2DUR	168VULN|28DUR|3RCR|4RMIN|58TLV|7AART|8BPWR|9LWND|aDMG
39	31415 24122	   	174.86	ACR|3VULN|1AART|1CDMG|2DUR|1ASPD	178VULN|28DUR|3RCR|4CDMG|5ASPD|68LIT|8BPWR|9AART|aMLV
40	21413 15114	   	174.37	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1LWND|2DUR|3RCR|4CDMG|5LIT|67VULN|8AART|9DMG|aASPD
41	31411 21433	   	174.13	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR|1SELL	19VULN|2DUR|3RCR|4CDMG|5FEWX|6SELL|7ASPD|8AART|aDMG
42	31432 23343	 * 	174.03	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	18VULN|28DUR|3RCR|4LHND|5MLV|6AART|78ASPD|8BPWR|9RCVC|aDMG
43	31432 23363	   	174.03	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	18VULN|28DUR|3RCR|4LHND|5MLV|6AART|78ASPD|8BPWR|9DMSP|aDMG
44	31432 23313	   	173.93	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	18VULN|28DUR|3RCR|4LHND|5MLV|6AART|78ASPD|8BPWR|9BASICY|aDMG
45	31433 24313	   	173.93	ACR|2VULN|1AART|1DMG|2ASPD|2DUR	18VULN|28DUR|3RCR|4LHND|5CGEN|6AART|78ASPD|8BPWR|9BASICY|aDMG
46	52211 25113	   	173.64	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1DUR|2CDMG|37VULN|4LIT|5RCR|6LWND|8AART|9DMG|aZMB
47	11462 23311	 * 	173.57	ACR|2VULN|2AART|1CDMG|1FLTHEA|1DUR	1FEWX|2DUR|3RCR|4TLV|57VULN|6aAART|8FLTHEA|9CDMG
48	31442 23311	   	173.57	ACR|2VULN|2AART|1CDMG|1FLTHEA|1DUR	17VULN|2DUR|3RCR|4DUST|5MLV|6aAART|8FLTHEA|9CDMG
49	36462 23311	   	173.57	ACR|2VULN|2AART|1CDMG|1FLTHEA|1DUR	17VULN|2DUST|3RCR|4DUR|5MLV|6aAART|8FLTHEA|9CDMG
50	31412 42322	 * 	173.54	ACR|3VULN|1DMG|2ZMB|1CDMG|1DUR	156VULN|2DUR|3RCR|4CDMG|7aZMB|8DMG|9LWND
51	31412 42352	   	173.54	ACR|3VULN|1DMG|2ZMB|1CDMG|1DUR	156VULN|2DUR|3RCR|4CDMG|7aZMB|8DMG|9LHND
52	31412 42363	   	173.54	ACR|3VULN|1DMG|2ZMB|1CDMG|1DUR	156VULN|2DUR|3RCR|4CDMG|7aZMB|8DMG|9RPLT
53	31412 42122	   	173.43	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8LIT|9AART|aMLV
54	31412 42125	   	173.43	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8LIT|9AART|aFEWX
55	31412 42124	   	173.33	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8LIT|9AART|aDUST
56	31412 42126	   	173.33	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8LIT|9AART|aERES
57	21413 14253	   	172.95	ACR|2VULN|2DMG|1CDMG|2DUR|1ASPD	1LWND|29DUR|3RCR|4CDMG|5LIT|69VULN|7DUST|89DMG|9BPWR|aASPD
58	31455 33333	   	172.94	ACR|3VULN|1AART|3DUR|1CDMG	18aVULN|258DUR|3RCR|4RMIN|68MLV|7AART|8BPWR|9CDMG
59	31412 41133	   	172.79	ACR|4VULN|1DMG|1CDMG|1DUR	1567VULN|2DUR|3RCR|4CDMG|8BELT|9DMG|aMLV
60	31412 41134	   	172.79	ACR|4VULN|1DMG|1CDMG|1DUR	1567VULN|2DUR|3RCR|4CDMG|8BELT|9DMG|aCGEN
61	31412 41135	   	172.79	ACR|4VULN|1DMG|1CDMG|1DUR	1567VULN|2DUR|3RCR|4CDMG|8BELT|9DMG|aLIT
62	31412 41136	   	172.79	ACR|4VULN|1DMG|1CDMG|1DUR	1567VULN|2DUR|3RCR|4CDMG|8BELT|9DMG|aFEWX
63	31452 53333	   	172.74	ACR|3VULN|1AART|3DUR|1CDMG	18aVULN|268DUR|3RCR|4RMIN|58TLV|7AART|8BPWR|9CDMG
64	21413 15115	   	172.73	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1LWND|2aDUR|3RCR|4CDMG|5LIT|67VULN|8AART|9DMG
65	31412 41131	   	172.69	ACR|4VULN|1DMG|1CDMG|1DUR	1567VULN|2DUR|3RCR|4CDMG|8BELT|9DMG|aTLV
66	31412 42231	   	172.58	ACR|3VULN|1AART|1CDMG|1ZMB|1DUR|1SELL	156VULN|2DUR|3RCR|4CDMG|7ZMB|8RMIN|9SELL|aAART
67	31412 41132	   	172.54	ACR|4VULN|1DMG|1CDMG|1DUR|1SELL	1567VULN|2DUR|3RCR|4CDMG|8BELT|9DMG|aSELL
68	52223 25253	   	172.53	DCR|2VULN|2DMG|1CDMG|2DUR|1ASPD	19DUR|2CDMG|39VULN|4FEWX|5LEGI|6RCR|7LIT|89DMG|9BPWR|aASPD
69	11412 31342	   	172.33	ACR|2VULN|2DMG|2CDMG|2DUR	1FEWX|2aDUR|3RCR|45CDMG|6ERES|7aDMG|8CGEN|9aVULN|aBPWR
70	11412 51342	   	172.33	ACR|2VULN|2DMG|2CDMG|2DUR	1FEWX|2aDUR|3RCR|45CDMG|6TLV|7aDMG|8CGEN|9aVULN|aBPWR
71	11411 31552	 * 	172.23	ACR|2DMG|1AART|1VULN|1CDMG|2DUR	158FEWX|28DUR|3RCR|4CDMG|6ERES|78DMG|8BPWR|9AART|aVULN
72	53452 32313	 * 	171.93	ACR|3VULN|2DMG|3DUR	17aDUR|2LWND|3RCR|4RMIN|57aVULN|67DUST|7aBPWR|8LIT|9aDMG
73	62223 35233	 * 	171.64	DCR|3VULN|1AART|1DMG|2ZMB	1LIT|25ZMB|3DMSP|45aVULN|5BPWR|6DMG|7LHND|8RCR|9AART
74	62523 35233	   	171.64	DCR|3VULN|1AART|1DMG|2ZMB	13LIT|25ZMB|45aVULN|5BPWR|6DMG|7LHND|8RCR|9AART
75	31412 31162	   	171.52	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	15VULN|2DUR|3RCR|4CDMG|6ERES|79DMG|8LWND|aZMB
76	31412 31262	   	171.52	ACR|2VULN|2DMG|1CDMG|1ZMB|1DUR	15VULN|2DUR|3RCR|4CDMG|6ERES|79DMG|8LHND|aZMB
77	11452 23433	 * 	171.37	ACR|2VULN|2DMG|1AART|1DUR	1FEWX|2DUR|3RCR|4RMIN|59VULN|6DMSP|7aDMG|8AART
78	31415 24111	   	171.12	ACR|3VULN|1DMG|1CDMG|2DUR|1ASPD	178VULN|28DUR|3RCR|4CDMG|5ASPD|689LIT|8BPWR|aDMG
79	33341 25322	 * 	171.07	DCR|3VULN|2DMG|1AART	189VULN|2DMSP|3DUST|48ERES|58DMG|6AART|7LEGI|8BPWR|aRCR
80	31443 23334	   	171.06	ACR|3VULN|1AART|1CDMG|1ASPD|1DUR	178VULN|2DUR|3RCR|4DUST|5CGEN|6AART|9CDMG|aASPD
81	21452 23613	   	170.89	ACR|3VULN|1AART|3DUR|1ZMB	18LWND|289DUR|3RCR|4RMIN|578VULN|6AART|8BPWR|aZMB
82	31412 41143	   	170.85	ACR|5VULN|1CDMG|2DUR	15679VULN|2aDUR|3RCR|4CDMG|8BELT
83	36432 23313	 * 	170.84	ACR|3VULN|1AART|1CDMG|1FLTHEA	17aVULN|2DUST|3RCR|4LHND|5MLV|6AART|8FLTHEA|9CDMG
84	13462 23313	   	170.74	ACR|3VULN|1AART|1CDMG|1FLTHEA	1FEWX|2LEGI|3RCR|4TLV|57aVULN|6AART|8FLTHEA|9CDMG
85	52131 36512	 * 	170.43	DCR|3DMG|1AART|2CDMG|3DUR	169DUR|23CDMG|489DMG|5AART|79CGEN|9BPWR|aRCR
86	31225 23322	 * 	170.25	DCR|4VULN|1AART|2DUR|1ZMB	1689VULN|28DUR|3TLV|4ZMB|58DUST|7AART|8BPWR|aRCR
87	31226 13322	   	170.25	DCR|4VULN|1AART|2DUR|1ZMB	1589VULN|28DUR|3TLV|4ZMB|68DUST|7AART|8BPWR|aRCR
88	36222 23322	   	170.25	DCR|4VULN|1AART|2DUR|1ZMB	1689VULN|28DUST|3TLV|4ZMB|58DUR|7AART|8BPWR|aRCR
89	31423 23243	 * 	170.17	ACR|3VULN|2DMG|1AART|2DUR|1MSE	17aVULN|2aDUR|3RCR|4MSE|5CGEN|6AART|8aDMG|9RCVC|aBPWR
90	31423 23233	 * 	170.07	ACR|3VULN|2DMG|1AART|2DUR|2MSE	17aVULN|2aDUR|3RCR|49MSE|5CGEN|6AART|8aDMG|aBPWR
91	31446 23233	   	169.84	ACR|3VULN|1AART|1DMG|1DUR	169VULN|2DUR|3RCR|45DUST|7AART|8FEWX|aDMG
92	36442 23233	   	169.84	ACR|3VULN|1AART|1DMG|1DUR	169VULN|24DUST|3RCR|5DUR|7AART|8FEWX|aDMG
93	21452 23631	   	169.72	ACR|3VULN|1AART|1CDMG|2DUR	18LWND|28DUR|3RCR|4RMIN|578VULN|6AART|8BPWR|9CDMG|aRCVC
94	21452 23632	   	169.72	ACR|3VULN|1AART|1CDMG|2DUR	18LWND|28DUR|3RCR|4RMIN|578VULN|6AART|8BPWR|9CDMG|aCGEN
95	21452 23633	   	169.72	ACR|3VULN|1AART|1CDMG|2DUR	18LWND|28DUR|3RCR|4RMIN|578VULN|6AART|8BPWR|9CDMG|aBELT
96	31412 42323	   	169.69	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9LWND|aBEXP
97	31412 42325	   	169.69	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9LWND|aRMIN
98	31412 42353	   	169.69	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9LHND|aBEXP
99	31412 42362	   	169.69	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9aRPLT
100	31412 42512	   	169.69	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8BEXP|9FEWX|aDMG
101	31412 46333	   	169.69	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7RPLT|8MGNLIT|9ZMB|aDMG
102	31412 42311	   	169.59	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9SNIHEL|aCGEN
103	31412 42312	   	169.59	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9SNIHEL|aLIT
104	31412 42313	   	169.59	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9SNIHEL|aFEWX
105	31412 42316	   	169.59	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9SNIHEL|aBELT
106	31412 42324	   	169.59	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9LWND|aERES
107	31412 42326	   	169.59	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DMG|9LWND|aCANHEL
108	31412 42532	   	169.59	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8BEXP|9LEGI|aDMG
109	31412 42612	   	169.59	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DUST|9FEWX|aDMG
110	36412 42321	   	169.59	ACR|3VULN|1DMG|1CDMG|1ZMB|1ASPD	156VULN|2DUST|3RCR|4CDMG|7ZMB|8DMG|9LWND|aASPD
111	52211 25114	   	169.57	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1DUR|2CDMG|37VULN|4LIT|5RCR|6LWND|8AART|9DMG|aASPD
112	31432 23311	   	169.52	ACR|3VULN|1AART|2ASPD|2DUR	18aVULN|28DUR|3RCR|4LHND|5MLV|6AART|78ASPD|8BPWR|9BASICY
113	31433 24311	   	169.52	ACR|3VULN|1AART|2ASPD|2DUR	18aVULN|28DUR|3RCR|4LHND|5CGEN|6AART|78ASPD|8BPWR|9BASICY
114	31412 42632	   	169.49	ACR|3VULN|1DMG|1CDMG|1ZMB|1DUR	156VULN|2DUR|3RCR|4CDMG|7ZMB|8DUST|9LEGI|aDMG
115	52211 36114	   	169.47	ACR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1DUR|2CDMG|3VULN|4LIT|5RCR|6ERES|7ASPD|8AART|9aDMG
116	52211 36115	   	169.47	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1DUR|2CDMG|3aVULN|4LIT|5RCR|6ERES|7ASPD|8AART|9DMG
117	31443 23331	   	169.42	ACR|3VULN|1AART|1CDMG|2DUR	178VULN|2aDUR|3RCR|4DUST|5CGEN|6AART|9CDMG
118	36463 23331	   	169.42	ACR|3VULN|1AART|1CDMG|2DUR	178VULN|2DUST|3RCR|4aDUR|5CGEN|6AART|9CDMG
119	31452 43321	   	169.37	ACR|4VULN|1AART|2DUR	1689VULN|28DUR|3RCR|4RMIN|58TLV|7AART|8BPWR|aFEWX
120	31452 43322	   	169.37	ACR|4VULN|1AART|2DUR	1689VULN|28DUR|3RCR|4aRMIN|58TLV|7AART|8BPWR
121	31452 43323	   	169.27	ACR|4VULN|1AART|2DUR	1689VULN|28DUR|3RCR|4RMIN|58aTLV|7AART|8BPWR
122	52211 14221	 * 	169.23	ACR|3VULN|1AART|2CDMG|2DUR	18DUR|28CDMG|37aVULN|4LIT|5RCR|68TLV|8BPWR|9AART
123	11462 23312	   	169.06	ACR|2VULN|1AART|1CDMG|1FLTHEA|1DUR|1ASPD	1FEWX|2DUR|3RCR|4TLV|57VULN|6AART|8FLTHEA|9CDMG|aASPD
124	31442 23312	   	169.06	ACR|2VULN|1AART|1CDMG|1FLTHEA|1DUR|1ASPD	17VULN|2DUR|3RCR|4DUST|5MLV|6AART|8FLTHEA|9CDMG|aASPD
125	36462 23312	   	169.06	ACR|2VULN|1AART|1CDMG|1FLTHEA|1DUR|1ASPD	17VULN|2DUST|3RCR|4DUR|5MLV|6AART|8FLTHEA|9CDMG|aASPD
126	36412 42332	   	168.96	ACR|3VULN|2CDMG|1DMG|1ZMB	156VULN|2DUST|3RCR|49CDMG|7ZMB|8DMG|aLIT
127	31452 43312	   	168.92	ACR|3VULN|1AART|1CDMG|2DUR	168VULN|28DUR|3RCR|4RMIN|58TLV|7AART|8BPWR|9CDMG|aLWND
128	31452 13324	   	168.92	ACR|3VULN|1AART|1CDMG|2DUR	189VULN|28DUR|3RCR|46RMIN|58TLV|7AART|8BPWR|aCDMG
129	31452 23324	   	168.92	ACR|3VULN|1AART|1CDMG|2DUR	189VULN|28DUR|3RCR|4RMIN|58TLV|6RCVC|7AART|8BPWR|aCDMG
130	26312 25252	   	168.91	DCR|3VULN|2DMG|1CDMG	1LWND|29DUST|3LHND|4CDMG|59aVULN|6RCR|7LIT|89DMG|9BPWR
131	36412 42333	   	168.86	ACR|3VULN|1DMG|2CDMG|1ZMB	156VULN|2DUST|3RCR|49CDMG|7ZMB|8DMG|aERES
132	31452 43313	   	168.82	ACR|3VULN|1AART|1CDMG|2DUR	168VULN|28DUR|3RCR|4RMIN|58TLV|7AART|8BPWR|9CDMG|aERES
133	31644 11213	   	168.70	DCR|2VULN|1AART|1DMG|2DUR|1ZMB|1ASPD	18VULN|29DUR|3BASHEA|4ZMB|5AART|6DMG|7ASPD|aRCR
134	11462 23325	 * 	168.53	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2DUR|3RCR|4TLV|57VULN|6AART|8FLTHEA|9RPLT|aDMG
135	11462 23363	   	168.53	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	1FEWX|2DUR|3RCR|4TLV|57VULN|6AART|8FLTHEA|9BEXP|aDMG
136	21442 23135	   	168.53	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2DUR|3RCR|4DUST|5MLV|6AART|79VULN|8DMG|aCDMG
137	31442 23325	   	168.53	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	17VULN|2DUR|3RCR|4DUST|5MLV|6AART|8FLTHEA|9RPLT|aDMG
138	31442 23333	   	168.53	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	17VULN|2DUR|3RCR|4DUST|5MLV|6AART|8FLTHEA|9FEWX|aDMG
139	31442 23363	   	168.53	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	17VULN|2DUR|3RCR|4DUST|5MLV|6AART|8FLTHEA|9BEXP|aDMG
140	36462 23333	   	168.53	ACR|2VULN|1AART|1DMG|1FLTHEA|1DUR	17VULN|2DUST|3RCR|4DUR|5MLV|6AART|8FLTHEA|9FEWX|aDMG
141	52211 25115	   	167.93	ACR|2VULN|1AART|1DMG|1CDMG|2DUR	1aDUR|2CDMG|37VULN|4LIT|5RCR|6LWND|8AART|9DMG
142	11411 31551	 * 	167.82	ACR|3DMG|1AART|1CDMG|2DUR	158FEWX|28DUR|3RCR|4CDMG|6ERES|78aDMG|8BPWR|9AART
143	31415 23613	   	167.79	ACR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1ASPD	1VULN|2DUR|3RCR|4CDMG|5ASPD|6LIT|7RMIN|8AART|9DMG|aZMB
144	31225 23342	 * 	167.60	DCR|3VULN|2AART|2DUR|1ZMB	168VULN|28DUR|3TLV|4ZMB|58DUST|79AART|8BPWR|aRCR
145	31226 13342	   	167.60	DCR|3VULN|2AART|2DUR|1ZMB	158VULN|28DUR|3TLV|4ZMB|68DUST|79AART|8BPWR|aRCR
146	36222 23342	   	167.60	DCR|3VULN|2AART|2DUR|1ZMB	168VULN|28DUST|3TLV|4ZMB|58DUR|79AART|8BPWR|aRCR
147	26413 13253	   	167.56	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	1LWND|29DUST|3RCR|4CDMG|5LIT|69VULN|7DUR|89DMG|9BPWR|aASPD
148	31412 31161	   	167.46	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	15VULN|2DUR|3RCR|4CDMG|6ERES|79DMG|8LWND|aASPD
149	31412 31261	   	167.46	ACR|2VULN|2DMG|1CDMG|1DUR|1ASPD	15VULN|2DUR|3RCR|4CDMG|6ERES|79DMG|8LHND|aASPD
150	21413 15111	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2DUR|3RCR|4CDMG|5LIT|67VULN|8AART|9DMG|aCANSTR
151	21413 15112	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2DUR|3RCR|4CDMG|5LIT|67VULN|8AART|9DMG|aDUST
152	21413 15116	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1LWND|2DUR|3RCR|4CDMG|5LIT|67VULN|8AART|9DMG|aERES
153	53413 15111	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LWND|3RCR|4CDMG|5LIT|67VULN|8AART|9DMG|aCANSTR
154	53413 15112	   	167.33	ACR|2VULN|1AART|1DMG|1CDMG|1DUR	1DUR|2LWND|3RCR|4CDMG|5LIT|67VULN|8AART|9DMG|aDUST
155	31411 22433	   	167.19	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	19VULN|2DUR|3RCR|4CDMG|5FEWX|6SELL|7RMIN|8AART|aDMG
156	31411 24433	   	167.09	ACR|2VULN|1AART|1DMG|1CDMG|1DUR|1SELL	19VULN|2DUR|3RCR|4CDMG|5FEWX|6SELL|7NUKE|8AART|aDMG
157	36411 21433	   	167.09	ACR|2VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	19VULN|2DUST|3RCR|4CDMG|5FEWX|6SELL|7ASPD|8AART|aDMG
158	52131 35132	 * 	166.98	DCR|2AART|1VULN|1DMG|2CDMG|2DUR	16DUR|23CDMG|4DMG|57AART|8MBVNT|9RCR|aVULN
159	62223 55213	 * 	166.90	DCR|3VULN|3ZMB|1AART	1LIT|257ZMB|3DMSP|45aVULN|5BPWR|6AART|8RCR|9LWND
