0	Index      	 *	Score 	Summary	Detail	
1	62235 31326	 * 	206.32	ACR|5VULN|2DMG|3CDMG	1267aVULN|37aVENICY|4RCR|578CDMG|7aBPWR|9aDMG
15	63133 11433	   	190.64	DCR|3VULN|2DMG|1AART|2DUR|1ASPD	138VULN|2RPLT|48DMG|5ASPD|6LIT|78DUR|8BPWR|9RCR|aAART
16	63233 11433	   	190.64	DCR|3VULN|2DMG|1AART|2DUR|1ASPD	138VULN|2RPLT|38BPWR|48DMG|5ASPD|6LIT|78DUR|9RCR|aAART
17	62231 22136	 * 	190.59	ACR|4VULN|2DMG|1AART	1279VULN|37VENICY|4RCR|5RPLT|67DMG|7BPWR|8LIT|aAART
18	62234 62113	   	190.59	ACR|4VULN|2DMG|1AART	1289VULN|3VENICY|4RCR|5MBVNT|69DMG|79CGEN|9BPWR|aAART
19	62234 62333	   	190.59	ACR|4VULN|2DMG|1AART	1289VULN|3VENICY|4RCR|5MBVNT|68DMG|78CGEN|8BPWR|aAART
20	62234 43113	   	190.39	ACR|4VULN|2DMG|1AART	1289VULN|3VENICY|4RCR|5MBVNT|69ERES|79DMG|9BPWR|aAART
21	22623 42135	   	188.05	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	19BEXP|28VULN|3AART|49DUR|5RMIN|69DMG|7RCR|9BPWR|aZMB
22	22176 62412	 * 	187.87	DCR|4VULN|2DMG|1AART	149BEXP|2679VULN|3MBVNT|59DMG|8RCR|9BPWR|aAART
23	12623 42135	   	187.85	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	19DUST|28VULN|3AART|49DUR|5RMIN|69DMG|7RCR|9BPWR|aZMB
24	12261 42135	   	187.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	19DUST|28VULN|3RMIN|4AART|59DUR|69DMG|7RCR|9BPWR|aZMB
25	12264 12135	   	187.25	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	19DUST|28VULN|3RMIN|4AART|59DMG|69DUR|7RCR|9BPWR|aZMB
26	62223 31261	   	187.21	DCR|3VULN|2DMG|1AART|1DUR	129VULN|39VENICY|4CGEN|5DUR|6RCR|7AART|89DMG|9BPWR|aLWND
27	62223 31262	   	187.21	DCR|3VULN|2DMG|1AART|1DUR	129VULN|39VENICY|4CGEN|5DUR|6RCR|7AART|89DMG|9BPWR|aBEXP
28	62223 31263	   	187.21	DCR|3VULN|2DMG|1AART|1DUR	129VULN|39VENICY|4CGEN|5DUR|6RCR|7AART|89DMG|9BPWR|aLHND
29	62223 31264	   	187.11	DCR|3VULN|2DMG|1AART|1DUR	129VULN|39VENICY|4CGEN|5DUR|6RCR|7AART|89DMG|9BPWR|aERES
30	62223 31266	   	187.11	DCR|3VULN|2DMG|1AART|1DUR	129VULN|39VENICY|4CGEN|5DUR|6RCR|7AART|89DMG|9BPWR|aMBVNT
31	61613 35312	 * 	186.03	ACR|2VULN|2DMG|2AART|1CDMG	19VULN|29LIT|3ERES|4CDMG|5RCR|6aAART|7DMSP|89DMG|9BPWR
32	62234 61122	 * 	185.60	ACR|3VULN|2AART|1DMG|1CDMG	129VULN|3VENICY|4RCR|5MBVNT|6DMG|7aAART|8CDMG
33	66324 12133	   	185.41	DCR|3VULN|2DMG|1AART|1DUR	189VULN|2FEWX|39DUST|4RMIN|59DMG|6AART|7RCR|9BPWR|aDUR
34	62234 41274	   	185.03	ACR|3VULN|2DMG|1AART|1DUR	129VULN|3VENICY|4RCR|5MBVNT|69ERES|7AART|89DMG|9BPWR|aDUR
35	62234 61343	   	185.03	ACR|3VULN|2DMG|1AART|1DUR	12aVULN|3VENICY|4RCR|5MBVNT|69DMG|7AART|8DUR
36	62234 61224	   	184.88	ACR|2VULN|2DMG|2AART|1ZMB	12VULN|3VENICY|4RCR|5MBVNT|68DMG|7aAART|9ZMB
37	62231 22244	   	184.34	ACR|4VULN|3DMG	1279VULN|37VENICY|4RCR|5RPLT|679DMG|79BPWR|89ERES|aRCVC
38	62253 33153	   	184.02	DCR|3VULN|1AART|1DMG|2DUR|1ZMB	128VULN|3VENICY|49DUR|5ZMB|6RCR|7DMG|aAART
39	62233 33145	   	183.90	ACR|4VULN|1AART|1DMG|1ZMB	1289VULN|3VENICY|4RCR|5ZMB|6FEWX|7DMG|aAART
40	62235 31151	 * 	183.90	ACR|4VULN|1AART|2CDMG|1ZMB	1267VULN|37VENICY|4RCR|57CDMG|7BPWR|8LIT|9ZMB|aAART
41	62332 11164	 * 	183.46	DCR|3VULN|2DMG|2ZMB|1CDMG|1ASPD|1SELL	127VULN|3RPLT|47DMG|5SELL|67ZMB|7BPWR|8CDMG|9RCR|aASPD
42	63132 11164	 * 	183.46	DCR|3VULN|2DMG|2ZMB|1CDMG|1ASPD|1SELL	137VULN|2RPLT|47DMG|5SELL|67ZMB|7BPWR|8CDMG|9RCR|aASPD
43	63232 11164	 * 	183.46	DCR|3VULN|2DMG|2ZMB|1CDMG|1ASPD|1SELL	137VULN|2RPLT|37BPWR|47DMG|5SELL|67ZMB|8CDMG|9RCR|aASPD
44	62231 22324	   	183.43	ACR|3VULN|2DMG|1AART|1DUR	127VULN|37VENICY|4RCR|5RPLT|67DMG|7BPWR|8BEXP|9DUR|aAART
45	62231 22524	   	183.43	ACR|3VULN|2DMG|1AART|1DUR	127VULN|37VENICY|4RCR|5RPLT|67DMG|7BPWR|8LWND|9DUR|aAART
46	62231 22441	   	183.24	ACR|4VULN|3DMG	1279VULN|37VENICY|4RCR|5RPLT|679DMG|79BPWR|89MLV|aFEWX
47	62234 62311	   	183.24	ACR|4VULN|3DMG	1289VULN|3VENICY|4RCR|5MBVNT|689DMG|789CGEN|89BPWR|aLHND
48	62234 62313	   	183.24	ACR|4VULN|3DMG	1289VULN|3VENICY|4RCR|5MBVNT|689DMG|789CGEN|89BPWR|aLWND
49	62231 22442	   	183.14	ACR|4VULN|3DMG	1279VULN|37VENICY|4RCR|5RPLT|679DMG|79BPWR|89MLV|aTLV
50	62231 22443	   	183.14	ACR|4VULN|3DMG	1279VULN|37VENICY|4RCR|5RPLT|679DMG|79BPWR|89MLV|aNUKE
51	22125 11632	   	183.11	DCR|3DMG|2VULN|1AART|1ASPD	19BEXP|29VULN|3MBVNT|4RMIN|579DMG|6AART|8RCR|9BPWR|aASPD
52	62113 51323	   	183.09	DCR|4VULN|1AART|1DMG|1CDMG|1SELL	1258VULN|35CGEN|4SELL|5BPWR|6DMG|7AART|9RCR|aCDMG
53	62231 22241	   	183.04	ACR|4VULN|3DMG	1279VULN|37VENICY|4RCR|5RPLT|679DMG|79BPWR|89ERES|aFEWX
54	62231 22246	   	183.04	ACR|4VULN|3DMG	1279VULN|37VENICY|4RCR|5RPLT|679DMG|79BPWR|89ERES|aMLV
55	63133 22223	   	183.01	DCR|3VULN|2DMG|1AART|1ASPD	139VULN|2RPLT|49DMG|5ASPD|6BEXP|7RCR|89ERES|9BPWR|aAART
56	63233 22223	   	183.01	DCR|3VULN|2DMG|1AART|1ASPD	139VULN|2RPLT|39BPWR|49DMG|5ASPD|6BEXP|7RCR|89ERES|aAART
57	62333 22223	   	183.01	DCR|3VULN|2DMG|1AART|1ASPD	129VULN|3RPLT|49DMG|5ASPD|6BEXP|7RCR|89ERES|9BPWR|aAART
58	62231 22242	   	182.94	ACR|4VULN|3DMG	1279VULN|37VENICY|4RCR|5RPLT|679DMG|79BPWR|89ERES|aTLV
59	62231 22243	   	182.94	ACR|4VULN|3DMG	1279VULN|37VENICY|4RCR|5RPLT|679DMG|79BPWR|89ERES|aNUKE
60	12125 11632	   	182.91	DCR|3DMG|2VULN|1AART|1ASPD	19DUST|29VULN|3MBVNT|4RMIN|579DMG|6AART|8RCR|9BPWR|aASPD
61	62235 31321	   	182.74	ACR|4VULN|3CDMG|1DMG|1DUR	1267VULN|37VENICY|4RCR|578CDMG|7BPWR|9DMG|aDUR
62	62213 61226	   	182.61	DCR|4VULN|2DMG|1ZMB|1DUR	126aVULN|3VENICY|4aLWND|5ZMB|7DUR|8RCR|9aDMG|aBPWR
63	62253 31262	   	182.36	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	12VULN|3VENICY|4DUR|5ZMB|6RCR|7AART|8aDMG|9LSRHEA
64	22162 78243	   	182.11	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1BEXP|25VULN|3MBVNT|45DUR|5BPWR|6RCR|7CDMG|8ZMB|9DMG|aAART
65	62232 56333	   	181.14	ACR|4VULN|2DMG|1CDMG	129aVULN|3VENICY|4RCR|5aLIT|6CDMG|7LHND|8aDMG|aBPWR
66	62234 61121	   	181.09	ACR|3VULN|1AART|1DMG|1CDMG|1DUR	129VULN|3VENICY|4RCR|5MBVNT|6DMG|7AART|8CDMG|aDUR
67	63534 31322	   	181.04	ACR|4VULN|3DMG	189aVULN|2RPLT|3LWND|4RMIN|5RCR|689DMG|789MLV|89BPWR
68	62234 62114	   	181.04	ACR|4VULN|2DMG|1CDMG	1289VULN|3VENICY|4RCR|5MBVNT|69DMG|79CGEN|9BPWR|aCDMG
69	62234 62334	   	181.04	ACR|4VULN|2DMG|1CDMG	1289VULN|3VENICY|4RCR|5MBVNT|68DMG|78CGEN|8BPWR|aCDMG
70	62234 43114	   	180.84	ACR|4VULN|2DMG|1CDMG	1289VULN|3VENICY|4RCR|5MBVNT|69ERES|79DMG|9BPWR|aCDMG
71	12623 42133	 * 	180.66	DCR|2VULN|2DMG|1AART|3DUR	19DUST|28VULN|3AART|49aDUR|5RMIN|69DMG|7RCR|9BPWR
72	62223 31223	   	180.52	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	12aVULN|3VENICY|4CGEN|5DUR|6RCR|7AART|8DMG|9ZMB
73	62253 31233	   	180.42	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	12aVULN|3VENICY|4DUR|5ZMB|6RCR|7AART|8DMG|9ERES
74	62231 22134	   	180.21	ACR|5VULN|2DMG	1279aVULN|37VENICY|4RCR|5RPLT|67DMG|7BPWR|8LIT
75	12261 42133	   	180.06	DCR|2VULN|2DMG|1AART|3DUR	19DUST|28VULN|3RMIN|4AART|59aDUR|69DMG|7RCR|9BPWR
76	12264 12133	   	180.06	DCR|2VULN|2DMG|1AART|3DUR	19DUST|28VULN|3RMIN|4AART|59DMG|69aDUR|7RCR|9BPWR
77	62234 43115	   	180.01	ACR|5VULN|2DMG	1289aVULN|3VENICY|4RCR|5MBVNT|69ERES|79DMG|9BPWR
78	22176 12416	   	179.87	DCR|3VULN|3DMG|1CDMG	149BEXP|279VULN|3MBVNT|569DMG|8RCR|9BPWR|aCDMG
79	62231 22326	   	179.72	ACR|4VULN|2DMG|2DUR	127aVULN|37aVENICY|4RCR|5RPLT|67DMG|7aBPWR|8BEXP|9aDUR
80	62231 22526	   	179.72	ACR|4VULN|2DMG|2DUR	127aVULN|37aVENICY|4RCR|5RPLT|67DMG|7aBPWR|8LWND|9aDUR
81	62234 33127	   	179.62	ACR|4VULN|2DMG|2DUR	128aVULN|3VENICY|4RCR|5MBVNT|6RPLT|7aDMG|9aDUR|aBPWR
82	22162 11132	   	179.56	DCR|3VULN|1AART|1DMG|1CDMG|2DUR	1BEXP|259VULN|3MBVNT|45DUR|5BPWR|6AART|7DMG|8CDMG|aRCR
83	62233 31126	   	179.29	ACR|4VULN|1AART|1CDMG|1ZMB	129aVULN|3VENICY|4RCR|5ZMB|6FEWX|7AART|8CDMG
84	62235 31314	 * 	178.94	ACR|4VULN|3CDMG|1AART	1267VULN|37VENICY|4RCR|578CDMG|7BPWR|9RPLT|aAART
85	62111 16133	   	178.82	DCR|3VULN|1AART|1DMG|1CDMG|1ASPD|1SELL	127VULN|3CGEN|4SELL|5CDMG|6AART|8RCR|9DMG|aASPD
86	62111 16122	 * 	178.75	DCR|5VULN|1AART|1CDMG|1SELL	1279aVULN|3CGEN|4SELL|5CDMG|6AART|8RCR
87	22264 12132	   	178.67	DCR|3DMG|2VULN|1AART	19BEXP|28VULN|3RMIN|49FEWX|59aDMG|6AART|7RCR|9BPWR
88	62253 31116	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3VENICY|4DUR|5ZMB|6RCR|7AART|8CDMG|9BELT|aDMG
89	62253 31124	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3VENICY|4DUR|5ZMB|6RCR|7AART|8CDMG|9FEWX|aDMG
90	62231 22362	   	178.39	ACR|4VULN|2DMG|1ZMB	1279VULN|37VENICY|4RCR|5RPLT|67DMG|7BPWR|8BEXP|aZMB
91	62231 22562	   	178.39	ACR|4VULN|2DMG|1ZMB	1279VULN|37VENICY|4RCR|5RPLT|67DMG|7BPWR|8LWND|aZMB
92	66324 12131	   	178.37	DCR|3VULN|2DMG|1AART	189VULN|2FEWX|39aDUST|4RMIN|59DMG|6AART|7RCR|9BPWR
93	62111 16134	 * 	178.20	DCR|3VULN|1AART|1DMG|2CDMG|1SELL	127VULN|3CGEN|4SELL|5aCDMG|6AART|8RCR|9DMG
94	62234 41271	   	178.09	ACR|3VULN|2DMG|1AART	129VULN|3VENICY|4RCR|5MBVNT|69ERES|7AART|89DMG|9BPWR|aLWND
95	62234 41272	   	178.09	ACR|3VULN|2DMG|1AART	129VULN|3VENICY|4RCR|5MBVNT|69ERES|7AART|89DMG|9BPWR|aBEXP
96	62234 41273	   	178.09	ACR|3VULN|2DMG|1AART	129VULN|3VENICY|4RCR|5MBVNT|69ERES|7AART|89DMG|9BPWR|aLHND
97	62234 61211	   	178.09	ACR|3VULN|2DMG|1AART	129VULN|3VENICY|4RCR|5MBVNT|68DMG|7AART|aDMSP
98	62234 61212	   	178.09	ACR|3VULN|2DMG|1AART	129VULN|3VENICY|4RCR|5MBVNT|68DMG|7AART|aFEWX
99	62234 61213	   	178.09	ACR|3VULN|2DMG|1AART	129VULN|3VENICY|4RCR|5MBVNT|68DMG|7AART|aCGEN
100	62234 61214	   	178.09	ACR|3VULN|2DMG|1AART	129VULN|3VENICY|4RCR|5MBVNT|68DMG|7AART|aLHND
101	62234 61443	   	178.09	ACR|3VULN|2DMG|1AART	12aVULN|3VENICY|4RCR|5MBVNT|69DMG|7AART|8LHND
102	62234 61243	   	177.99	ACR|3VULN|2DMG|1AART	12aVULN|3VENICY|4RCR|5MBVNT|68DMG|7AART|9DUST
103	22176 11454	   	177.86	DCR|3DMG|2VULN|1CDMG|1FLTHEA	147BEXP|27VULN|3MBVNT|567DMG|7BPWR|8RCR|9FLTHEA|aCDMG
104	62253 21226	 * 	177.62	DCR|3VULN|2DMG|3DUR|1ZMB	12aVULN|3VENICY|47aDUR|5ZMB|6LHND|8RCR|9aDMG|aBPWR
105	61613 34312	   	177.58	ACR|3VULN|2AART|2ASPD|1CDMG	189VULN|29LIT|3ERES|4CDMG|5RCR|6aAART|79ASPD|9BPWR
106	62253 33212	 * 	177.52	DCR|2VULN|2DMG|2CDMG|1ZMB|1DUR	12VULN|3aVENICY|4DUR|5ZMB|6RCR|7aDMG|8CGEN|9aCDMG|aBPWR
107	62233 41126	 * 	177.08	ACR|3VULN|2DMG|2ZMB|1DUR	12aVULN|3VENICY|4RCR|5aZMB|6LWND|7DUR|8RCVC|9aDMG|aBPWR
108	62233 51126	   	177.08	ACR|3VULN|2DMG|2ZMB|1DUR	12aVULN|3VENICY|4RCR|5aZMB|6LHND|7DUR|8RCVC|9aDMG|aBPWR
109	22623 42133	   	177.05	DCR|2VULN|2DMG|1AART|2DUR	19BEXP|28VULN|3AART|49DUR|5RMIN|69DMG|7RCR|9BPWR|aFEWX
110	22623 42632	   	177.02	DCR|3DMG|1AART|1VULN|2DUR	19BEXP|2VULN|3AART|49DUR|5RMIN|69aDMG|7RCR|8RCVC|9BPWR
111	62233 33156	 * 	176.99	ACR|4VULN|1DMG|2ZMB|2DUR	128aVULN|3VENICY|4RCR|5aZMB|6FEWX|7DMG|9aDUR|aBPWR
112	22623 42131	   	176.95	DCR|2VULN|2DMG|1AART|2DUR	19BEXP|28VULN|3AART|49DUR|5RMIN|69DMG|7RCR|9BPWR|aDUST
113	12623 42136	   	176.85	DCR|2VULN|2DMG|1AART|2DUR	19DUST|28VULN|3AART|49DUR|5RMIN|69DMG|7RCR|9BPWR|aFEWX
114	22112 75183	   	176.78	DCR|4VULN|1AART|1DMG	1BEXP|258aVULN|3MBVNT|45LWND|5BPWR|6RCR|7AART|9DMG
115	12623 42131	   	176.75	DCR|2VULN|2DMG|1AART|2DUR	19aDUST|28VULN|3AART|49DUR|5RMIN|69DMG|7RCR|9BPWR
116	12112 75183	   	176.68	DCR|4VULN|1AART|1DMG	1DUST|258aVULN|3MBVNT|45LWND|5BPWR|6RCR|7AART|9DMG
117	62233 31122	   	176.64	ACR|3VULN|2AART|1CDMG|1ZMB	129VULN|3VENICY|4RCR|5ZMB|6FEWX|7aAART|8CDMG
118	22623 42123	   	176.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|28aVULN|3AART|4DUR|5RMIN|6DMG|7RCR|9ASPD
119	22651 42123	   	176.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|28aVULN|3AART|4CGEN|5DUR|6DMG|7RCR|9ASPD
120	22654 12123	   	176.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1BEXP|28aVULN|3AART|4CGEN|5DMG|6DUR|7RCR|9ASPD
121	62233 31154	   	176.54	ACR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	12VULN|3VENICY|4RCR|5ZMB|6FEWX|7AART|8CDMG|9DUR|aDMG
122	62332 11161	 * 	176.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	127VULN|3RPLT|47DMG|5SELL|67ZMB|7BPWR|8CDMG|9RCR|aBEXP
123	62332 11163	 * 	176.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	127VULN|3RPLT|47DMG|5SELL|67ZMB|7BPWR|8CDMG|9RCR|aLIT
124	62332 11165	 * 	176.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	127VULN|3RPLT|47DMG|5SELL|67ZMB|7BPWR|8CDMG|9RCR|aMLV
125	63132 11161	 * 	176.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	137VULN|2RPLT|47DMG|5SELL|67ZMB|7BPWR|8CDMG|9RCR|aBEXP
126	63132 11163	 * 	176.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	137VULN|2RPLT|47DMG|5SELL|67ZMB|7BPWR|8CDMG|9RCR|aLIT
127	63132 11165	 * 	176.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	137VULN|2RPLT|47DMG|5SELL|67ZMB|7BPWR|8CDMG|9RCR|aMLV
128	63232 11161	 * 	176.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	137VULN|2RPLT|37BPWR|47DMG|5SELL|67ZMB|8CDMG|9RCR|aBEXP
129	63232 11163	 * 	176.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	137VULN|2RPLT|37BPWR|47DMG|5SELL|67ZMB|8CDMG|9RCR|aLIT
130	63232 11165	 * 	176.53	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	137VULN|2RPLT|37BPWR|47DMG|5SELL|67ZMB|8CDMG|9RCR|aMLV
131	62231 22622	   	176.52	ACR|3VULN|2DMG|2DUR|1ZMB	127VULN|37VENICY|4RCR|5RPLT|67DMG|7BPWR|89DUR|aZMB
132	62231 22334	   	176.49	ACR|3VULN|2DMG|1AART	127VULN|37VENICY|4RCR|5RPLT|67DMG|7BPWR|8BEXP|9LHND|aAART
133	62234 62213	   	176.49	ACR|3VULN|2DMG|1AART	129VULN|3VENICY|4RCR|5MBVNT|69DMG|789CGEN|9BPWR|aAART
134	12623 42123	   	176.46	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUST|28aVULN|3AART|4DUR|5RMIN|6DMG|7RCR|9ASPD
135	12651 42123	   	176.46	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUST|28aVULN|3AART|4CGEN|5DUR|6DMG|7RCR|9ASPD
136	12654 12123	   	176.46	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1DUST|28aVULN|3AART|4CGEN|5DMG|6DUR|7RCR|9ASPD
137	22611 42123	   	176.46	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1BEXP|28aVULN|3AART|4ERES|5DUR|6DMG|7RCR|9ASPD
138	22614 12123	   	176.46	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1BEXP|28aVULN|3AART|4ERES|5DMG|6DUR|7RCR|9ASPD
139	62332 11166	 * 	176.43	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	127VULN|3RPLT|47DMG|5SELL|67ZMB|7BPWR|8CDMG|9RCR|aCANHEL
140	63132 11166	 * 	176.43	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	137VULN|2RPLT|47DMG|5SELL|67ZMB|7BPWR|8CDMG|9RCR|aCANHEL
141	63232 11166	 * 	176.43	DCR|3VULN|2DMG|2ZMB|1CDMG|1SELL	137VULN|2RPLT|37BPWR|47DMG|5SELL|67ZMB|8CDMG|9RCR|aCANHEL
142	12611 42123	   	176.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUST|28aVULN|3AART|4ERES|5DUR|6DMG|7RCR|9ASPD
143	12614 12123	   	176.36	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1DUST|28aVULN|3AART|4ERES|5DMG|6DUR|7RCR|9ASPD
