0	Index      	 *	Score 	Summary	Detail	
1	44324 13121	 * 	195.38	DCR|2DMG|1AART|1VULN|2ASPD|1CDMG|1FLTHEA|1ZMB	1AART|2ZMB|3DMSP|46ASPD|56DMG|6BPWR|7FLTHEA|8CDMG|9RCR|aVULN
15	15332 21561	 * 	180.33	DCR|2VULN|2DMG|1AART|2ZMB|1SELL	1RCVC|29DMG|3LHND|49ZMB|59VULN|6SELL|7RCR|8AART|9BPWR|aBASICY
16	15223 41322	   	178.32	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1RCVC|2DMG|3CDMG|48VULN|5DUST|6ZMB|7RCR|9ASPD|aAART
17	31241 11663	 * 	177.44	DCR|2DMG|1AART|1VULN|2CDMG|2ASPD	126ERES|39CDMG|49ASPD|59DMG|7RCR|8AART|9BPWR|aVULN
18	42133 46121	 * 	177.23	ACR|2DMG|1AART|3ZMB|1VULN	1AART|29BEXP|39aZMB|4RCR|58FEWX|6VULN|79DMG|9BPWR
19	24114 13353	   	176.12	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1CGEN|2BASHEA|3AART|4ZMB|5CDMG|6aDMG|7DUR|8RCR|9VULN
20	34114 13353	   	176.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1ERES|2BASHEA|3AART|4ZMB|5CDMG|6aDMG|7DUR|8RCR|9VULN
21	15225 25113	   	175.36	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	19RCVC|25DMG|3CDMG|4VULN|6AART|7RCR|8LHND|aZMB
22	44324 13122	   	175.32	DCR|2DMG|1AART|2ASPD|1CDMG|1FLTHEA|1ZMB	1AART|2ZMB|3DMSP|46ASPD|56DMG|6BPWR|7FLTHEA|8CDMG|9RCR|aBEXP
23	44324 13123	   	175.32	DCR|2DMG|1AART|2ASPD|1CDMG|1FLTHEA|1ZMB	1AART|2ZMB|3DMSP|46ASPD|56DMG|6BPWR|7FLTHEA|8CDMG|9RCR|aRPLT
24	42131 26623	 * 	175.30	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2BEXP|3ZMB|4RCR|56LWND|789VULN|aDMG
25	42131 42623	   	175.30	ACR|3VULN|1AART|1DMG|1ZMB	1AART|2BEXP|3ZMB|4RCR|57LWND|689VULN|aDMG
26	15221 16253	 * 	175.26	DCR|3VULN|2DMG|1CDMG|1DUR	1RCVC|29DMG|3CDMG|479VULN|569LIT|8RCR|9BPWR|aDUR
27	43324 11431	   	175.23	DCR|2AART|2DMG|1VULN|2ASPD	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8RCVC|9LIT|aVULN
28	43324 11423	   	175.13	DCR|2AART|2DMG|1VULN|2ASPD	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8RCVC|9ERES|aVULN
29	15225 25311	   	175.11	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1RCVC|25DMG|3CDMG|4VULN|6AART|7RCR|8BELT|9aDUR
30	34112 42236	 * 	174.57	DCR|2VULN|2DMG|1AART|2ZMB	16aERES|2BASHEA|3AART|4aZMB|56VULN|6aBPWR|7LIT|8aDMG|9RCR
31	24143 41223	 * 	174.38	DCR|4VULN|1AART|1DMG	16CGEN|2BASHEA|3AART|4DMG|567aVULN|6BPWR|8RCR|9LHND
32	24143 41232	   	174.38	DCR|4VULN|1AART|1DMG	16CGEN|2BASHEA|3AART|4DMG|567aVULN|6BPWR|8RCR|9LIT
33	15225 25321	   	174.33	DCR|2DMG|2AART|1VULN|1CDMG	1RCVC|25DMG|3CDMG|4VULN|6aAART|7RCR|8BELT|9RPLT
34	34143 41223	   	174.18	DCR|4VULN|1AART|1DMG	16ERES|2BASHEA|3AART|4DMG|567aVULN|6BPWR|8RCR|9LHND
35	34143 41232	   	174.18	DCR|4VULN|1AART|1DMG	16ERES|2BASHEA|3AART|4DMG|567aVULN|6BPWR|8RCR|9LIT
36	15225 25132	   	173.88	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|25DMG|3CDMG|4VULN|6AART|7RCR|8LHND|9CGEN|aZMB
37	15225 25122	   	173.78	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|25DMG|3CDMG|4VULN|6AART|7RCR|8LHND|9TLV|aZMB
38	15225 22631	   	173.63	DCR|3DMG|1AART|1VULN|1CDMG	1RCVC|258DMG|3CDMG|4VULN|6AART|7RPLT|9RCR|aERES
39	15225 22632	   	173.63	DCR|3DMG|1AART|1VULN|1CDMG	1RCVC|258DMG|3CDMG|4VULN|6AART|7RPLT|9RCR|aTLV
40	21224 13534	   	173.63	ACR|3VULN|1AART|1DMG|2DUR	138CGEN|2ERES|4RCR|58DUR|6AART|789VULN|8BPWR|aDMG
41	15215 22522	   	173.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|25DMG|3CDMG|4LWND|6AART|7DUR|8VULN|9ZMB|aRCR
42	15225 24122	   	173.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|25DMG|3CDMG|4VULN|6AART|7DUR|8LHND|9ZMB|aRCR
43	15235 41122	   	173.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|25DMG|3CDMG|4DUR|6AART|7VULN|8LHND|9ZMB|aRCR
44	15265 23323	   	173.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1RCVC|25DMG|3CDMG|4LHND|6AART|7ZMB|8VULN|9ASPD|aRCR
45	31624 13523	 * 	173.53	ACR|3VULN|1AART|2CDMG|2DUR	128ERES|3aCGEN|4RCR|58DUR|6AART|78aVULN|8aBPWR|9aCDMG
46	43324 11136	   	173.32	DCR|2AART|2DMG|1VULN|2ASPD	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8FEWX|9LIT|aVULN
47	43324 11236	   	173.32	DCR|2AART|2DMG|1VULN|2ASPD	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8LHND|9LIT|aVULN
48	11343 24411	 * 	173.05	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1RCVC|2DUR|35ASPD|45DMG|5BPWR|6aVULN|7CDMG|8RCR|9BEXP
49	13343 24431	   	173.05	DCR|2VULN|2DMG|2ASPD|1CDMG|1DUR	1RCVC|2LHND|35ASPD|45DMG|5BPWR|6aVULN|7CDMG|8RCR|9DUR
50	44324 13113	   	172.92	DCR|2DMG|1AART|2ASPD|1FLTHEA|1CDMG|1ZMB	1AART|2ZMB|3DMSP|46ASPD|56DMG|6BPWR|7FLTHEA|8CDMG|9LIT|aRCR
51	12624 13513	   	172.88	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	1RCVC|28ERES|3CGEN|4RCR|58DUR|6AART|78VULN|8BPWR|9ZMB|aDMG
52	23221 62535	 * 	172.83	DCR|2VULN|2AART|1DMG|1CDMG	1CGEN|2RCVC|3CDMG|46VULN|5LIT|7RCR|8aAART|9DMG
53	15232 41251	   	172.81	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCVC|29DMG|3CDMG|4DUR|5LHND|6ZMB|7RCR|8aVULN
54	43553 31223	   	172.78	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CGEN|3LWND|4DUST|5CDMG|68VULN|7RCR|9DMG|aZMB
55	15233 41251	   	172.71	DCR|2VULN|2DMG|1CDMG|1ZMB|1DUR	1RCVC|29DMG|3CDMG|4DUR|5DUST|6ZMB|7RCR|8aVULN
56	44322 22521	 * 	172.70	DCR|2VULN|1AART|3ZMB|2ASPD	1AART|29aZMB|3DMSP|49ASPD|5LWND|6RCR|7BEXP|89VULN|9BPWR
57	15222 41533	   	172.68	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3CDMG|4aVULN|5LHND|6ZMB|7RCR|8AART|9LSRICY
58	21524 13513	   	172.38	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	18CGEN|2ERES|3RCVC|4RCR|58DUR|6AART|78VULN|8BPWR|9ZMB|aDMG
59	23221 62532	   	172.38	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1CGEN|2RCVC|3CDMG|46VULN|5LIT|7RCR|8AART|9DMG|aZMB
60	42234 53211	   	171.82	DCR|2VULN|2DMG|1AART|1ZMB	1AART|2BEXP|3DUST|48VULN|56DMG|7TLV|9RCR|aZMB
61	24143 41222	 * 	171.73	DCR|3VULN|2AART|1DMG	16CGEN|2BASHEA|3aAART|4DMG|567VULN|6BPWR|8RCR|9LHND
62	34143 41222	   	171.53	DCR|3VULN|2AART|1DMG	16ERES|2BASHEA|3aAART|4DMG|567VULN|6BPWR|8RCR|9LHND
63	33342 43234	 * 	171.35	ACR|3VULN|2AART|1DMG	1ERES|2DUST|3CGEN|46AART|5RCR|789VULN|aDMG
64	24115 33336	 * 	171.30	DCR|3VULN|3ZMB|1AART	19aCGEN|2BASHEA|3AART|49aZMB|5FEWX|6LIT|7RCR|89aVULN|9aBPWR
65	15222 41351	   	170.87	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3CDMG|48aVULN|5LHND|6ZMB|7RCR|9DUR
66	15226 41311	   	170.87	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3CDMG|48aVULN|5DUR|6ZMB|7RCR|9BEXP
67	15226 41331	   	170.87	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3CDMG|48aVULN|5DUR|6ZMB|7RCR|9LHND
68	44322 22523	 * 	170.62	DCR|2AART|2VULN|2ZMB|2ASPD	1aAART|29ZMB|3DMSP|49ASPD|5LWND|6RCR|7BEXP|89VULN|9BPWR
69	42144 12312	 * 	170.38	DCR|2DMG|1AART|2CDMG|1FLTHEA|1ZMB	1AART|2BEXP|3ZMB|49CDMG|5FLTHEA|6CGEN|7aDMG|8RCR
70	53451 43434	 * 	170.16	DCR|2VULN|2DMG|2AART	17LIT|2MBVNT|34DMG|57LWND|67VULN|7BPWR|8RCR|9aAART
71	15236 26332	   	170.16	DCR|2DMG|1AART|1VULN|1CDMG|1DUR|1ASPD	1RCVC|27DMG|3CDMG|4DUR|5AART|6ASPD|8VULN|9LWND|aRCR
72	43324 11531	   	170.12	DCR|3DMG|2AART|2ASPD	13AART|2CGEN|46ASPD|568DMG|6BPWR|7RCR|9MBVNT|aRCVC
73	44234 22322	   	169.98	DCR|3DMG|1AART|1VULN|1ZMB	1AART|2ZMB|35ERES|458DMG|5BPWR|6BELT|7BEXP|9RCR|aVULN
74	41212 52316	   	169.96	DCR|2AART|2VULN|2DMG	18AART|2LIT|3LWND|4ERES|56VULN|79DMG|aRCR
75	42234 43211	   	169.88	DCR|3VULN|1AART|1DMG|1ZMB	1AART|2BEXP|3DUST|468VULN|5DMG|7TLV|9RCR|aZMB
76	15225 25312	   	169.82	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|25DMG|3CDMG|4VULN|6AART|7RCR|8BELT|9DUR|aCGEN
77	15225 25313	   	169.82	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|25DMG|3CDMG|4VULN|6AART|7RCR|8BELT|9DUR|aLHND
78	15225 25331	   	169.82	DCR|2DMG|1AART|1VULN|1CDMG|1DUR	1RCVC|25DMG|3CDMG|4VULN|6AART|7RCR|8BELT|9FEWX|aDUR
79	43341 21353	   	169.78	DCR|2AART|2DMG|1VULN|1ZMB	13AART|2CGEN|46DMG|56ERES|6BPWR|7ZMB|8RCR|9RCVC|aVULN
80	11342 12511	   	169.31	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1RCVC|2DUR|3ASPD|4DMG|58VULN|6AART|7BEXP|9RCR|aZMB
81	43342 23123	   	169.04	DCR|2AART|1DMG|1VULN|1CDMG|1ZMB	13AART|2CGEN|4DMG|5LWND|6RCR|7VULN|8DUST|9CDMG|aZMB
82	43343 23223	   	169.04	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	13AART|2CGEN|4DMG|5BEXP|6RCR|7DUST|8VULN|9CDMG|aZMB
83	43362 33234	   	169.02	DCR|2AART|2VULN|1DMG|1DUR	13AART|2CGEN|4ERES|59VULN|6RCVC|7RCR|8DUR|aDMG
84	21224 13513	   	168.98	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	138CGEN|2ERES|4RCR|58DUR|6AART|78VULN|8BPWR|9ZMB|aDMG
85	43324 11126	   	168.91	DCR|3DMG|2AART|2ASPD	13AART|2CGEN|46ASPD|56aDMG|6BPWR|7RCR|8FEWX|9LWND
86	43324 11226	   	168.91	DCR|3DMG|2AART|2ASPD	13AART|2CGEN|46ASPD|56aDMG|6BPWR|7RCR|8LHND|9LWND
87	43324 11116	   	168.81	DCR|3DMG|2AART|2ASPD	13AART|2CGEN|46ASPD|56aDMG|6BPWR|7RCR|8FEWX|9DUST
88	43324 11216	   	168.81	DCR|3DMG|2AART|2ASPD	13AART|2CGEN|46ASPD|56aDMG|6BPWR|7RCR|8LHND|9DUST
89	43324 11322	   	168.81	DCR|3DMG|2AART|2ASPD	13AART|2CGEN|46ASPD|56aDMG|6BPWR|7RCR|8SNIHEL|9RPLT
90	43324 11532	   	168.81	DCR|3DMG|2AART|2ASPD	13AART|2CGEN|46ASPD|568DMG|6BPWR|7RCR|9MBVNT|aMLV
91	43324 11534	   	168.81	DCR|3DMG|2AART|2ASPD	13AART|2CGEN|46ASPD|568DMG|6BPWR|7RCR|9MBVNT|aBELT
92	43346 11322	   	168.81	DCR|3DMG|2AART|2ASPD	13AART|2CGEN|46aDMG|56ASPD|6BPWR|7RCR|8SNIHEL|9RPLT
93	15225 23131	   	168.80	DCR|2DMG|2AART|1VULN|1CDMG	18RCVC|25DMG|3CDMG|4VULN|69AART|7ERES|aRCR
94	43324 11421	   	168.71	DCR|2AART|2DMG|2ASPD|1CDMG	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8RCVC|9ERES|aCDMG
95	34112 42233	   	168.68	DCR|3VULN|1AART|1DMG|1ZMB	16ERES|2BASHEA|3AART|4ZMB|56aVULN|6BPWR|7LIT|8DMG|9RCR
96	26335 52232	   	168.65	DCR|2VULN|2DMG|1AART|2DUR	139CGEN|27DUR|4RPLT|5AART|69DMG|89VULN|9BPWR|aRCR
97	43336 32216	 * 	168.62	DCR|2AART|2DMG|1VULN|3DUR	13AART|29CGEN|4DLOT|5VULN|689DUR|79DMG|9BPWR|aRCR
98	13342 21516	   	168.62	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD	1RCVC|2aLHND|3ASPD|4aDMG|5VULN|6CDMG|7RCR|8AART|9aTLV|aBPWR
99	13342 21533	   	168.62	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2LHND|3ASPD|4DMG|5aVULN|6CDMG|7RCR|8AART|9LSRICY
100	15342 21533	   	168.62	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD	1RCVC|2DMG|3LHND|4ASPD|5aVULN|6CDMG|7RCR|8AART|9LSRICY
101	15221 16252	   	168.32	DCR|3VULN|2DMG|1CDMG	1RCVC|29DMG|3CDMG|479VULN|569LIT|8RCR|9BPWR|aBELT
102	15221 16251	   	168.22	DCR|3VULN|2DMG|1CDMG	1RCVC|29DMG|3CDMG|479VULN|569LIT|8RCR|9BPWR|aERES
103	43324 11141	   	168.21	DCR|2AART|2DMG|2ASPD|1CDMG	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8FEWX|9CDMG|aRCVC
104	14225 25312	   	167.95	DCR|2VULN|2DMG|1AART|1SELL	19RCVC|2SELL|35DMG|4aVULN|6AART|7RCR|8DUST
105	43345 33232	   	167.93	DCR|3VULN|2AART|1DMG	13AART|2CGEN|4DMG|5MBVNT|6DUST|789VULN|aRCR
106	42144 12332	 * 	167.92	DCR|2DMG|1AART|2ZMB|1FLTHEA|1CDMG	1AART|2BEXP|39ZMB|4CDMG|5FLTHEA|6CGEN|7aDMG|8RCR
107	46232 25211	 * 	167.88	DCR|2VULN|1AART|1DMG|2ASPD|1ZMB	1AART|2LHND|3DUST|48VULN|57ASPD|6DMG|9RCR|aZMB
108	36342 13513	   	167.68	ACR|2VULN|1AART|1DMG|2DUR|1ZMB	18ERES|26DUR|38CGEN|4AART|5RCR|78VULN|8BPWR|9ZMB|aDMG
109	15233 41221	   	167.67	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1ASPD|1DUR	1RCVC|2DMG|3CDMG|4DUR|5DUST|6ZMB|7RCR|8VULN|9ASPD|aAART
110	21224 13536	 * 	167.67	ACR|4VULN|1AART|2DUR	138CGEN|2ERES|4RCR|58DUR|6AART|789aVULN|8BPWR
111	36463 21211	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUR|3AART|4LWND|5CDMG|68VULN|7RCR|9LIT|aDMG
112	36463 21221	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUR|3AART|4LWND|5CDMG|68VULN|7RCR|9DMG|aCGEN
113	36463 21222	   	167.51	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1ERES|2DUR|3AART|4LWND|5CDMG|68VULN|7RCR|9DMG|aLIT
114	15226 41321	   	167.45	DCR|2VULN|1DMG|1CDMG|2DUR|1ZMB|1ASPD	1RCVC|2DMG|3CDMG|48VULN|5aDUR|6ZMB|7RCR|9ASPD
115	36463 21223	   	167.41	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1aERES|2DUR|3AART|4LWND|5CDMG|68VULN|7RCR|9DMG
116	22146 23633	   	167.34	DCR|2AART|1DMG|1VULN|2ASPD|1ZMB	1CGEN|25ASPD|35FEWX|4aAART|5BPWR|6RCR|7VULN|8ZMB|9DMG
117	15215 21216	   	167.13	DCR|2DMG|2AART|1VULN|1CDMG	1RCVC|25DMG|3CDMG|4LWND|68AART|7VULN|9BEXP|aRCR
118	21142 43513	   	167.00	ACR|2AART|2VULN|1DMG|1ZMB	18CGEN|2ERES|38FEWX|46AART|5RCR|78VULN|8BPWR|9ZMB|aDMG
119	43324 11134	   	166.91	DCR|2AART|2DMG|2ASPD|1CDMG	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8FEWX|9LIT|aCDMG
120	43324 11143	   	166.91	DCR|2AART|2DMG|2ASPD|1CDMG	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8FEWX|9CDMG|aMLV
121	43324 11234	   	166.91	DCR|2AART|2DMG|2ASPD|1CDMG	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8LHND|9LIT|aCDMG
122	43324 11241	   	166.91	DCR|2AART|2DMG|2ASPD|1CDMG	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8LHND|9CDMG|aBELT
123	43324 11242	   	166.91	DCR|2AART|2DMG|2ASPD|1CDMG	13AART|2CGEN|46ASPD|56DMG|6BPWR|7RCR|8LHND|9CDMG|aLWND
124	14236 36232	   	166.81	DCR|2VULN|2DMG|1AART|1DUR|1SELL	1RCVC|2SELL|39DMG|4DUR|5AART|6MBVNT|79ERES|89VULN|9BPWR|aRCR
125	13342 21331	   	166.81	DCR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2LHND|3ASPD|4DMG|58aVULN|6CDMG|7RCR|9DUR
126	15142 21331	   	166.81	DCR|3VULN|1DMG|1CDMG|1DUR|1ASPD	1RCVC|2DMG|3LWND|4ASPD|58aVULN|6CDMG|7RCR|9DUR
127	15342 21331	   	166.81	DCR|3VULN|1DMG|1CDMG|1ASPD|1DUR	1RCVC|2DMG|3LHND|4ASPD|58aVULN|6CDMG|7RCR|9DUR
128	33342 43513	   	166.80	ACR|2AART|2VULN|1DMG|1ZMB	18ERES|2DUST|38CGEN|46AART|5RCR|78VULN|8BPWR|9ZMB|aDMG
129	43322 23633	 * 	166.70	DCR|3AART|1DMG|1VULN|1ZMB|1ASPD	13aAART|2CGEN|4ASPD|5LWND|6RCR|7VULN|8ZMB|9DMG
130	43342 23633	   	166.70	DCR|3AART|1DMG|1VULN|1ZMB|1ASPD	13aAART|2CGEN|4DMG|5LWND|6RCR|7VULN|8ZMB|9ASPD
131	33342 43213	   	166.70	ACR|2AART|2VULN|1DMG|1ZMB	1ERES|2DUST|3CGEN|46AART|5RCR|78VULN|9ZMB|aDMG
132	15215 23316	   	166.68	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|25DMG|3CDMG|4LWND|6AART|7ZMB|8VULN|9CGEN|aRCR
133	11332 23433	   	166.67	DCR|2AART|1VULN|1DMG|1ZMB|1DUR|1ASPD	1RCVC|2DUR|3ASPD|4ZMB|5VULN|6ERES|7RCR|8aAART|9DMG
134	42131 43213	   	166.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2BEXP|3ZMB|4RCR|5LWND|68VULN|7DUR|9FEWX|aDMG
135	46131 43213	   	166.59	ACR|2VULN|1AART|1DMG|1ZMB|1DUR	1AART|2LHND|3ZMB|4RCR|5LWND|68VULN|7DUR|9FEWX|aDMG
136	15215 21122	   	166.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|25DMG|3CDMG|4LWND|6AART|7VULN|8LEGI|9ZMB|aRCR
137	15215 23352	   	166.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|25DMG|3CDMG|4LWND|6AART|7ZMB|8VULN|9DUST|aRCR
138	15265 21122	   	166.58	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|25DMG|3CDMG|4LHND|6AART|7VULN|8LEGI|9ZMB|aRCR
139	43336 33236	   	166.51	DCR|2AART|2VULN|1DMG|1DUR	13AART|2CGEN|4DLOT|59VULN|6DUR|7RCR|8RMIN|aDMG
140	13342 21324	 * 	166.48	DCR|3VULN|1DMG|2ASPD|1CDMG	1RCVC|2LHND|39ASPD|4DMG|58aVULN|6CDMG|7RCR
141	15142 21324	   	166.48	DCR|3VULN|1DMG|2ASPD|1CDMG	1RCVC|2DMG|3LWND|49ASPD|58aVULN|6CDMG|7RCR
142	15342 21324	   	166.48	DCR|3VULN|1DMG|2ASPD|1CDMG	1RCVC|2DMG|3LHND|49ASPD|58aVULN|6CDMG|7RCR
143	12624 13522	   	166.47	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB	1RCVC|28ERES|3CGEN|4RCR|58DUR|6AART|78VULN|8BPWR|9CDMG|aZMB
144	15222 41513	   	166.44	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3CDMG|4VULN|5LHND|6ZMB|7RCR|8aAART|9TLV
145	43362 13234	   	166.41	DCR|2AART|2VULN|1DMG|1DUR	13AART|2CGEN|46ERES|59VULN|7RCR|8DUR|aDMG
146	43322 23631	 * 	166.28	DCR|2AART|1DMG|1VULN|2ZMB|1ASPD	13AART|2CGEN|4ASPD|5LWND|6RCR|7VULN|8aZMB|9DMG
147	43342 23631	   	166.28	DCR|2AART|1DMG|1VULN|2ZMB|1ASPD	13AART|2CGEN|4DMG|5LWND|6RCR|7VULN|8aZMB|9ASPD
148	15222 16422	   	166.18	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|26DMG|3CDMG|4VULN|56LHND|6BPWR|7AART|8LWND|9ZMB|aRCR
149	13343 24411	   	166.11	DCR|2VULN|2DMG|2ASPD|1CDMG	1RCVC|2LHND|35ASPD|45DMG|5BPWR|6aVULN|7CDMG|8RCR|9BEXP
150	15222 16122	   	166.08	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB	1RCVC|26DMG|3CDMG|4VULN|56LHND|6BPWR|7AART|8LEGI|9ZMB|aRCR
151	21524 13522	   	165.97	ACR|2VULN|1AART|1CDMG|2DUR|1ZMB	18CGEN|2ERES|3RCVC|4RCR|58DUR|6AART|78VULN|8BPWR|9CDMG|aZMB
152	15212 41251	   	165.87	DCR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|29DMG|3CDMG|4LWND|5LHND|6ZMB|7RCR|8aVULN
153	15222 41253	   	165.87	DCR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|2aDMG|3CDMG|4aVULN|5LHND|6ZMB|7RCR|8aTLV|9RMIN|aBPWR
154	42234 41311	   	165.78	DCR|2AART|2VULN|1DMG|1ZMB	17AART|2BEXP|3DUST|46VULN|5DMG|8RMIN|9RCR|aZMB
155	42234 51311	   	165.78	DCR|2AART|2DMG|1VULN|1ZMB	17AART|2BEXP|3DUST|4VULN|56DMG|8RMIN|9RCR|aZMB
156	15213 41251	   	165.77	DCR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|29DMG|3CDMG|4LWND|5DUST|6ZMB|7RCR|8aVULN
157	15222 41263	   	165.77	DCR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|2aDMG|3CDMG|4aVULN|5LHND|6ZMB|7RCR|8aTLV|9NUKE|aBPWR
158	15223 41253	   	165.77	DCR|2VULN|2DMG|1CDMG|1ZMB	1RCVC|2aDMG|3CDMG|4aVULN|5DUST|6ZMB|7RCR|8aTLV|9RMIN|aBPWR
