0	Index      	 *	Score 	Summary	Detail	
1	22611 21515	 * 	216.94	DCR|5VULN|3DMG|3ZMB	138DMG|258ZMB|45678VULN|58BPWR|9CGEN|aRCR
33	22621 22233	 * 	189.65	DCR|3DMG|1AART|1VULN|2FLTHEA|1ZMB	138DMG|2ZMB|48LWND|58FLTHEA|6RMIN|7RCR|8BPWR|9VULN|aAART
34	22211 61324	   	189.62	DCR|3VULN|3ZMB|1AART|1DMG|1SELL	1DMG|235ZMB|457VULN|5BPWR|6RCR|8SELL|9AART|aBASICY
35	22211 61113	   	189.37	DCR|3VULN|3ZMB|1AART|1DMG	1DMG|235ZMB|457VULN|5BPWR|6RCR|8LIT|9LHND|aAART
36	23613 22436	   	189.31	DCR|3VULN|3DMG|1CDMG	13aDMG|2ASPD|49aVULN|5LHND|6CDMG|7RCR|8aLIT|aBPWR
37	23615 22336	   	189.31	DCR|3VULN|3DMG|1CDMG	13aDMG|2ASPD|49aVULN|5BEXP|6CDMG|7RCR|8aLIT|aBPWR
38	23616 61331	 * 	188.98	DCR|3DMG|2VULN|2CDMG|2ASPD	135DMG|2aASPD|47VULN|6RCR|8aCDMG|9aCGEN|aBPWR
39	22614 48111	   	188.91	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	13DMG|2ZMB|48VULN|5MBVNT|6ASPD|7AART|9RCR|aCDMG
40	23616 61311	   	188.78	DCR|3DMG|2VULN|2CDMG|2ASPD	135DMG|2aASPD|47VULN|6RCR|8aCDMG|9aERES|aBPWR
41	23434 33331	 * 	188.62	DCR|3VULN|2DMG|1AART|2ASPD	17DMG|27ASPD|3LHND|4AART|5CGEN|67aVULN|7BPWR|8FEWX|9RCR
42	23524 33331	   	188.62	DCR|3VULN|2DMG|1AART|2ASPD	17DMG|27ASPD|3BEXP|4AART|5CGEN|67aVULN|7BPWR|8FEWX|9RCR
43	23434 33531	   	188.52	DCR|3VULN|2DMG|1AART|2ASPD	17DMG|27ASPD|3LHND|4AART|5CGEN|67aVULN|7BPWR|8DUST|9RCR
44	23524 33531	   	188.52	DCR|3VULN|2DMG|1AART|2ASPD	17DMG|27ASPD|3BEXP|4AART|5CGEN|67aVULN|7BPWR|8DUST|9RCR
45	22211 62416	   	187.20	DCR|4VULN|3ZMB|1DMG	1DMG|235ZMB|459aVULN|5BPWR|6RCR|7LIT|8DUR
46	22211 61126	   	187.20	DCR|4VULN|3ZMB|1DMG	1DMG|235ZMB|457aVULN|5BPWR|6RCR|8LIT|9DUR
47	22211 61254	   	187.20	DCR|4VULN|3ZMB|1DMG	1DMG|235ZMB|457aVULN|5BPWR|6RCR|8BEXP|9DUR
48	22666 13313	   	187.07	DCR|3DMG|2VULN|1AART|1ZMB	135DMG|2ZMB|4LIT|6LHND|7RCR|89VULN|aAART
