0	Index      	 *	Score 	Summary	Detail	
1	46213 31522	 * 	196.34	ACR|3VULN|2DMG|1AART|2ZMB	19LHND|2AART|39DMG|4RCR|57ZMB|6LIT|89aVULN|9BPWR
20	11346 21412	   	182.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|2aDMG|39VULN|4DUR|5RMIN|6RCR|7AART|8ZMB
21	31643 36112	   	182.47	DCR|3VULN|1AART|1DMG|2ASPD|1DUR	13ASPD|23DUST|3BPWR|4AART|5DUR|6DMG|7RCR|89aVULN
22	11314 32241	   	182.23	ACR|3VULN|2DMG|1AART|1DUR	1RCVC|26DMG|379VULN|4RMIN|5RCR|8AART|aDUR
23	11333 11431	 * 	182.17	DCR|3VULN|3DMG|1CDMG	1RCVC|268DMG|39aVULN|4CDMG|5LIT|7RCR
24	13142 36412	   	181.96	DCR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCVC|2BEXP|3ASPD|4AART|59VULN|6aDMG|7RCR|8ZMB
25	46213 31521	   	180.69	ACR|2VULN|2DMG|1AART|2ZMB	19LHND|2AART|39DMG|4RCR|57ZMB|6LIT|89VULN|9BPWR|aLWND
26	36132 51112	   	180.62	DCR|3VULN|1AART|1DMG|1ZMB|1ASPD	1ASPD|2RMIN|3DMG|4LWND|5ZMB|6RCR|7AART|89aVULN
27	46213 31523	   	180.59	ACR|2VULN|2DMG|1AART|2ZMB	19LHND|2AART|39DMG|4RCR|57ZMB|6LIT|89VULN|9BPWR|aLSRREG
28	11366 21132	   	180.47	DCR|3VULN|2DMG|1AART	1RCVC|2aDMG|38aVULN|4aLWND|5RMIN|6RCR|7AART|9BELT|aBPWR
29	11225 13561	 * 	180.42	DCR|3DMG|1AART|2ASPD|1FLTHEA|1ZMB	1RCVC|257DMG|37ASPD|47LWND|6RCR|7BPWR|8AART|9FLTHEA|aZMB
30	64153 21122	   	180.17	DCR|3VULN|2DMG|1AART	1CGEN|28aVULN|3BEXP|45DMG|6RCR|7AART|9MBVNT
31	11466 12232	 * 	179.07	DCR|2VULN|2DMG|1AART|2ZMB	1RCVC|2aDMG|34LWND|5aZMB|6RCR|7aVULN|8AART|9BELT|aBPWR
32	11234 61412	   	178.77	ACR|2VULN|2DMG|1AART|1ZMB|1ASPD	1RCVC|2aDMG|3ASPD|4FEWX|5RCR|6AART|79VULN|8ZMB
33	11313 21465	 * 	178.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3aVULN|4RMIN|5DUR|6RCR|7AART|8ZMB|9CDMG
34	34535 12212	 * 	178.61	DCR|3DMG|2VULN|3CDMG|1ASPD	1ASPD|25VULN|369DMG|478CDMG|aRCR
35	11343 21435	   	178.52	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3aVULN|4DUR|5ERES|6RCR|7AART|8ZMB|9CDMG
36	64153 21131	 * 	178.26	DCR|2VULN|2DMG|1AART|1CDMG	1CGEN|28VULN|3BEXP|45DMG|6RCR|7AART|9BELT|aCDMG
37	16332 31215	   	178.24	ACR|3VULN|2DMG|1AART|1SELL	1RCVC|2SELL|39aVULN|4RCR|5RPLT|6aDMG|7AART|8aBEXP|aBPWR
38	16332 31135	   	178.04	ACR|3VULN|2DMG|1AART|1SELL	1RCVC|2SELL|38aVULN|4RCR|5RPLT|6aDMG|7AART|9aDUST|aBPWR
39	16332 31615	   	178.04	ACR|3VULN|2DMG|1AART|1SELL	1RCVC|2SELL|39aVULN|4RCR|5RPLT|6aDMG|7AART|8aDUST|aBPWR
40	11225 12212	   	177.89	DCR|2VULN|2DMG|1AART|1DUR|1ASPD	1RCVC|25DMG|3ASPD|4LWND|6RCR|7aVULN|8AART|9DUR
41	35115 12212	   	177.89	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2CGEN|35DMG|4RMIN|6RCR|7aVULN|8AART|9DUR
42	66115 12212	   	177.89	DCR|2VULN|2DMG|1AART|1ASPD|1DUR	1CGEN|2ASPD|35DMG|4RMIN|6RCR|7aVULN|8AART|9DUR
43	35111 12224	   	177.76	DCR|2VULN|2DMG|1AART|2ASPD	1aASPD|25CGEN|3aDMG|4RMIN|6RCR|7aVULN|8AART|9RPLT|aBPWR
44	11333 11415	   	177.52	DCR|3DMG|2VULN|1CDMG|1ZMB	1RCVC|268DMG|3aVULN|4CDMG|5LIT|7RCR|9ZMB
45	11355 11523	   	177.46	DCR|3VULN|2DMG|1CDMG|1ZMB|1ASPD	1RCVC|28DMG|378VULN|4ZMB|5ASPD|68LWND|8BPWR|9CDMG|aRCR
46	46213 62111	   	177.43	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1aLHND|27AART|3DMG|4RCR|5ZMB|68VULN|9DUR
47	46213 62113	   	177.43	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1LHND|27AART|3DMG|4RCR|5ZMB|68VULN|9DUR|aBELT
48	46211 12111	   	177.43	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1aLHND|27AART|3DMG|4RCR|5DUR|6ZMB|89VULN
49	46211 12113	   	177.43	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1LHND|27AART|3DMG|4RCR|5DUR|6ZMB|89VULN|aBELT
50	46211 12114	   	177.43	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1LHND|27AART|3DMG|4RCR|5DUR|6ZMB|89VULN|aRCVC
51	46213 62122	   	177.33	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1LHND|27AART|3DMG|4RCR|5ZMB|68VULN|9MBVNT|aDUR
52	46211 12115	   	177.33	ACR|2AART|2VULN|1DMG|1ZMB|1DUR	1LHND|27AART|3DMG|4RCR|5DUR|6ZMB|89VULN|aNUKE
53	11314 61532	   	176.69	ACR|3VULN|2DMG|1AART	1RCVC|2aDMG|37aVULN|4RMIN|5RCR|6AART|8aLWND|9BELT|aBPWR
54	11414 61132	   	176.69	ACR|3VULN|2DMG|1AART	1RCVC|2aDMG|3aLWND|4RMIN|5RCR|6AART|78aVULN|9BELT|aBPWR
55	11663 36112	   	176.56	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2DMG|3AART|4BEXP|5DUR|6ASPD|7RCR|89aVULN
56	11313 21411	 * 	176.42	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1RCVC|2DMG|39VULN|4RMIN|5DUR|6RCR|7aAART|8ZMB
57	11346 21411	   	176.42	DCR|2VULN|2AART|1DMG|1ZMB|1DUR	1RCVC|2DMG|39VULN|4DUR|5RMIN|6RCR|7aAART|8ZMB
58	11314 33532	   	176.09	ACR|3DMG|2VULN|1AART	1RCVC|26aDMG|3aVULN|4RMIN|5RCR|7AART|8aLWND|9BELT|aBPWR
59	11314 41132	   	176.09	ACR|3VULN|2DMG|1AART	1RCVC|2aDMG|38aVULN|4RMIN|5RCR|6aLHND|7AART|9BELT|aBPWR
60	35142 16112	   	175.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2CGEN|3DMG|4AART|58aVULN|6RMIN|7RCR|9DUR
61	13142 36512	   	175.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2BEXP|3ASPD|4AART|59aVULN|6DMG|7RCR|8DUR
62	13143 36112	   	175.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2BEXP|3ASPD|4AART|5DUR|6DMG|7RCR|89aVULN
63	13543 36112	   	175.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2BEXP|3DMG|4AART|5DUR|6ASPD|7RCR|89aVULN
64	35143 16112	   	175.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2CGEN|3DMG|4AART|5DUR|6RMIN|7RCR|89aVULN
65	53143 36112	   	175.96	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	12BEXP|3ASPD|4AART|5DUR|6DMG|7RCR|89aVULN
66	11225 13511	   	175.83	DCR|3DMG|1AART|1VULN|2ASPD	1aRCVC|257DMG|37ASPD|47LWND|6RCR|7BPWR|8AART|9VULN
67	11225 13513	   	175.83	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47aLWND|6RCR|7BPWR|8AART|9VULN
68	11225 13532	   	175.83	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47LWND|6RCR|7BPWR|8AART|9DMSP|aVULN
69	11235 13512	   	175.83	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47FEWX|6RCR|7BPWR|8AART|9VULN|aLIT
70	11235 13513	   	175.83	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47FEWX|6RCR|7BPWR|8AART|9VULN|aCGEN
71	11235 13552	   	175.83	DCR|3DMG|1AART|1VULN|2ASPD	19RCVC|257DMG|37ASPD|47FEWX|6RCR|7BPWR|8AART|aVULN
72	13142 36411	   	175.82	DCR|2AART|2VULN|1DMG|1ZMB|1ASPD	1RCVC|2BEXP|3ASPD|4aAART|59VULN|6DMG|7RCR|8ZMB
73	11225 13514	   	175.73	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47LWND|6RCR|7BPWR|8AART|9VULN|aERES
74	11225 13516	   	175.73	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47LWND|6RCR|7BPWR|8AART|9VULN|aSNIHEL
75	11235 13514	   	175.73	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47FEWX|6RCR|7BPWR|8AART|9VULN|aERES
76	11235 13516	   	175.73	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47FEWX|6RCR|7BPWR|8AART|9VULN|aSNIHEL
77	11235 12235	   	175.63	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|25aDMG|3aASPD|4FEWX|6RCR|7VULN|8AART|9aDUST|aBPWR
78	11326 21412	   	175.62	DCR|2VULN|2DMG|1AART|1ZMB	1RCVC|2aDMG|39VULN|4BEXP|5RMIN|6RCR|7AART|8ZMB
79	31641 36112	   	175.53	DCR|3VULN|1AART|1DMG|2ASPD	13ASPD|23DUST|3BPWR|4AART|5LWND|6DMG|7RCR|89aVULN
80	31642 36212	   	175.53	DCR|3VULN|1AART|1DMG|2ASPD	13ASPD|23DUST|3BPWR|4AART|59aVULN|6DMG|7RCR|8BEXP
81	11312 21412	   	175.52	DCR|2VULN|2DMG|1AART|1ZMB	1RCVC|2aDMG|39VULN|4RMIN|5DUST|6RCR|7AART|8ZMB
82	11414 32232	   	175.49	ACR|3DMG|2VULN|1AART	1RCVC|26aDMG|3aLWND|4RMIN|5RCR|7aVULN|8AART|9BELT|aBPWR
83	11314 22255	   	175.39	ACR|3VULN|2DMG|1AART	1RCVC|2aDMG|37aVULN|469RMIN|5RCR|8AART|aBPWR
84	11354 41132	   	175.29	ACR|2VULN|2DMG|1AART|2ZMB	1RCVC|2aDMG|38VULN|4aZMB|5RCR|6aLHND|7AART|9BELT|aBPWR
85	11314 32243	   	175.29	ACR|3VULN|2DMG|1AART	1RCVC|26DMG|379VULN|4RMIN|5RCR|8AART|aDMSP
86	11314 32244	   	175.19	ACR|3VULN|2DMG|1AART	1RCVC|26DMG|379VULN|4RMIN|5RCR|8AART|aDUST
87	11314 32245	   	175.19	ACR|3VULN|2DMG|1AART	1RCVC|26DMG|379VULN|4RMIN|5RCR|8AART|aERES
88	46211 16112	   	175.13	ACR|2VULN|1AART|1DMG|2ZMB|2DUR	1LHND|2AART|3DMG|4RCR|5aDUR|67ZMB|89VULN
89	11336 12315	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3aVULN|4CDMG|5AART|6DUR|7ZMB|8RCR|9CGEN
90	11336 12334	   	175.02	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1RCVC|2aDMG|3VULN|4CDMG|5AART|6DUR|7ZMB|8RCR|9LIT
91	11336 12336	   	175.02	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1RCVC|2DMG|3aVULN|4CDMG|5AART|6DUR|7ZMB|8RCR|9LIT
92	11223 66112	   	174.76	DCR|3VULN|1AART|1DMG|1DUR|1ASPD	1RCVC|2DMG|3ASPD|4LWND|5DUR|6AART|7RCR|89aVULN
93	11233 66112	   	174.76	DCR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2DMG|3ASPD|4FEWX|5DUR|6AART|7RCR|89aVULN
94	34522 63312	 * 	174.75	3VULN|3DMG|3ZMB|1AART|2ASPD	18ASPD|269VULN|38aDMG|458ZMB|7AART|8BPWR
95	11235 12365	   	174.63	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|259DMG|39ASPD|4FEWX|6RCR|7VULN|89CGEN|9BPWR|aAART
96	11235 13235	   	174.63	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47FEWX|6RCR|7BPWR|8CGEN|9VULN|aAART
97	11235 13135	   	174.53	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47FEWX|6RCR|7BPWR|8ERES|9VULN|aAART
98	11235 13335	   	174.53	DCR|3DMG|1AART|1VULN|2ASPD	1RCVC|257DMG|37ASPD|47FEWX|6RCR|7BPWR|8VULN|9ERES|aAART
99	12316 31166	 * 	174.48	ACR|2VULN|2DMG|1AART|1CDMG	1RCVC|2CGEN|37VULN|4RCR|5RMIN|69DMG|8CDMG|aAART
100	32335 25611	 * 	174.39	DCR|2DMG|1AART|3ASPD|2CDMG|1ZMB	147ASPD|2aLIT|37CDMG|5AART|67DMG|7BPWR|8RCR|9ZMB
101	32335 25612	   	174.39	DCR|2DMG|1AART|3ASPD|2CDMG|1ZMB	147ASPD|2LIT|37CDMG|5AART|67DMG|7BPWR|8RCR|9ZMB|aFEWX
102	11234 61135	   	174.38	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|2aDMG|3aASPD|4FEWX|5RCR|6AART|78VULN|9aDUST|aBPWR
103	11354 11261	   	174.22	ACR|3VULN|2DMG|2DUR|1ZMB	1RCVC|29DMG|379VULN|4ZMB|5RCR|6TLV|89DUR|9BPWR|aRPLT
104	11354 11262	   	174.22	ACR|3VULN|2DMG|2DUR|1ZMB	1RCVC|29DMG|379VULN|4ZMB|5RCR|6TLV|89DUR|9BPWR|aLWND
105	11354 11263	   	174.22	ACR|3VULN|2DMG|2DUR|1ZMB	1RCVC|29DMG|379VULN|4ZMB|5RCR|6TLV|89DUR|9BPWR|aFEWX
106	11323 21163	 * 	174.03	DCR|3VULN|2AART|1DMG	1RCVC|2DMG|389VULN|4BEXP|5ERES|6RCR|7aAART
107	11224 41162	   	173.98	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|29DMG|39ASPD|4LWND|5RCR|6LHND|7AART|89VULN|9BPWR|aRPLT
108	11224 41163	   	173.98	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|29DMG|39ASPD|4LWND|5RCR|6LHND|7AART|89VULN|9BPWR|aFEWX
109	11224 41161	   	173.88	ACR|2VULN|2DMG|1AART|2ASPD	1RCVC|29DMG|39ASPD|4LWND|5RCR|6LHND|7AART|89VULN|9BPWR|aLEGI
110	34531 62231	 * 	173.53	DCR|2AART|1VULN|1DMG|2CDMG|1ASPD|1DUR	1ASPD|2VULN|3DMG|4aCDMG|56AART|7RCR|8DUR|9LIT
111	35114 32212	   	173.51	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1ASPD|2CGEN|36DMG|4RMIN|5RCR|7aVULN|8AART|9DUR
112	66114 32212	   	173.51	ACR|2VULN|2DMG|1AART|1ASPD|1DUR	1CGEN|2ASPD|36DMG|4RMIN|5RCR|7aVULN|8AART|9DUR
113	11333 11432	   	173.45	DCR|3DMG|2VULN|1CDMG|1DUR	1RCVC|268DMG|39VULN|4CDMG|5LIT|7RCR|aDUR
114	16332 31412	   	173.39	ACR|2VULN|2DMG|1AART|1ZMB|1SELL	1RCVC|2SELL|39VULN|4RCR|5RPLT|6aDMG|7AART|8ZMB
115	35114 22224	   	173.38	ACR|2VULN|2DMG|1AART|2ASPD	1aASPD|2CGEN|3aDMG|46RMIN|5RCR|7aVULN|8AART|9RPLT|aBPWR
116	11235 12453	   	173.35	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1RCVC|25DMG|3ASPD|4FEWX|6RCR|7VULN|8CDMG|9AART|aDUR
117	16331 43142	 * 	173.30	ACR|2VULN|1AART|1DMG|1CDMG|1FLTHEA|1SELL	1RCVC|2SELL|39VULN|4RCR|5AART|6FLTHEA|7LWND|8CDMG|aDMG
118	31142 11163	   	173.25	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|2DUST|3BEXP|4CDMG|58VULN|6RCR|7DUR|9AART|aDMG
119	34141 11163	   	173.25	DCR|2VULN|1AART|1DMG|1CDMG|1ASPD|1DUR	1ASPD|28VULN|3BEXP|4CDMG|5DUST|6RCR|7DUR|9AART|aDMG
120	11313 25423	   	173.21	DCR|3VULN|2DMG|1ZMB|1DUR	1RCVC|2aDMG|39aVULN|4RMIN|5DUR|6RCR|7ZMB|8aDUST|aBPWR
121	34531 36211	 * 	173.06	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD	1ASPD|2VULN|37DMG|4CDMG|58AART|6BELT|9RCR|aRMIN
122	11342 31562	   	172.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|29DMG|39VULN|4DUR|5ZMB|69DUST|7AART|8RPLT|9BPWR|aRCR
123	11353 31562	   	172.96	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1RCVC|29DMG|39VULN|4ZMB|5DUR|69DUST|7AART|8RPLT|9BPWR|aRCR
124	34531 31123	 * 	172.86	DCR|2DMG|1AART|1VULN|1CDMG|1FLTHEA|1ASPD	1ASPD|2VULN|39DMG|4CDMG|5AART|6BELT|7FLTHEA|8LWND|aRCR
125	34511 36212	   	172.82	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD|1SELL	1ASPD|2VULN|37DMG|4SELL|58AART|6BELT|9RCR|aCDMG
126	34531 36212	   	172.82	DCR|2AART|2DMG|1VULN|1CDMG|1ASPD|1SELL	1ASPD|2VULN|37DMG|4CDMG|58AART|6BELT|9RCR|aSELL
127	11224 61112	   	172.78	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RCVC|2DMG|3ASPD|4LWND|5RCR|6AART|78aVULN|9DUR
128	35114 61112	   	172.78	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2CGEN|3DMG|4RMIN|5RCR|6AART|78aVULN|9DUR
129	11224 62112	   	172.78	ACR|3VULN|1AART|1DMG|1DUR|1ASPD	1RCVC|2DMG|3ASPD|4LWND|5RCR|6AART|7DUR|89aVULN
130	11234 61512	   	172.78	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1RCVC|2DMG|3ASPD|4FEWX|5RCR|6AART|79aVULN|8DUR
131	35114 62112	   	172.78	ACR|3VULN|1AART|1DMG|1ASPD|1DUR	1ASPD|2CGEN|3DMG|4RMIN|5RCR|6AART|7DUR|89aVULN
132	11234 61411	   	172.63	ACR|2VULN|2AART|1DMG|1ZMB|1ASPD	1RCVC|2DMG|3ASPD|4FEWX|5RCR|6aAART|79VULN|8ZMB
133	46211 24133	   	172.33	ACR|2VULN|2DMG|1AART|1DUR|1SELL	1LHND|2AART|3aDMG|4RCR|5DUR|6LWND|78VULN|9SELL
134	12312 52315	 * 	172.23	ACR|2VULN|3ZMB|1AART|1DMG	1RCVC|2CGEN|37VULN|4RCR|56aZMB|8DMG|9AART
135	11314 11166	   	171.98	ACR|2VULN|2DMG|1AART|1CDMG	1RCVC|29DMG|37VULN|4RMIN|5RCR|6TLV|8CDMG|aAART
136	11314 51126	 * 	171.81	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCVC|2DMG|37VULN|4RMIN|5RCR|6ZMB|89CDMG|aAART
137	11354 21126	   	171.81	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCVC|2DMG|37VULN|4ZMB|5RCR|6RMIN|89CDMG|aAART
138	12312 52326	 * 	171.75	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	1RCVC|2CGEN|37VULN|4RCR|56ZMB|8DMG|9CDMG|aAART
139	11354 11126	   	171.71	ACR|2VULN|1AART|1DMG|2CDMG|1ZMB	1RCVC|2DMG|37VULN|4ZMB|5RCR|6TLV|89CDMG|aAART
140	11312 21465	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3aVULN|4RMIN|5DUST|6RCR|7AART|8ZMB|9CDMG
141	11323 21435	   	171.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1RCVC|2DMG|3aVULN|4BEXP|5ERES|6RCR|7AART|8ZMB|9CDMG
142	64153 21111	   	171.55	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|28VULN|3BEXP|45DMG|6RCR|7AART|9DUR|aLHND
143	64153 21124	   	171.45	DCR|2VULN|2DMG|1AART|1DUR	1CGEN|28VULN|3BEXP|45DMG|6RCR|7AART|9MBVNT|aDUR
144	11354 31235	   	171.34	ACR|2VULN|2DMG|1AART|1ZMB	19RCVC|2aDMG|3aVULN|4ZMB|5RCR|6DUST|7AART|8aBEXP|aBPWR
145	31642 36111	 * 	171.32	DCR|2AART|2VULN|1DMG|2ASPD	13ASPD|23DUST|3BPWR|49AART|58VULN|6DMG|7RCR|aBEXP
146	31642 36112	   	171.32	DCR|2AART|2VULN|1DMG|2ASPD	13ASPD|23DUST|3BPWR|49AART|58VULN|6DMG|7RCR|aDMSP
147	13142 36413	   	171.31	DCR|2VULN|1AART|1DMG|1ZMB|1ASPD|1DUR	1RCVC|2BEXP|3ASPD|4AART|59VULN|6DMG|7RCR|8ZMB|aDUR
148	46211 11411	   	171.28	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1LHND|2AART|38DMG|4RCR|5aDUR|6ZMB|7CGEN|9VULN
149	31642 36113	   	171.22	DCR|2AART|2VULN|1DMG|2ASPD	13ASPD|23DUST|3BPWR|49AART|58VULN|6DMG|7RCR|aSNIHEL
150	46211 13411	   	171.18	ACR|2DMG|1AART|1VULN|2DUR|1ZMB	1LHND|2AART|38DMG|4RCR|5aDUR|6ZMB|7TLV|9VULN
151	66111 12224	   	171.15	DCR|2VULN|2DMG|1AART|1ASPD	15aCGEN|2ASPD|3aDMG|4RMIN|6RCR|7aVULN|8AART|9RPLT|aBPWR
152	13142 36612	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|2BEXP|3ASPD|4AART|59VULN|6aDMG|7RCR|8RMIN
153	11235 12252	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|25DMG|3ASPD|4FEWX|6RCR|7aVULN|8AART|9LWND
154	11235 12261	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|25DMG|3ASPD|4FEWX|6RCR|79VULN|8AART|aBEXP
155	11235 12262	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|25DMG|3ASPD|4FEWX|6RCR|79VULN|8AART|aDMSP
156	11235 12264	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|25DMG|3ASPD|4FEWX|6RCR|79VULN|8AART|aCGEN
157	11235 12265	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|25DMG|3ASPD|4FEWX|6RCR|79VULN|8AART|aLWND
158	11235 12266	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1aRCVC|25DMG|3ASPD|4FEWX|6RCR|79VULN|8AART
159	35115 12261	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2CGEN|35DMG|4RMIN|6RCR|79VULN|8AART|aBEXP
160	35115 12262	   	170.95	DCR|2VULN|2DMG|1AART|1ASPD	1ASPD|2CGEN|35DMG|4RMIN|6RCR|79VULN|8AART|aDMSP
161	11235 12232	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|25DMG|3ASPD|4FEWX|6RCR|7aVULN|8AART|9DUST
162	11235 12263	   	170.85	DCR|2VULN|2DMG|1AART|1ASPD	1RCVC|25DMG|3ASPD|4FEWX|6RCR|79VULN|8AART|aSNIHEL
