0	Index      	 *	Score 	Summary	Detail	
1	14135 15211	 * 	258.19	橙橙1易伤2时间1矿等1暴击	1矿等2金币生成3风暴减费45时间6低血量敌人7a核8暴击9易伤
25	32322 21255	   	242.49	橙橙2易伤1时间	1挖尘2基地爆炸3加一4时间59易伤6金币生成7爆破对冰8a核
26	33322 16442	   	242.49	橙橙1易伤1等级1时间	15挖尘2立即金币3加一4等级6随机技能79核8易伤a时间
27	32322 61255	   	242.39	橙橙2易伤1时间	1挖尘2基地爆炸3加一4时间59易伤6掉矿7爆破对冰8a核
28	63111 35263	 * 	240.42	橙橙2等级2时间	1攻速2随机技能34等级5最后敌人6雷电79时间8a核
29	12134 64311	 * 	240.20	橙3易伤2矿等2时间2暴击1技能	17矿等2技能3暴雪减费47时间57暴击6核7序列升级89a易伤
30	13251 52313	   	239.03	橙橙1易伤1矿等1时间	1矿等2随机技能3掉矿4攻速5头目6a核7时间8易伤9基地爆炸
31	13251 52333	   	239.03	橙橙1易伤1矿等1时间	1矿等2随机技能3掉矿4攻速5头目6a核7时间8易伤9最后敌人
32	13251 52363	   	239.03	橙橙1易伤1矿等1时间	1矿等2随机技能3掉矿4攻速5头目6a核7时间8易伤9低血量敌人
33	13256 52313	   	239.03	橙橙1易伤1矿等1时间	1矿等2随机技能3掉矿4攻速5雷电6a核7时间8易伤9基地爆炸
34	13256 52333	   	239.03	橙橙1易伤1矿等1时间	1矿等2随机技能3掉矿4攻速5雷电6a核7时间8易伤9最后敌人
35	12621 41131	 * 	238.85	橙2易伤3伤害2矿等1时间1技能	1a矿等2技能3赏金塔49a伤害5时间6核7掉矿8a易伤a序列升级
36	12374 67321	 * 	238.66	橙橙1等级1喷火对甲1矿等1技能	1矿等2技能3加一4电塔对甲5策反6等级79核8头目a喷火对甲
37	13231 55313	   	238.50	橙橙1易伤1伤害1矿等	1矿等2随机技能3掉矿4伤害5头目6a核7基地爆炸8易伤9敌人爆炸
38	13231 55333	   	238.50	橙橙1易伤1伤害1矿等	1矿等2随机技能3掉矿4伤害5头目6a核7基地爆炸8易伤9最后敌人
39	13231 55363	   	238.50	橙橙1易伤1伤害1矿等	1矿等2随机技能3掉矿4伤害5头目6a核7基地爆炸8易伤9低血量敌人
40	13236 55313	   	238.50	橙橙1易伤1伤害1矿等	1矿等2随机技能3掉矿4伤害5雷电6a核7基地爆炸8易伤9敌人爆炸
41	13236 55333	   	238.50	橙橙1易伤1伤害1矿等	1矿等2随机技能3掉矿4伤害5雷电6a核7基地爆炸8易伤9最后敌人
42	11563 21215	   	238.46	橙橙2时间1等级1矿等	1矿等2双倍秒伤39时间4加一5等级6金币生成7爆破对冰8a核
43	63211 55313	   	235.98	橙橙1易伤1等级	1攻速2随机技能3掉矿4等级5头目6a核7基地爆炸8易伤9敌人爆炸
44	63211 55333	   	235.98	橙橙1易伤1等级	1攻速2随机技能3掉矿4等级5头目6a核7基地爆炸8易伤9最后敌人
45	12621 41111	 * 	235.65	橙2易伤2伤害2矿等2时间1技能	1a矿等2技能3赏金塔4a伤害59时间6核7掉矿8a易伤a序列升级
46	15531 22314	 * 	231.99	橙2易伤3矿等2导弹对毒1伤害	149矿等2平台39易伤5基地爆炸6伤害79导弹对毒8双倍秒伤9序列升级a核
47	15532 22314	   	231.99	橙2易伤3矿等2导弹对毒1伤害	149矿等2平台39易伤5敌人爆炸6伤害79导弹对毒8双倍秒伤9序列升级a核
48	32322 71285	   	231.89	橙橙1易伤1矿等1时间	1挖尘29基地爆炸3加一4时间5易伤6矿等7爆破对冰8a核
49	12623 41131	 * 	231.68	橙3易伤2伤害2矿等1技能	1a矿等2技能3赏金塔4a伤害5敌人爆炸6核7掉矿89a易伤a序列升级
50	12626 41131	   	231.68	橙3易伤2伤害2矿等1技能	1a矿等2技能3赏金塔4a伤害5基地爆炸6核7掉矿89a易伤a序列升级
51	15426 31131	 * 	231.28	橙2易伤3矿等2等级1暴击1技能	15a矿等2平台3暴击4a等级6a易伤7技能8赏金塔9核a序列升级
52	14344 64514	   	230.73	橙橙1易伤2矿等	1a矿等2金币生成3加一4雷电5易伤69核7基地爆炸8低血量敌人
53	63211 25263	   	229.99	橙橙2时间1等级	1攻速2随机技能3掉矿4等级5头目6金币生成79时间8a核
54	63211 52263	   	229.89	橙橙2时间1等级	1攻速2随机技能3掉矿4等级5头目6a核79时间8技能点
55	63212 35263	   	229.89	橙橙2时间1等级	1攻速2随机技能3掉矿4等级5技能点6雷电79时间8a核
56	23344 63518	   	229.04	橙橙2易伤	1最后敌人2立即金币3加一4雷电5a易伤69核7敌人爆炸8低血量敌人
57	23344 64518	   	229.04	橙橙2易伤	1最后敌人2立即金币3加一4雷电5a易伤69核7基地爆炸8低血量敌人
58	23364 43641	   	229.04	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6低血量敌人89核a毒液对毒
59	23364 43643	   	229.04	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6a低血量敌人89核
60	23364 43644	   	229.04	橙橙2易伤	1a最后敌人2立即金币3加一4随机技能57易伤6低血量敌人89核
61	23364 53641	   	229.04	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6敌人爆炸89核a毒液对毒
62	23364 53643	   	229.04	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6敌人爆炸89核a低血量敌人
63	23364 53644	   	229.04	橙橙2易伤	1a最后敌人2立即金币3加一4随机技能57易伤6敌人爆炸89核
64	23364 83641	   	229.04	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6基地爆炸89核a毒液对毒
65	23364 83643	   	229.04	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6基地爆炸89核a低血量敌人
66	23364 83644	   	229.04	橙橙2易伤	1a最后敌人2立即金币3加一4随机技能57易伤6基地爆炸89核
67	24364 43641	   	229.04	橙橙2易伤	12最后敌人3加一4随机技能57易伤6低血量敌人89核a毒液对毒
68	24364 43643	   	229.04	橙橙2易伤	12最后敌人3加一4随机技能57易伤6a低血量敌人89核
69	24364 43644	   	229.04	橙橙2易伤	12a最后敌人3加一4随机技能57易伤6低血量敌人89核
70	23344 63512	   	229.04	橙橙1易伤1等级	1最后敌人2立即金币3加一4雷电5易伤69核7敌人爆炸8低血量敌人a等级
71	23344 64512	   	229.04	橙橙1易伤1等级	1最后敌人2立即金币3加一4雷电5易伤69核7基地爆炸8低血量敌人a等级
72	23362 83741	   	229.04	橙橙1易伤1等级	167最后敌人2立即金币3加一4随机技能5等级89核a易伤
73	23374 63512	   	229.04	橙橙1易伤1等级	1最后敌人2立即金币3加一4头目5易伤69核7敌人爆炸8低血量敌人a等级
74	23374 64512	   	229.04	橙橙1易伤1等级	1最后敌人2立即金币3加一4头目5易伤69核7基地爆炸8低血量敌人a等级
75	24344 63512	   	229.04	橙橙1易伤1等级	12最后敌人3加一4雷电5易伤69核7敌人爆炸8低血量敌人a等级
76	24344 64512	   	229.04	橙橙1易伤1等级	12最后敌人3加一4雷电5易伤69核7基地爆炸8低血量敌人a等级
77	24362 43741	   	229.04	橙橙1易伤1等级	127最后敌人3加一4随机技能5等级6立即金币89核a易伤
78	23344 67354	   	228.94	橙橙2易伤	1最后敌人2立即金币3加一4雷电5a易伤69核7赏金邻近8低血量敌人
79	23374 63418	   	228.94	橙橙2易伤	1最后敌人2立即金币3加一4头目5a易伤69核7敌人爆炸8挖青
80	23374 64418	   	228.94	橙橙2易伤	1最后敌人2立即金币3加一4头目5a易伤69核7基地爆炸8挖青
81	23364 43642	   	228.94	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6低血量敌人89核a技能点
82	23364 43645	   	228.94	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6低血量敌人89核a挖尘
83	23364 43647	   	228.94	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6低血量敌人89核a雷电减费
84	23364 53642	   	228.94	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6敌人爆炸89核a技能点
85	23364 83642	   	228.94	橙橙2易伤	1最后敌人2立即金币3加一4随机技能57易伤6基地爆炸89核a技能点
86	24364 43642	   	228.94	橙橙2易伤	12最后敌人3加一4随机技能57易伤6低血量敌人89核a技能点
87	23374 63412	   	228.94	橙橙1易伤1等级	1最后敌人2立即金币3加一4头目5易伤69核7敌人爆炸8挖青a等级
88	23374 64412	   	228.94	橙橙1易伤1等级	1最后敌人2立即金币3加一4头目5易伤69核7基地爆炸8挖青a等级
89	24374 63412	   	228.94	橙橙1易伤1等级	12最后敌人3加一4头目5易伤69核7敌人爆炸8挖青a等级
90	24374 64412	   	228.94	橙橙1易伤1等级	12最后敌人3加一4头目5易伤69核7基地爆炸8挖青a等级
91	32348 18412	 * 	228.94	橙橙1易伤1喷火对甲	1挖尘2基地爆炸3加一4额外掉落5喷火对甲6随机技能7头目89核a易伤
92	32376 31245	   	228.84	橙橙2易伤	1挖尘2基地爆炸3加一4金币生成59易伤6低血量敌人7爆破对冰8a核
93	32314 68418	   	228.84	橙橙2易伤	1挖尘2基地爆炸3加一4头目5毒气减费69核7a易伤8低血量敌人
94	33362 16446	   	228.84	橙橙2易伤	15挖尘2立即金币3加一4金币生成6随机技能79核8a易伤
95	32314 68412	   	228.84	橙橙1易伤1等级	1挖尘2基地爆炸3加一4头目5毒气减费69核7易伤8低血量敌人a等级
96	32314 68512	   	228.84	橙橙1易伤1等级	1挖尘2基地爆炸3加一4头目5毒气减费69核7易伤8最后敌人a等级
97	33321 36245	   	228.84	橙橙1易伤1等级	1挖尘2立即金币3加一4等级5基地爆炸6a核7敌人爆炸8机枪对头目9易伤
98	33321 36345	   	228.84	橙橙1易伤1等级	1挖尘2立即金币3加一4等级5基地爆炸6a核7敌人爆炸8喷火对愈9易伤
99	33322 16441	   	228.84	橙橙1易伤1等级	15挖尘2立即金币3加一4等级6随机技能79核8易伤a低血量敌人
100	33322 16445	   	228.84	橙橙1易伤1等级	15挖尘2立即金币3加一4等级6随机技能79核8易伤a金币生成
101	33322 16446	   	228.84	橙橙1易伤1等级	15挖尘2立即金币3加一4等级6随机技能79核8易伤a平台
102	33322 16448	   	228.84	橙橙1易伤1等级	15挖尘2立即金币3加一4等级6随机技能79核8易伤a机枪对壮
103	32376 11245	   	228.74	橙橙2易伤	1挖尘2基地爆炸3加一4金币生成59易伤6雷电减费7防空对愈8a核
104	33322 32715	   	228.74	橙橙1易伤1等级	15挖尘2立即金币3加一4等级6易伤7a核8双倍秒伤9寒冰对甲
105	32322 21215	   	228.74	橙橙1易伤2时间	1挖尘2基地爆炸3加一49时间5易伤6金币生成7爆破对冰8a核
106	33322 16443	   	228.74	橙橙1易伤1等级1挖怪	15挖尘2立即金币3加一4等级6随机技能79核8易伤a挖怪
107	32322 61215	   	228.64	橙橙1易伤2时间	1挖尘2基地爆炸3加一49时间5易伤6掉矿7爆破对冰8a核
108	33322 32785	   	228.64	橙橙1易伤1等级	15挖尘2立即金币3加一4等级6易伤7a核8双倍秒伤9加农对甲
