0	Index      	 *	Score 	Summary	Detail	
1	41251 51313	 * 	267.61	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1BBNT|2DMG|3RPLT|4VULN|5MLV|6aRCR|7AME|8MBVNT|9BELT
37	54333 15123	   	242.83	ACR|DCR|2VULN|1ASPD|1AART	1AART|2AME|37RCR|4DUST|5RMIN|6BEXP|8ASPD|9aVULN
38	22132 16451	   	242.83	ACR|DCR|2VULN|1CDMG|1AART	1LIT|2CDMG|3aRCR|4AAC|5DUST|68VULN|7AART|9MDPS
39	61221 11223	   	242.83	ACR|DCR|2VULN|1ASPD|1RPLT	19RCR|2FLTARM|3RPLT|4BBNT|57VULN|6SNITOX|8ERES|aASPD
40	61136 52231	   	242.74	ACR|DCR|3VULN|1ZMB	18RCR|2FLTARM|37aVULN|4BBNT|5ZMB|6VENICY|9BASARM
41	54333 61112	   	242.73	ACR|DCR|2VULN|1ASPD|1AART	1AART|2AME|37RCR|4DUST|5RMIN|6MDPS|8ASPD|9aVULN
42	61132 33356	 * 	242.24	ACR|4VULN|3DMG|1ASPD	1RCR|29aFLTARM|389aVULN|4BBNT|5VENFST|6ASPD|79aDMG|9aBPWR
43	64412 23322	   	239.87	ACR|DCR|1VULN|1DMG|2RPLT|1CDMG|1ZMB	18RCR|2DUST|3FEWX|4VULN|5ZMB|6DMG|7CDMG|9aRPLT
44	61143 33632	   	239.79	ACR|DCR|2VULN|1DMG	18RCR|2FLTARM|39VULN|4BEXP|5BBNT|6BELT|7LHND|aDMG
45	61163 33632	   	239.79	ACR|DCR|2VULN|1DMG	18RCR|2FLTARM|39VULN|4FEWX|5TBNT|6BELT|7LHND|aDMG
46	61122 12134	   	239.69	ACR|DCR|2VULN|1DMG	1aRCR|2FLTARM|35VULN|4LHND|6DMG|7FEWX|8ERES|9LIT
47	61122 12234	   	239.69	ACR|DCR|2VULN|1DMG	1aRCR|2FLTARM|35VULN|4LHND|6DMG|7FEWX|8AME|9LIT
48	61122 15234	   	239.69	ACR|DCR|2VULN|1DMG	1aRCR|2FLTARM|35VULN|4LHND|6DMG|7BEXP|8AME|9LIT
49	61133 52223	   	239.69	ACR|DCR|2VULN|1DMG	18RCR|2FLTARM|37VULN|4BBNT|5AAC|6VENICY|9LWND|aDMG
50	61133 52263	   	239.69	ACR|DCR|2VULN|1DMG	18RCR|2FLTARM|37VULN|4BBNT|5AAC|6VENICY|9LHND|aDMG
51	53224 38228	   	239.57	DCR|DCR|1VULN|1AART|1RPLT	1AART|2LIT|3AME|4MBVNT|5VULN|6DMSP|7RPLT|8aRCR|9DUST
52	53224 48228	   	239.47	DCR|DCR|1VULN|1AART|1RPLT	1AART|2LIT|36AME|4MBVNT|5VULN|7RPLT|8aRCR|9DUST
53	41631 51421	   	239.44	ACR|DCR|2VULN|1DMG|1ZMB	1BBNT|2DMG|3ZMB|4MBVNT|56RCR|7RCVC|8AAC|9aVULN
54	41631 53432	   	239.44	ACR|DCR|2VULN|1DMG|1ZMB	1BBNT|2DMG|3ZMB|4MBVNT|56RCR|7LHND|8aVULN|9DMSP
55	41631 53441	   	239.44	ACR|DCR|2VULN|1DMG|1ZMB	1BBNT|2DMG|3ZMB|4MBVNT|56RCR|7LHND|89VULN|aBEXP
56	41631 53443	   	239.44	ACR|DCR|2VULN|1DMG|1ZMB	1BBNT|2DMG|3ZMB|4MBVNT|56RCR|7LHND|89VULN|aRMIN
57	41631 53444	   	239.44	ACR|DCR|2VULN|1DMG|1ZMB	1BBNT|2DMG|3ZMB|4MBVNT|56RCR|7LHND|89VULN|aTBNT
58	61136 22234	   	239.44	ACR|DCR|2VULN|1DMG|1ZMB	18RCR|2FLTARM|3aVULN|4BBNT|5ZMB|6AAC|7BLAICY|9DMG
59	61136 52223	   	239.44	ACR|DCR|2VULN|1DMG|1ZMB	18RCR|2FLTARM|37VULN|4BBNT|5ZMB|6VENICY|9LWND|aDMG
60	22511 22211	 * 	239.41	DCR|3VULN|1DMG|1ASPD|1CDMG	1LIT|2CDMG|3DMG|4DUR|5ASPD|6TBNT|78aVULN|9RCR
61	41631 61442	   	239.34	ACR|DCR|2VULN|1DMG|1ZMB	1BBNT|2DMG|3ZMB|4MBVNT|5aRCR|67VULN|8LWND|9ERES
62	64412 21311	   	239.34	ACR|DCR|2VULN|1DMG|1ZMB	18RCR|2DUST|3FEWX|4aVULN|5ZMB|6DMG|7MDPS|9RMIN
63	64612 21311	   	239.34	ACR|DCR|2VULN|1DMG|1ZMB	18RCR|2DUST|3LHND|4aVULN|5ZMB|6DMG|7MDPS|9RMIN
64	61122 31235	   	239.04	ACR|DCR|2VULN|1AART|1RPLT	1aRCR|2FLTARM|35VULN|4LHND|6AART|7TBNT|8CGEN|9RPLT
65	61223 34215	   	239.04	ACR|DCR|2VULN|1AART|1RPLT	1aRCR|2FLTARM|3RPLT|4BBNT|5LWND|69VULN|7AART|8CGEN
66	61122 31135	   	238.94	ACR|DCR|2VULN|1AART|1RPLT	1aRCR|2FLTARM|35VULN|4LHND|6AART|7TBNT|8AME|9RPLT
67	22132 51361	   	238.91	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG	1LIT|2CDMG|38RCR|4AAC|5DUST|6ASPD|7BEXP|9DMG|aVULN
68	22132 52361	   	238.91	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG	1LIT|2CDMG|38RCR|4AAC|5DUST|6ASPD|7FEWX|9DMG|aVULN
69	22132 53361	   	238.91	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG	1LIT|2CDMG|38RCR|4AAC|5DUST|6ASPD|7LHND|9DMG|aVULN
70	61133 53233	   	238.86	ACR|DCR|2DMG|1VULN|1AART	18RCR|2FLTARM|3VULN|4BBNT|5AAC|6VENICY|79DMG|aAART
71	64112 23622	   	238.61	ACR|DCR|2DMG|1VULN|1RPLT|1SELL	1aRCR|24DUST|34DMG|4BPWR|5CGEN|6VULN|7RPLT|8TBNT|9SELL
72	64412 21322	   	238.56	ACR|DCR|1VULN|1DMG|1ASPD|1CDMG|1ZMB	18RCR|2DUST|3FEWX|4VULN|5ZMB|6DMG|7MDPS|9CDMG|aASPD
73	53115 14212	   	238.52	DCR|DCR|1VULN|1AART	1AART|2LIT|3AAC|4BBNT|5DUR|6RMIN|7VULN|89RCR|aBELT
74	53115 14213	   	238.52	DCR|DCR|1VULN|1AART	1AART|2LIT|3AAC|4BBNT|5DUR|6RMIN|7VULN|89RCR|aLWND
