0	Index      	 *	Score 	Summary	Detail	
1	34323 36363	 * 	270.00	DCR|DCR|2VULN|2ASPD	15LHND|26ASPD|36VULN|4MDPS|6BPWR|7CGEN|8BEXP|9aRCR
19	34333 31563	   	252.93	DCR|3VULN|3ASPD|1DMG|1MLV	16LHND|245ASPD|346VULN|46BPWR|7RCR|8ERES|9DMG|aMLV
20	13225 32663	   	252.20	DCR|DCR|2VULN	1AAC|26BEXP|3DMSP|46VULN|5MDPS|6BPWR|7DUR|8TLV|9aRCR
21	13325 32663	   	252.20	DCR|DCR|2VULN	1AAC|26BEXP|3RCVC|46VULN|5MDPS|6BPWR|7DUR|8TLV|9aRCR
22	34333 31633	   	252.13	DCR|4VULN|3ASPD|1MLV	16LHND|245ASPD|3468VULN|46BPWR|7RCR|9FEWX|aMLV
23	31612 22616	   	252.10	DCR|DCR|2VULN	1LHND|2LIT|3DUST|46VULN|5DUR|79FEWX|8aRCR
24	13225 52263	 * 	250.63	DCR|DCR|2MLV|1VULN	1AAC|2BEXP|3DMSP|4VULN|5MDPS|6DUST|78MLV|9aRCR
25	13325 52263	   	250.63	DCR|DCR|2MLV|1VULN	1AAC|2BEXP|3RCVC|4VULN|5MDPS|6DUST|78MLV|9aRCR
26	11534 46544	 * 	250.15	DCR|4VULN|3DMG	1AAC|2789VULN|3MBVNT|489DMG|5TBNT|689ERES|89BPWR|aRCR
27	34333 31264	   	249.05	DCR|3VULN|3ASPD|1DMG|1CDMG	16LHND|245ASPD|346VULN|46BPWR|7RCR|8MDPS|9DMG|aCDMG
28	42342 21261	   	248.87	DCR|DCR|1VULN|1ASPD|1RPLT|1SELL	1ASPD|2MDPS|3FEWX|4RPLT|5DUR|6SELL|79RCR|8VULN|aCANARM
29	42342 21262	   	248.87	DCR|DCR|1VULN|1ASPD|1RPLT|1SELL	1ASPD|2MDPS|3FEWX|4RPLT|5DUR|6SELL|79RCR|8VULN|aDUST
30	66222 21261	   	248.87	DCR|DCR|1VULN|1ASPD|1RPLT|1SELL	1BEXP|2MDPS|3RPLT|4ASPD|5DUR|6SELL|79RCR|8VULN|aCANARM
31	66222 21262	   	248.87	DCR|DCR|1VULN|1ASPD|1RPLT|1SELL	1BEXP|2MDPS|3RPLT|4ASPD|5DUR|6SELL|79RCR|8VULN|aDUST
32	34333 31533	   	248.15	DCR|4VULN|3ASPD|1CDMG	16LHND|245ASPD|346aVULN|46BPWR|7RCR|8ERES|9CDMG
33	36226 21263	   	247.50	DCR|DCR|1VULN|1ASPD|1RPLT|1SELL	1LHND|2MDPS|3RPLT|4ASPD|5LEGI|6SELL|79RCR|8VULN|aNUKE
34	11536 11318	   	247.32	DCR|DCR|1VULN|1DMG|1RPLT	1AAC|2VULN|3MBVNT|4DMG|5RMIN|6FEWX|7aRCR|8RPLT|9LWND
35	11541 43381	   	246.97	DCR|DCR|1VULN|1DMG|1RPLT|1SELL	14AAC|2VULN|3MBVNT|5AME|6DMG|7aRCR|8RPLT|9SELL
36	11538 43381	   	246.87	DCR|DCR|1VULN|1DMG|1RPLT|1SELL	1AAC|2VULN|3MBVNT|4DMG|56ERES|7aRCR|8RPLT|9SELL
37	34234 34322	 * 	246.79	DCR|3VULN|2MLV|2ASPD|1AART	19LHND|28ASPD|3AART|4RMIN|579VULN|69MLV|9BPWR|aRCR
38	34335 13511	   	246.69	DCR|3VULN|2MLV|2ASPD|1AART	1LHND|24ASPD|34aVULN|4BPWR|5AART|68MLV|7AAC|9RCR
39	11536 33171	   	244.74	DCR|3VULN|3DMG|1ASPD	1AAC|269VULN|3MBVNT|469DMG|5RMIN|69BPWR|7RCR|8BELT|aASPD
40	11535 33173	   	244.64	DCR|3VULN|3DMG|3ZMB	1AAC|29aVULN|3MBVNT|469DMG|569ZMB|69BPWR|7RCR|8BELT
41	12533 31273	   	244.49	DCR|DCR|1VULN|1DMG	1AAC|2LHND|3MBVNT|4DMG|5MDPS|6FEWX|79RCR|8VULN|aNUKE
42	12533 33773	   	244.49	DCR|DCR|1VULN|1DMG	1AAC|2LHND|3MBVNT|4DMG|5MDPS|6FEWX|7VULN|89RCR|aNUKE
43	34333 31612	   	244.26	DCR|4VULN|3ASPD|1RPLT	16LHND|245ASPD|3468VULN|46BPWR|7RCR|9RPLT|aRMIN
44	34333 31613	   	244.26	DCR|4VULN|3ASPD|1RPLT	16LHND|245ASPD|3468VULN|46BPWR|7RCR|9RPLT|aAAC
45	34333 31614	   	244.26	DCR|4VULN|3ASPD|1RPLT	16LHND|245ASPD|3468VULN|46BPWR|7RCR|9RPLT|aCGEN
46	34333 31611	   	244.16	DCR|4VULN|3ASPD|1RPLT	16LHND|245ASPD|3468VULN|46BPWR|7RCR|9RPLT|aERES
47	34333 31616	   	244.16	DCR|4VULN|3ASPD|1RPLT	16LHND|245ASPD|3468VULN|46BPWR|7RCR|9RPLT|aDUST
48	11531 61731	   	244.00	DCR|4VULN|1DMG|1MLV|1AART	1AAC|289aVULN|3MBVNT|4DMG|5MLV|6AART|7RCR
49	12323 33663	   	243.90	DCR|DCR|2VULN	1AAC|256LHND|36VULN|4MDPS|6BPWR|7BEXP|8TLV|9aRCR
50	12325 33663	   	243.90	DCR|DCR|2VULN	1AAC|26LHND|36VULN|4MDPS|5RCVC|6BPWR|7BEXP|8TLV|9aRCR
51	12323 36363	   	243.80	DCR|DCR|2VULN	1AAC|256LHND|36VULN|4MDPS|6BPWR|7AME|8BEXP|9aRCR
52	12325 36363	   	243.80	DCR|DCR|2VULN	1AAC|26LHND|36VULN|4MDPS|5RCVC|6BPWR|7AME|8BEXP|9aRCR
53	13225 36363	   	243.80	DCR|DCR|2VULN	1AAC|26BEXP|3DMSP|46VULN|5MDPS|6BPWR|7AME|8LWND|9aRCR
54	13325 36363	   	243.80	DCR|DCR|2VULN	1AAC|26BEXP|3RCVC|46VULN|5MDPS|6BPWR|7AME|8LWND|9aRCR
55	11152 14363	   	243.70	DCR|DCR|2VULN	1AAC|25VULN|3TLV|4MDPS|6LWND|7AELOIC|8BEXP|9aRCR
56	11152 24363	   	243.70	DCR|DCR|2VULN	1AAC|25VULN|3TLV|4MDPS|6LHND|7AELOIC|8BEXP|9aRCR
57	13225 36163	   	243.70	DCR|DCR|2VULN	1AAC|26BEXP|3DMSP|46VULN|5MDPS|6BPWR|7AME|8DUST|9aRCR
58	13325 36163	   	243.70	DCR|DCR|2VULN	1AAC|26BEXP|3RCVC|46VULN|5MDPS|6BPWR|7AME|8DUST|9aRCR
59	11352 14363	   	243.60	DCR|DCR|2VULN	1AAC|23VULN|4MDPS|5AME|6LWND|7AELOIC|8BEXP|9aRCR
60	11352 24363	   	243.60	DCR|DCR|2VULN	1AAC|23VULN|4MDPS|5AME|6LHND|7AELOIC|8BEXP|9aRCR
61	51111 13661	   	243.23	DCR|DCR|1VULN|1MLV	1DUR|2LIT|3VULN|4AELOIC|5AME|6DLOT|7aRCR|8MLV|9BBNT
62	51112 13661	   	243.23	DCR|DCR|1VULN|1MLV	1DUR|2LIT|3VULN|4AELOIC|5ERES|6DLOT|7aRCR|8MLV|9BBNT
63	11326 21262	 * 	243.21	DCR|4VULN|2ASPD|1DMG	1AAC|2349VULN|5DMG|6BELT|79LWND|89ASPD|9BPWR|aRCR
64	11326 24262	   	243.21	DCR|4VULN|2ASPD|1DMG	1AAC|2349VULN|5DMG|6BELT|79LHND|89ASPD|9BPWR|aRCR
65	11326 22362	   	243.21	DCR|4VULN|2ASPD|1DMG	1AAC|2349VULN|5DMG|6BELT|79ASPD|89LHND|9BPWR|aRCR
66	11222 13611	   	243.12	DCR|2VULN|2DMG|2AART|1MLV|2DUR	1AAC|2aVULN|37AART|46DMG|56DUR|6BPWR|8MLV|9RCR
67	34333 31622	   	242.81	DCR|4VULN|3ASPD	16LHND|245ASPD|3468VULN|46BPWR|7RCR|9MDPS|aDUR
68	11222 34511	   	241.02	DCR|3VULN|1DMG|2AART|1MLV	1AAC|27aVULN|38AART|4DMG|5DUR|6MLV|9RCR
69	11534 53732	   	240.95	DCR|3VULN|3DMG|1AART	1AAC|279VULN|3MBVNT|479DMG|5TBNT|679TLV|79BPWR|8AART|aRCR
70	11221 34511	 * 	240.55	DCR|3VULN|2MLV|1DMG|1AART	1AAC|27aVULN|3AART|4DMG|5LWND|68MLV|9RCR
71	12224 34511	   	240.55	DCR|3VULN|2MLV|1DMG|1AART	1AAC|2LHND|3AART|4DMG|57aVULN|68MLV|9RCR
72	36226 21261	   	240.46	DCR|DCR|1VULN|1ASPD|1RPLT|1SELL	1LHND|2MDPS|3RPLT|4ASPD|5LEGI|6SELL|79RCR|8VULN|aCANARM
73	36226 21262	   	240.46	DCR|DCR|1VULN|1ASPD|1RPLT|1SELL	1LHND|2MDPS|3RPLT|4ASPD|5LEGI|6SELL|79RCR|8VULN|aDUST
74	11531 61631	   	240.45	DCR|3VULN|2MLV|1DMG|1AART	1AAC|29aVULN|3MBVNT|4DMG|58MLV|6AART|7RCR
75	11325 36263	   	240.22	DCR|4VULN|1DMG|1ASPD|1RPLT	1AAC|2348VULN|5ASPD|6RPLT|7RMIN|9RCR|aDMG
76	11326 36263	   	240.22	DCR|4VULN|1DMG|1ASPD|1RPLT	1AAC|2348VULN|5DMG|6RPLT|7RMIN|9RCR|aASPD
