0	Index      	 *	Score 	Summary	Detail	
1	51311 61325	 * 	267.21	DCR|DCR|2VULN|1CDMG|1RPLT	1FRZICY|25VULN|3RMIN|4FEWX|6CDMG|7CGEN|8aRCR|9RPLT
23	61421 35323	   	246.36	DCR|DCR|2DMG|1ASPD|1RPLT	19DMG|2ERES|3MDPS|4TLV|5LHND|6aRCR|7ASPD|8RPLT
24	15521 31323	   	246.32	DCR|DCR|2DMG|1CDMG|1RPLT|1SELL	15BEXP|2BBNT|3CDMG|4SELL|6aRCR|79DMG|8RPLT
25	15525 31323	   	246.32	DCR|DCR|2DMG|1CDMG|1RPLT|1SELL	1BEXP|2BBNT|3CDMG|4SELL|5DMSP|6aRCR|79DMG|8RPLT
26	24235 33341	   	245.76	DCR|DCR|1VULN|1DMG	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9DMG|aCGEN
27	24235 33342	   	245.76	DCR|DCR|1VULN|1DMG	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9DMG|aRMIN
28	52233 22341	 * 	244.64	DCR|3VULN|3DMG|1CDMG	18FRZICY|278DMG|3MDPS|468VULN|5LEGI|8BPWR|9RCR|aCDMG
29	52333 22341	   	244.64	DCR|3VULN|3DMG|1CDMG	18FRZICY|278DMG|368VULN|4MDPS|5LEGI|8BPWR|9RCR|aCDMG
30	24235 33311	   	243.23	DCR|DCR|1VULN|1MLV	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9MLV|aCGEN
31	24235 33312	   	243.23	DCR|DCR|1VULN|1MLV	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9MLV|aRMIN
32	24235 33316	   	243.23	DCR|DCR|1VULN|1MLV	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9MLV|aLHND
33	24235 34311	   	243.23	DCR|DCR|1VULN|1MLV	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7DUST|9MLV|aCGEN
34	24235 34312	   	243.23	DCR|DCR|1VULN|1MLV	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7DUST|9MLV|aRMIN
35	24235 33336	   	243.13	DCR|DCR|1VULN|1MLV	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9BASARM|aMLV
36	62212 64313	   	242.55	DCR|2VULN|2DMG|1MLV|1ASPD|1RPLT	1aDMG|2MLV|3RPLT|4RMIN|5aVULN|6ASPD|7DUR|8aCGEN|9RCR|aBPWR
37	62212 64113	   	242.35	DCR|2VULN|2DMG|1MLV|1ASPD|1RPLT	1aDMG|2MLV|3RPLT|4RMIN|5aVULN|6ASPD|7DUR|8aAME|9RCR|aBPWR
38	62552 31132	 * 	241.29	DCR|2VULN|2DMG|2MLV|2DUR	18DMG|28MLV|3VENFST|4TLV|58DUR|6TBNT|7RCR|8BPWR|9aVULN
39	33282 48714	 * 	241.17	DCR|DCR|1VULN|3AART	1LIT|2BBNT|3MBVNT|4VULN|589AART|6CGEN|7aRCR
40	51323 61325	   	241.00	DCR|DCR|1VULN|1CDMG|1RPLT	1FRZICY|2VULN|3RMIN|4RCVC|5LWND|6CDMG|7CGEN|8aRCR|9RPLT
41	51316 11325	   	240.90	DCR|DCR|1VULN|1CDMG|1RPLT	1FRZICY|2VULN|3RMIN|4FEWX|5CDMG|6AELOIC|7CGEN|8aRCR|9RPLT
42	21536 21325	   	240.70	DCR|DCR|1VULN|1CDMG|1RPLT	1AME|2ERES|3SPLARM|4RMIN|5VULN|6CDMG|7CGEN|8aRCR|9RPLT
43	12252 25353	   	240.68	DCR|DCR|2DMG|1MLV	16BEXP|2ERES|3FEWX|4AAC|56DMG|6BPWR|79RCR|8SPLREG|aMLV
44	22322 33635	   	240.50	DCR|DCR|2MLV|1CDMG	1AME|23MLV|4TBNT|5FEWX|6ERES|7DUR|89RCR|aCDMG
45	22321 35635	   	240.40	DCR|DCR|2MLV|1CDMG	1AME|23MLV|4TBNT|5DUR|6ERES|7DUST|89RCR|aCDMG
46	22324 33635	   	240.40	DCR|DCR|2MLV|1CDMG	1AME|23MLV|4TBNT|5DUST|6ERES|7DUR|89RCR|aCDMG
47	62212 61232	   	240.37	DCR|2VULN|2MLV|1DMG|1ASPD|1RPLT	1DMG|2aMLV|3RPLT|4RMIN|57VULN|6ASPD|8DUR|9RCR
48	24235 33334	   	239.25	DCR|DCR|1VULN|1ASPD	1AME|2RCVC|3MDPS|4VULN|5DUR|68RCR|7LEGI|9BASARM|aASPD
49	62232 31615	   	238.59	DCR|3VULN|1DMG|1MLV|1CDMG|1RPLT	1DMG|2MLV|3RPLT|4LIT|58aVULN|6TBNT|7CDMG|9RCR
50	51121 31132	 * 	238.01	DCR|4VULN|2ASPD|2DUR	18FRZICY|259aVULN|38DUR|48ASPD|6TBNT|7RCR|8BPWR
51	12363 34341	   	237.56	DCR|DCR|1VULN|1DMG	1BEXP|2ERES|3LWND|4LHND|5VULN|68RCR|7DUST|9DMG|aCGEN
52	33143 62223	   	237.51	DCR|DCR|1VULN|1DMG|1SELL	17LIT|2BBNT|3DMG|4VULN|5LHND|6aRCR|8BELT|9SELL
53	24231 34341	   	237.46	DCR|DCR|1VULN|1DMG	1AME|2RCVC|3MDPS|4VULN|5LHND|68RCR|7DUST|9DMG|aCGEN
54	24231 34342	   	237.46	DCR|DCR|1VULN|1DMG	1AME|2RCVC|3MDPS|4VULN|5LHND|68RCR|7DUST|9DMG|aRMIN
55	12363 34342	   	237.46	DCR|DCR|1VULN|1DMG	1BEXP|2ERES|3LWND|4LHND|5VULN|68RCR|7DUST|9DMG|aMDPS
56	62212 61231	 * 	237.21	DCR|2VULN|2ASPD|1DMG|1MLV|1RPLT	1DMG|2MLV|3RPLT|4RMIN|57VULN|6aASPD|8DUR|9RCR
