0	Index      	 *	Score 	Summary	Detail	
1	12316 33144	 * 	272.53	ACR|DCR|3VULN|1MLV|1RPLT	1LIT|29RCR|3ERES|458VULN|6DUR|7RPLT|aMLV
51	37422 32425	   	253.11	DCR|DCR|2VULN|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4CGEN|5TBNT|67RCR|8aVULN|9RPLT
52	33513 42832	   	253.01	DCR|DCR|2VULN|1RPLT|1SELL	1MBVNT|2DUST|39VULN|4MDPS|5SELL|6aRCR|7DMSP|8RPLT
53	33513 48832	   	253.01	DCR|DCR|2VULN|1RPLT|1SELL	1MBVNT|2DUST|39VULN|4MDPS|5SELL|6aRCR|7RCVC|8RPLT
54	37482 32211	   	252.75	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9DUR|aVULN
55	12423 32336	 * 	252.69	ACR|DCR|2VULN|1DMG|1MLV	17LIT|2aRCR|3MLV|4MDPS|57VULN|67FEWX|7BPWR|8TBNT|9DMG
56	12423 32636	   	252.69	ACR|DCR|2VULN|1DMG|1MLV	17LIT|2aRCR|3MLV|4MDPS|57VULN|67FEWX|7BPWR|8BBNT|9DMG
57	12423 36336	   	252.49	ACR|DCR|2VULN|1DMG|1MLV	1LIT|2aRCR|3MLV|4MDPS|57VULN|6FEWX|8TBNT|9DMG
58	35332 38822	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2FEWX|3VULN|4AAC|5BEXP|6aRCR|7DMG|8ASPD|9LHND
59	35332 38832	   	251.31	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2FEWX|3VULN|4AAC|5BEXP|6aRCR|7DMG|8ASPD|9LWND
60	33532 38722	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2DUST|3VULN|4AAC|5BEXP|6aRCR|7DMG|8ASPD|9LHND
61	33532 38732	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2DUST|3VULN|4AAC|5BEXP|6aRCR|7DMG|8ASPD|9LWND
62	33728 53424	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2DUST|3ASPD|4TBNT|5DMG|67RCR|89LHND|aVULN
63	35332 38812	   	251.21	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2FEWX|3VULN|4AAC|5BEXP|6aRCR|7DMG|8ASPD|9DUST
64	37348 32454	   	251.11	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|3ERES|4TBNT|5ASPD|67RCR|8VULN|9FEWX|aDMG
65	37348 32484	   	251.11	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|3ERES|4TBNT|5ASPD|67RCR|8VULN|9BEXP|aDMG
66	37348 32414	   	251.01	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|3ERES|4TBNT|5ASPD|67RCR|8VULN|9DUST|aDMG
67	37348 32437	   	251.01	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|39ERES|4TBNT|5ASPD|67RCR|8VULN|aDMG
68	37538 32414	   	251.01	DCR|DCR|1VULN|1DMG|1ASPD	1MBVNT|2MDPS|3TBNT|4ERES|5ASPD|67RCR|8VULN|9DUST|aDMG
69	37422 32442	   	250.96	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1MBVNT|2MDPS|3ZMB|4CGEN|5TBNT|67RCR|8VULN|9DMG|aCDMG
70	37442 32442	   	250.96	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1MBVNT|2MDPS|3ZMB|4TBNT|5TLV|67RCR|8VULN|9DMG|aCDMG
71	37412 32442	   	250.86	DCR|DCR|1VULN|1DMG|1CDMG|1ZMB	1MBVNT|2MDPS|3ZMB|4AME|5TBNT|67RCR|8VULN|9DMG|aCDMG
72	33513 61352	   	250.62	DCR|DCR|1VULN|1DMG|1CDMG|1SELL|1ZMB	1MBVNT|2DUST|3VULN|4MDPS|5SELL|6DMG|7aRCR|8ZMB|9CDMG
73	32261 82414	   	250.57	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CGEN|3BEXP|4AART|5LWND|6RPLT|7CDMG|89RCR|aVULN
74	32263 82414	   	250.57	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CGEN|3BEXP|4AART|5LHND|6RPLT|7CDMG|89RCR|aVULN
75	32264 82414	   	250.57	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CGEN|3BEXP|4AART|5FEWX|6RPLT|7CDMG|89RCR|aVULN
76	32561 82414	   	250.57	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CGEN|3LHND|4AART|5LWND|6RPLT|7CDMG|89RCR|aVULN
77	32663 82414	   	250.57	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2CGEN|3LWND|4AART|5FEWX|6RPLT|7CDMG|89RCR|aVULN
78	35461 82414	   	250.57	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2FEWX|3CGEN|4AART|5LWND|6RPLT|7CDMG|89RCR|aVULN
79	35463 82414	   	250.57	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2FEWX|3CGEN|4AART|5LHND|6RPLT|7CDMG|89RCR|aVULN
80	35272 72314	   	250.47	DCR|DCR|1VULN|1CDMG|1AART|1RPLT	1MBVNT|2FEWX|3DUST|4AART|5RPLT|6CDMG|79RCR|8CGEN|aVULN
81	12131 21363	 * 	250.39	ACR|DCR|1VULN|2ASPD|1MLV|1RPLT	1LIT|28RCR|34ASPD|5DUR|6CGEN|7RPLT|9VULN|aMLV
82	12131 11363	   	250.29	ACR|DCR|1VULN|2ASPD|1MLV|1RPLT	1LIT|28RCR|34ASPD|5DUR|6ERES|7RPLT|9VULN|aMLV
83	37348 32443	   	249.01	DCR|DCR|1VULN|1ASPD|1RPLT	1MBVNT|2MDPS|3ERES|4TBNT|5ASPD|67RCR|8VULN|9DUR|aRPLT
84	37538 32443	   	249.01	DCR|DCR|1VULN|1ASPD|1RPLT	1MBVNT|2MDPS|3TBNT|4ERES|5ASPD|67RCR|8VULN|9DUR|aRPLT
85	33728 53234	   	248.91	DCR|DCR|2DMG|2ASPD|1SELL	1MBVNT|2DUST|3aASPD|4TBNT|59DMG|67RCR|8SELL
86	31246 61136	   	248.78	DCR|DCR|1VULN|1MLV|1ASPD	1MBVNT|2BELT|3BEXP|4ASPD|5TLV|6MLV|7RMIN|89RCR|aVULN
87	31244 61136	   	248.68	DCR|DCR|1VULN|1MLV|1ASPD	1MBVNT|2BELT|3BEXP|4ASPD|5ERES|6MLV|7RMIN|89RCR|aVULN
88	37482 32454	   	248.43	DCR|DCR|1VULN|1MLV|1ASPD|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9FEWX|aASPD
89	37482 32484	   	248.43	DCR|DCR|1VULN|1MLV|1ASPD|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9BEXP|aASPD
90	37482 32414	   	248.33	DCR|DCR|1VULN|1MLV|1ASPD|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9DUST|aASPD
91	33614 73351	   	247.12	DCR|DCR|1VULN|1DMG|1RPLT	1MBVNT|2DUST|3MULARM|4CGEN|5DMG|6aRCR|7RPLT|8AAC|9VULN
92	51232 12561	 * 	247.05	DCR|DCR|2MLV|2DUR|1ASPD	1ERES|26DUR|3TBNT|4DLOT|5aMLV|79RCR|8ASPD
93	51332 12561	   	247.05	DCR|DCR|2MLV|2DUR|1ASPD	1ERES|26DUR|3BBNT|4DLOT|5aMLV|79RCR|8ASPD
94	37422 32448	   	246.97	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4CGEN|5TBNT|67RCR|8VULN|9DMG|aRPLT
95	37442 32448	   	246.97	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4TBNT|5TLV|67RCR|8VULN|9DMG|aRPLT
96	37412 32448	   	246.87	DCR|DCR|1VULN|1DMG|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4AME|5TBNT|67RCR|8VULN|9DMG|aRPLT
97	12316 43141	   	246.69	ACR|DCR|3VULN|1RPLT	1LIT|29RCR|3ERES|458VULN|6BEXP|7RPLT|aTBNT
98	12316 43143	   	246.69	ACR|DCR|3VULN|1RPLT	1LIT|29RCR|3ERES|458VULN|6BEXP|7RPLT|aLHND
99	12316 63141	   	246.59	ACR|DCR|3VULN|1RPLT	1LIT|29RCR|3ERES|458VULN|6DUST|7RPLT|aTBNT
100	12316 63142	   	246.59	ACR|DCR|3VULN|1RPLT	1LIT|29RCR|3ERES|458VULN|6DUST|7RPLT|aBEXP
101	12316 63143	   	246.59	ACR|DCR|3VULN|1RPLT	1LIT|29RCR|3ERES|458VULN|6DUST|7RPLT|aLHND
102	12316 43142	   	246.59	ACR|DCR|3VULN|1RPLT|1MSE	1LIT|29RCR|3ERES|458VULN|6BEXP|7RPLT|aMSE
103	12314 44155	   	245.97	ACR|DCR|2VULN|1MLV|1CDMG	1LIT|29RCR|3ERES|48VULN|5MBVNT|6BEXP|7CDMG|aMLV
104	31561 13136	   	245.96	DCR|DCR|1VULN|1DMG	1MBVNT|2BELT|3DMG|4BEXP|5RCVC|6RMIN|7DUR|89RCR|aVULN
105	37348 32444	   	245.90	DCR|DCR|1VULN|2DUR|1ASPD	1MBVNT|2MDPS|3ERES|4TBNT|5ASPD|67RCR|8VULN|9aDUR
106	37538 32444	   	245.90	DCR|DCR|1VULN|2DUR|1ASPD	1MBVNT|2MDPS|3TBNT|4ERES|5ASPD|67RCR|8VULN|9aDUR
107	12423 15421	   	245.61	ACR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1LIT|28RCR|3MLV|4MDPS|5VULN|6AART|7DMSP|9RPLT|aDMG
108	37832 44321	 * 	245.50	DCR|3VULN|2MLV|1DMG|2DUR|1SELL	1MBVNT|2MDPS|389VULN|4SELL|58DUR|6RCR|78MLV|8BPWR|aDMG
109	37883 44321	 * 	245.50	DCR|3VULN|2MLV|1DMG|2DUR|1SELL	1MBVNT|2MDPS|389VULN|48DUR|5SELL|6RCR|78MLV|8BPWR|aDMG
110	12423 14412	   	245.14	ACR|DCR|2MLV|1VULN|1ASPD|1AART	1LIT|28RCR|37MLV|4MDPS|5VULN|6AART|9BEXP|aASPD
111	33135 53348	   	244.69	DCR|DCR|1VULN|1MLV|1RPLT	1MBVNT|2DUST|3MLV|4VULN|5LIT|6CGEN|7RPLT|8LWND|9aRCR
112	33135 53448	   	244.69	DCR|DCR|1VULN|1MLV|1RPLT	1MBVNT|2DUST|3MLV|4VULN|5LIT|6CGEN|7RPLT|8BEXP|9aRCR
113	37832 44327	 * 	244.60	DCR|4VULN|2MLV|2DUR|1SELL	1MBVNT|2MDPS|389aVULN|4SELL|58DUR|6RCR|78MLV|8BPWR
114	37442 32248	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4TBNT|5TLV|67RCR|8RPLT|9VULN|aMLV
115	37482 32221	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9BEXP|aVULN
116	37482 32242	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9VULN|aBBNT
117	37482 32244	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9VULN|aFEWX
118	37482 32261	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9FEWX|aVULN
119	37482 32271	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9LHND|aVULN
120	37482 32521	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8LHND|9RPLT|aVULN
121	37442 32428	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4TBNT|5TLV|67RCR|8VULN|9RPLT|aMLV
122	37482 32374	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8BBNT|9VULN|aRPLT
123	37482 32422	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9RPLT|aBBNT
124	37482 32424	   	244.44	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9RPLT|aFEWX
125	12314 18381	   	244.42	ACR|DCR|2VULN|1DMG|1RPLT	1LIT|29RCR|3ERES|4aVULN|5MBVNT|6RPLT|7MSLFST|8DMG
126	61351 32216	   	244.41	DCR|DCR|1MLV|1CDMG|1AART|1RPLT	14CGEN|2DUR|3CDMG|5RCVC|6AART|79RCR|8MLV|aRPLT
127	61361 32216	   	244.41	DCR|DCR|1MLV|1CDMG|1AART|1RPLT	1CGEN|2DUR|3CDMG|45RCVC|6AART|79RCR|8MLV|aRPLT
128	63251 32216	   	244.41	DCR|DCR|1MLV|1CDMG|1AART|1RPLT	14CGEN|2CDMG|3DUR|5RCVC|6AART|79RCR|8MLV|aRPLT
129	63261 32216	   	244.41	DCR|DCR|1MLV|1CDMG|1AART|1RPLT	1CGEN|2CDMG|3DUR|45RCVC|6AART|79RCR|8MLV|aRPLT
130	37412 32248	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4AME|5TBNT|67RCR|8RPLT|9VULN|aMLV
131	37482 32235	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9ERES|aVULN
132	37482 32241	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9VULN|aAELOIC
133	37482 32243	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9VULN|aDUST
134	37482 32245	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9VULN|aERES
135	37482 32246	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|2ZMB	1MBVNT|2MDPS|3aZMB|4MLV|5TBNT|67RCR|8RPLT|9VULN
136	37482 32248	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8RPLT|9VULN|aAME
137	37412 32428	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4AME|5TBNT|67RCR|8VULN|9RPLT|aMLV
138	37482 32421	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9RPLT|aAELOIC
139	37482 32423	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9RPLT|aDUST
140	37482 32425	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9RPLT|aERES
141	37482 32426	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|2ZMB	1MBVNT|2MDPS|3aZMB|4MLV|5TBNT|67RCR|8VULN|9RPLT
142	37482 32428	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9RPLT|aAME
143	37482 32472	   	244.34	DCR|DCR|1VULN|1MLV|1RPLT|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9TSLFST|aRPLT
144	35313 61352	   	244.30	DCR|DCR|1VULN|1ASPD|1CDMG|1SELL|1ZMB	1MBVNT|2FEWX|3VULN|4MDPS|5SELL|6ASPD|7aRCR|8ZMB|9CDMG
145	31224 26188	   	243.70	DCR|DCR|2VULN	1MBVNT|2BELT|3BEXP|47VULN|56LWND|8aRCR|9VENICY
146	31224 36188	   	243.70	DCR|DCR|2VULN	1MBVNT|2BELT|3BEXP|47VULN|5LWND|6DMSP|8aRCR|9VENICY
147	31234 36188	   	243.70	DCR|DCR|2VULN	1MBVNT|2BELT|3BEXP|45LWND|67VULN|8aRCR|9VENICY
148	31248 41136	 * 	243.70	DCR|DCR|1VULN|2ASPD	1MBVNT|2BELT|3BEXP|46ASPD|5FEWX|7RMIN|89RCR|aVULN
149	31247 41136	   	243.60	DCR|DCR|1VULN|2ASPD	1MBVNT|2BELT|3BEXP|46ASPD|5LEGI|7RMIN|89RCR|aVULN
150	37422 32458	   	243.45	DCR|DCR|2VULN|1ZMB	1MBVNT|2MDPS|3ZMB|4CGEN|5TBNT|67RCR|8aVULN|9FEWX
151	37422 32488	   	243.45	DCR|DCR|2VULN|1ZMB	1MBVNT|2MDPS|3ZMB|4CGEN|5TBNT|67RCR|8aVULN|9BEXP
152	37442 32458	   	243.45	DCR|DCR|2VULN|1ZMB	1MBVNT|2MDPS|3ZMB|4TBNT|5TLV|67RCR|8aVULN|9FEWX
153	37442 32488	   	243.45	DCR|DCR|2VULN|1ZMB	1MBVNT|2MDPS|3ZMB|4TBNT|5TLV|67RCR|8aVULN|9BEXP
154	37412 32458	   	243.35	DCR|DCR|2VULN|1ZMB	1MBVNT|2MDPS|3ZMB|4AME|5TBNT|67RCR|8aVULN|9FEWX
155	37412 32488	   	243.35	DCR|DCR|2VULN|1ZMB	1MBVNT|2MDPS|3ZMB|4AME|5TBNT|67RCR|8aVULN|9BEXP
156	37422 32418	   	243.35	DCR|DCR|2VULN|1ZMB	1MBVNT|2MDPS|3ZMB|4CGEN|5TBNT|67RCR|8aVULN|9DUST
157	37442 32418	   	243.35	DCR|DCR|2VULN|1ZMB	1MBVNT|2MDPS|3ZMB|4TBNT|5TLV|67RCR|8aVULN|9DUST
158	12316 31366	   	243.26	ACR|DCR|2VULN|1DMG	1LIT|2aRCR|3ERES|45VULN|6DUR|7DMG|8RCVC|9BBNT
159	37412 32418	   	243.25	DCR|DCR|2VULN|1ZMB	1MBVNT|2MDPS|3ZMB|4AME|5TBNT|67RCR|8aVULN|9DUST
160	12316 31266	   	243.16	ACR|DCR|2VULN|1DMG	1LIT|2aRCR|38ERES|45VULN|6DUR|7DMG|9BBNT
161	37482 32464	   	243.09	DCR|DCR|1VULN|1MLV|1ZMB	1MBVNT|2MDPS|3ZMB|4MLV|5TBNT|67RCR|8VULN|9LWND|aDUR
