0	Index      	 *	Score 	Summary	Detail	
1	35112 23264	 * 	292.61	DCR|2VULN|3DMG|2MLV|1TLV	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9BBNT|aTLV
12	35112 23212	   	281.11	DCR|2VULN|3DMG|2MLV|1CDMG	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9RAT|aCDMG
13	35625 23212	   	281.01	DCR|2VULN|3DMG|2MLV|1CDMG	1RPLT|258DMG|3AME|48VULN|6RCR|78MLV|8BPWR|9RAT|aCDMG
14	51214 22512	 * 	280.47	DCR|DCR|1VULN|2AAC|1TLV	1TBNT|2VULN|3DUST|49AAC|5RCVC|68RCR|7TLV|aZMB
15	51214 22513	   	280.47	DCR|DCR|1VULN|2AAC|1TLV	1TBNT|2VULN|3DUST|49AAC|5RCVC|68RCR|7TLV|aLWND
16	51214 22511	   	280.37	DCR|DCR|1VULN|2AAC|1TLV	1TBNT|2VULN|3DUST|49AAC|5RCVC|68RCR|7TLV|aAEPOI
17	51215 22512	   	280.37	DCR|DCR|1VULN|2AAC|1TLV	1TBNT|2VULN|35DUST|49AAC|68RCR|7TLV|aZMB
18	51215 22513	   	280.37	DCR|DCR|1VULN|2AAC|1TLV	1TBNT|2VULN|35DUST|49AAC|68RCR|7TLV|aLWND
19	51215 22511	   	280.27	DCR|DCR|1VULN|2AAC|1TLV	1TBNT|2VULN|35DUST|49AAC|68RCR|7TLV|aAEPOI
20	35112 23563	   	277.41	DCR|2VULN|3DMG|2MLV|1AAC	18RPLT|249DMG|34VULN|49BPWR|59MLV|6RCR|79AME|aAAC
21	35112 21526	   	277.13	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7LWND|8ASPD|9DUR|aTLV
22	51214 22531	   	275.03	DCR|DCR|1VULN|1TLV|1AAC|1NUKE	1TBNT|2VULN|3DUST|4AAC|5RCVC|68RCR|7TLV|9FEWX|aNUKE
23	51215 22531	   	274.93	DCR|DCR|1VULN|1TLV|1AAC|1NUKE	1TBNT|2VULN|35DUST|4AAC|68RCR|7TLV|9FEWX|aNUKE
24	35112 24126	   	274.53	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7CDMG|8DMSP|9TLV|aDUR
25	35112 23253	   	274.17	DCR|2VULN|3DMG|2MLV|1CDMG	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9FEWX|aCDMG
26	35112 24122	   	273.16	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7CDMG|8DMSP|9TLV|aRAT
27	32223 24346	 * 	272.93	DCR|DCR|3AAC|1VULN|1CDMG	1RPLT|2ERES|358AAC|4VULN|6aRCR|7CDMG|9AEFRZ
28	35133 21115	 * 	270.43	ACR|2VULN|3DMG|1TLV|2ASPD|1MLV	1RPLT|267DMG|37VULN|47ASPD|5RCR|7BPWR|8DUR|9TLV|aMLV
29	35323 21115	   	270.43	ACR|2VULN|3DMG|1TLV|2ASPD|1MLV	1RPLT|267DMG|37ASPD|47VULN|5RCR|7BPWR|8DUR|9TLV|aMLV
30	35231 25225	 * 	269.92	ACR|DCR|3DMG|1TLV|3RAT|3DUR	1RPLT|278DMG|39RCR|457DUR|678RAT|78BPWR|aTLV
31	35133 32273	 * 	269.83	ACR|DCR|2VULN|2DMG|1ASPD	1RPLT|29DMG|39VULN|4ASPD|5aRCR|6MBVNT|7DUR|89FEWX|9BPWR
32	35133 32373	   	269.83	ACR|DCR|2VULN|2DMG|1ASPD	1RPLT|29DMG|39VULN|4ASPD|5aRCR|6MBVNT|7DUR|89LHND|9BPWR
33	35112 23231	   	268.83	DCR|2VULN|3DMG|2MLV	1aRPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9DUR
34	35112 23232	   	268.83	DCR|2VULN|3DMG|2MLV	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9DUR|aLHND
35	35112 23236	   	268.83	DCR|2VULN|3DMG|2MLV	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9DUR|aTBNT
36	35112 23262	   	268.83	DCR|2VULN|3DMG|2MLV	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9BBNT|aDUR
37	35112 21516	   	268.82	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7LWND|8ASPD|9LHND|aTLV
38	35112 36321	   	268.82	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6ASPD|7CGEN|8RCR|9FEWX|aTLV
39	35112 36336	   	268.82	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6ASPD|7CGEN|8RCR|9AME|aTLV
40	35625 23231	   	268.73	DCR|2VULN|3DMG|2MLV	1aRPLT|258DMG|3AME|48VULN|6RCR|78MLV|8BPWR|9DUR
41	35625 23232	   	268.73	DCR|2VULN|3DMG|2MLV	1RPLT|258DMG|3AME|48VULN|6RCR|78MLV|8BPWR|9DUR|aLHND
42	35112 21536	   	268.72	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7LWND|8ASPD|9DUST|aTLV
43	35112 21561	   	268.72	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7LWND|8ASPD|9ERES|aTLV
44	35112 22436	   	268.72	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7DUST|8LWND|9ASPD|aTLV
45	35112 31321	   	268.72	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6ASPD|7ERES|8RCR|9FEWX|aTLV
46	35112 36311	   	268.72	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6ASPD|7CGEN|8RCR|9LEGI|aTLV
47	35112 36341	   	268.72	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6ASPD|7CGEN|8RCR|9DUST|aTLV
48	51332 12416	 * 	268.64	DCR|DCR|1VULN|1TLV|1DMG	1TBNT|2VULN|3TLV|4LIT|5DMG|6aRCR|79CGEN|8BELT
49	35112 23135	   	268.63	DCR|2VULN|3DMG|2MLV	1RPLT|248DMG|34VULN|4BPWR|5aMLV|6RCR|7AME|9DUR
50	35112 25135	   	268.63	DCR|2VULN|3DMG|2MLV	1RPLT|248DMG|34VULN|4BPWR|5aMLV|6RCR|7RMIN|9DUR
51	35112 31311	   	268.62	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6ASPD|7ERES|8RCR|9LEGI|aTLV
52	35112 31341	   	268.62	DCR|2VULN|2DMG|1TLV|1MLV|1ASPD	1RPLT|24DMG|34VULN|4BPWR|5MLV|6ASPD|7ERES|8RCR|9DUST|aTLV
53	35112 23164	   	268.23	DCR|2VULN|3DMG|1TLV|1MLV	1RPLT|248DMG|34VULN|4BPWR|5MLV|6RCR|7AME|9BBNT|aTLV
54	35112 24352	   	267.64	DCR|2VULN|2DMG|1MLV|1AAC|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7CDMG|8AAC|9AART|aDUR
55	35112 23213	   	267.46	DCR|2VULN|3DMG|2MLV	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9RAT|aFEWX
56	35112 23326	   	267.43	DCR|2VULN|2DMG|1TLV|1MLV|2DUR	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7AME|89DUR|aTLV
57	35112 23211	   	267.36	DCR|2VULN|3DMG|2MLV	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9RAT|aMDPS
58	35112 23215	   	267.36	DCR|2VULN|3DMG|2MLV	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9RAT|aBEXP
59	35112 23216	   	267.36	DCR|2VULN|3DMG|2MLV	1RPLT|248DMG|34VULN|48BPWR|58MLV|6RCR|78AME|9RAT|aDUST
60	35625 23213	   	267.36	DCR|2VULN|3DMG|2MLV	1RPLT|258DMG|3AME|48VULN|6RCR|78MLV|8BPWR|9RAT|aFEWX
61	35625 23211	   	267.26	DCR|2VULN|3DMG|2MLV	1RPLT|258DMG|3AME|48VULN|6RCR|78MLV|8BPWR|9RAT|aMDPS
62	13314 11631	   	266.81	DCR|DCR|1VULN|1DMG|1CDMG	1AME|2CDMG|3DMG|4DUR|5VULN|6BELT|7LWND|89RCR|aAART
63	13314 15631	   	266.81	DCR|DCR|1VULN|1DMG|1CDMG	1AME|2CDMG|3DMG|4DUR|5VULN|6BELT|7LHND|89RCR|aAART
64	13316 12631	   	266.71	DCR|DCR|1VULN|1DMG|1CDMG	1AME|2CDMG|3DMG|4DUR|5LEGI|6BELT|7VULN|89RCR|aAART
65	35112 23114	   	266.54	DCR|3VULN|3DMG|1MLV	1RPLT|248DMG|34aVULN|4BPWR|5MLV|6RCR|7AME|9RAT
66	35112 25114	   	266.54	DCR|3VULN|3DMG|1MLV	1RPLT|248DMG|34aVULN|4BPWR|5MLV|6RCR|7RMIN|9RAT
67	35112 24123	   	266.22	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7CDMG|8DMSP|9TLV|aLHND
68	35112 24121	   	266.12	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7CDMG|8DMSP|9TLV|aMBVNT
69	35112 24124	   	266.12	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7CDMG|8DMSP|9TLV|aERES
70	35112 51512	   	266.12	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6CDMG|7MDPS|8RCR|9TBNT|aTLV
71	35112 51532	   	266.12	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6CDMG|7MDPS|8RCR|9BBNT|aTLV
72	35112 55231	   	266.12	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6CDMG|7TLV|8LHND|9RCR|aDUST
73	35112 55232	   	266.12	DCR|2VULN|2DMG|1TLV|1MLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6CDMG|7TLV|8LHND|9RCR|aERES
74	51214 22532	   	265.37	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2VULN|3DUST|4AAC|5RCVC|68RCR|7TLV|9FEWX|aRPLT
75	51214 22533	   	265.37	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2VULN|3DUST|4AAC|5RCVC|68RCR|7TLV|9aFEWX
76	25213 22542	   	265.27	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2BBNT|3DUST|4AAC|5RCVC|68RCR|7TLV|9ZMB|aVULN
77	51214 22521	   	265.27	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2VULN|3DUST|4AAC|5RCVC|68RCR|7TLV|9ERES|aBELT
78	51215 22532	   	265.27	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2VULN|35DUST|4AAC|68RCR|7TLV|9FEWX|aRPLT
79	51215 22533	   	265.27	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2VULN|35DUST|4AAC|68RCR|7TLV|9aFEWX
80	53213 22542	   	265.27	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2BEXP|3DUST|4AAC|5RCVC|68RCR|7TLV|9ZMB|aVULN
81	25213 22522	   	265.17	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2BBNT|3DUST|4AAC|5RCVC|68RCR|7TLV|9ERES|aVULN
82	51214 22522	   	265.17	DCR|DCR|1VULN|1TLV|1AAC|1MSE	1TBNT|2VULN|3DUST|4AAC|5RCVC|68RCR|7TLV|9ERES|aMSE
83	51214 22523	   	265.17	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2VULN|3aDUST|4AAC|5RCVC|68RCR|7TLV|9ERES
84	51215 22521	   	265.17	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2VULN|35DUST|4AAC|68RCR|7TLV|9ERES|aBELT
85	53213 22522	   	265.17	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2BEXP|3DUST|4AAC|5RCVC|68RCR|7TLV|9ERES|aVULN
86	25215 22522	   	265.07	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2BBNT|35DUST|4AAC|68RCR|7TLV|9ERES|aVULN
87	51215 22522	   	265.07	DCR|DCR|1VULN|1TLV|1AAC|1MSE	1TBNT|2VULN|35DUST|4AAC|68RCR|7TLV|9ERES|aMSE
88	51215 22523	   	265.07	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2VULN|35aDUST|4AAC|68RCR|7TLV|9ERES
89	53215 22522	   	265.07	DCR|DCR|1VULN|1TLV|1AAC	1TBNT|2BEXP|35DUST|4AAC|68RCR|7TLV|9ERES|aVULN
90	35112 24253	 * 	264.87	DCR|2VULN|2DMG|2ASPD|1MLV|1CDMG	1RPLT|24DMG|34VULN|4BPWR|5MLV|6RCR|7CDMG|8BASARM|9aASPD
91	25523 22522	   	264.63	DCR|DCR|1VULN|1TLV|1ASPD	1BEXP|2BBNT|3ASPD|4DUST|5RCVC|68RCR|7TLV|9VULN|aAME
92	53523 22522	   	264.63	DCR|DCR|1VULN|1TLV|1ASPD	1TBNT|2BEXP|3ASPD|4DUST|5RCVC|68RCR|7TLV|9VULN|aAME
93	35112 51521	 * 	264.53	DCR|2VULN|2MLV|2DMG|2CDMG	1RPLT|24DMG|34VULN|4BPWR|5aMLV|69CDMG|7MDPS|8RCR
94	25523 22521	   	264.53	DCR|DCR|1VULN|1TLV|1ASPD|1SELL	1BEXP|2BBNT|3ASPD|4DUST|5RCVC|68RCR|7TLV|9VULN|aSELL
95	25523 22523	   	264.53	DCR|DCR|1VULN|1TLV|1ASPD	1BEXP|2BBNT|3ASPD|4DUST|5RCVC|68RCR|7TLV|9VULN|aAEFRZ
96	53523 22521	   	264.53	DCR|DCR|1VULN|1TLV|1ASPD|1SELL	1TBNT|2BEXP|3ASPD|4DUST|5RCVC|68RCR|7TLV|9VULN|aSELL
97	53523 22523	   	264.53	DCR|DCR|1VULN|1TLV|1ASPD	1TBNT|2BEXP|3ASPD|4DUST|5RCVC|68RCR|7TLV|9VULN|aAEFRZ
98	35323 21162	 * 	263.88	ACR|3VULN|3DMG|3ASPD|2DUR	1RPLT|267DMG|379ASPD|479VULN|5RCR|79BPWR|89DUR|aAART
99	35133 21162	   	263.88	ACR|3VULN|3DMG|3ASPD|2DUR	1RPLT|267DMG|379VULN|479ASPD|5RCR|79BPWR|89DUR|aAART
100	13114 11631	   	263.64	DCR|DCR|1VULN|1AAC|1CDMG	1AME|2CDMG|3AAC|4DUR|5VULN|6BELT|7LWND|89RCR|aAART
101	13114 15631	   	263.64	DCR|DCR|1VULN|1AAC|1CDMG	1AME|2CDMG|3AAC|4DUR|5VULN|6BELT|7LHND|89RCR|aAART
102	13116 12631	   	263.54	DCR|DCR|1VULN|1AAC|1CDMG	1AME|2CDMG|3AAC|4DUR|5LEGI|6BELT|7VULN|89RCR|aAART
103	51151 52233	 * 	263.50	DCR|4VULN|2TLV|1AAC	1TBNT|2678VULN|3LWND|48TLV|58CGEN|8BPWR|9AAC|aRCR
104	32112 21351	   	263.42	DCR|3VULN|2MLV|1AAC|1ASPD	1RPLT|247ERES|349VULN|49BPWR|59MLV|6AAC|8RCR|aASPD
105	51251 52233	   	263.40	DCR|4VULN|2TLV|1AAC	1TBNT|2678VULN|3DUST|48TLV|58CGEN|8BPWR|9AAC|aRCR
