0	Index      	 *	Score 	Summary	Detail	
1	52154 43441	 * 	302.56	DCR|DCR|2VULN|1TLV|2ASPD	19ASPD|2DUST|3TLV|4MBVNT|56VULN|7aRCR|8RPLT
23	15612 63232	   	285.80	DCR|2VULN|2MLV|2DMG|1TLV	1ZMB|28DMG|3LHND|4CGEN|58VULN|6TLV|78MLV|8BPWR|9RCR|aNUKE
24	15632 63232	   	285.70	DCR|2VULN|2MLV|2DMG|1TLV	1ZMB|28DMG|3LHND|4ERES|58VULN|6TLV|78MLV|8BPWR|9RCR|aNUKE
25	52113 33232	   	283.74	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4CGEN|5VULN|68MLV|7AAC|8BPWR|9RCR|aNUKE
26	52133 63232	   	283.64	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4ERES|5VULN|68MLV|7AAC|8BPWR|9RCR|aNUKE
27	15353 23242	   	282.08	DCR|DCR|1TLV|1DMG|1AAC|1ASPD	1ZMB|2DMG|3ASPD|4LIT|5DUR|6RAT|7aRCR|8AAC|9TLV
28	52154 43821	 * 	279.62	DCR|3VULN|2TLV|2ASPD|1MLV	18ASPD|2DUST|38TLV|4MBVNT|568VULN|7RCR|8BPWR|9RMIN|aMLV
29	52154 43811	   	279.52	DCR|3VULN|2TLV|2ASPD|1MLV	18ASPD|29DUST|38TLV|4MBVNT|568VULN|7RCR|8BPWR|aMLV
30	14326 23321	   	278.76	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1ZMB|2TLV|3ASPD|4VULN|5RPLT|6LWND|7AAC|8aRCR|9AEFBLL
31	14326 43321	   	278.76	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1ZMB|2TLV|3ASPD|4VULN|5RPLT|6LHND|7AAC|8aRCR|9AEFBLL
32	14334 14232	   	278.37	DCR|2VULN|2MLV|2TLV|1ASPD	1ZMB|28TLV|3ASPD|4ERES|58MLV|6BEXP|78VULN|8BPWR|9RCR|aNUKE
33	15313 66321	   	278.33	DCR|DCR|1VULN|1MLV|1DMG|1ASPD	1ZMB|2DMG|3ASPD|4AETHUN|5VULN|6MLV|7RPLT|8aRCR|9AEFBLL
34	14334 33631	 * 	277.53	DCR|2VULN|2MLV|1TLV|2ASPD	17ZMB|2TLV|37ASPD|4ERES|5aMLV|67VULN|7BPWR|8DUR|9RCR
35	23153 83421	 * 	277.51	DCR|DCR|1VULN|1TLV|2AAC	1LWND|26AAC|3TLV|4MBVNT|5VULN|7aRCR|8RPLT|9AEFBLL
36	23153 83441	   	277.51	DCR|DCR|1VULN|1TLV|2AAC	1LWND|26AAC|3TLV|4MBVNT|5VULN|7aRCR|8RPLT|9AEPOI
37	14323 34521	   	277.43	DCR|2VULN|2MLV|1TLV|2ASPD	1ZMB|2TLV|35ASPD|47VULN|6aMLV|8RCR|9DUR
38	23153 63843	 * 	277.24	DCR|3VULN|3TLV|2ASPD|1AAC	168LWND|2AAC|38aTLV|4MBVNT|58aVULN|7RCR|8aBPWR|9aASPD
39	14325 33522	   	276.49	DCR|2VULN|2MLV|1TLV|1ASPD|1CDMG	1ZMB|2TLV|3ASPD|45VULN|67MLV|8RCR|9DUR|aCDMG
40	23614 23624	 * 	276.28	DCR|DCR|2DMG|1VULN|1AAC	1LWND|2AAC|3BEXP|4VULN|56DMG|7aRCR|8DUR|9MBVNT
41	23624 23124	   	276.28	DCR|DCR|2DMG|1VULN|1AAC	1LWND|2AAC|3BEXP|4DUR|56DMG|7aRCR|8VULN|9MBVNT
42	15612 63233	   	276.14	DCR|2VULN|2MLV|2DMG|1TLV	1ZMB|28DMG|3LHND|4CGEN|58VULN|6TLV|78MLV|8BPWR|9RCR|aBBNT
43	15632 63233	   	276.04	DCR|2VULN|2MLV|2DMG|1TLV	1ZMB|28DMG|3LHND|4ERES|58VULN|6TLV|78MLV|8BPWR|9RCR|aBBNT
44	52154 73421	   	275.85	DCR|DCR|2TLV|1VULN|1ASPD	1ASPD|2DUST|36TLV|4MBVNT|5VULN|7aRCR|8RPLT|9AEFBLL
45	14323 33521	   	274.77	DCR|3MLV|1VULN|1TLV|2ASPD	1ZMB|2TLV|35ASPD|4VULN|67aMLV|8RCR|9DUR
46	52113 33233	   	274.08	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4CGEN|5VULN|68MLV|7AAC|8BPWR|9RCR|aBBNT
47	52113 33235	   	274.08	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4CGEN|5VULN|68MLV|7AAC|8BPWR|9RCR|aZMB
48	52113 33234	   	273.98	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4CGEN|5VULN|68MLV|7AAC|8BPWR|9RCR|aAEFRZ
49	52113 33236	   	273.98	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4CGEN|5VULN|68MLV|7AAC|8BPWR|9RCR|aLEGI
50	52133 63233	   	273.98	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4ERES|5VULN|68MLV|7AAC|8BPWR|9RCR|aBBNT
51	52133 63235	   	273.98	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4ERES|5VULN|68MLV|7AAC|8BPWR|9RCR|aZMB
52	52133 63234	   	273.88	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4ERES|5VULN|68MLV|7AAC|8BPWR|9RCR|aAEFRZ
53	52133 63236	   	273.88	DCR|2MLV|2TLV|1VULN|2ASPD|1AAC	18ASPD|2DUST|38TLV|4ERES|5VULN|68MLV|7AAC|8BPWR|9RCR|aLEGI
54	15133 63624	   	273.79	DCR|DCR|1VULN|1TLV|1DMG	1ZMB|2DMG|3BEXP|4ERES|5VULN|6TLV|7aRCR|8DUR|9MBVNT
55	15136 53124	   	273.79	DCR|DCR|1VULN|1TLV|1DMG	1ZMB|2DMG|3BEXP|4ERES|5DUR|6TLV|7aRCR|8VULN|9MBVNT
56	15323 34521	 * 	272.95	DCR|3VULN|2MLV|1DMG|1ASPD	1ZMB|2DMG|3ASPD|457VULN|6aMLV|8RCR|9DUR
57	56523 32441	 * 	272.95	DCR|DCR|1VULN|2ASPD|1MLV	19ASPD|2CGEN|3MBVNT|4RMIN|5VULN|6RPLT|7MLV|8aRCR
58	51516 32341	   	272.85	DCR|DCR|1VULN|2ASPD|1MLV	19ASPD|2ERES|3MBVNT|4CGEN|5VULN|6RPLT|7MLV|8aRCR
59	51562 32341	   	272.85	DCR|DCR|1VULN|2ASPD|1MLV	19ASPD|2ERES|3MBVNT|4RPLT|5CGEN|6VULN|7MLV|8aRCR
60	51563 32341	   	272.85	DCR|DCR|1VULN|2ASPD|1MLV	19ASPD|2ERES|3MBVNT|4RPLT|5AME|6VULN|7MLV|8aRCR
