0	Index      	 *	Score 	Summary	Detail	
1	42332 13425	 * 	326.37	DCR|DCR|2VULN|2DMG|1TLV|1AAC	1aVULN|27DMG|3TLV|4FEWX|5AAC|6MDPS|89RCR
28	42332 13423	   	300.06	DCR|DCR|2DMG|1VULN|1TLV|1AAC|1MSE	1VULN|27DMG|3TLV|4FEWX|5AAC|6MDPS|89RCR|aMSE
29	42122 21135	   	299.42	DCR|DCR|2DMG|1VULN|1TLV|1ASPD	1VULN|23DMG|4AEWIND|5TLV|6BBNT|7aRCR|8ASPD|9LSRICY
30	16522 11152	   	298.77	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1LHND|2MLV|3DUR|4VULN|5DUST|6TLV|7aRCR|8ASPD|9TBNT
31	22133 32426	   	298.47	DCR|DCR|2MLV|1TLV|1AAC|1CDMG	1AME|2TLV|3TBNT|47MLV|5AAC|6NUKE|89RCR|aCDMG
32	22233 32426	   	298.47	DCR|DCR|2MLV|1TLV|1AAC|1CDMG	1AME|2TLV|3BBNT|47MLV|5AAC|6NUKE|89RCR|aCDMG
33	42312 14421	   	296.65	DCR|DCR|2TLV|1VULN|1DMG|1AAC	1VULN|2DMG|37TLV|4LWND|5AAC|6MDPS|89RCR|aAEFBLL
34	42312 14422	   	296.65	DCR|DCR|2TLV|1VULN|1DMG|1AAC	1VULN|2DMG|37TLV|4LWND|5AAC|6MDPS|89RCR|aERES
35	42312 14423	   	296.65	DCR|DCR|2TLV|1VULN|1DMG|1AAC|1MSE	1VULN|2DMG|37TLV|4LWND|5AAC|6MDPS|89RCR|aMSE
36	42332 14421	   	296.65	DCR|DCR|2TLV|1VULN|1DMG|1AAC	1VULN|2DMG|37TLV|4FEWX|5AAC|6MDPS|89RCR|aAEFBLL
37	42332 14422	   	296.65	DCR|DCR|2TLV|1VULN|1DMG|1AAC	1VULN|2DMG|37TLV|4FEWX|5AAC|6MDPS|89RCR|aERES
38	42332 14423	   	296.65	DCR|DCR|2TLV|1VULN|1DMG|1AAC|1MSE	1VULN|2DMG|37TLV|4FEWX|5AAC|6MDPS|89RCR|aMSE
