0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34642 23321	9	 * 	293.45	DCR|5VULN|3DUR|1TLV|1AART	1DMSP|24578VULN|347DUR|47BPWR|6AART|9TLV|aRCR
17	61131 66223	1	   	269.89	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2MLV|3LHND|456DMG|56BPWR|7TLV|8CGEN|9DUR|aRCR
18	65331 63212	1	   	269.89	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2TLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9aBELT
19	65331 63222	1	   	269.89	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2TLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9CGEN|aRCVC
20	65331 63223	1	   	269.89	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2TLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9CGEN|aLWND
21	61331 63211	1	   	269.89	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2MLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9BELT|aTLV
22	62231 63211	3	   	269.89	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2BEXP|3MLV|456DMG|56BPWR|7DUR|8RCR|9BELT|aTLV
23	63231 63211	3	   	269.89	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2FEWX|3MLV|456DMG|56BPWR|7DUR|8RCR|9BELT|aTLV
24	65131 61231	1	   	269.79	DCR|3VULN|3DMG|1TLV|2ASPD	156VULN|2TLV|3LHND|456DMG|56BPWR|7FEWX|8RCR|9aASPD
25	65331 61231	1	   	269.79	DCR|3VULN|3DMG|1TLV|2ASPD	156VULN|2TLV|3BEXP|456DMG|56BPWR|7FEWX|8RCR|9aASPD
26	66231 63211	3	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	156VULN|2DUST|3MLV|456DMG|56BPWR|7DUR|8RCR|9BELT|aTLV
27	62331 15532	2	   	268.92	DCR|3VULN|2DMG|2DUR|1TLV	157VULN|27BEXP|3ZMB|45DMG|57BPWR|67DUR|8LHND|9TLV|aRCR
28	34616 31233	7	   	268.65	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1AART	1DMSP|29VULN|37DUR|4AART|59DMG|69LIT|8RCR|9BPWR|aTLV
29	34642 23331	9	   	267.15	DCR|5VULN|3DUR|1AART	1DMSP|24578VULN|347DUR|47BPWR|6AART|9ERES|aRCR
30	12431 15233	2	   	266.58	DCR|3VULN|3DMG|2DUR	17ZMB|259VULN|3LEGI|457DMG|57BPWR|67DUR|8RCR|aLIT
31	14431 15233	1	   	266.58	DCR|3VULN|3DMG|2DUR	17ZMB|259VULN|3LEGI|457DMG|57BPWR|67DUR|8RCR|aLIT
32	61331 63224	1	   	264.74	DCR|4VULN|3DMG|1DUR	156aVULN|2MLV|3BEXP|456DMG|56BPWR|7DUR|8RCR|9CGEN
33	62231 63224	3	   	264.74	DCR|4VULN|3DMG|1DUR	156aVULN|2BEXP|3MLV|456DMG|56BPWR|7DUR|8RCR|9CGEN
34	63231 63224	3	   	264.74	DCR|4VULN|3DMG|1DUR	156aVULN|2FEWX|3MLV|456DMG|56BPWR|7DUR|8RCR|9CGEN
35	61131 22646	1	   	263.67	DCR|4VULN|2DMG|2DUR	156aVULN|2aMLV|3LHND|45DMG|5aBPWR|7MBVNT|8aDUR|9RCR
