0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34111 33221	9	 * 	289.60	DCR|4VULN|2DUR|2TLV|1DMG|1ASPD	125aVULN|3LWND|4aDUR|6ASPD|7RCR|8DMG|9aTLV|aBPWR
26	33344 61111	4	   	277.73	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG	156VULN|2aLIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9BEXP
27	33344 61121	4	   	277.73	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG	156VULN|2aLIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9LWND
28	33364 61111	3	   	277.73	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG	156VULN|2aLIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9BEXP
29	33364 61121	3	   	277.73	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG	156VULN|2aLIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9LWND
30	31224 11215	1	 * 	276.35	DCR|4VULN|3DUR|1CDMG|1ASPD	1248VULN|24BPWR|349DUR|5BEXP|6RCR|7CDMG|aASPD
31	34224 11215	2	   	276.35	DCR|4VULN|3DUR|1CDMG|1ASPD	1248VULN|349DUR|4BPWR|5BEXP|6RCR|7CDMG|aASPD
32	34324 11215	3	   	276.35	DCR|4VULN|3DUR|1CDMG|1ASPD	1248VULN|349DUR|4BPWR|5BEXP|6RCR|7CDMG|aASPD
33	35322 15633	8	   	276.26	DCR|4VULN|2DMG|2ASPD|1AART	178aVULN|2AART|36LHND|47ASPD|57DMG|7BPWR|9RCR
34	25552 33213	3	   	276.22	DCR|4VULN|2DMG|2DUR	19BEXP|24DUR|3469VULN|49BPWR|59DMG|7RCVC|8TBNT|aRCR
35	31311 43113	4	   	276.12	DCR|4VULN|2DMG|2DUR	1479VULN|28FEWX|39DUR|5BBNT|69DMG|9BPWR|aRCR
36	31312 33113	4	   	276.12	DCR|4VULN|2DMG|2DUR	1479VULN|28FEWX|39DUR|59DMG|6BBNT|9BPWR|aRCR
37	31412 33113	2	   	276.12	DCR|4VULN|2DMG|2DUR	1479VULN|28FEWX|39DMG|59DUR|6BBNT|9BPWR|aRCR
38	31552 33113	1	   	276.12	DCR|4VULN|2DMG|2DUR	1279VULN|29BPWR|38FEWX|49DMG|59DUR|6BBNT|aRCR
39	34111 43313	4	   	276.12	DCR|4VULN|2DMG|2DUR	1279VULN|3LWND|49DUR|5BBNT|69DMG|8DMSP|9BPWR|aRCR
40	34112 33313	4	   	276.12	DCR|4VULN|2DMG|2DUR	1279VULN|3LWND|49DUR|59DMG|6BBNT|8DMSP|9BPWR|aRCR
41	34113 63213	7	   	276.12	DCR|4VULN|2DMG|2DUR	1269VULN|35LWND|49DUR|79DMG|8TBNT|9BPWR|aRCR
42	34152 33313	3	   	276.12	DCR|4VULN|2DMG|2DUR	1279VULN|3LWND|49DMG|59DUR|6BBNT|8DMSP|9BPWR|aRCR
43	34156 13313	3	   	276.12	DCR|4VULN|2DMG|2DUR	1269VULN|3LWND|49DMG|5TBNT|79DUR|8DMSP|9BPWR|aRCR
44	34212 33213	4	   	276.12	DCR|4VULN|2DMG|2DUR	1269VULN|3BEXP|49DUR|59DMG|7RCVC|8TBNT|9BPWR|aRCR
45	34212 34213	4	   	276.12	DCR|4VULN|2DMG|2DUR	1269VULN|37BEXP|49DUR|59DMG|8TBNT|9BPWR|aRCR
46	34552 33113	2	   	276.12	DCR|4VULN|2DMG|2DUR	1279VULN|38FEWX|49DMG|59DUR|6BBNT|9BPWR|aRCR
47	34334 63212	9	   	274.92	DCR|3VULN|3DUR|2DMG	125VULN|379DUR|4LIT|68DMG|aRCR
48	31223 32146	1	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	1249VULN|24BPWR|34DUR|5ZMB|6FEWX|7DMG|8RCR|aTLV
49	34223 32146	2	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	1249VULN|34DUR|4BPWR|5ZMB|6FEWX|7DMG|8RCR|aTLV
50	34323 32146	3	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	1249VULN|34DUR|4BPWR|5ZMB|6FEWX|7DMG|8RCR|aTLV
51	31223 62146	1	   	274.69	DCR|4VULN|2DUR|1DMG|1TLV	1249VULN|24BPWR|34DUR|5ZMB|6LEGI|7DMG|8RCR|aTLV
52	35231 51326	6	 * 	274.39	DCR|5VULN|2DMG|1AART	14567VULN|2AART|3RCVC|89DMG|9BPWR|aRCR
53	31224 11216	1	   	273.66	DCR|4VULN|3DUR|1CDMG	1248VULN|24BPWR|349DUR|5BEXP|6RCR|7CDMG|aLIT
54	34224 11216	2	   	273.66	DCR|4VULN|3DUR|1CDMG	1248VULN|349DUR|4BPWR|5BEXP|6RCR|7CDMG|aLIT
55	34324 11216	3	   	273.66	DCR|4VULN|3DUR|1CDMG	1248VULN|349DUR|4BPWR|5BEXP|6RCR|7CDMG|aLIT
56	31214 32131	1	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	127aVULN|2aBPWR|3aDUR|4RPLT|5CGEN|6CDMG|8RCR|9aASPD
57	34214 32131	2	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	127aVULN|3aDUR|4RPLT|5CGEN|6CDMG|8RCR|9aASPD|aBPWR
58	34234 32131	1	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	147aVULN|2aDUR|3RPLT|5CGEN|6CDMG|8RCR|9aASPD|aBPWR
59	34314 32131	3	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	127aVULN|3aDUR|4RPLT|5CGEN|6CDMG|8RCR|9aASPD|aBPWR
60	36434 32131	2	   	273.44	DCR|4VULN|2DUR|2ASPD|1CDMG	147aVULN|2RPLT|3aDUR|5CGEN|6CDMG|8RCR|9aASPD|aBPWR
61	36216 62131	4	   	273.36	DCR|3VULN|2DUR|2ASPD|2CDMG|1TLV	17aVULN|2RPLT|3aCDMG|45DUR|6TLV|8RCR|9aASPD|aBPWR
62	34316 13221	9	 * 	273.35	DCR|3VULN|2DMG|2DUR|2TLV|1NUKE	12aVULN|34DUR|5NUKE|6LEGI|7RCR|8aDMG|9aTLV|aBPWR
63	34632 12223	8	 * 	273.01	DCR|4VULN|3DUR|2ASPD	1248VULN|3CGEN|5DMSP|689DUR|78ASPD|8BPWR|aRCR
64	34634 12223	8	   	273.01	DCR|4VULN|3DUR|2ASPD	1248VULN|35CGEN|689DUR|78ASPD|8BPWR|aRCR
65	36121 63422	8	   	272.87	DCR|5VULN|2DUR|2LIT	1589aVULN|2RPLT|3ERES|48LIT|6RCR|78DUR|8BPWR
66	34433 32342	8	   	272.85	DCR|5VULN|2ASPD|1DUR	12479VULN|36ASPD|5LIT|8DUR|aRCR
67	34431 33351	4	   	272.71	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD|1AART	124VULN|3ASPD|5AART|6RCR|79DUR|8DMG|aTLV
68	34431 22222	8	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	1248VULN|3ASPD|58MLV|6RMIN|78DMG|8BPWR|9DUR|aRCR
69	31225 21614	1	   	272.59	DCR|4VULN|2DUR|1TLV|1AART	124aVULN|24BPWR|34DUR|5LIT|6TBNT|7AART|8RCR|9TLV
70	31224 11231	1	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|9DMG|aFEWX
71	31224 11232	1	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|9DMG|aRCVC
72	31224 11234	1	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|9DMG|aRMIN
73	31224 11236	1	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|9DMG|aLHND
74	34224 11231	2	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aFEWX
75	34224 11232	2	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aRCVC
76	34224 11234	2	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aRMIN
77	34224 11236	2	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aLHND
78	34324 11231	3	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aFEWX
79	34324 11232	3	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aRCVC
80	34324 11234	3	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aRMIN
81	34324 11236	3	   	272.19	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aLHND
82	36212 62151	3	   	272.19	DCR|4VULN|2DUR|2TLV|1CDMG	147aVULN|2RPLT|3CDMG|5aDUR|6aTLV|8RCR|9RMIN|aBPWR
83	31224 11235	1	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|9DMG|aMBVNT
84	34224 11235	2	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aMBVNT
85	34324 11235	3	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1248VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|9DMG|aMBVNT
86	34316 32121	8	 * 	271.76	DCR|4VULN|3DUR|1DMG|1NUKE	1279VULN|347DUR|5NUKE|67FEWX|7BPWR|8RCR|aDMG
87	34316 32143	10	   	271.76	DCR|4VULN|3DUR|1DMG|1NUKE	127aVULN|347DUR|5NUKE|67FEWX|7BPWR|8RCR|9DMG
88	34316 42121	8	   	271.76	DCR|4VULN|3DUR|1DMG|1NUKE	1279VULN|347DUR|5NUKE|67BEXP|7BPWR|8RCR|aDMG
89	31224 11261	1	   	271.66	DCR|5VULN|2DUR|1CDMG	12489VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|aRMIN
90	31224 11262	1	   	271.66	DCR|5VULN|2DUR|1CDMG	12489VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|aZMB
91	31224 11264	1	   	271.66	DCR|5VULN|2DUR|1CDMG	12489VULN|24BPWR|34DUR|5aBEXP|6RCR|7CDMG
92	34224 11261	2	   	271.66	DCR|5VULN|2DUR|1CDMG	12489VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|aRMIN
93	34224 11262	2	   	271.66	DCR|5VULN|2DUR|1CDMG	12489VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|aZMB
94	34324 11261	3	   	271.66	DCR|5VULN|2DUR|1CDMG	12489VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|aRMIN
95	34324 11262	3	   	271.66	DCR|5VULN|2DUR|1CDMG	12489VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|aZMB
96	31223 62535	1	   	271.66	DCR|4VULN|3DUR|1DMG	124aVULN|24BPWR|348DUR|5ZMB|6LEGI|7DMG|9RCR
97	31224 11263	1	   	271.56	DCR|5VULN|2DUR|1CDMG	12489VULN|24BPWR|34DUR|5BEXP|6RCR|7CDMG|aTBNT
98	31311 11266	5	   	271.56	DCR|5VULN|2DUR|1CDMG	14589VULN|2FEWX|3aDUR|6RCR|7CDMG
99	34224 11263	2	   	271.56	DCR|5VULN|2DUR|1CDMG	12489VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|aTBNT
100	34324 11263	3	   	271.56	DCR|5VULN|2DUR|1CDMG	12489VULN|34DUR|4BPWR|5BEXP|6RCR|7CDMG|aTBNT
101	14311 11266	5	   	271.46	DCR|5VULN|2DUR|1CDMG	1DUST|24589VULN|3aDUR|6RCR|7CDMG
102	34316 32126	8	 * 	271.24	DCR|5VULN|3DUR|1NUKE	1279aVULN|347DUR|5NUKE|67FEWX|7BPWR|8RCR
103	33344 61112	4	   	271.18	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9BEXP|aRMIN
104	33344 61113	4	   	271.18	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9aBEXP
105	33344 61122	4	   	271.18	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9LWND|aRMIN
106	33344 61123	4	   	271.18	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9LWND|aBEXP
107	33344 61132	4	   	271.18	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9CGEN|aRMIN
108	33364 61112	3	   	271.18	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9BEXP|aRMIN
109	33364 61113	3	   	271.18	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9aBEXP
110	33364 61122	3	   	271.18	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9LWND|aRMIN
111	33364 61123	3	   	271.18	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9LWND|aBEXP
112	33364 61132	3	   	271.18	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9CGEN|aRMIN
113	34111 33246	8	   	271.11	DCR|4VULN|1DMG|1TLV|1DUR|1ASPD	1259VULN|3LWND|4DUR|6ASPD|7RCR|8DMG|aTLV
114	33344 61212	4	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8ERES|9BEXP|aRCR
115	33344 61232	4	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8ERES|9FEWX|aRCR
116	33364 61212	3	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8ERES|9BEXP|aRCR
117	33364 61232	3	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8ERES|9FEWX|aRCR
118	33344 61131	4	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9CGEN|aBBNT
119	33364 61131	3	   	271.08	DCR|3VULN|3DUR|1DMG|1CDMG	156VULN|2LIT|3CDMG|456DUR|56BPWR|7DMG|8RCR|9CGEN|aBBNT
120	32154 35233	8	   	271.02	DCR|3VULN|2DMG|2DUR|2AART	17aVULN|2ZMB|37DUR|47DMG|58AART|6RCVC|7BPWR|9RCR
121	35253 25233	8	   	271.02	DCR|3VULN|2DMG|2DUR|2AART	17aVULN|28AART|3RCVC|47DMG|57DUR|6RMIN|7BPWR|9RCR
122	35352 15113	7	 * 	270.71	DCR|4VULN|3DMG|1AART	1789VULN|2AART|369LHND|478ERES|578DMG|789BPWR|aRCR
123	31221 64523	1	 * 	270.01	ACR|5VULN|3DUR|1DMG|1ASPD	1248aVULN|24BPWR|346DUR|5RCR|7DMG|9ASPD
124	35322 15631	8	   	269.87	DCR|3VULN|2DMG|2ASPD|1TLV|1AART	178VULN|2AART|36LHND|47ASPD|57DMG|7BPWR|9RCR|aTLV
125	35231 43613	8	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1457VULN|2AART|3RCVC|6TLV|8RCR|9DUR|aDMG
126	35231 43613	9	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1457VULN|2AART|3RCVC|6TLV|8RCR|9DUR|aDMG
127	42432 22236	9	   	269.65	DCR|4VULN|2DMG|1DUR	1ERES|2DUR|3479VULN|5LIT|68DMG|aRCR
128	44132 22236	9	   	269.65	DCR|4VULN|2DMG|1DUR	1ERES|2479VULN|3DUR|5LIT|68DMG|aRCR
129	32214 35633	8	   	269.45	DCR|4VULN|2DUR|2ASPD|1AART	178aVULN|2ZMB|37ASPD|47DUR|5AART|6RCVC|7BPWR|9RCR
130	34431 33531	4	   	269.45	DCR|4VULN|2DUR|2ASPD|1AART	1248VULN|38ASPD|5AART|6RCR|78DUR|8BPWR|9aBEXP
131	34431 33532	4	   	269.45	DCR|4VULN|2DUR|2ASPD|1AART	1248VULN|38ASPD|5AART|6RCR|78DUR|8BPWR|9BEXP|aRPLT
132	34431 33533	4	   	269.45	DCR|4VULN|2DUR|2ASPD|1AART	1248VULN|38ASPD|5AART|6RCR|78DUR|8BPWR|9BEXP|aCGEN
133	34111 33211	9	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	125aVULN|3LWND|4aDUR|6ASPD|7RCR|8DMG|9aERES|aBPWR
134	34111 33221	8	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	125aVULN|3LWND|4aDUR|6ASPD|7RCR|8DMG|9aERES|aBPWR
135	35121 26633	3	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	167aVULN|2AART|3MLV|48DUR|56ASPD|6BPWR|9RCR
136	34411 33512	3	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	1289VULN|38ASPD|4RCVC|5AART|6RCR|78DUR|8BPWR|aTBNT
137	34411 33523	3	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	128aVULN|38ASPD|4RCVC|5AART|6RCR|78DUR|8BPWR|9ERES
138	34431 33522	4	   	269.35	DCR|4VULN|2DUR|2ASPD|1AART	1248VULN|38ASPD|5AART|6RCR|78DUR|8BPWR|9ERES|aBEXP
139	35231 43611	9	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1457aVULN|2AART|3RCVC|6TLV|8RCR|9DUR
140	35231 43611	8	   	269.24	DCR|5VULN|1TLV|1DUR|1AART	1457aVULN|2AART|3RCVC|6TLV|8RCR|9DUR
141	53432 25313	3	   	269.24	DCR|3VULN|3DMG|2DUR	1RMIN|27FEWX|367VULN|456DMG|67BPWR|8aDUR|9RCR
142	31211 61561	1	   	269.14	DCR|3VULN|3DMG|2DUR	129VULN|29BPWR|39DUR|4RPLT|5BBNT|6BELT|7RCR|89aDMG
143	32451 33251	8	   	269.14	DCR|3VULN|3DMG|2DUR	13aVULN|2ZMB|48aDMG|5FEWX|6ERES|7RCR|9aDUR|aBPWR
144	51432 21613	3	   	269.14	DCR|3VULN|3DMG|2DUR	1RMIN|2aDUR|368VULN|456DMG|6BPWR|7LWND|9RCR
145	51432 25112	3	   	269.14	DCR|3VULN|3DMG|2DUR	1RMIN|27DUR|367VULN|456DMG|67BPWR|8DUST|9RCR|aMLV
146	51432 25122	3	   	269.14	DCR|3VULN|3DMG|2DUR	1RMIN|27DUR|367VULN|456DMG|67BPWR|8DUST|9RPLT|aRCR
147	53432 23613	3	   	269.14	DCR|3VULN|3DMG|2DUR	1RMIN|2FEWX|368VULN|456DMG|6BPWR|7aDUR|9RCR
148	51432 25111	3	   	269.04	DCR|3VULN|3DMG|2DUR	1RMIN|27DUR|367VULN|456DMG|67BPWR|8aDUST|9RCR
149	51432 25113	3	   	269.04	DCR|3VULN|3DMG|2DUR	1RMIN|27DUR|367VULN|456DMG|67BPWR|8DUST|9RCR|aTBNT
150	31311 66361	6	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1456VULN|2FEWX|3DUR|7LIT|8TLV|9DMG|aRCR
151	33163 22346	9	   	268.32	DCR|3VULN|2DMG|2ASPD|1TLV	179VULN|2LIT|39ERES|4TLV|58ASPD|69DMG|9BPWR|aRCR
152	14532 43131	9	   	268.31	DCR|4VULN|1DMG|1TLV|1DUR	1DUST|2479VULN|3TLV|5LIT|6DUR|8DMG|aRCR
153	32411 33513	3	   	268.30	DCR|4VULN|2DUR|1DMG|1AART	1389VULN|28ZMB|4RCVC|5AART|6RCR|78DUR|8BPWR|aDMG
154	36212 62252	3	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1478VULN|2RPLT|3CDMG|59DUR|6TLV|aRCR
155	31223 62141	1	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	1249VULN|24BPWR|34DUR|5ZMB|6LEGI|7DMG|8RCR|aAART
156	34223 62141	2	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	1249VULN|34DUR|4BPWR|5ZMB|6LEGI|7DMG|8RCR|aAART
157	34323 62141	3	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	1249VULN|34DUR|4BPWR|5ZMB|6LEGI|7DMG|8RCR|aAART
158	32431 33353	4	   	268.10	DCR|4VULN|2DUR|1DMG|1AART	134aVULN|2ZMB|5AART|6RCR|79DUR|8DMG
159	34211 11265	5	   	267.98	DCR|5VULN|1DUR|1CDMG|1ASPD	12589VULN|3BEXP|4DUR|6RCR|7CDMG|aASPD
160	32431 33511	4	   	267.77	DCR|5VULN|2DUR|1AART	13489VULN|28ZMB|5AART|6RCR|78DUR|8BPWR|aFEWX
161	32431 33512	4	   	267.77	DCR|5VULN|2DUR|1AART	13489VULN|28ZMB|5AART|6RCR|78DUR|8BPWR|aLWND
162	32431 33513	4	   	267.77	DCR|5VULN|2DUR|1AART	13489VULN|28ZMB|5AART|6RCR|78DUR|8BPWR|aRPLT
163	32431 33514	4	   	267.77	DCR|5VULN|2DUR|1AART	13489VULN|28ZMB|5AART|6RCR|78DUR|8BPWR|aLHND
164	32411 33511	3	   	267.77	DCR|5VULN|2DUR|1AART	1389aVULN|28ZMB|4RCVC|5AART|6RCR|78DUR|8BPWR
165	32431 33516	4	   	267.67	DCR|5VULN|2DUR|1AART	13489VULN|28ZMB|5AART|6RCR|78DUR|8BPWR|aDUST
166	32431 33523	4	   	267.67	DCR|5VULN|2DUR|1AART	1348aVULN|28ZMB|5AART|6RCR|78DUR|8BPWR|9ERES
167	31225 15361	1	   	267.00	DCR|3VULN|2DUR|1DMG|1TLV|2LIT	124VULN|24BPWR|34DUR|57LIT|6LHND|8TLV|9DMG|aRCR
168	34113 33221	9	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	12aVULN|35LWND|4aDUR|6ASPD|7RCR|8DMG|9aTLV|aBPWR
169	31315 17724	1	   	266.84	DCR|4VULN|2DUR|1DMG	1289VULN|29BPWR|3LIT|49DUR|5MBVNT|69MLV|7RCR|aDMG
170	31315 47724	1	   	266.84	DCR|4VULN|2DUR|1DMG	1289VULN|29BPWR|3LIT|49DUR|5MBVNT|69CGEN|7RCR|aDMG
171	33315 17724	2	   	266.84	DCR|4VULN|2DUR|1DMG	1389VULN|2LIT|49DUR|5MBVNT|69MLV|7RCR|9BPWR|aDMG
