0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62421 22512	10	 * 	281.42	DCR|4VULN|3DUR|1DMG|1AART	1ZMB|2AART|359DUR|457aVULN|5BPWR|6DMG|8RCR
62	55123 33233	7	   	254.82	DCR|4VULN|2DUR|1TLV	1aFEWX|279aVULN|38DUR|4TLV|5aBEXP|6RCR|aBPWR
63	55123 33313	8	   	254.82	DCR|4VULN|2DUR|1TLV	1aFEWX|278aVULN|39DUR|4TLV|5aBEXP|6RCR|aBPWR
64	55123 34233	6	   	254.82	DCR|4VULN|2DUR|1TLV	1aFEWX|279aVULN|38DUR|4TLV|5aBEXP|6RCR|aBPWR
65	15133 35233	7	   	254.72	DCR|4VULN|2DUR|1TLV	17aDUST|279aVULN|38DUR|4TLV|57aBEXP|6RCR|7aBPWR
66	15133 35313	8	   	254.72	DCR|4VULN|2DUR|1TLV	17aDUST|278aVULN|39DUR|4TLV|57aBEXP|6RCR|7aBPWR
67	11136 33323	8	   	254.62	DCR|4VULN|2DUR|1TLV	1aDUST|2aLHND|39DUR|4TLV|578aVULN|6RCR|aBPWR
68	15132 33323	8	   	254.62	DCR|4VULN|2DUR|1TLV	1aDUST|278aVULN|39DUR|4TLV|5aLHND|6RCR|aBPWR
69	15133 33233	7	   	254.62	DCR|4VULN|2DUR|1TLV	1aDUST|279aVULN|38DUR|4TLV|5aBEXP|6RCR|aBPWR
70	15133 33313	8	   	254.62	DCR|4VULN|2DUR|1TLV	1aDUST|278aVULN|39DUR|4TLV|5aBEXP|6RCR|aBPWR
71	15133 34233	6	   	254.62	DCR|4VULN|2DUR|1TLV	1aDUST|279aVULN|38DUR|4TLV|5aBEXP|6RCR|aBPWR
72	15133 44233	5	   	254.62	DCR|4VULN|2DUR|1TLV	1aDUST|279aVULN|38DUR|4TLV|5aBEXP|6RCR|aBPWR
73	51126 33323	10	   	254.62	DCR|4VULN|2DUR|1TLV	1FEWX|2LHND|3aDUR|4TLV|5789VULN|6RCR
74	55121 33233	7	   	254.62	DCR|4VULN|2DUR|1TLV	1aFEWX|279aVULN|38DUR|4TLV|5aDUST|6RCR|aBPWR
75	55121 33313	8	   	254.62	DCR|4VULN|2DUR|1TLV	1aFEWX|278aVULN|39DUR|4TLV|5aDUST|6RCR|aBPWR
76	55121 34233	6	   	254.62	DCR|4VULN|2DUR|1TLV	1aFEWX|279aVULN|38DUR|4TLV|5aDUST|6RCR|aBPWR
77	55122 33323	10	   	254.62	DCR|4VULN|2DUR|1TLV	1FEWX|2789VULN|3aDUR|4TLV|5LHND|6RCR
78	41362 21231	1	   	254.48	DCR|4VULN|2DUR|1TLV|1SELL	1SELL|28DUR|3568VULN|4RCVC|7BELT|8BPWR|9RCR|aTLV
79	46152 21231	4	   	254.48	DCR|4VULN|2DUR|1TLV|1SELL	1SELL|2568VULN|38DUR|4RCVC|7BELT|8BPWR|9RCR|aTLV
80	46162 21231	3	   	254.48	DCR|4VULN|2DUR|1TLV|1SELL	1SELL|2568VULN|38DUR|4RCVC|7BELT|8BPWR|9RCR|aTLV
81	62421 22532	8	   	253.86	DCR|3VULN|2DUR|1DMG|1AART	1ZMB|2AART|35DUR|457VULN|5BPWR|6DMG|8RCR|9LIT|aLWND
82	62421 22531	8	   	253.76	DCR|3VULN|2DUR|1DMG|1AART	1ZMB|2AART|35DUR|457VULN|5BPWR|6DMG|8RCR|9LIT|aDUST
83	15133 35322	10	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	17DUST|278aVULN|3DUR|4TLV|57BEXP|6RCR|7BPWR|9CDMG
84	53626 33322	10	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1FEWX|2DUR|3BEXP|4TLV|578aVULN|6RCR|9CDMG
85	55123 33322	10	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1FEWX|278aVULN|3DUR|4TLV|5BEXP|6RCR|9CDMG
86	65313 14312	6	   	253.62	DCR|3VULN|2DMG|2CDMG|1ASPD	1ZMB|24DMG|34CDMG|4BPWR|5CGEN|6RCR|79aVULN|8ASPD
87	65313 16312	7	   	253.62	DCR|3VULN|2DMG|2CDMG|1ASPD	1ZMB|24DMG|34CDMG|4BPWR|5CGEN|6RCR|79aVULN|8ASPD
88	13536 33322	10	   	253.59	DCR|4VULN|1DUR|1TLV|1CDMG	1DUST|2DUR|3FEWX|4TLV|578aVULN|6RCR|9CDMG
89	15133 33322	10	   	253.59	DCR|4VULN|1DUR|1TLV|1CDMG	1DUST|278aVULN|3DUR|4TLV|5BEXP|6RCR|9CDMG
90	55114 33322	10	   	253.59	DCR|4VULN|1DUR|1TLV|1CDMG	1FEWX|278aVULN|3DUR|4DUST|5TLV|6RCR|9CDMG
91	55121 33322	10	   	253.59	DCR|4VULN|1DUR|1TLV|1CDMG	1FEWX|278aVULN|3DUR|4TLV|5DUST|6RCR|9CDMG
92	53142 16213	9	   	253.51	DCR|3VULN|3DUR|1TLV	1FEWX|234DUR|569VULN|7RCR|8LIT|aTLV
93	55111 42231	5	   	253.48	DCR|3VULN|2DMG|2DUR	17FEWX|279VULN|38DUR|4DUST|57DMG|6RCR|7BPWR|aBEXP
94	55111 42233	5	   	253.48	DCR|3VULN|2DMG|2DUR	17FEWX|279VULN|38DUR|4DUST|57DMG|6RCR|7BPWR|aLWND
95	55111 62231	6	   	253.48	DCR|3VULN|2DMG|2DUR	17FEWX|279VULN|38DUR|4DUST|57DMG|6RCR|7BPWR|aBEXP
96	55111 62233	6	   	253.48	DCR|3VULN|2DMG|2DUR	17FEWX|279VULN|38DUR|4DUST|57DMG|6RCR|7BPWR|aLWND
97	13142 16316	10	   	253.41	DCR|3VULN|3DUR|1TLV	1DUST|234DUR|568VULN|7RCR|9TLV|aLIT
98	13142 16613	9	   	253.41	DCR|3VULN|3DUR|1TLV	1DUST|234DUR|569VULN|7RCR|8LIT|aTLV
99	41261 34312	2	 * 	253.37	DCR|3VULN|2DMG|2TLV|1ASPD|1SELL	1SELL|24TLV|34DMG|4BPWR|5CGEN|6RCR|79aVULN|8ASPD
100	46231 12151	2	 * 	253.32	DCR|4VULN|2CDMG|2LIT|1ASPD|1SELL	1SELL|2579VULN|39LIT|4ASPD|6BEXP|89CDMG|9BPWR|aRCR
101	55111 42232	4	 * 	253.29	DCR|3VULN|2DUR|2ASPD|1TLV	17FEWX|279VULN|38DUR|4DUST|57ASPD|6RCR|7BPWR|aTLV
102	15521 42232	3	   	253.19	DCR|3VULN|2DUR|2ASPD|1TLV	17DUST|279VULN|3FEWX|48DUR|57ASPD|6RCR|7BPWR|aTLV
103	24163 36131	8	 * 	252.50	ACR|5VULN|2DMG|2TLV	1RCR|27DMG|3RMIN|47TLV|5789aVULN|6MBVNT|7BPWR
104	15125 53223	5	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1DUST|25aVULN|3DUR|4BELT|68DMG|7CDMG|9RCR
105	15133 35343	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	17DUST|278VULN|3aDUR|4TLV|57BEXP|6RCR|7BPWR|9DMG
106	51126 33343	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1FEWX|2LHND|3aDUR|4TLV|578VULN|6RCR|9DMG
107	55122 33343	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1FEWX|278VULN|3aDUR|4TLV|5LHND|6RCR|9DMG
108	55123 33343	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1FEWX|278VULN|3aDUR|4TLV|5BEXP|6RCR|9DMG
109	52313 33336	3	   	252.02	DCR|4VULN|2DUR|1CDMG	1FEWX|2RPLT|3469VULN|57DUR|8CDMG|aRCR
110	52343 33336	4	   	252.02	DCR|4VULN|2DUR|1CDMG	1FEWX|2RPLT|3469VULN|57DUR|8CDMG|aRCR
111	11136 33343	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|2LHND|3aDUR|4TLV|578VULN|6RCR|9DMG
112	13536 33343	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|2aDUR|3FEWX|4TLV|578VULN|6RCR|9DMG
113	15132 33343	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|278VULN|3aDUR|4TLV|5LHND|6RCR|9DMG
114	15133 33343	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1DUST|278VULN|3aDUR|4TLV|5BEXP|6RCR|9DMG
115	55121 33343	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1FEWX|278VULN|3aDUR|4TLV|5DUST|6RCR|9DMG
116	53142 13231	10	   	251.70	DCR|4VULN|3DUR	179FEWX|234DUR|5689VULN|9BPWR|aRCR
117	16614 44426	9	   	251.50	DCR|4VULN|3DUR	18aDUST|2ERES|3MBVNT|489aVULN|58aDUR|6RCR|7RMIN|8aBPWR
118	13142 16312	8	   	251.50	DCR|4VULN|3DUR	1DUST|234DUR|568aVULN|7RCR|9BEXP
119	13142 16343	8	   	251.50	DCR|4VULN|3DUR	1DUST|234DUR|5689VULN|7RCR|aMLV
120	13142 16362	8	   	251.50	DCR|4VULN|3DUR	1DUST|234DUR|568aVULN|7RCR|9LHND
121	13142 16531	10	   	251.50	DCR|4VULN|3DUR	1DUST|234DUR|569aVULN|7RCR|8LWND
122	13142 16532	9	   	251.50	DCR|4VULN|3DUR	1DUST|234DUR|569aVULN|7RCR|8LWND
