0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62123 62351	1	 * 	290.67	DCR|4VULN|3DMG|3LIT|1AART	1AART|278LIT|3789VULN|478DMG|5TBNT|6BELT|789BPWR|aRCR
29	41633 61121	2	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|25aVULN|38LWND|4aDMG|6RCR|7aDUR|9AART|aBPWR
30	23431 33431	9	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1RMIN|28aVULN|3AART|4ZMB|5RPLT|6aDUR|7RCR|9aDMG|aBPWR
31	42133 61421	1	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	1RPLT|2aDMG|35BEXP|4aDUR|6RCR|7AART|89aVULN|aBPWR
32	13413 51116	5	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1LWND|28DMG|3AART|47DUR|569VULN|aRCR
33	65113 15334	6	   	262.96	DCR|3VULN|2DUR|2ASPD|1TLV|1AART	1AART|257VULN|37ASPD|47DUR|6MBVNT|7BPWR|8TLV|9LHND|aRCR
34	22663 32143	2	   	261.81	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RMIN|2AART|356VULN|45DUR|5BPWR|7BEXP|8DMG|9TLV|aRCR
35	23413 32143	4	   	261.81	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7BEXP|8DMG|9TLV|aRCR
36	23413 34143	4	   	261.81	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7FEWX|8DMG|9TLV|aRCR
37	23413 35142	4	   	261.81	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7RCR|8DMG|9TLV|aBELT
38	23413 35143	4	   	261.81	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1aRMIN|256VULN|3AART|45DUR|5BPWR|7RCR|8DMG|9TLV
39	23413 35336	4	   	261.81	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7RCR|8TLV|9LHND|aDMG
40	23463 32143	3	   	261.81	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7BEXP|8DMG|9TLV|aRCR
41	22663 31143	2	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RMIN|2AART|356VULN|45DUR|5BPWR|7DUST|8DMG|9TLV|aRCR
42	23413 31143	4	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7DUST|8DMG|9TLV|aRCR
43	23413 35141	4	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7RCR|8DMG|9TLV|aERES
44	23463 31143	3	   	261.71	DCR|3VULN|2DUR|1DMG|1TLV|1AART	1RMIN|256VULN|3AART|45DUR|5BPWR|7DUST|8DMG|9TLV|aRCR
45	22663 35121	2	   	261.63	DCR|3VULN|2DUR|1DMG|2AART	1RMIN|2aAART|356VULN|45DUR|5BPWR|7RCR|8DMG|9LIT
46	23413 35121	4	   	261.63	DCR|3VULN|2DUR|1DMG|2AART	1RMIN|256VULN|3aAART|45DUR|5BPWR|7RCR|8DMG|9LIT
47	23463 35121	3	   	261.63	DCR|3VULN|2DUR|1DMG|2AART	1RMIN|256VULN|3aAART|45DUR|5BPWR|7RCR|8DMG|9LIT
48	61116 35311	3	   	261.53	DCR|3VULN|2DUR|1DMG|2AART	12AART|38DUR|4DMG|569VULN|7RCR|aLIT
49	61143 35311	5	   	261.53	DCR|3VULN|2DUR|1DMG|2AART	12AART|38DUR|4DMG|569VULN|7RCR|aLIT
50	61116 31316	2	   	261.28	DCR|4VULN|1DMG|2AART|1DUR	12AART|3569VULN|4DMG|7LWND|8DUR|aRCR
