0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13213 21436	7	 * 	285.63	DCR|4VULN|2DMG|2DUR|1CDMG	1478VULN|2RPLT|3LIT|58DUR|68DMG|8BPWR|9CDMG|aRCR
66	42343 15131	5	   	260.39	DCR|3VULN|2DMG|2DUR|1AART	19ERES|269VULN|34DUR|5ASPD|79DMG|8RCR|9BPWR|aAART
67	12333 52531	8	   	260.35	DCR|3VULN|3DUR|1TLV|2ASPD	149VULN|26ERES|389DUR|59ASPD|7RCR|9BPWR|aTLV
68	12343 62131	7	   	260.35	DCR|3VULN|3DUR|1TLV|2ASPD	169VULN|28ERES|349DUR|59ASPD|7RCR|9BPWR|aTLV
69	12343 62431	8	   	260.35	DCR|3VULN|3DUR|1TLV|2ASPD	169VULN|28ERES|349DUR|59ASPD|7RCR|9BPWR|aTLV
70	12343 62531	8	   	260.35	DCR|3VULN|3DUR|1TLV|2ASPD	169VULN|29ERES|348DUR|59ASPD|7RCR|9BPWR|aTLV
71	42333 62531	8	   	260.35	DCR|3VULN|3DUR|1TLV|2ASPD	19ERES|246VULN|389DUR|59ASPD|7RCR|9BPWR|aTLV
72	42343 35131	5	   	260.08	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	169ERES|29VULN|34DUR|56ASPD|69BPWR|79DMG|8RCR|aTLV
73	11452 21423	7	   	259.95	DCR|3VULN|2DMG|1TLV|1CDMG	178VULN|2LIT|38FEWX|4BEXP|5CDMG|68DMG|8BPWR|9TLV|aRCR
74	11214 26314	9	   	259.71	DCR|3VULN|1TLV|1DMG|1DUR|2LIT	138VULN|23LIT|3BPWR|4ASPD|5FEWX|6TLV|7DMG|9DUR|aRCR
75	33133 42634	7	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG|1NUKE	1NUKE|249VULN|3DUST|59TLV|6RCVC|7RCR|89DMG|9BPWR|aCDMG
76	13213 31536	7	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1468VULN|2RPLT|3LIT|5DUR|7TLV|9CDMG|aRCR
77	13213 31653	7	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1469VULN|2RPLT|3LIT|5DUR|7TLV|8RCR|aCDMG
78	13213 34536	6	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1468VULN|2RPLT|3LIT|5DUR|7TLV|9CDMG|aRCR
79	13213 34653	6	   	259.40	DCR|4VULN|1TLV|1DUR|1CDMG	1469VULN|2RPLT|3LIT|5DUR|7TLV|8RCR|aCDMG
80	11683 34523	6	   	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	168VULN|2LIT|3MBVNT|48CDMG|58DUR|7RMIN|8BPWR|9TLV|aRCR
81	14125 33333	1	 * 	259.21	DCR|4VULN|3DUR|2CDMG	1789VULN|2LHND|349DUR|5BELT|69CDMG|9BPWR|aRCR
82	15125 33333	2	   	259.21	DCR|4VULN|3DUR|2CDMG	1789VULN|2LHND|349DUR|5BELT|69CDMG|9BPWR|aRCR
83	15525 33333	3	   	259.21	DCR|4VULN|3DUR|2CDMG	1789VULN|2LHND|349DUR|5BELT|69CDMG|9BPWR|aRCR
84	12343 35132	5	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	169VULN|29ERES|34DUR|56ASPD|69BPWR|79DMG|8RCR|aMLV
85	12343 35135	5	   	258.67	DCR|3VULN|2DMG|2DUR|2ASPD	169VULN|29ERES|34DUR|56ASPD|69BPWR|79DMG|8RCR|aBELT
86	12352 15133	3	   	258.57	DCR|3VULN|2DMG|2DUR|2ASPD	169VULN|29ERES|3aDUR|45ASPD|79DMG|8RCR|9BPWR
87	42333 35132	5	   	258.57	DCR|3VULN|2DMG|2DUR|2ASPD	169ERES|249VULN|3aDUR|56ASPD|69BPWR|79DMG|8RCR
88	42352 15133	3	   	258.57	DCR|3VULN|2DMG|2DUR|2ASPD	19ERES|269VULN|3aDUR|45ASPD|79DMG|8RCR|9BPWR
89	12233 35131	5	   	258.55	DCR|4VULN|2DMG|2ASPD|1AART	1469VULN|29ERES|3LWND|56ASPD|69BPWR|79DMG|8RCR|aAART
90	12633 35131	5	   	258.55	DCR|4VULN|2DMG|2ASPD|1AART	1469VULN|29ERES|3FEWX|56ASPD|69BPWR|79DMG|8RCR|aAART
91	12133 35131	5	   	258.45	DCR|4VULN|2DMG|2ASPD|1AART	1469VULN|29ERES|3DUST|56ASPD|69BPWR|79DMG|8RCR|aAART
92	11531 41523	7	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	147VULN|2LIT|3LHND|5CDMG|6DMG|8DUR|9TLV|aRCR
93	13312 64633	6	   	258.28	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	146VULN|23RPLT|46BPWR|56TLV|7CDMG|8DMG|9RCR|aDUR
94	15232 46362	4	 * 	258.25	DCR|4VULN|3DMG|1AART	167aVULN|27aLHND|3AART|4MBVNT|57aDMG|7aBPWR|8RCR|9RMIN
95	12333 35152	5	   	257.64	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	146VULN|2ERES|3DUR|56ASPD|6BPWR|7aDMG|8RCR|9CDMG
96	12352 15134	3	   	257.64	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG	169VULN|29ERES|3DUR|45ASPD|79DMG|8RCR|9BPWR|aCDMG
97	13213 22456	6	   	257.38	DCR|3VULN|2DMG|2DUR|2LIT	148VULN|2RPLT|37LIT|58DUR|68DMG|8BPWR|9DUST|aRCR
98	42233 15133	5	   	257.19	DCR|4VULN|2DMG|1DUR	19ERES|2469VULN|3LWND|5ASPD|79DMG|8RCR|9BPWR|aDUR
99	42233 65133	6	   	257.19	DCR|4VULN|2DMG|1DUR	19ERES|2469VULN|3LWND|5ASPD|79DMG|8RCR|9BPWR|aDUR
100	42333 15132	5	   	257.19	DCR|4VULN|2DMG|1DUR	19ERES|2469VULN|3DUR|5ASPD|79DMG|8RCR|9BPWR|aMLV
101	42333 15135	5	   	257.19	DCR|4VULN|2DMG|1DUR	19ERES|2469VULN|3DUR|5ASPD|79DMG|8RCR|9BPWR|aBELT
102	42333 65132	6	   	257.19	DCR|4VULN|2DMG|1DUR	19ERES|2469VULN|3DUR|5ASPD|79DMG|8RCR|9BPWR|aMLV
103	42633 15133	5	   	257.19	DCR|4VULN|2DMG|1DUR	19ERES|2469VULN|3FEWX|5ASPD|79DMG|8RCR|9BPWR|aDUR
104	12233 15133	5	   	257.19	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3LWND|5ASPD|79DMG|8RCR|9BPWR|aDUR
105	12233 65133	6	   	257.19	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3LWND|5ASPD|79DMG|8RCR|9BPWR|aDUR
106	12333 15132	5	   	257.19	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3DUR|5ASPD|79DMG|8RCR|9BPWR|aMLV
107	12333 15135	5	   	257.19	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3DUR|5ASPD|79DMG|8RCR|9BPWR|aBELT
108	12333 65132	6	   	257.19	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3DUR|5ASPD|79DMG|8RCR|9BPWR|aMLV
109	12333 65135	6	   	257.19	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3DUR|5ASPD|79DMG|8RCR|9BPWR|aBELT
110	12633 15133	5	   	257.19	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3FEWX|5ASPD|79DMG|8RCR|9BPWR|aDUR
111	12633 65133	6	   	257.19	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3FEWX|5ASPD|79DMG|8RCR|9BPWR|aDUR
112	11242 53162	8	   	257.15	DCR|4VULN|2DMG|2LIT|1AART	1389VULN|23LIT|3BPWR|4DUST|5AART|6aDMG|7RCR
113	12333 35121	5	   	257.11	DCR|4VULN|1DMG|2ASPD|1DUR|1AART	1469VULN|2ERES|3DUR|56ASPD|6BPWR|7DMG|8RCR|aAART
114	42133 15133	5	   	257.09	DCR|4VULN|2DMG|1DUR	19ERES|2469VULN|3DUST|5ASPD|79DMG|8RCR|9BPWR|aDUR
115	42133 62633	7	   	257.09	DCR|4VULN|2DMG|1DUR	19ERES|2469VULN|3DUST|5ASPD|7RCR|89DMG|9BPWR|aDUR
116	42133 65133	6	   	257.09	DCR|4VULN|2DMG|1DUR	19ERES|2469VULN|3DUST|5ASPD|79DMG|8RCR|9BPWR|aDUR
117	12133 15133	5	   	257.09	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3DUST|5ASPD|79DMG|8RCR|9BPWR|aDUR
118	12133 62633	7	   	257.09	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3DUST|5ASPD|7RCR|89DMG|9BPWR|aDUR
119	12133 65133	6	   	257.09	DCR|4VULN|2DMG|1DUR	1469VULN|29ERES|3DUST|5ASPD|79DMG|8RCR|9BPWR|aDUR
120	14431 35131	5	   	255.96	DCR|3VULN|2DMG|1TLV|1AART	149VULN|29LWND|3ASPD|5DMSP|6TLV|79DMG|8RCR|9BPWR|aAART
121	12333 62633	7	   	255.72	DCR|4VULN|2DUR|2ASPD|1CDMG	1469VULN|2ERES|39DUR|59ASPD|7RCR|8RCVC|9BPWR|aCDMG
122	15232 46311	4	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	167VULN|27LHND|3AART|4MBVNT|57DMG|7BPWR|8RCR|9aTLV
