0	Index      	Bounty	 *	Score 	Summary	Detail	
1	65212 32623	6	 * 	283.29	DCR|4VULN|3DUR|2TLV|1AART	179aVULN|2AART|35TLV|45aDUR|5aBPWR|6aFEWX|8RCR
14	21326 62263	5	   	271.88	DCR|3VULN|2DMG|2TLV|2ASPD|1AART	1aASPD|27aVULN|38TLV|4FEWX|5AART|6aDMG|9RCR|aBPWR
15	65644 32444	8	   	271.88	DCR|3VULN|2DMG|2TLV|1DUR|1AART	149VULN|2AART|3MBVNT|5DUR|69DMG|7RCR|89TLV|9BPWR|aFEWX
16	61316 11263	5	   	271.88	DCR|3VULN|2DMG|2TLV|2ASPD|1AART	16aVULN|2aASPD|38TLV|4BEXP|5AART|7aDMG|9RCR|aBPWR
17	61326 11263	5	   	271.88	DCR|3VULN|2DMG|2TLV|2ASPD|1AART	16aVULN|2aASPD|38TLV|4FEWX|5AART|7aDMG|9RCR|aBPWR
18	65644 32441	8	   	271.78	DCR|3VULN|2DMG|2TLV|1DUR|1AART	149VULN|2AART|3MBVNT|5DUR|69DMG|7RCR|89TLV|9BPWR|aDUST
19	65644 32442	8	   	271.78	DCR|3VULN|2DMG|2TLV|1DUR|1AART	149VULN|2AART|3MBVNT|5DUR|69DMG|7RCR|89TLV|9BPWR|aTBNT
20	65644 32443	8	   	271.78	DCR|3VULN|2DMG|2TLV|1DUR|1AART	149VULN|2AART|3MBVNT|5DUR|69DMG|7RCR|89TLV|9BPWR|aBBNT
21	64312 13141	10	 * 	271.20	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	179VULN|27CDMG|3TLV|4BEXP|57DUR|6BELT|7BPWR|8DMG|aRCR
22	21326 13215	8	   	270.21	DCR|3VULN|3DUR|1TLV|2ASPD|1AART	17ASPD|279VULN|3TLV|4FEWX|5AART|678DUR|7BPWR|aRCR
23	61326 13215	8	   	270.21	DCR|3VULN|3DUR|1TLV|2ASPD|1AART	179VULN|27ASPD|3TLV|4FEWX|5AART|678DUR|7BPWR|aRCR
24	65232 32623	5	   	270.06	DCR|4VULN|2TLV|2DUR|1AART	179aVULN|2AART|35TLV|45aFEWX|5aBPWR|6aDUR|8RCR
25	65212 26121	9	   	269.86	DCR|4VULN|2TLV|2DUR|1AART	168aVULN|2AART|35TLV|45DUR|5BPWR|7CGEN|9RCR
26	65212 21121	9	   	269.76	DCR|4VULN|2TLV|2DUR|1AART	168aVULN|2AART|35TLV|45DUR|5BPWR|7ERES|9RCR
27	65211 25123	5	   	269.66	DCR|4VULN|2DUR|1TLV|2AART	179aVULN|28AART|3TLV|4aDUR|5aLHND|6RCR|aBPWR
28	61313 16611	10	   	267.89	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	159VULN|2ASPD|39TLV|4BEXP|6DMG|7RCR|89LIT|9BPWR|aDUR
29	61323 16611	10	   	267.89	DCR|3VULN|2TLV|1DMG|1DUR|2LIT	159VULN|2ASPD|39TLV|4FEWX|6DMG|7RCR|89LIT|9BPWR|aDUR
30	65213 11317	10	 * 	267.60	ACR|3VULN|3DUR|2DMG|2TLV|1AART	17aVULN|2AART|37TLV|47aDUR|5RCR|6MBVNT|7aBPWR|8RMIN|9aDMG
31	21363 24241	4	   	266.59	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1ASPD|257VULN|35TLV|4DMSP|5BPWR|6RCR|8CDMG|9DMG|aDUR
32	21316 13224	10	 * 	265.58	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1AART	17ASPD|27VULN|3TLV|4BEXP|5AART|678DUR|7BPWR|9DMG|aRCR
33	21326 13224	10	   	265.58	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1AART	17ASPD|27VULN|3TLV|4FEWX|5AART|678DUR|7BPWR|9DMG|aRCR
34	61316 13224	10	   	265.58	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1AART	17VULN|27ASPD|3TLV|4BEXP|5AART|678DUR|7BPWR|9DMG|aRCR
35	61326 13224	10	   	265.58	DCR|2VULN|3DUR|1TLV|1DMG|2ASPD|1AART	17VULN|27ASPD|3TLV|4FEWX|5AART|678DUR|7BPWR|9DMG|aRCR
36	64112 32341	3	 * 	265.16	DCR|3VULN|2TLV|2DUR|3CDMG	16aVULN|237CDMG|4ERES|5aDUR|8aTLV|9RCR|aBPWR
37	64211 12341	6	   	265.16	DCR|3VULN|2TLV|2DUR|3CDMG	14aVULN|257CDMG|35DUR|5aBPWR|6aERES|8aTLV|9RCR
38	64211 21236	6	 * 	264.02	DCR|3VULN|3DUR|1TLV|2CDMG|1SELL	147VULN|25CDMG|358DUR|5BPWR|6SELL|9RCR|aTLV
39	21252 25263	8	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|26aVULN|3LHND|4DMSP|5AART|7TLV|8aDMG|9RCR|aBPWR
40	21316 11463	5	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|26aVULN|3TLV|4BEXP|5AART|7aDMG|8RCVC|9RCR|aBPWR
41	21326 11463	5	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|26aVULN|3TLV|4FEWX|5AART|7aDMG|8RCVC|9RCR|aBPWR
42	21326 11663	5	   	263.80	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1aASPD|26aVULN|3TLV|48FEWX|5AART|7aDMG|9RCR|aBPWR
43	26313 51141	10	   	263.36	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	1ASPD|29DUR|3TLV|4BEXP|59VULN|6DMG|7RCR|89LIT|9BPWR|aCDMG
44	26323 51141	10	   	263.36	DCR|2VULN|2DUR|1TLV|1DMG|2LIT|1CDMG	1ASPD|29DUR|3TLV|4FEWX|59VULN|6DMG|7RCR|89LIT|9BPWR|aCDMG
45	65212 11363	3	 * 	263.31	DCR|3VULN|3DMG|1TLV|1AART	16aVULN|2AART|3TLV|47aDMG|5aBEXP|8RMIN|9RCR|aBPWR
46	43331 11342	1	   	263.21	DCR|4VULN|1TLV|1DMG|1CDMG	1RMIN|2ASPD|3579VULN|4DMG|6CDMG|8RCR|aTLV
47	65213 11363	3	   	263.11	DCR|3VULN|3DMG|1TLV|1AART	16aVULN|2AART|3TLV|47aDMG|5aDUST|8RMIN|9RCR|aBPWR
48	44142 23523	10	 * 	262.96	DCR|2VULN|3DMG|3DUR|2ASPD	1RMIN|27aDMG|3MBVNT|47ASPD|5LEGI|67aDUR|7aBPWR|8RCR|9aVULN
49	26313 51141	9	   	262.93	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1ASPD|29aDUR|3TLV|4BEXP|59VULN|6DMG|7RCR|89LIT|9BPWR
50	26313 51143	10	   	262.93	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1ASPD|29aDUR|3TLV|4BEXP|59VULN|6DMG|7RCR|89LIT|9BPWR
51	26323 51141	9	   	262.93	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1ASPD|29aDUR|3TLV|4FEWX|59VULN|6DMG|7RCR|89LIT|9BPWR
52	26323 51143	10	   	262.93	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	1ASPD|29aDUR|3TLV|4FEWX|59VULN|6DMG|7RCR|89LIT|9BPWR
53	61313 25161	9	   	262.41	DCR|3VULN|2TLV|2DUR|2LIT	15aVULN|2ASPD|3aTLV|4BEXP|67DUR|8aLIT|9RCR|aBPWR
54	61323 25161	9	   	262.41	DCR|3VULN|2TLV|2DUR|2LIT	15aVULN|2ASPD|3aTLV|4FEWX|67DUR|8aLIT|9RCR|aBPWR
55	65212 21124	9	   	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	168VULN|2AART|35TLV|45DUR|5BPWR|7ERES|9RCR|aCDMG
56	65212 21125	10	   	262.36	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	168VULN|2AART|35TLV|45DUR|5BPWR|7ERES|9RCR|aCDMG
57	65221 13215	8	   	262.14	DCR|3VULN|3DUR|2TLV|1AART	179VULN|2AART|37TLV|4ZMB|5FEWX|678DUR|7BPWR|aRCR
58	65212 21631	5	 * 	261.87	DCR|2VULN|2DMG|3TLV|2DUR|1AART	19VULN|2AART|359TLV|45DUR|59BPWR|6aCGEN|79DMG|8RCR
59	65212 21632	5	   	261.87	DCR|2VULN|2DMG|3TLV|2DUR|1AART	19VULN|2AART|359TLV|45DUR|59BPWR|6CGEN|79DMG|8RCR|aBELT
60	65213 31631	4	   	261.87	DCR|2VULN|2DMG|2TLV|2DUR|1AART	19VULN|2AART|39TLV|46DUR|5CGEN|79DMG|8RCR|9BPWR|aBEXP
61	65213 31633	4	   	261.87	DCR|2VULN|2DMG|2TLV|2DUR|1AART	19VULN|2AART|39TLV|46DUR|5CGEN|79DMG|8RCR|9BPWR|aLWND
62	65611 32444	8	   	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	19VULN|2AART|3MBVNT|45DUR|69DMG|7RCR|89TLV|9BPWR|aFEWX
63	65611 32441	8	   	261.67	DCR|2VULN|2DMG|2TLV|2DUR|1AART	19VULN|2AART|3MBVNT|45DUR|69DMG|7RCR|89TLV|9BPWR|aDUST
64	65611 32442	8	   	261.67	DCR|2VULN|2DMG|2TLV|2DUR|1AART	19VULN|2AART|3MBVNT|45DUR|69DMG|7RCR|89TLV|9BPWR|aTBNT
65	65611 32443	8	   	261.67	DCR|2VULN|2DMG|2TLV|2DUR|1AART	19VULN|2AART|3MBVNT|45DUR|69DMG|7RCR|89TLV|9BPWR|aBBNT
66	65213 21323	8	 * 	261.36	ACR|5VULN|3DUR|1TLV|1AART	1789aVULN|2AART|3TLV|47aDUR|5RCR|67aLHND|7aBPWR
67	65223 22123	9	   	261.30	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	169VULN|2AART|3TLV|49ZMB|5CGEN|7CDMG|89DMG|9BPWR|aRCR
68	65223 22153	8	   	261.30	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	169VULN|2AART|3TLV|49ZMB|5CGEN|7CDMG|89DMG|9BPWR|aRCR
69	21363 21622	4	   	261.11	DCR|3VULN|2TLV|2DUR|1CDMG	1ASPD|259VULN|35TLV|4DMSP|5BPWR|6RCR|7CDMG|8aDUR
70	12164 13113	9	   	259.62	DCR|3VULN|2DMG|2TLV|1CDMG|1NUKE	1BELT|29TLV|39aVULN|4CGEN|5CDMG|69DMG|7RCR|8NUKE|9BPWR
71	64212 33522	8	 * 	259.53	DCR|4VULN|2DUR|1DMG|1CDMG	1479VULN|2CDMG|3aDUR|5CGEN|6RCR|8DMG
72	64312 13511	10	   	259.42	DCR|3VULN|2TLV|2DUR|2CDMG	179VULN|27CDMG|39TLV|4BEXP|57DUR|6BELT|79BPWR|89CGEN|aRCR
73	21163 46322	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|259VULN|3FEWX|4DMG|6TLV|7RCR|8aDUR
74	21313 14562	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|258VULN|3TLV|4BEXP|6DMG|7aDUR|9RCR
75	21313 16322	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|259VULN|3TLV|4BEXP|6DMG|7RCR|8aDUR
76	21313 16325	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|259VULN|3TLV|4BEXP|6DMG|7RCR|8aDUR
77	21323 14532	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|258VULN|3TLV|4FEWX|6DMG|7aDUR|9RCR
78	21323 14535	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|258VULN|3TLV|4FEWX|6DMG|7aDUR|9RCR
79	21323 16322	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|259VULN|3TLV|4FEWX|6DMG|7RCR|8aDUR
80	21323 16325	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|259VULN|3TLV|4FEWX|6DMG|7RCR|8aDUR
81	61313 16322	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	159VULN|2ASPD|3TLV|4BEXP|6DMG|7RCR|8aDUR
82	61313 16325	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	159VULN|2ASPD|3TLV|4BEXP|6DMG|7RCR|8aDUR
83	61323 14532	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	158VULN|2ASPD|3TLV|4FEWX|6DMG|7aDUR|9RCR
84	61323 16322	10	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	159VULN|2ASPD|3TLV|4FEWX|6DMG|7RCR|8aDUR
85	61323 16325	9	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	159VULN|2ASPD|3TLV|4FEWX|6DMG|7RCR|8aDUR
86	64312 13411	10	   	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	179VULN|27CDMG|39TLV|4BEXP|57DUR|6BELT|79BPWR|89ERES|aRCR
87	66322 11321	9	 * 	259.22	DCR|3VULN|2TLV|2DUR|1DMG	19aVULN|2FEWX|3aTLV|4LEGI|5DMG|6CGEN|7RCR|8aDUR|aBPWR
88	66322 63321	9	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	19aVULN|2FEWX|3aTLV|4LEGI|5DMG|6RCR|7MLV|8aDUR|aBPWR
89	65213 11813	8	 * 	259.20	ACR|4VULN|3DUR|3TLV|1AART	1789VULN|2AART|378TLV|478DUR|5RCR|6MBVNT|789BPWR|aLIT
90	12132 43326	4	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1BELT|24TLV|356VULN|7RCR|89DUR|aDMG
91	61326 13363	9	 * 	259.08	4VULN|3DMG|3TLV|2DUR|2ASPD|1AART	179aVULN|27ASPD|39aTLV|4FEWX|5AART|67DUR|79aBPWR|89aDMG
92	21313 16434	7	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ASPD|258VULN|3TLV|4BEXP|6DMG|7RCR|9CDMG|aDUR
93	21313 16534	8	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ASPD|258VULN|3TLV|4BEXP|6DMG|7RCR|9CDMG|aDUR
94	21323 16434	7	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ASPD|258VULN|3TLV|4FEWX|6DMG|7RCR|9CDMG|aDUR
95	21323 16534	8	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ASPD|258VULN|3TLV|4FEWX|6DMG|7RCR|9CDMG|aDUR
96	21364 11341	6	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ASPD|279VULN|3TLV|4DMSP|5DMG|6CDMG|8RCR|aDUR
97	21364 11341	5	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1ASPD|279VULN|3TLV|4DMSP|5DMG|6CDMG|8RCR|aDUR
98	43331 11332	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1RMIN|2ASPD|357VULN|4DMG|6CDMG|8RCR|9TLV|aDUR
99	64213 33251	6	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	149VULN|2CDMG|3DUR|5LWND|6RCR|7TLV|8ASPD|aDMG
100	64211 21233	6	 * 	257.88	DCR|3VULN|3DUR|1DMG|2CDMG|1SELL	147VULN|25CDMG|358DUR|5BPWR|6SELL|9RCR|aDMG
101	12164 16112	10	   	257.78	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1BELT|2TLV|39VULN|4CGEN|5CDMG|69DMG|7ZMB|89DUR|9BPWR|aRCR
102	12132 43651	4	 * 	257.64	DCR|4VULN|2TLV|1DMG	1BELT|24TLV|356aVULN|7RCR|8DMG|9LIT
103	61323 11536	9	   	257.64	DCR|4VULN|2TLV|1DMG	158aVULN|2ASPD|3aTLV|4FEWX|6DMG|7aDUST|9RCR|aBPWR
104	35634 71323	8	 * 	257.47	DCR|5VULN|3TLV|1AART	17aLHND|2AART|3MBVNT|47aTLV|5789aVULN|6RCR|7aBPWR
105	35634 71343	9	   	257.47	DCR|5VULN|3TLV|1AART	17aLHND|2AART|3MBVNT|47aTLV|5789aVULN|6RCR|7aBPWR
106	43331 63633	4	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1RMIN|2DUR|3TLV|4ERES|578aVULN|6RCR|9DMG
107	35634 82323	8	   	257.37	DCR|5VULN|2TLV|1AART	1aLHND|2AART|3MBVNT|4aTLV|5689aVULN|7RCR|aBPWR
108	35634 82343	9	   	257.37	DCR|5VULN|2TLV|1AART	1aLHND|2AART|3MBVNT|4aTLV|5689aVULN|7RCR|aBPWR
109	65212 14123	5	 * 	257.31	DCR|2VULN|3DUR|3TLV|1DMG|1AART	1aVULN|2AART|356TLV|458DUR|5BPWR|7DMG|9RCR
110	65212 22253	10	 * 	257.31	DCR|2VULN|3DUR|2TLV|2CDMG|1AART	16VULN|2AART|35TLV|458DUR|5BPWR|79CDMG|aRCR
111	64312 13361	8	   	257.18	DCR|3VULN|2DUR|1TLV|3CDMG	17aVULN|278CDMG|3TLV|4BEXP|57DUR|6BELT|7BPWR|9RCR
112	61353 13132	1	 * 	257.16	DCR|2VULN|3DUR|2DMG|1TLV	18VULN|2TBNT|3MBVNT|48DMG|589DUR|6RPLT|7RCR|8BPWR|aTLV
113	61355 33132	1	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	18VULN|2TBNT|3MBVNT|48DMG|5RPLT|689DUR|7RCR|8BPWR|aTLV
114	12562 31632	3	 * 	256.99	DCR|2VULN|3DMG|3TLV|2CDMG	1BELT|279TLV|3RMIN|47VULN|5TBNT|679DMG|79BPWR|89CDMG|aRCR
115	12142 31632	3	   	256.89	DCR|2VULN|3DMG|3TLV|2CDMG|1NUKE	1BELT|279TLV|37VULN|479DMG|5TBNT|6NUKE|79BPWR|89CDMG|aRCR
116	12462 31632	3	   	256.89	DCR|2VULN|3DMG|3TLV|2CDMG|1NUKE	1BELT|279TLV|3NUKE|47VULN|5TBNT|679DMG|79BPWR|89CDMG|aRCR
117	21332 26631	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|269VULN|3TLV|4ERES|5AART|79DUR|8RCR|9BPWR|aBEXP
118	21332 26633	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|269VULN|3TLV|4ERES|5AART|79DUR|8RCR|9BPWR|aLWND
119	21332 26634	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|269VULN|3TLV|4ERES|5AART|79DUR|8RCR|9BPWR|aRMIN
120	21332 26636	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|269VULN|3TLV|4ERES|5AART|79DUR|8RCR|9BPWR|aCGEN
121	21332 62631	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|279VULN|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aBEXP
122	21332 62631	5	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|279VULN|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aBEXP
123	21332 62633	5	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|279VULN|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aLWND
124	21332 62633	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|279VULN|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aLWND
125	21332 62634	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|279VULN|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aRMIN
126	21332 62634	5	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|279VULN|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aRMIN
127	21332 62636	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|279VULN|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aCGEN
128	21332 62636	5	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|279VULN|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aCGEN
129	61332 26631	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	169VULN|29ASPD|3TLV|4ERES|5AART|79DUR|8RCR|9BPWR|aBEXP
130	61332 26633	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	169VULN|29ASPD|3TLV|4ERES|5AART|79DUR|8RCR|9BPWR|aLWND
131	61332 62631	5	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	179VULN|29ASPD|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aBEXP
132	61332 62631	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	179VULN|29ASPD|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aBEXP
133	61332 62633	5	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	179VULN|29ASPD|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aLWND
134	61332 62633	6	   	256.88	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	179VULN|29ASPD|3TLV|4ERES|5AART|69DUR|8RCR|9BPWR|aLWND
135	21332 26635	6	   	256.78	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|269VULN|3TLV|4aERES|5AART|79DUR|8RCR|9BPWR
136	21332 62635	6	   	256.78	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|279VULN|3TLV|4aERES|5AART|69DUR|8RCR|9BPWR
137	21332 62635	5	   	256.78	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	19ASPD|279VULN|3TLV|4aERES|5AART|69DUR|8RCR|9BPWR
138	61311 81531	3	   	256.38	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	16VULN|2ASPD|37TLV|4MBVNT|56DUR|6BPWR|8RCR|9CDMG|aDMG
139	35644 42372	10	   	256.05	DCR|4VULN|2DMG|1CDMG|1AART	19LHND|2AART|3MBVNT|4589VULN|69DMG|7RCR|9BPWR|aCDMG
140	61333 34512	9	   	255.78	DCR|5VULN|1TLV|2ASPD	16789VULN|28ASPD|3TLV|4ERES|58CGEN|8BPWR|aRCR
141	21333 34512	9	   	255.78	DCR|5VULN|1TLV|2ASPD	18ASPD|26789VULN|3TLV|4ERES|58CGEN|8BPWR|aRCR
142	41512 11263	1	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	1RMIN|2AART|36aVULN|47DMG|5aFEWX|8aTLV|9RCR|aBPWR
143	65221 11263	5	 * 	255.63	DCR|3VULN|2DMG|3TLV|1AART	16aVULN|2AART|38aTLV|4ZMB|5FEWX|7aDMG|9RCR|aBPWR
144	65222 11263	5	   	255.63	DCR|3VULN|2DMG|3TLV|1AART	16aVULN|2AART|38aTLV|4ZMB|5BEXP|7aDMG|9RCR|aBPWR
145	65222 11263	4	   	255.63	DCR|3VULN|2DMG|3TLV|1AART	16aVULN|2AART|38aTLV|4ZMB|5BEXP|7aDMG|9RCR|aBPWR
146	41513 11263	1	   	255.53	DCR|3VULN|2DMG|2TLV|1AART	1RMIN|2AART|36aVULN|47DMG|5aDUST|8aTLV|9RCR|aBPWR
147	65223 11263	4	   	255.53	DCR|3VULN|2DMG|3TLV|1AART	16aVULN|2AART|38aTLV|4ZMB|5DUST|7aDMG|9RCR|aBPWR
148	65223 11363	4	   	255.53	DCR|3VULN|2DMG|2TLV|1AART	16aVULN|2AART|3aTLV|4ZMB|58DUST|7aDMG|9RCR|aBPWR
149	21166 11263	6	   	254.96	DCR|2VULN|2DMG|2TLV|2AART|2ASPD	1aASPD|2aVULN|3FEWX|47DMG|56AART|8aTLV|9RCR|aBPWR
150	65213 33323	10	   	254.47	ACR|3VULN|2DMG|2TLV|2DUR|1AART	17aVULN|2AART|3aTLV|47DUR|5RCR|679CGEN|7aBPWR|8aDMG
151	65213 33331	8	   	254.47	ACR|3VULN|2DMG|2TLV|2DUR|1AART	179VULN|2AART|39TLV|47DUR|5RCR|67CGEN|79BPWR|89DMG|aBEXP
152	65213 33333	8	   	254.47	ACR|3VULN|2DMG|2TLV|2DUR|1AART	179VULN|2AART|39TLV|47DUR|5RCR|67CGEN|79BPWR|89DMG|aLWND
153	65213 33334	8	   	254.47	ACR|3VULN|2DMG|2TLV|2DUR|1AART	179VULN|2AART|39TLV|47DUR|5RCR|67CGEN|79BPWR|89DMG|aRMIN
154	65213 33336	8	   	254.47	ACR|3VULN|2DMG|2TLV|2DUR|1AART	179VULN|2AART|39TLV|47DUR|5RCR|67aCGEN|79BPWR|89DMG
155	65213 33335	8	   	254.37	ACR|3VULN|2DMG|2TLV|2DUR|1AART	179VULN|2AART|39TLV|47DUR|5RCR|67CGEN|79BPWR|89DMG|aERES
156	26313 21144	10	   	254.34	DCR|3VULN|2DUR|1TLV|2LIT	1ASPD|29DUR|3TLV|4BEXP|59aVULN|6ZMB|7RCR|89LIT|9BPWR
157	26323 21144	10	   	254.34	DCR|3VULN|2DUR|1TLV|2LIT	1ASPD|29DUR|3TLV|4FEWX|59aVULN|6ZMB|7RCR|89LIT|9BPWR
158	65644 32422	10	   	254.32	DCR|3VULN|1TLV|1DMG|1DUR|1AART	149VULN|2AART|3MBVNT|5DUR|6DMG|7RCR|8TLV|aASPD
