0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22431 31145	2	 * 	298.26	DCR|5VULN|2DMG|2DUR|2ASPD	1378aVULN|23ASPD|3aBPWR|4aDUR|5BELT|6aDMG|9RCR
22	21441 62111	2	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	178aVULN|27DUST|3DMG|4ASPD|57DUR|6RCR|7BPWR|9TLV
23	21541 62111	4	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	178aVULN|27DUST|3DMG|4ASPD|57DUR|6RCR|7BPWR|9TLV
24	21541 62111	3	   	280.39	DCR|4VULN|2DUR|1TLV|1DMG	178aVULN|27DUST|3DMG|4ASPD|57DUR|6RCR|7BPWR|9TLV
25	21431 61162	1	 * 	280.37	DCR|4VULN|2TLV|2DUR|1DMG	189aVULN|2aLHND|3DMG|47TLV|5aDUR|6RCR|aBPWR
26	22241 31145	4	   	279.82	DCR|4VULN|2DMG|2DUR|2ASPD	178aVULN|24ASPD|3aDUR|5BELT|6aDMG|9RCR|aBPWR
27	22241 31145	3	   	279.82	DCR|4VULN|2DMG|2DUR|2ASPD	178aVULN|24ASPD|3aDUR|5BELT|6aDMG|9RCR|aBPWR
28	22531 31145	2	   	279.82	DCR|4VULN|2DMG|2DUR|2ASPD	178aVULN|23ASPD|4aDUR|5BELT|6aDMG|9RCR|aBPWR
29	22523 32423	9	   	279.80	DCR|5VULN|2TLV|3ASPD	14679VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|aLIT
30	22146 14312	9	   	279.46	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	137aVULN|2ASPD|4TLV|5DUR|6CDMG|8RCR|9DMG
31	22161 62632	1	 * 	278.49	DCR|3VULN|2DMG|2DUR|1TLV	138VULN|26FEWX|4AART|58DUR|78DMG|8BPWR|9TLV|aRCR
32	21421 62262	1	 * 	277.75	DCR|5VULN|3DUR|1DMG	1789aVULN|27aLHND|3DMG|4ERES|57aDUR|6RCR|7aBPWR
33	22146 14322	8	   	277.74	DCR|5VULN|1TLV|1DUR|1CDMG	1379aVULN|2ASPD|4TLV|5DUR|6CDMG|8RCR
34	24563 13231	10	   	277.09	DCR|5VULN|2DMG|1DUR	1467aVULN|27LWND|37DMG|5AART|7BPWR|8DUR|9RCR
35	14563 13231	10	   	276.89	DCR|5VULN|2DMG|1DUR	1LEGI|2467aVULN|37DMG|5AART|7BPWR|8DUR|9RCR
36	23151 32525	3	 * 	276.80	DCR|4VULN|3DUR|2DMG	138aVULN|2ERES|49aDUR|5BELT|6aDMG|7RCR|aBPWR
37	23221 32525	3	   	276.80	DCR|4VULN|3DUR|2DMG	148aVULN|2ERES|39aDUR|5BELT|6aDMG|7RCR|aBPWR
38	23261 32525	4	   	276.80	DCR|4VULN|3DUR|2DMG	148aVULN|2ERES|39aDUR|5BELT|6aDMG|7RCR|aBPWR
39	22141 31625	10	 * 	276.35	DCR|4VULN|3TLV|2DUR|2ASPD	139aVULN|2aASPD|456TLV|7aDUR|8RCR|aBPWR
40	22134 53362	3	   	276.35	DCR|4VULN|2TLV|2DUR|2ASPD	136aVULN|2aASPD|45DUR|7DUST|8RCR|9aTLV|aBPWR
41	22523 61222	9	 * 	276.16	DCR|3VULN|3DUR|2TLV|3ASPD	149VULN|247ASPD|3RPLT|49BPWR|59TLV|6RCR|89aDUR
42	14532 25332	6	 * 	275.71	DCR|3VULN|3DUR|2DMG|2CDMG	1LEGI|267VULN|39DMG|47CDMG|578DUR|7BPWR|aRCR
43	22636 13341	10	   	274.90	DCR|4VULN|2DMG|2ASPD|1DUR	167aVULN|27ASPD|3RMIN|47DMG|5AART|7BPWR|8RCR|9DUR
44	22146 13322	8	   	273.98	DCR|4VULN|2DUR|1TLV|1CDMG	139aVULN|2ASPD|4TLV|57DUR|6CDMG|8RCR
45	22146 14321	8	   	273.98	DCR|4VULN|2DUR|1TLV|1CDMG	1379VULN|2ASPD|4TLV|5aDUR|6CDMG|8RCR
46	23144 34161	10	 * 	273.43	DCR|4VULN|3DUR|3TLV	1379VULN|2ERES|479TLV|5MBVNT|679DUR|79BPWR|8DMSP|aRCR
47	24563 13333	8	   	273.33	DCR|4VULN|2DMG|2DUR	1467VULN|27LWND|37DMG|5AART|7BPWR|8RCR|9aDUR
48	24563 13223	8	   	273.33	DCR|4VULN|2DMG|2DUR	1467VULN|27LWND|37DMG|5AART|7BPWR|8aDUR|9RCR
49	24563 13233	9	   	273.33	DCR|4VULN|2DMG|2DUR	1467VULN|27LWND|37DMG|5AART|7BPWR|8aDUR|9RCR
50	26163 12623	1	   	273.33	DCR|4VULN|2DMG|2DUR	1358VULN|2aDUR|4AART|68LWND|78DMG|8BPWR|9RCR
51	21161 22623	1	   	273.28	DCR|3VULN|3DUR|2DMG|2AART	138VULN|2LHND|46AART|58aDUR|78DMG|8BPWR|9RCR
52	22523 32414	9	   	273.21	DCR|4VULN|2TLV|3ASPD|1DMG	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9BEXP|aDMG
53	14563 13333	8	   	273.13	DCR|4VULN|2DMG|2DUR	1LEGI|2467VULN|37DMG|5AART|7BPWR|8RCR|9aDUR
54	14563 13223	8	   	273.13	DCR|4VULN|2DMG|2DUR	1LEGI|2467VULN|37DMG|5AART|7BPWR|8aDUR|9RCR
55	14563 13233	9	   	273.13	DCR|4VULN|2DMG|2DUR	1LEGI|2467VULN|37DMG|5AART|7BPWR|8aDUR|9RCR
56	22523 32414	8	   	273.11	DCR|4VULN|2TLV|3ASPD|1DMG	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9LEGI|aDMG
57	22523 61342	6	 * 	273.11	DCR|4VULN|2TLV|3ASPD|2CDMG	1479VULN|24aASPD|3RPLT|49BPWR|59TLV|6RCR|89CDMG
58	22146 13312	9	   	272.99	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	13aVULN|2ASPD|4TLV|57DUR|6CDMG|8RCR|9DMG
59	22441 62113	1	   	272.77	DCR|3VULN|3DUR|1TLV|1DMG	178VULN|27FEWX|3DMG|4ASPD|57aDUR|6RCR|7BPWR|9TLV
60	21441 62113	2	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	178VULN|27DUST|3DMG|4ASPD|57aDUR|6RCR|7BPWR|9TLV
61	21541 62113	3	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	178VULN|27DUST|3DMG|4ASPD|57aDUR|6RCR|7BPWR|9TLV
62	21541 62113	4	   	272.57	DCR|3VULN|3DUR|1TLV|1DMG	178VULN|27DUST|3DMG|4ASPD|57aDUR|6RCR|7BPWR|9TLV
63	24113 56321	9	 * 	272.54	DCR|3VULN|3DUR|2TLV|2CDMG	167VULN|2LWND|3RPLT|47TLV|567DUR|67BPWR|89CDMG|aRCR
64	22431 62162	1	 * 	272.54	DCR|3VULN|3DUR|2TLV|1DMG	18aVULN|2aFEWX|3DMG|49TLV|57aDUR|6RCR|aBPWR
65	21431 62162	2	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	18aVULN|2aDUST|3DMG|49TLV|57aDUR|6RCR|aBPWR
66	21531 62162	3	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	18aVULN|2aDUST|3DMG|49TLV|57aDUR|6RCR|aBPWR
67	23144 34333	10	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	137VULN|2ERES|47TLV|5MBVNT|678DUR|7BPWR|9DMG|aRCR
68	23144 71223	10	   	272.34	DCR|3VULN|3DUR|2TLV|1DMG	138VULN|2ERES|48TLV|5MBVNT|6RCR|789DUR|8BPWR|aDMG
69	22421 62263	1	   	272.19	DCR|4VULN|2DUR|1TLV|1DMG	178aVULN|27FEWX|3DMG|4ERES|57DUR|6RCR|7BPWR|9TLV
70	21421 62263	2	   	271.99	DCR|4VULN|2DUR|1TLV|1DMG	178aVULN|27DUST|3DMG|4ERES|57DUR|6RCR|7BPWR|9TLV
71	21521 62263	3	   	271.99	DCR|4VULN|2DUR|1TLV|1DMG	178aVULN|27DUST|3DMG|4ERES|57DUR|6RCR|7BPWR|9TLV
72	22261 31145	4	   	271.98	DCR|4VULN|2DMG|2DUR	178aVULN|2ASPD|3aDUR|4RCVC|5BELT|6aDMG|9RCR|aBPWR
73	22523 32433	9	 * 	271.59	DCR|5VULN|3TLV|3ASPD	1467aVULN|247ASPD|3RPLT|47aBPWR|57aTLV|8RCR|9aMLV
74	22523 32443	9	   	271.59	DCR|5VULN|3TLV|3ASPD	1467aVULN|247ASPD|3RPLT|47aBPWR|57aTLV|8RCR|9aCGEN
75	22523 32463	8	   	271.59	DCR|5VULN|3TLV|3ASPD	1467aVULN|247ASPD|3RPLT|47aBPWR|57aTLV|8RCR|9aCGEN
76	22523 32414	10	   	271.49	DCR|5VULN|2TLV|3ASPD	1467aVULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9BEXP
77	22523 32416	9	   	271.49	DCR|5VULN|2TLV|3ASPD	1467aVULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9BEXP
78	22523 32422	9	   	271.49	DCR|5VULN|2TLV|3ASPD	14679VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|aFEWX
79	22523 32423	10	   	271.49	DCR|5VULN|2TLV|3ASPD	14679VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|aMLV
80	22523 32424	10	   	271.49	DCR|5VULN|2TLV|3ASPD	14679VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|aDMSP
81	22523 32426	9	   	271.49	DCR|5VULN|2TLV|3ASPD	14679VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|aBEXP
82	22523 32436	9	   	271.49	DCR|5VULN|2TLV|3ASPD	1467aVULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9MLV
83	36313 31255	10	 * 	271.48	DCR|3VULN|3DMG|3TLV	1RPLT|28aTLV|34CGEN|58aDMG|6RCR|78aVULN|8aBPWR|9AART
84	36323 31255	10	   	271.48	DCR|3VULN|3DMG|3TLV	1RPLT|28aTLV|3CGEN|4DMSP|58aDMG|6RCR|78aVULN|8aBPWR|9AART
85	22523 32416	8	   	271.39	DCR|5VULN|2TLV|3ASPD	1467aVULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9LEGI
86	22523 32421	9	   	271.39	DCR|5VULN|2TLV|3ASPD	14679VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|aDUST
87	22523 32422	10	   	271.39	DCR|5VULN|2TLV|3ASPD	14679VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|aDUST
88	22523 32425	9	   	271.39	DCR|5VULN|3TLV|3ASPD	14679VULN|247ASPD|3RPLT|47BPWR|57aTLV|8RCR
89	24533 34321	8	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1679VULN|2LWND|3DMG|4CDMG|5TLV|8RCR|aDUR
90	14533 34321	8	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|2679VULN|3DMG|4CDMG|5TLV|8RCR|aDUR
91	21121 62111	1	 * 	270.57	DCR|5VULN|2DUR|1TLV	1378aVULN|2LHND|47FEWX|57DUR|6RCR|7BPWR|9TLV
92	21131 62111	1	   	270.57	DCR|5VULN|2DUR|1TLV	1378aVULN|2LHND|47BEXP|57DUR|6RCR|7BPWR|9TLV
93	42114 62111	1	   	270.57	DCR|5VULN|2DUR|1TLV	17BEXP|2FEWX|3578aVULN|47DUR|6RCR|7BPWR|9TLV
94	21214 62111	1	   	270.57	DCR|5VULN|2DUR|1TLV	1578aVULN|2LHND|37BEXP|47DUR|6RCR|7BPWR|9TLV
95	22214 62111	1	   	270.57	DCR|5VULN|2DUR|1TLV	1578aVULN|2FEWX|37BEXP|47DUR|6RCR|7BPWR|9TLV
96	14121 62111	2	   	270.47	DCR|5VULN|2DUR|1TLV	1LEGI|2378aVULN|47FEWX|57DUR|6RCR|7BPWR|9TLV
97	14124 62111	1	   	270.47	DCR|5VULN|2DUR|1TLV	1LEGI|27DUR|3578aVULN|47BEXP|6RCR|7BPWR|9TLV
98	14131 62111	2	   	270.47	DCR|5VULN|2DUR|1TLV	1LEGI|2378aVULN|47BEXP|57DUR|6RCR|7BPWR|9TLV
99	14214 62111	3	   	270.47	DCR|5VULN|2DUR|1TLV	1LEGI|2578aVULN|37BEXP|47DUR|6RCR|7BPWR|9TLV
100	14214 62111	2	   	270.47	DCR|5VULN|2DUR|1TLV	1LEGI|2578aVULN|37BEXP|47DUR|6RCR|7BPWR|9TLV
101	14231 62111	5	   	270.47	DCR|5VULN|2DUR|1TLV	1LEGI|2578aVULN|37BEXP|47DUR|6RCR|7BPWR|9TLV
102	14234 62111	4	   	270.47	DCR|5VULN|2DUR|1TLV	1LEGI|2578aVULN|37BEXP|47DUR|6RCR|7BPWR|9TLV
103	15114 62111	1	   	270.47	DCR|5VULN|2DUR|1TLV	1LEGI|27BEXP|3578aVULN|47DUR|6RCR|7BPWR|9TLV
104	21214 62111	2	   	270.47	DCR|5VULN|2DUR|1TLV	1578aVULN|2DUST|37BEXP|47DUR|6RCR|7BPWR|9TLV
105	21214 62111	3	   	270.47	DCR|5VULN|2DUR|1TLV	1578aVULN|2DUST|37BEXP|47DUR|6RCR|7BPWR|9TLV
106	41114 62111	2	   	270.47	DCR|5VULN|2DUR|1TLV	17BEXP|2DUST|3578aVULN|47DUR|6RCR|7BPWR|9TLV
107	21111 62111	1	   	270.37	DCR|5VULN|2DUR|1TLV	1378aVULN|2LHND|47DUST|57DUR|6RCR|7BPWR|9TLV
108	22111 62111	1	   	270.37	DCR|5VULN|2DUR|1TLV	1378aVULN|2FEWX|47DUST|57DUR|6RCR|7BPWR|9TLV
109	24111 62111	1	   	270.37	DCR|5VULN|2DUR|1TLV	1378aVULN|2BEXP|47DUST|57DUR|6RCR|7BPWR|9TLV
110	14111 62111	2	   	270.27	DCR|5VULN|2DUR|1TLV	1LEGI|2378aVULN|47DUST|57DUR|6RCR|7BPWR|9TLV
111	22263 13266	8	   	270.21	DCR|3VULN|3DUR|1TLV|2ASPD	167VULN|27ASPD|378DUR|4RCVC|5AART|7BPWR|9TLV|aRCR
112	22523 32412	9	   	269.40	DCR|4VULN|2TLV|3ASPD|1DUR	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9BEXP|aDUR
113	22523 32421	8	   	269.40	DCR|4VULN|2TLV|3ASPD|1DUR	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9DUR|aBEXP
114	22523 32423	8	   	269.40	DCR|4VULN|2TLV|3ASPD|1DUR	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9DUR|aDMSP
115	21532 25332	6	   	269.30	DCR|3VULN|3DUR|2DMG|1CDMG	167VULN|27DUST|39DMG|4CDMG|578DUR|7BPWR|aRCR
116	22523 32412	8	   	269.30	DCR|4VULN|2TLV|3ASPD|1DUR	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9LEGI|aDUR
117	22523 32425	8	   	269.30	DCR|4VULN|2TLV|3ASPD|1DUR	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9DUR|aDUST
118	22523 32452	9	   	269.30	DCR|4VULN|2TLV|3ASPD|1DUR	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8RCR|9DUST|aDUR
119	22122 31562	7	   	269.30	DCR|4VULN|2TLV|3ASPD|1DUR	135aVULN|26aASPD|4FEWX|7DUR|8RCR|9aTLV|aBPWR
120	22221 41562	5	   	269.30	DCR|4VULN|2TLV|3ASPD|1DUR	156aVULN|27aASPD|3DUR|4BEXP|8RCR|9aTLV|aBPWR
121	22221 41562	4	   	269.30	DCR|4VULN|2TLV|3ASPD|1DUR	156aVULN|27aASPD|3DUR|4BEXP|8RCR|9aTLV|aBPWR
122	22132 41362	3	   	269.20	DCR|4VULN|2TLV|3ASPD|1DUR	136aVULN|27aASPD|4DUR|5DUST|8RCR|9aTLV|aBPWR
123	22242 53362	5	   	269.20	DCR|4VULN|2TLV|3ASPD|1DUR	156aVULN|24aASPD|3DUR|7DUST|8RCR|9aTLV|aBPWR
124	22211 41362	5	   	269.20	DCR|4VULN|2TLV|3ASPD|1DUR	156aVULN|27aASPD|3DUR|4DUST|8RCR|9aTLV|aBPWR
125	22211 41362	4	   	269.20	DCR|4VULN|2TLV|3ASPD|1DUR	156aVULN|27aASPD|3DUR|4DUST|8RCR|9aTLV|aBPWR
126	22523 32136	10	   	269.15	DCR|4VULN|2TLV|3ASPD|1DUR|1SELL	1467VULN|247ASPD|3RPLT|47BPWR|57TLV|8SELL|9RCR|aDUR
127	21521 21661	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2DUST|39DMG|4BEXP|6TLV|79DUR|8RCR|9BPWR|aLHND
128	21521 21663	8	   	268.72	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2DUST|39DMG|4BEXP|6TLV|79DUR|8RCR|9BPWR|aFEWX
129	24563 13132	8	   	268.70	DCR|4VULN|2DMG|1TLV	1467VULN|27LWND|37DMG|5AART|7BPWR|8FEWX|9TLV|aRCR
130	21521 21662	8	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV	159VULN|2aDUST|39DMG|4BEXP|6TLV|79DUR|8RCR|9BPWR
131	22242 46222	9	   	268.53	DCR|3VULN|3DUR|2TLV|2ASPD	15aVULN|24ASPD|39aDUR|6aTLV|7RCR|8LEGI|aBPWR
132	22111 46262	8	   	268.51	DCR|4VULN|2TLV|2DUR	139aVULN|2ASPD|4DMSP|5aDUR|6aTLV|7RCR|8LEGI|aBPWR
133	14563 13132	8	   	268.50	DCR|4VULN|2DMG|1TLV	1LEGI|2467VULN|37DMG|5AART|7BPWR|8FEWX|9TLV|aRCR
134	22636 13243	8	   	268.43	DCR|3VULN|2DMG|2DUR|2ASPD	167VULN|27ASPD|3RMIN|47DMG|5AART|7BPWR|8aDUR|9RCR
135	22636 13333	8	   	268.43	DCR|3VULN|2DMG|2DUR|2ASPD	167VULN|27ASPD|3RMIN|47DMG|5AART|7BPWR|8RCR|9aDUR
136	22636 13343	9	   	268.43	DCR|3VULN|2DMG|2DUR|2ASPD	167VULN|27ASPD|3RMIN|47DMG|5AART|7BPWR|8RCR|9aDUR
137	22636 13533	7	   	268.43	DCR|3VULN|2DMG|2DUR|2ASPD	167VULN|27ASPD|3RMIN|47DMG|5AART|7BPWR|8RCR|9aDUR
138	21134 43342	2	   	268.41	DCR|4VULN|2TLV|2DUR	1369VULN|27DUST|49TLV|59DUR|8RCR|9BPWR|aASPD
139	22122 43462	9	   	268.37	DCR|4VULN|2DUR|1TLV|2ASPD	135aVULN|2aASPD|47FEWX|6TLV|8RCR|9aDUR|aBPWR
140	22522 16224	8	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	1479VULN|24ASPD|3RPLT|4BPWR|56DUR|8TLV|aRCR
141	22522 22224	8	   	268.27	DCR|4VULN|2DUR|1TLV|2ASPD	1469VULN|24ASPD|3RPLT|4BPWR|57DUR|8TLV|aRCR
