0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31421 24352	7	 * 	285.40	DCR|3VULN|3DMG|2TLV|3ASPD	179ASPD|2BEXP|379VULN|4DUST|58TLV|679DMG|79BPWR|aRCR
23	32311 24433	9	   	268.26	DCR|2VULN|2DMG|2TLV|2DUR|2ASPD	17ASPD|2DUST|37DUR|49TLV|58VULN|67DMG|7BPWR|aRCR
24	34564 33444	9	   	268.17	DCR|4VULN|2DUR|1TLV|2ASPD	12ASPD|26BPWR|36DUR|4MBVNT|5678VULN|9RCR|aTLV
25	35213 24152	7	   	267.47	DCR|3VULN|3DMG|3ASPD|1DUR	179ASPD|2CGEN|379VULN|4FEWX|5DUR|679DMG|79BPWR|8DMSP|aRCR
26	35213 24152	8	   	267.47	DCR|3VULN|3DMG|3ASPD|1DUR	179ASPD|28CGEN|379VULN|4FEWX|5DUR|679DMG|79BPWR|aRCR
27	62621 21223	8	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1BELT|2ASPD|3TLV|458aVULN|6DUR|7RCR|9DMG
28	32311 23443	8	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1ASPD|2DUST|3DUR|4TLV|5789VULN|6DMG|aRCR
29	13463 25333	9	 * 	265.44	DCR|2VULN|3DUR|2DMG|2TLV	18TLV|2LHND|38VULN|456DUR|78DMG|8BPWR|9RMIN|aRCR
30	23212 43451	8	 * 	264.46	DCR|3VULN|3DUR|1TLV|1DMG	19LWND|2CGEN|359DUR|4TLV|6RCR|7DMG|89aVULN|9BPWR
31	33223 64353	3	   	264.00	DCR|2VULN|3DUR|2TLV|1DMG|2ASPD	19ASPD|2LWND|369DUR|4DMG|57VULN|89TLV|9BPWR|aRCR
32	21633 14343	1	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|2DUR|36DMG|4ASPD|579VULN|8TLV|aRCR
33	33223 14343	3	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|2LWND|3DUR|46DMG|579VULN|8TLV|aRCR
34	62621 21225	8	   	262.35	DCR|3VULN|2DMG|1TLV|1DUR	1BELT|2ASPD|3TLV|458VULN|6DUR|7RCR|9aDMG
35	32311 23413	9	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|2DUST|3DUR|4TLV|578VULN|69DMG|aRCR
36	32461 23413	9	   	262.25	DCR|3VULN|2DMG|1TLV|1DUR	1ASPD|2DUST|378VULN|4DUR|5TLV|69DMG|aRCR
37	31421 14353	3	   	262.22	DCR|3VULN|2DMG|2TLV|2ASPD	19ASPD|2BEXP|379VULN|46DMG|5LWND|89TLV|9BPWR|aRCR
38	33421 14353	3	   	262.22	DCR|3VULN|2DMG|2TLV|2ASPD	19ASPD|2LWND|379VULN|46DMG|5LHND|89TLV|9BPWR|aRCR
39	46234 21322	8	   	262.19	DCR|3VULN|1TLV|1DMG|2AART|1DUR	1aAART|2TLV|3ASPD|4DUR|578VULN|6DMG|9RCR
40	32421 14353	3	   	262.12	DCR|3VULN|2DMG|2TLV|2ASPD	19ASPD|2DUST|379VULN|46DMG|5LWND|89TLV|9BPWR|aRCR
41	34564 33442	10	 * 	262.03	DCR|4VULN|2DUR|1DMG|2ASPD	12ASPD|26BPWR|36DUR|4MBVNT|5678VULN|9RCR|aDMG
42	62625 21212	10	   	261.77	DCR|4VULN|2TLV|2ASPD|1DUR	1BELT|29ASPD|35TLV|458aVULN|5BPWR|6DUR|7RCR
43	41522 42213	3	   	260.80	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1AART|2RMIN|36DUR|4RPLT|568VULN|6BPWR|7RCR|9TLV|aDMG
44	41522 42213	2	   	260.80	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1AART|2RMIN|36DUR|4RPLT|568VULN|6BPWR|7RCR|9TLV|aDMG
45	31411 21344	5	 * 	260.78	DCR|3VULN|2TLV|2CDMG|2ASPD|1DUR	19ASPD|2BEXP|359VULN|48TLV|6DUR|79CDMG|9BPWR|aRCR
46	33411 21344	5	   	260.78	DCR|3VULN|2TLV|2CDMG|2ASPD|1DUR	19ASPD|2LWND|359VULN|48TLV|6DUR|79CDMG|9BPWR|aRCR
47	32411 21344	5	   	260.68	DCR|3VULN|2TLV|2CDMG|2ASPD|1DUR	19ASPD|2DUST|359VULN|48TLV|6DUR|79CDMG|9BPWR|aRCR
48	33212 53453	8	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	19ASPD|2LWND|359DUR|4TLV|6ZMB|789VULN|9BPWR|aRCR
49	32311 24143	7	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	17ASPD|2DUST|37DUR|4TLV|59VULN|67DMG|7BPWR|8DMSP|aRCR
50	32311 24343	8	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	17ASPD|2DUST|37DUR|4TLV|59VULN|67DMG|7BPWR|8RCVC|aRCR
51	32311 24443	9	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	17ASPD|2DUST|37DUR|4TLV|58VULN|67DMG|7BPWR|9DMSP|aRCR
52	32461 24323	9	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	17ASPD|2DUST|37VULN|49DUR|5TLV|67DMG|7BPWR|8RCVC|aRCR
53	32311 11153	5	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	19ASPD|2DUST|39DUR|4TLV|57VULN|69DMG|8DMSP|9BPWR|aRCR
54	32311 21153	6	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	19ASPD|2DUST|39DUR|4TLV|57VULN|69DMG|8DMSP|9BPWR|aRCR
55	32311 23153	7	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	19ASPD|2DUST|39DUR|4TLV|57VULN|69DMG|8DMSP|9BPWR|aRCR
56	32311 23353	8	   	260.18	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	19ASPD|2DUST|39DUR|4TLV|57VULN|69DMG|8RCVC|9BPWR|aRCR
57	32311 21453	8	   	260.08	DCR|2VULN|2DMG|2DUR|1TLV|2ASPD	19ASPD|27DUST|39DUR|4TLV|58VULN|69DMG|9BPWR|aRCR
58	35213 24236	8	   	259.35	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1CDMG	17ASPD|2CGEN|37VULN|4FEWX|5DUR|67DMG|7BPWR|8CDMG|9TLV|aRCR
59	33223 64343	3	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|2LWND|36DUR|4DMG|579VULN|8TLV|aRCR
60	62621 21523	7	   	259.34	DCR|3VULN|2DUR|1TLV|1DMG	1BELT|2ASPD|3TLV|45aVULN|68DUR|7RCR|9DMG
61	32311 23423	9	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|2DUST|39DUR|4TLV|578VULN|6DMG|aRCR
62	32311 23543	8	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|2DUST|38DUR|4TLV|579VULN|6DMG|aRCR
63	32461 23423	9	   	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1ASPD|2DUST|378VULN|49DUR|5TLV|6DMG|aRCR
64	46223 21321	8	   	259.22	DCR|4VULN|1TLV|1DMG|1AART	1AART|2TLV|3ASPD|478aVULN|5LHND|6DMG|9RCR
65	46225 21321	8	   	259.22	DCR|4VULN|1TLV|1DMG|1AART	1AART|2TLV|3ASPD|478aVULN|5FEWX|6DMG|9RCR
66	46226 21321	8	   	259.22	DCR|4VULN|1TLV|1DMG|1AART	1AART|2TLV|3ASPD|478aVULN|5BEXP|6DMG|9RCR
67	46214 21321	8	   	259.12	DCR|4VULN|1TLV|1DMG|1AART	1AART|2TLV|3ASPD|4DUST|578aVULN|6DMG|9RCR
68	13245 21532	10	 * 	259.12	DCR|3VULN|2TLV|2DUR|2CDMG	15TLV|2LHND|37DUR|45CDMG|5BPWR|68aVULN|9RCR
69	42341 32225	8	 * 	258.55	DCR|4VULN|2DMG|1DUR|1AART	1AART|2RCVC|37DMG|4567VULN|7BPWR|8MBVNT|9RCR|aDUR
70	62623 11323	7	   	257.60	DCR|4VULN|1TLV|1DMG|2ASPD	1BELT|28ASPD|3TLV|468aVULN|58LHND|7RCR|8BPWR|9DMG
71	12233 84261	2	   	255.43	DCR|3VULN|2DMG|2TLV|1AART	19TLV|2DUST|3BBNT|4MBVNT|59DMG|6RCR|79aVULN|8AART|9BPWR
72	43516 11321	8	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1AART|278aVULN|3ASPD|4DUR|5MLV|6TLV|9RCR
