0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62313 32355	1	 * 	263.47	DCR|4VULN|2DMG|2DUR	1LEGI|235aVULN|4CGEN|6aDUR|7aDMG|8DLOT|9RCR|aBPWR
13	21163 38613	1	 * 	251.91	DCR|3VULN|3DUR|1DMG|1CDMG	128BEXP|268BPWR|368DUR|4MBVNT|568VULN|7RCR|9DMG|aCDMG
14	26246 32132	9	 * 	251.28	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1BEXP|2CDMG|39TLV|49DMG|5ZMB|69VULN|7CGEN|8DUR|9BPWR|aRCR
15	26221 25113	7	   	251.19	DCR|4VULN|1TLV|1DUR|1CDMG	15BEXP|2CDMG|3TLV|457aVULN|5BPWR|6LHND|8DUR|9RCR
16	26221 34113	7	   	251.19	DCR|4VULN|1TLV|1DUR|1CDMG	15BEXP|2CDMG|3TLV|456aVULN|5BPWR|7LWND|8DUR|9RCR
17	26221 34113	6	   	251.19	DCR|4VULN|1TLV|1DUR|1CDMG	15BEXP|2CDMG|3TLV|456aVULN|5BPWR|7FEWX|8DUR|9RCR
18	26221 45113	7	   	251.19	DCR|4VULN|1TLV|1DUR|1CDMG	15BEXP|2CDMG|3TLV|457aVULN|5BPWR|6LWND|8DUR|9RCR
19	26221 32264	9	   	251.19	DCR|4VULN|1TLV|1DUR|1CDMG	15BEXP|2CDMG|3TLV|4568VULN|5BPWR|7RCVC|9DUR|aRCR
20	36246 32132	9	   	251.18	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	1DUST|2CDMG|39TLV|49DMG|5ZMB|69VULN|7CGEN|8DUR|9BPWR|aRCR
21	26221 33113	7	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	15BEXP|2CDMG|3TLV|456aVULN|5BPWR|7DUST|8DUR|9RCR
22	26221 33113	6	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	15BEXP|2CDMG|3TLV|456aVULN|5BPWR|7DUST|8DUR|9RCR
23	26221 55113	7	   	251.09	DCR|4VULN|1TLV|1DUR|1CDMG	15BEXP|2CDMG|3TLV|457aVULN|5BPWR|6LEGI|8DUR|9RCR
24	11363 37162	1	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12LHND|26BPWR|36DUR|4MBVNT|567VULN|8TLV|9DMG|aRCR
25	11363 37162	2	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	12LHND|36DUR|4MBVNT|567VULN|6BPWR|8TLV|9DMG|aRCR
26	26221 35124	6	 * 	251.04	DCR|3VULN|2DUR|1TLV|2CDMG	15BEXP|29CDMG|3TLV|456VULN|5BPWR|78DUR|aRCR
27	36221 25113	7	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	15DUST|2CDMG|3TLV|457aVULN|5BPWR|6LHND|8DUR|9RCR
28	36221 34113	6	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	15DUST|2CDMG|3TLV|456aVULN|5BPWR|7FEWX|8DUR|9RCR
29	36221 34113	7	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	15DUST|2CDMG|3TLV|456aVULN|5BPWR|7LWND|8DUR|9RCR
30	36221 45113	7	   	250.99	DCR|4VULN|1TLV|1DUR|1CDMG	15DUST|2CDMG|3TLV|457aVULN|5BPWR|6LWND|8DUR|9RCR
31	36221 55113	7	   	250.89	DCR|4VULN|1TLV|1DUR|1CDMG	15DUST|2CDMG|3TLV|457aVULN|5BPWR|6LEGI|8DUR|9RCR
32	36221 35124	6	   	250.84	DCR|3VULN|2DUR|1TLV|2CDMG	15DUST|29CDMG|3TLV|456VULN|5BPWR|78DUR|aRCR
33	35521 26311	4	 * 	250.61	DCR|2VULN|3DMG|1TLV|1CDMG	1DUST|256DMG|39VULN|4ASPD|7TLV|8RCR|aCDMG
34	16221 16143	5	   	250.20	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	15LHND|2CDMG|3CGEN|45aVULN|5BPWR|6TLV|7DMG|8DUR|9RCR
35	23213 32113	3	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|235VULN|4CGEN|6DUR|7DMG|8TLV|9CDMG|aRCR
36	23223 32113	3	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|235VULN|4RMIN|6DUR|7DMG|8TLV|9CDMG|aRCR
37	23263 32113	4	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1BEXP|235VULN|4CGEN|6DUR|7DMG|8TLV|9CDMG|aRCR
38	26221 35132	7	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	15BEXP|2CDMG|3TLV|456VULN|5BPWR|7DMG|8DUST|9DUR|aRCR
39	26221 35332	9	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	15BEXP|2CDMG|3TLV|456VULN|5BPWR|7DMG|8DUST|9DUR|aRCR
40	26221 35332	8	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	15BEXP|2CDMG|3TLV|456VULN|5BPWR|7DMG|8DUST|9DUR|aRCR
41	33213 32113	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|235VULN|4CGEN|6DUR|7DMG|8TLV|9CDMG|aRCR
42	33223 32113	3	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|235VULN|4RMIN|6DUR|7DMG|8TLV|9CDMG|aRCR
43	33263 32113	4	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|235VULN|4CGEN|6DUR|7DMG|8TLV|9CDMG|aRCR
44	33313 32113	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|235VULN|4CGEN|6DUR|7DMG|8TLV|9CDMG|aRCR
45	33323 32113	2	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUST|235VULN|4RMIN|6DUR|7DMG|8TLV|9CDMG|aRCR
46	36221 35232	7	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	15DUST|2CDMG|3TLV|456VULN|5BPWR|7DMG|8BEXP|9DUR|aRCR
47	36221 35532	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	15DUST|2CDMG|3TLV|456VULN|5BPWR|7DMG|8BEXP|9DUR|aRCR
48	36221 35532	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	15DUST|2CDMG|3TLV|456VULN|5BPWR|7DMG|8BEXP|9DUR|aRCR
49	36221 35632	8	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	15DUST|2CDMG|3TLV|456VULN|5BPWR|7DMG|8LWND|9DUR|aRCR
50	62313 32113	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|235VULN|4CGEN|6DUR|7DMG|8TLV|9CDMG|aRCR
51	62323 32113	1	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LEGI|235VULN|4RMIN|6DUR|7DMG|8TLV|9CDMG|aRCR
52	23252 32263	3	 * 	249.62	ACR|5VULN|2DMG|2DUR	1BEXP|23689VULN|46DUR|5RCR|6BPWR|7aDMG
53	23216 66111	10	 * 	249.43	DCR|4VULN|2TLV|1DMG	145BEXP|2359VULN|5BPWR|6DMG|78TLV|aRCR
54	26243 41132	5	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	17BEXP|27CDMG|3TLV|46DMG|57VULN|7BPWR|8DUST|9DUR|aRCR
55	32561 12132	9	   	249.41	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	1DUST|2TLV|39VULN|49DMG|5MLV|69CDMG|7CGEN|8DUR|9BPWR|aRCR
56	36243 41232	5	   	249.31	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR	17DUST|27CDMG|3TLV|46DMG|57VULN|7BPWR|8BEXP|9DUR|aRCR
57	43255 33331	6	   	249.27	DCR|4VULN|1DMG|1DUR|1AART	1AART|2359VULN|4ASPD|6RMIN|7RCR|8DUR|aDMG
58	43213 53331	6	   	249.17	DCR|4VULN|1DMG|1DUR|1AART	1AART|2369VULN|4ERES|5ASPD|7RCR|8DUR|aDMG
59	23213 32355	3	   	248.99	DCR|4VULN|2DMG|1DUR	1aBEXP|235aVULN|4CGEN|6DUR|7aDMG|8DLOT|9RCR|aBPWR
60	23263 32355	4	   	248.99	DCR|4VULN|2DMG|1DUR	1aBEXP|235aVULN|4CGEN|6DUR|7aDMG|8DLOT|9RCR|aBPWR
61	33213 32355	3	   	248.79	DCR|4VULN|2DMG|1DUR	1aDUST|235aVULN|4CGEN|6DUR|7aDMG|8DLOT|9RCR|aBPWR
62	33263 32355	4	   	248.79	DCR|4VULN|2DMG|1DUR	1aDUST|235aVULN|4CGEN|6DUR|7aDMG|8DLOT|9RCR|aBPWR
63	33313 32355	2	   	248.79	DCR|4VULN|2DMG|1DUR	1aDUST|235aVULN|4CGEN|6DUR|7aDMG|8DLOT|9RCR|aBPWR
64	43251 53131	6	   	247.46	DCR|4VULN|1TLV|1AART	1AART|236aVULN|4ASPD|5CGEN|7RCR|8LIT|9TLV
65	43255 13131	6	   	247.46	DCR|4VULN|1TLV|1AART	1AART|235aVULN|4ASPD|6CGEN|7RCR|8LIT|9TLV
66	43255 33131	6	   	247.46	DCR|4VULN|1TLV|1AART	1AART|235aVULN|4ASPD|6RMIN|7RCR|8LIT|9TLV
67	43213 53335	6	 * 	247.45	DCR|5VULN|1DUR|1AART	1AART|2369aVULN|4ERES|5ASPD|7RCR|8DUR
68	43213 53131	6	   	247.36	DCR|4VULN|1TLV|1AART	1AART|236aVULN|4ERES|5ASPD|7RCR|8LIT|9TLV
69	23221 62651	4	   	247.35	DCR|3VULN|2DMG|1TLV|1AART	1BEXP|236VULN|4LEGI|57DMG|8AART|9RCR|aTLV
70	43134 42142	7	   	247.21	DCR|2VULN|2DMG|1TLV|1DUR|1AART	1AART|25VULN|3MBVNT|4DUR|6LIT|7TLV|8aDMG|9RCR
71	43245 13233	4	   	247.10	DCR|4VULN|1TLV|1DUR|1AART	1AART|2369VULN|4FEWX|5DUR|7RCR|8BEXP|aTLV
72	43215 11633	3	   	247.00	DCR|4VULN|1TLV|1DUR|1AART	1AART|2369VULN|4DUST|5DUR|7FEWX|8RCR|aTLV
73	23252 35241	3	   	246.91	ACR|4VULN|3DUR|1TLV|1CDMG	18BEXP|2368VULN|468DUR|5RCR|68BPWR|7RPLT|9CDMG|aTLV
74	26221 12621	8	   	246.63	DCR|3VULN|2TLV|2ASPD|1CDMG	158BEXP|2CDMG|38TLV|45aVULN|58BPWR|6LIT|78ASPD|9RCR
75	62561 12132	9	 * 	246.41	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG	1LEGI|2TLV|39VULN|4DMG|5MLV|69CDMG|7CGEN|89DUR|9BPWR|aRCR
76	36221 12621	8	   	246.33	DCR|3VULN|2TLV|2ASPD|1CDMG	158DUST|2CDMG|38TLV|45aVULN|58BPWR|6LIT|78ASPD|9RCR
77	43134 46533	5	   	246.01	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1AART|259VULN|3MBVNT|4DUR|6ZMB|7RCR|8DMG|aTLV
78	43134 73245	5	   	245.91	DCR|3VULN|1TLV|2CDMG|1DUR|1AART	1AART|257VULN|3MBVNT|4DUR|68CDMG|9TLV|aRCR
79	23213 36165	3	   	245.75	DCR|4VULN|1TLV|1DUR	1BEXP|2359VULN|4CGEN|6DUR|7ASPD|8TLV|aRCR
80	23223 36165	3	   	245.75	DCR|4VULN|1TLV|1DUR	1BEXP|2359VULN|4RMIN|6DUR|7ASPD|8TLV|aRCR
81	33213 36165	3	   	245.65	DCR|4VULN|1TLV|1DUR	1DUST|2359VULN|4CGEN|6DUR|7ASPD|8TLV|aRCR
82	33223 36165	3	   	245.65	DCR|4VULN|1TLV|1DUR	1DUST|2359VULN|4RMIN|6DUR|7ASPD|8TLV|aRCR
83	33313 36165	2	   	245.65	DCR|4VULN|1TLV|1DUR	1DUST|2359VULN|4CGEN|6DUR|7ASPD|8TLV|aRCR
84	33323 36165	2	   	245.65	DCR|4VULN|1TLV|1DUR	1DUST|2359VULN|4RMIN|6DUR|7ASPD|8TLV|aRCR
85	23541 25113	7	   	245.37	DCR|4VULN|2TLV|1DUR|1SELL	1BEXP|257aVULN|3SELL|45TLV|5BPWR|6LHND|8DUR|9RCR
86	23541 34113	7	   	245.37	DCR|4VULN|2TLV|1DUR|1SELL	1BEXP|256aVULN|3SELL|45TLV|5BPWR|7LWND|8DUR|9RCR
87	23541 34113	6	   	245.37	DCR|4VULN|2TLV|1DUR|1SELL	1BEXP|256aVULN|3SELL|45TLV|5BPWR|7FEWX|8DUR|9RCR
88	32512 66111	10	   	245.32	DCR|4VULN|2TLV|2ASPD	147DUST|28TLV|3679VULN|57ASPD|7BPWR|aRCR
89	32522 66111	10	   	245.32	DCR|4VULN|2TLV|2ASPD	157DUST|28TLV|3679VULN|47ASPD|7BPWR|aRCR
90	23541 33113	7	   	245.27	DCR|4VULN|2TLV|1DUR|1SELL	1BEXP|256aVULN|3SELL|45TLV|5BPWR|7DUST|8DUR|9RCR
91	23541 33113	6	   	245.27	DCR|4VULN|2TLV|1DUR|1SELL	1BEXP|256aVULN|3SELL|45TLV|5BPWR|7DUST|8DUR|9RCR
92	23541 53113	5	   	245.27	DCR|4VULN|2TLV|1DUR|1SELL	1BEXP|256aVULN|3SELL|45TLV|5BPWR|7DUST|8DUR|9RCR
93	33541 25113	7	   	245.27	DCR|4VULN|2TLV|1DUR|1SELL	1DUST|257aVULN|3SELL|45TLV|5BPWR|6LHND|8DUR|9RCR
94	33541 34113	7	   	245.27	DCR|4VULN|2TLV|1DUR|1SELL	1DUST|256aVULN|3SELL|45TLV|5BPWR|7LWND|8DUR|9RCR
95	33541 34113	6	   	245.27	DCR|4VULN|2TLV|1DUR|1SELL	1DUST|256aVULN|3SELL|45TLV|5BPWR|7FEWX|8DUR|9RCR
96	62352 32263	1	 * 	245.16	ACR|5VULN|3DUR|1DMG	1LEGI|23689VULN|46aDUR|5RCR|6BPWR|7DMG
97	26632 12621	8	   	245.10	DCR|3VULN|1TLV|2ASPD|2LIT|1CDMG	158BEXP|2CDMG|38LIT|45aVULN|58BPWR|6TLV|78ASPD|9RCR
98	36632 12621	8	   	244.80	DCR|3VULN|1TLV|2ASPD|2LIT|1CDMG	158DUST|2CDMG|38LIT|45aVULN|58BPWR|6TLV|78ASPD|9RCR
99	25233 35311	10	   	244.76	DCR|3VULN|1TLV|1DMG|1DUR	1BEXP|2DMG|3BELT|4ASPD|5DUR|678VULN|9RCR|aTLV
100	26221 25114	7	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	15BEXP|2CDMG|3TLV|457VULN|5BPWR|6LHND|8aDUR|9RCR
101	26221 34114	6	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	15BEXP|2CDMG|3TLV|456VULN|5BPWR|7FEWX|8aDUR|9RCR
102	26221 34114	7	   	244.72	DCR|3VULN|2DUR|1TLV|1CDMG	15BEXP|2CDMG|3TLV|456VULN|5BPWR|7LWND|8aDUR|9RCR
103	41321 51162	5	   	244.69	DCR|2VULN|2DMG|2TLV|1CDMG|1AART	1AART|2RCVC|38DMG|48VULN|5CGEN|6CDMG|78TLV|8BPWR|9LWND|aRCR
104	26221 33114	7	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	15BEXP|2CDMG|3TLV|456VULN|5BPWR|7DUST|8aDUR|9RCR
105	26221 33114	6	   	244.62	DCR|3VULN|2DUR|1TLV|1CDMG	15BEXP|2CDMG|3TLV|456VULN|5BPWR|7DUST|8aDUR|9RCR
106	32531 12621	8	   	244.56	DCR|3VULN|1TLV|2CDMG|2ASPD	158DUST|2TLV|38aVULN|45CDMG|58BPWR|6LIT|78ASPD|9RCR
107	36221 34114	6	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	15DUST|2CDMG|3TLV|456VULN|5BPWR|7FEWX|8aDUR|9RCR
108	36221 34114	7	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	15DUST|2CDMG|3TLV|456VULN|5BPWR|7LWND|8aDUR|9RCR
109	36221 25114	7	   	244.52	DCR|3VULN|2DUR|1TLV|1CDMG	15DUST|2CDMG|3TLV|457VULN|5BPWR|6LHND|8aDUR|9RCR
110	43174 32382	3	   	244.40	DCR|4VULN|1TLV|1CDMG|1AART	1AART|257aVULN|3MBVNT|4RMIN|6CDMG|8RCR|9TLV
111	43274 32382	2	   	244.40	DCR|4VULN|1TLV|1CDMG|1AART	1AART|257aVULN|3MBVNT|4RMIN|6CDMG|8RCR|9TLV
112	43274 32382	1	   	244.40	DCR|4VULN|1TLV|1CDMG|1AART	1AART|257aVULN|3MBVNT|4RMIN|6CDMG|8RCR|9TLV
113	32533 25262	8	   	244.40	DCR|4VULN|1TLV|1CDMG|1AART	1DUST|2TLV|3789VULN|4CDMG|5AART|6FEWX|aRCR
114	36223 25262	8	   	244.40	DCR|4VULN|1TLV|1CDMG|1AART	1DUST|2CDMG|3TLV|4789VULN|5AART|6FEWX|aRCR
115	33541 35232	7	   	244.29	DCR|3VULN|2TLV|1DMG|1DUR|1SELL	1DUST|256VULN|3SELL|45TLV|5BPWR|7DMG|8BEXP|9DUR|aRCR
116	23541 35132	7	   	244.29	DCR|3VULN|2TLV|1DMG|1DUR|1SELL	1BEXP|256VULN|3SELL|45TLV|5BPWR|7DMG|8DUST|9DUR|aRCR
117	23541 35332	8	   	244.29	DCR|3VULN|2TLV|1DMG|1DUR|1SELL	1BEXP|256VULN|3SELL|45TLV|5BPWR|7DMG|8DUST|9DUR|aRCR
118	23541 35332	9	   	244.29	DCR|3VULN|2TLV|1DMG|1DUR|1SELL	1BEXP|256VULN|3SELL|45TLV|5BPWR|7DMG|8DUST|9DUR|aRCR
119	43255 12312	5	   	243.89	DCR|4VULN|2DUR|1AART	1AART|235aVULN|4ASPD|6aBEXP|7aDUR|8RCR|9BBNT|aBPWR
120	43255 12332	5	   	243.89	DCR|4VULN|2DUR|1AART	1AART|235aVULN|4ASPD|6aBEXP|7aDUR|8RCR|9TBNT|aBPWR
121	43255 22312	6	   	243.89	DCR|4VULN|2DUR|1AART	1AART|235aVULN|4ASPD|6aBEXP|7aDUR|8RCR|9BBNT|aBPWR
122	43255 22332	6	   	243.89	DCR|4VULN|2DUR|1AART	1AART|235aVULN|4ASPD|6aBEXP|7aDUR|8RCR|9TBNT|aBPWR
123	43134 36112	6	   	243.81	DCR|3VULN|3DUR|2ASPD|1AART	1AART|25aVULN|3MBVNT|48aDUR|6aASPD|7RCR|9BBNT|aBPWR
124	43134 36132	6	   	243.81	DCR|3VULN|3DUR|2ASPD|1AART	1AART|25aVULN|3MBVNT|48aDUR|6aASPD|7RCR|9TBNT|aBPWR
125	43134 36462	6	   	243.81	DCR|3VULN|3DUR|2ASPD|1AART	1AART|25aVULN|3MBVNT|49aDUR|6aASPD|7RCR|8BBNT|aBPWR
126	43184 54112	4	   	243.81	DCR|3VULN|3DUR|2ASPD|1AART	1AART|25aVULN|3MBVNT|4aASPD|6RCR|78aDUR|9BBNT|aBPWR
127	43184 54132	4	   	243.81	DCR|3VULN|3DUR|2ASPD|1AART	1AART|25aVULN|3MBVNT|4aASPD|6RCR|78aDUR|9TBNT|aBPWR
128	43252 54112	5	   	243.81	DCR|3VULN|3DUR|2ASPD|1AART	1AART|23aVULN|4aASPD|5MBVNT|6RCR|78aDUR|9BBNT|aBPWR
129	43252 54132	5	   	243.81	DCR|3VULN|3DUR|2ASPD|1AART	1AART|23aVULN|4aASPD|5MBVNT|6RCR|78aDUR|9TBNT|aBPWR
130	26221 35115	8	   	243.61	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	15BEXP|2CDMG|3TLV|456VULN|5BPWR|7DMG|8RCVC|9AART|aRCR
131	43231 41233	3	   	243.51	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1AART|239VULN|4RPLT|5CDMG|6RCR|7DMG|8BEXP|aTLV
132	43231 41433	3	   	243.51	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1AART|239VULN|4RPLT|5CDMG|6RCR|7DMG|8FEWX|aTLV
133	41322 74218	8	   	243.41	DCR|2VULN|3DMG|1DUR|2LIT|1AART	1AART|2RCVC|37aDMG|47VULN|5MBVNT|67LIT|7BPWR|8DUR|9RCR
134	43142 64218	8	   	243.41	DCR|2VULN|3DMG|1DUR|2LIT|1AART	1AART|27VULN|3MBVNT|4RCVC|57LIT|67aDMG|7BPWR|8DUR|9RCR
135	36221 35115	8	   	243.41	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	15DUST|2CDMG|3TLV|456VULN|5BPWR|7DMG|8RCVC|9AART|aRCR
136	41322 42382	6	   	243.41	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1AART|2RCVC|3DMG|47aVULN|5MBVNT|6CDMG|8RCR|9TLV
137	43231 41633	3	   	243.41	DCR|3VULN|1TLV|1DMG|1CDMG|1AART	1AART|239VULN|4RPLT|5CDMG|6RCR|7DMG|8DUST|aTLV
138	23522 46212	8	 * 	243.27	DCR|4VULN|3LIT|1DMG|1SELL	17BEXP|2579VULN|3SELL|457LIT|57BPWR|6RCR|8DMG|aASPD
139	41362 52312	6	 * 	243.14	DCR|2VULN|3DMG|2DUR|1AART	1AART|2RCVC|34aDMG|5BEXP|6aVULN|7aDUR|8RCR|9BBNT|aBPWR
140	41362 52332	6	   	243.14	DCR|2VULN|3DMG|2DUR|1AART	1AART|2RCVC|34aDMG|5BEXP|6aVULN|7aDUR|8RCR|9TBNT|aBPWR
141	33522 46212	8	 * 	243.07	DCR|4VULN|3LIT|1DMG|1SELL	17DUST|2579VULN|3SELL|457LIT|57BPWR|6RCR|8DMG|aASPD
142	41322 51412	5	   	243.04	DCR|2VULN|3DMG|2DUR|1AART	1AART|2RCVC|37aDMG|4aVULN|5MBVNT|6RCR|8BBNT|9aDUR|aBPWR
143	41322 56442	6	   	243.04	DCR|2VULN|3DMG|2DUR|1AART	1AART|2RCVC|39aDMG|4aVULN|5MBVNT|6aDUR|7RCR|8BBNT|aBPWR
144	43148 51412	4	   	243.04	DCR|2VULN|3DMG|2DUR|1AART	1AART|2aVULN|3MBVNT|4RCVC|57aDMG|6RCR|8BBNT|9aDUR|aBPWR
145	15123 33113	2	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|23DMG|45VULN|6DUR|7RMIN|8TLV|9CDMG|aRCR
146	15523 33113	3	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|24DMG|35VULN|6DUR|7RMIN|8TLV|9CDMG|aRCR
147	15551 31213	3	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|25DMG|38VULN|4TLV|6DUR|7MLV|9CDMG|aRCR
148	15551 33213	3	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|25DMG|38VULN|4TLV|6DUR|7RMIN|9CDMG|aRCR
149	15563 33113	4	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|24DMG|35VULN|6DUR|7RMIN|8TLV|9CDMG|aRCR
150	22421 53236	2	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BEXP|2TLV|3CDMG|4RPLT|57DMG|6DUR|8aVULN|9RCR
151	25123 33113	2	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BEXP|23DMG|45VULN|6DUR|7RMIN|8TLV|9CDMG|aRCR
152	25523 33113	3	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BEXP|24DMG|35VULN|6DUR|7RMIN|8TLV|9CDMG|aRCR
153	25563 33113	4	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BEXP|24DMG|35VULN|6DUR|7RMIN|8TLV|9CDMG|aRCR
154	26221 53236	3	   	243.00	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1BEXP|2CDMG|3TLV|4RPLT|57DMG|6DUR|8aVULN|9RCR
155	14523 52213	3	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|2ERES|38VULN|47DMG|5TLV|6DUR|9CDMG|aRCR
156	15523 52213	4	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|27DMG|38VULN|4ERES|5TLV|6DUR|9CDMG|aRCR
157	35123 33113	2	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1DUST|23DMG|45VULN|6DUR|7RMIN|8TLV|9CDMG|aRCR
158	35523 33113	3	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1DUST|24DMG|35VULN|6DUR|7RMIN|8TLV|9CDMG|aRCR
159	35563 33113	4	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1DUST|24DMG|35VULN|6DUR|7RMIN|8TLV|9CDMG|aRCR
160	62521 31213	3	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LEGI|2TLV|38VULN|45DMG|6DUR|7MLV|9CDMG|aRCR
161	62521 33213	3	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LEGI|2TLV|38VULN|45DMG|6DUR|7RMIN|9CDMG|aRCR
162	62561 31213	4	   	242.90	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LEGI|2TLV|38VULN|45DMG|6DUR|7MLV|9CDMG|aRCR
