0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23332 31265	3	 * 	286.68	DCR|3VULN|3DUR|2ASPD|1DMG|1TLV	137DUR|2FEWX|457VULN|67ASPD|7BPWR|8RCR|9DMG|aTLV
29	23331 31265	3	   	259.78	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV	137DUR|25FEWX|47VULN|67ASPD|7BPWR|8RCR|9DMG|aTLV
30	23333 21265	6	   	259.78	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV	137DUR|24FEWX|57ASPD|67VULN|7BPWR|8RCR|9DMG|aTLV
31	23353 21265	6	   	259.78	DCR|2VULN|3DUR|2ASPD|1DMG|1TLV	137DUR|2FEWX|4DMSP|57ASPD|67VULN|7BPWR|8RCR|9DMG|aTLV
32	65112 43212	9	 * 	259.76	DCR|2VULN|3DUR|2DMG|2TLV	17TLV|28VULN|3LEGI|457DUR|67DMG|7BPWR|9LHND|aRCR
33	65112 43232	8	   	259.76	DCR|2VULN|3DUR|2DMG|2TLV	17TLV|28VULN|3LEGI|457DUR|67DMG|7BPWR|9RCVC|aRCR
34	23212 41653	1	   	258.88	DCR|3VULN|3DUR|2CDMG|1AART	179DUR|267LHND|379VULN|4BBNT|5AART|79BPWR|89CDMG|aRCR
35	63413 36414	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|28LHND|379VULN|4DUR|5MBVNT|68DMG|8BPWR|aRCR
36	65213 34413	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|289VULN|37LWND|4DUR|5MBVNT|68DMG|8BPWR|aRCR
37	65213 36413	9	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|278VULN|3LWND|4DUR|5MBVNT|68DMG|8BPWR|9RCVC|aRCR
38	65213 36424	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|278VULN|3LWND|4DUR|5MBVNT|68DMG|8BPWR|9FEWX|aRCR
39	65213 36433	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|278VULN|3LWND|4DUR|5MBVNT|68DMG|8BPWR|9DMSP|aRCR
40	65213 36434	9	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|278VULN|3LWND|4DUR|5MBVNT|68DMG|8BPWR|9FEWX|aRCR
41	65213 37413	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|289VULN|3LWND|4DUR|5MBVNT|68DMG|7RCVC|8BPWR|aRCR
42	65242 34413	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|289VULN|37LWND|4MBVNT|5DUR|68DMG|8BPWR|aRCR
43	65323 34413	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|289VULN|3DUR|47LWND|5MBVNT|68DMG|8BPWR|aRCR
44	65323 36413	9	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|278VULN|3DUR|4LWND|5MBVNT|68DMG|8BPWR|9RCVC|aRCR
45	65323 36424	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|278VULN|3DUR|4LWND|5MBVNT|68DMG|8BPWR|9FEWX|aRCR
46	65323 36433	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|278VULN|3DUR|4LWND|5MBVNT|68DMG|8BPWR|9DMSP|aRCR
47	65323 36434	9	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|278VULN|3DUR|4LWND|5MBVNT|68DMG|8BPWR|9FEWX|aRCR
48	65323 37413	8	   	258.86	DCR|3VULN|2DMG|2TLV|1DUR	18TLV|289VULN|3DUR|4LWND|5MBVNT|68DMG|7RCVC|8BPWR|aRCR
49	65213 33424	8	 * 	258.76	DCR|3VULN|2DMG|3TLV|1DUR	178TLV|289VULN|3LWND|4DUR|5MBVNT|68DMG|8BPWR|aRCR
50	65242 33424	8	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	178TLV|289VULN|3LWND|4MBVNT|5DUR|68DMG|8BPWR|aRCR
51	65323 33424	8	   	258.76	DCR|3VULN|2DMG|3TLV|1DUR	178TLV|289VULN|3DUR|4LWND|5MBVNT|68DMG|8BPWR|aRCR
52	65312 11218	6	 * 	258.68	DCR|3VULN|3DUR|2TLV|1AART	17TLV|27aVULN|347DUR|5RCVC|6MBVNT|7BPWR|8RCR|9AART
53	23332 31226	3	   	258.68	DCR|3VULN|3DUR|2ASPD	137DUR|2FEWX|457VULN|67ASPD|7BPWR|8RCR|9MLV|aLIT
54	25363 21235	6	   	258.68	DCR|3VULN|3DUR|2ASPD	137DUR|24LHND|57ASPD|67aVULN|7BPWR|8RCR|9LIT
55	21133 35114	7	   	258.34	DCR|4VULN|2DUR|1DMG	16DUR|2ERES|3LHND|4679VULN|5MBVNT|6BPWR|8DMG|aRCR
56	21133 35354	8	   	258.34	DCR|4VULN|2DUR|1DMG	16DUR|2ERES|3LHND|4678VULN|5MBVNT|6BPWR|9DMG|aRCR
57	21133 35414	8	   	258.34	DCR|4VULN|2DUR|1DMG	16DUR|2ERES|3LHND|4679VULN|5MBVNT|6BPWR|8DMG|aRCR
58	21133 35554	7	   	258.34	DCR|4VULN|2DUR|1DMG	16DUR|2ERES|3LHND|4678VULN|5MBVNT|6BPWR|9DMG|aRCR
59	15113 35113	7	   	258.24	DCR|4VULN|2DUR|1DMG	1ERES|2679VULN|3LEGI|46DUR|5MBVNT|6BPWR|8DMG|aRCR
60	15113 35353	8	   	258.24	DCR|4VULN|2DUR|1DMG	1ERES|2678VULN|3LEGI|46DUR|5MBVNT|6BPWR|9DMG|aRCR
61	15113 35413	8	   	258.24	DCR|4VULN|2DUR|1DMG	1ERES|2679VULN|3LEGI|46DUR|5MBVNT|6BPWR|8DMG|aRCR
62	15142 35113	7	   	258.24	DCR|4VULN|2DUR|1DMG	1ERES|2679VULN|3LEGI|4MBVNT|56DUR|6BPWR|8DMG|aRCR
63	15142 35413	8	   	258.24	DCR|4VULN|2DUR|1DMG	1ERES|2679VULN|3LEGI|4MBVNT|56DUR|6BPWR|8DMG|aRCR
64	24422 31343	5	   	257.53	DCR|3VULN|3DUR|1DMG	157DUR|2CGEN|367VULN|47LWND|7BPWR|8LIT|9RCR|aDMG
65	34412 31343	5	   	257.53	DCR|3VULN|3DUR|1DMG	17LWND|2CGEN|367VULN|457DUR|7BPWR|8LIT|9RCR|aDMG
66	61413 48231	5	   	257.44	DCR|2VULN|2DMG|2DUR|2TLV|1ASPD	1aTLV|2DUST|3aVULN|49DUR|5MBVNT|6RCR|7ASPD|8aDMG|aBPWR
67	63311 21345	6	   	257.43	DCR|3VULN|3DUR|2TLV	17TLV|25LHND|347DUR|67aVULN|7BPWR|8LIT|9RCR
68	65312 11236	6	   	257.33	DCR|3VULN|3DUR|2TLV	17TLV|27aVULN|347DUR|5RCVC|6MBVNT|7BPWR|8RCR|9LIT
69	13413 42351	2	 * 	256.70	DCR|5VULN|2CDMG|1AART	18ERES|2FEWX|3AART|46789VULN|58CDMG|8BPWR|aRCR
