0	Index      	 *	Score 	Summary	Detail	
1	21432 23652	 * 	301.48	DCR|2TLV|2LIT|2MLV|1VULN|2CDMG	1AART|2aCDMG|3VULN|4aTLV|58LIT|6GSSTOX|7RCR|9aMLV|aBPWR
51	14123 36512	   	272.26	ACR|DCR|2LIT|1TLV|1VULN|1RPLT	1VULN|2RPLT|3aRCR|48LIT|5LEGI|6TLV|7ERES|9FEWX
52	33621 54222	 * 	272.21	DCR|3VULN|2LIT|3ASPD|3DUR	128ASPD|3aLIT|48aDUR|5MDPS|6RCR|78aVULN|8aBPWR|9BBNT
53	36221 53512	   	272.13	DCR|2VULN|2LIT|1TLV|1MLV|1ASPD	1ASPD|23LIT|4DUR|5MDPS|6RCR|7TLV|89VULN|aMLV
54	14122 53232	   	272.12	ACR|DCR|2LIT|1TLV|1VULN|1RPLT|1SELL	1VULN|2RPLT|3aRCR|49LIT|5FEWX|6SELL|7TLV|8SNITOX
55	44131 53232	   	272.12	ACR|DCR|2LIT|1TLV|1VULN|1RPLT|1SELL	1LWND|2RPLT|3aRCR|49LIT|5VULN|6SELL|7TLV|8SNITOX
56	14123 53232	   	272.02	ACR|DCR|2LIT|1TLV|1VULN|1RPLT|1SELL	1VULN|2RPLT|3aRCR|49LIT|5LEGI|6SELL|7TLV|8SNITOX
57	33541 22132	   	271.52	DCR|2TLV|2DMG|1VULN|2ASPD|1MLV	12ASPD|35TLV|45DMG|5BPWR|6VULN|7RCR|8FEWX|9LWND|aMLV
58	33541 22241	   	271.52	DCR|2TLV|2DMG|1VULN|2ASPD|1MLV	12ASPD|35TLV|45DMG|5BPWR|6VULN|7RCR|8ZMB|9MLV|aBEXP
59	33541 22242	   	271.52	DCR|2TLV|2DMG|1VULN|2ASPD|1MLV	12ASPD|35TLV|45DMG|5BPWR|6VULN|7RCR|8ZMB|9MLV|aAAC
60	33541 23262	   	271.52	DCR|2TLV|2DMG|1VULN|2ASPD|1MLV	12ASPD|35TLV|45DMG|5BPWR|6VULN|7CGEN|8MLV|9LWND|aRCR
