0	Index      	 *	Score 	Summary	Detail	
1	33131 51552	 * 	289.52	橙橙3易伤1矿等	15基地爆炸2双倍秒伤3矿等4赏金塔67a易伤89核
39	33131 51551	   	265.96	橙橙2易伤1矿等	15基地爆炸2双倍秒伤3矿等4赏金塔67易伤89核a防空对愈
40	51311 12552	   	265.96	橙橙2易伤1矿等	1金币生成2掉矿3挖尘4矿等5敌人爆炸6a易伤7赏金邻近89核
41	53232 12323	 * 	264.61	橙2易伤3矿等1伤害1攻速1暴击1平台	1金币生成268矿等3伤害4暴击56易伤6序列升级7攻速9核a平台
42	53232 12431	   	264.34	橙3易伤2矿等1伤害1攻速1暴击	1a金币生成26矿等3伤害4暴击568易伤6序列升级7攻速9核
43	53232 12432	   	264.34	橙3易伤2矿等1伤害1攻速1暴击	1金币生成26矿等3伤害4暴击568易伤6序列升级7攻速9核a赏金邻近
44	53232 12436	   	264.34	橙3易伤2矿等1伤害1攻速1暴击	1金币生成26矿等3伤害4暴击568易伤6序列升级7攻速9核a随机矿
45	53232 12434	   	264.24	橙3易伤2矿等1伤害1攻速1暴击1卖塔	1金币生成26矿等3伤害4暴击568易伤6序列升级7攻速9核a卖塔
46	53232 12435	   	264.24	橙3易伤2矿等1伤害1攻速1暴击	1金币生成26矿等3伤害4暴击568易伤6序列升级7攻速9核a加一
47	31234 74721	   	263.00	紫橙2易伤1伤害1攻速1全技能	1基地爆炸26核3攻速4加一5雷电79易伤8伤害a全技能
48	61234 74721	   	263.00	紫橙2易伤1伤害1攻速1全技能	1敌人爆炸26核3攻速4加一5雷电79易伤8伤害a全技能
49	31223 21243	   	260.58	紫橙2易伤2攻速2时间	1基地爆炸2a核39攻速45易伤6双倍秒伤78时间
50	61223 21243	   	260.58	紫橙2易伤2攻速2时间	1敌人爆炸2a核39攻速45易伤6双倍秒伤78时间
