0	Index      	 *	Score 	Summary	Detail	
1	14123 43431	 * 	217.08	紫3易伤3攻速1伤害1基地爆炸	1策反29a掉矿3时间4核5伤害69a易伤7基地爆炸89a攻速9a序列升级
15	34113 33261	 * 	194.96	橙1基础对甲2攻速2伤害1易伤	1立即金币29伤害3防空对甲4易伤5低血量敌人67攻速8基础对甲a核
16	34114 33261	   	194.96	橙1基础对甲2攻速2伤害1易伤	1立即金币29伤害3防空对甲4易伤5最后敌人67攻速8基础对甲a核
17	34631 31261	 * 	194.84	橙1基础对甲2伤害1攻速1基础对冰1基地爆炸	1立即金币29伤害3基地爆炸4矿等5等级6攻速7基础对冰8基础对甲a核
18	63335 15311	 * 	194.40	紫2攻速2基地爆炸1伤害1暴击1全技能	1全技能27基地爆炸39攻速4额外掉落5核6敌人爆炸8伤害a暴击
19	12221 32231	   	194.22	紫3伤害3基地爆炸1易伤	19a策反2低血量敌人39a基地爆炸4核5等级6易伤7随机矿89a伤害9a序列升级
20	12221 32431	   	194.22	紫3攻速3基地爆炸1易伤	19a策反2低血量敌人39a基地爆炸4核5等级6易伤7随机矿89a攻速9a序列升级
21	12323 66231	 * 	193.90	紫3易伤3伤害1基地爆炸	19a策反2低血量敌人3核弹4核59a伤害6掉矿7基地爆炸89a易伤9a序列升级
22	15421 32231	   	193.90	紫3易伤3伤害1基地爆炸	19a策反2挖尘39a易伤4核5技能点6基地爆炸7随机矿89a伤害9a序列升级
23	15421 32431	   	193.90	紫3易伤3攻速1基地爆炸	19a策反2挖尘39a易伤4核5技能点6基地爆炸7随机矿89a攻速9a序列升级
24	12523 31336	   	192.55	紫1基础对甲2易伤1全技能1基地爆炸	1策反2低血量敌人3核4双倍秒伤5挖青69易伤7基地爆炸8全技能a基础对甲
25	64335 31323	   	192.45	紫3易伤2基地爆炸1攻速1全技能1技能	1全技能29最后敌人3攻速4额外掉落5核69基地爆炸789易伤9序列升级a技能
26	63335 11323	   	192.45	紫3易伤2基地爆炸1攻速1全技能1技能	1全技能29基地爆炸3攻速4额外掉落5核69敌人爆炸789易伤9序列升级a技能
27	63335 11621	   	191.72	紫2易伤2攻速2基地爆炸1全技能	1全技能29基地爆炸38攻速4额外掉落5核69敌人爆炸79易伤9序列升级a时间
28	63335 11622	   	191.72	紫2易伤2攻速2基地爆炸1全技能	1全技能29基地爆炸38攻速4额外掉落5核69敌人爆炸79易伤9序列升级a低血量敌人
29	63335 11126	 * 	191.66	紫1基础对甲1易伤1攻速1全技能1基地爆炸	1全技能2基地爆炸3攻速4额外掉落5核6敌人爆炸7易伤8金币生成9矿等a基础对甲
30	63335 11222	 * 	191.36	紫2易伤3基地爆炸1攻速1全技能1技能	1全技能289基地爆炸3攻速4额外掉落5核69敌人爆炸79易伤9序列升级a技能
31	12535 52232	 * 	190.75	紫2易伤2伤害1攻速1基地爆炸	1策反2低血量敌人3核4基地爆炸59易伤68伤害7随机矿a攻速
32	12513 22626	 * 	190.64	紫1基础对甲2攻速1基地爆炸	1策反2低血量敌人3核4双倍矿56攻速7基地爆炸8雷电9随机矿a基础对甲
33	15423 32133	 * 	190.33	紫2易伤1攻速1伤害2暴击1基地爆炸1卖塔	19策反2挖尘39易伤4核5卖塔6基地爆炸7攻速89暴击9序列升级a伤害
34	62332 61323	 * 	190.14	橙3易伤2攻速2伤害1全技能	1全技能2双倍秒伤3额外掉落4技能59伤害69攻速789易伤9序列升级a核
35	42326 23216	   	189.72	紫2伤害1易伤1攻速1全技能1暴击	125雷电3暴击4核6攻速7a伤害8全技能9易伤
36	15425 13231	 * 	188.97	紫3伤害1易伤1攻速1基地爆炸	1策反29a挖尘3易伤4核5攻速69a技能点7基地爆炸89a伤害9a序列升级
37	12523 31626	   	188.94	紫1基础对甲2易伤2基地爆炸	19策反2低血量敌人3核4双倍秒伤5挖青69易伤79基地爆炸8双倍物品9序列升级a基础对甲
38	12341 15231	   	188.90	紫3易伤3伤害1基地爆炸	19a策反2低血量敌人3核弹49a易伤5核6技能点7基地爆炸89a伤害9a序列升级
39	12341 15431	   	188.90	紫3易伤3攻速1基地爆炸	19a策反2低血量敌人3核弹49a易伤5核6技能点7基地爆炸89a攻速9a序列升级
40	12341 45231	   	188.90	紫3易伤3伤害1基地爆炸	19a策反2低血量敌人3核弹49a易伤5核6掉矿7基地爆炸89a伤害9a序列升级
41	12533 54223	 * 	188.80	紫3伤害2基地爆炸2技能1卖塔	18策反2低血量敌人3核48基地爆炸5卖塔678伤害8序列升级9a技能
42	15341 13231	   	188.80	紫3易伤3伤害1基地爆炸	19a策反2挖尘3核弹49a易伤5核6技能点7基地爆炸89a伤害9a序列升级
43	15341 13431	   	188.80	紫3易伤3攻速1基地爆炸	19a策反2挖尘3核弹49a易伤5核6技能点7基地爆炸89a攻速9a序列升级
44	15341 43231	   	188.80	紫3易伤3伤害1基地爆炸	19a策反2挖尘3核弹49a易伤5核6掉矿7基地爆炸89a伤害9a序列升级
45	23535 13231	 * 	188.46	紫3攻速3伤害1易伤1基地爆炸3挖怪	19a挖怪2随机矿3核4易伤59a攻速6技能点7基地爆炸89a伤害9a序列升级
46	23535 43231	 * 	188.46	紫3攻速3伤害1易伤1基地爆炸3挖怪	19a挖怪2随机矿3核4易伤59a攻速6掉矿7基地爆炸89a伤害9a序列升级
47	15423 32132	 * 	187.85	紫2易伤2攻速2暴击1基地爆炸1卖塔	19策反2挖尘39易伤4核5卖塔6基地爆炸7a攻速89暴击9序列升级
