0	Index      	 *	Score 	Summary	Detail	
1	22323 51253	 * 	276.50	DCR|DCR|2VULN|1DMG|1DUR|1AART	1ZMB|2RPLT|3DMG|4LWND|5AART|68VULN|79RCR|aDUR
16	32533 33155	   	258.19	DCR|DCR|1VULN|2DUR|1MLV|1AART|1NUKE	16DUR|2NUKE|3VULN|4AART|5RPLT|7ZMB|89RCR|aMLV
17	15163 13421	 * 	256.99	ACR|DCR|2VULN|1TLV|1DMG|1MLV	19RCR|2BOSS|3MLV|4ZMB|58VULN|6TLV|7ERES|aDMG
18	32153 43151	   	256.34	DCR|DCR|2VULN|1DUR|1AART|1NUKE	1DUR|2NUKE|3AART|46VULN|5RPLT|7ZMB|89RCR|aBELT
19	32153 43152	   	256.34	DCR|DCR|2VULN|1DUR|1AART|1NUKE	1DUR|2NUKE|3AART|46VULN|5RPLT|7ZMB|89RCR|aLWND
20	32153 43153	   	256.34	DCR|DCR|2VULN|1DUR|1AART|1NUKE	1DUR|2NUKE|3AART|46VULN|5RPLT|7ZMB|89RCR|aBEXP
21	32533 43151	   	256.34	DCR|DCR|2VULN|1DUR|1AART|1NUKE	1DUR|2NUKE|36VULN|4AART|5RPLT|7ZMB|89RCR|aBELT
22	32533 43152	   	256.34	DCR|DCR|2VULN|1DUR|1AART|1NUKE	1DUR|2NUKE|36VULN|4AART|5RPLT|7ZMB|89RCR|aLWND
23	32533 43153	   	256.34	DCR|DCR|2VULN|1DUR|1AART|1NUKE	1DUR|2NUKE|36VULN|4AART|5RPLT|7ZMB|89RCR|aBEXP
24	26314 51121	 * 	255.34	DCR|DCR|2TLV|2MLV|1DMG	1ZMB|26TLV|3LIT|4FEWX|56MLV|6BPWR|79RCR|8AME|aDMG
25	26334 51121	   	255.34	DCR|DCR|2TLV|2MLV|1DMG	1ZMB|26TLV|3LIT|4LHND|56MLV|6BPWR|79RCR|8AME|aDMG
26	24163 21422	   	251.68	DCR|DCR|1VULN|1TLV|1MLV	16ZMB|2LIT|3RMIN|4VULN|5MLV|79RCR|8TLV|aASPD
27	25363 21422	   	251.68	DCR|DCR|1VULN|1TLV|1MLV	16ZMB|2RMIN|3LIT|4VULN|5MLV|79RCR|8TLV|aASPD
28	26362 21122	   	251.58	DCR|DCR|1VULN|1TLV|1MLV	16ZMB|2TLV|3LIT|4VULN|5AME|79RCR|8MLV|aASPD
29	24163 51121	 * 	250.90	DCR|DCR|1VULN|2MLV|1DMG	16ZMB|2LIT|3RMIN|4VULN|56MLV|6BPWR|79RCR|8AME|aDMG
30	25363 51121	   	250.90	DCR|DCR|1VULN|2MLV|1DMG	16ZMB|2RMIN|3LIT|4VULN|56MLV|6BPWR|79RCR|8AME|aDMG
31	15163 13423	   	250.58	ACR|DCR|2VULN|1TLV|1MLV|1DUR	19RCR|2BOSS|3MLV|4ZMB|58VULN|6TLV|7ERES|aDUR
32	22323 51353	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1ZMB|2RPLT|3DMG|4LWND|5AART|6VULN|79RCR|8AEFRZ|aDUR
33	22323 51651	   	250.20	DCR|DCR|1VULN|1DMG|1AART|1AAC	1ZMB|2RPLT|3DMG|4LWND|5AART|6VULN|79RCR|8AME|aAAC
34	22323 51653	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1AART	1ZMB|2RPLT|3DMG|4LWND|5AART|6VULN|79RCR|8AME|aDUR
35	22423 51251	   	249.73	DCR|DCR|2VULN|1AART	1ZMB|2RPLT|3ASPD|4LWND|5AART|68VULN|79RCR|aBELT
36	22423 51252	   	249.73	DCR|DCR|2VULN|1AART	1ZMB|2RPLT|3ASPD|4aLWND|5AART|68VULN|79RCR
37	55214 32322	   	249.53	DCR|DCR|1VULN|1TLV|1DUR	1LIT|2LEGI|3TLV|4DUR|5LHND|69RCR|7ASPD|8VULN|aERES
38	55214 32323	   	249.53	DCR|DCR|1VULN|1TLV|1DUR	1LIT|2LEGI|3TLV|4DUR|5LHND|69RCR|7ASPD|8VULN|aBASARM
39	24162 21421	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	16ZMB|2LIT|3RMIN|4VULN|5AME|79RCR|8TLV|aDMG
40	25362 21421	   	249.10	DCR|DCR|1VULN|1TLV|1DMG	16ZMB|2RMIN|3LIT|4VULN|5AME|79RCR|8TLV|aDMG
41	24611 11421	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1ZMB|2LIT|3AEWIND|4BEXP|5AEFRZ|6VULN|79RCR|8TLV|aDMG
42	51611 11421	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LIT|2AEBURN|3ZMB|4BEXP|5AEFRZ|6VULN|79RCR|8TLV|aDMG
43	26314 51123	   	248.93	DCR|DCR|2TLV|2MLV|1DUR	1ZMB|26TLV|3LIT|4FEWX|56MLV|6BPWR|79RCR|8AME|aDUR
44	26334 51123	   	248.93	DCR|DCR|2TLV|2MLV|1DUR	1ZMB|26TLV|3LIT|4LHND|56MLV|6BPWR|79RCR|8AME|aDUR
45	51411 11422	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1LIT|2AEBURN|3DMG|4BEXP|5AEFRZ|6VULN|79RCR|8TLV|aDUST
46	51411 11423	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1LIT|2AEBURN|3DMG|4BEXP|5AEFRZ|6VULN|79RCR|8TLV|aTBNT
47	15641 13121	 * 	248.48	ACR|DCR|2DMG|1VULN|1TLV|1MLV	19RCR|25BOSS|3CGEN|4TLV|6aDMG|7VULN|8MLV
48	15642 13121	   	248.48	ACR|DCR|2DMG|1VULN|1TLV|1MLV	19RCR|2BOSS|35CGEN|4TLV|6aDMG|7VULN|8MLV
49	15153 52221	 * 	248.28	ACR|DCR|2DMG|1VULN|2DUR|1MLV	19RCR|2BOSS|3MLV|4aDMG|57DUR|6AEPOI|8VULN
50	15142 63221	 * 	248.16	ACR|DCR|2TLV|1VULN|1DMG|1MLV	19RCR|2BOSS|3MLV|46TLV|5CGEN|7VULN|8ASPD|aDMG
51	15153 51221	 * 	248.11	ACR|DCR|2DMG|1VULN|2MLV|1DUR	19RCR|2BOSS|38MLV|4aDMG|5DUR|6AEPOI|7VULN
52	11251 63124	 * 	247.73	ACR|DCR|2VULN|2DUR|1TLV	1aRCR|28FEWX|38DUR|4TLV|5LIT|6BELT|78VULN|8BPWR|9CGEN
53	11231 63114	   	247.63	ACR|DCR|2VULN|2DUR|1TLV	1aRCR|28FEWX|38DUR|4ERES|5LIT|6BELT|78VULN|8BPWR|9TLV
54	13251 63124	   	247.53	ACR|DCR|2VULN|2DUR|1TLV	1aRCR|28DUST|38DUR|4TLV|5LIT|6BELT|78VULN|8BPWR|9CGEN
55	13231 63114	   	247.43	ACR|DCR|2VULN|2DUR|1TLV	1aRCR|28DUST|38DUR|4ERES|5LIT|6BELT|78VULN|8BPWR|9TLV
