0	Index      	 *	Score 	Summary	Detail	
1	13161 48184	 * 	256.24	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1FEWX|2LWND|3AART|4MBVNT|5DUST|6TLV|7VULN|8CDMG|9aRCR
17	22321 34352	   	239.15	DCR|DCR|1VULN|1DMG|1MSLTOX	1LIT|2LWND|3SPLJET|4MSLTOX|5VULN|6RMIN|7DMG|8LHND|9aRCR
18	22321 34452	   	239.15	DCR|DCR|1VULN|1DMG|1MSLTOX	1LIT|2LWND|3SPLJET|4MSLTOX|5VULN|6RMIN|7DMG|8BEXP|9aRCR
19	22632 24252	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2LWND|3MLV|4FEWX|5CANSTR|6SNIFST|7DMG|8VULN|9aRCR
20	31632 24252	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1LHND|2LIT|3MLV|4FEWX|5CANSTR|6SNIFST|7DMG|8VULN|9aRCR
21	62341 42336	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1ERES|2VULN|3MLV|4LWND|5MBVNT|68RPLT|7aRCR|9DMG
22	12312 53642	   	236.65	DCR|DCR|1VULN|1DMG|1CDMG|1AAC	1FEWX|2LHND|3DMG|4VULN|5AAC|6FRZARM|7BEXP|8aRCR|9CDMG
23	13312 53642	   	236.65	DCR|DCR|1VULN|1DMG|1CDMG|1AAC	1FEWX|2LWND|3DMG|4VULN|5AAC|6FRZARM|7BEXP|8aRCR|9CDMG
24	33312 53642	   	236.65	DCR|DCR|1VULN|1DMG|1CDMG|1AAC	1LHND|2FEWX|3DMG|4VULN|5AAC|6FRZARM|7BEXP|8aRCR|9CDMG
25	12312 31642	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG|1AAC	1FEWX|2LHND|3DMG|4VULN|5AAC|6LWND|7MULHEA|8aRCR|9CDMG
26	12312 36642	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG|1AAC	1FEWX|2LHND|3DMG|4VULN|5AAC|6LWND|7CANARM|8aRCR|9CDMG
27	33312 31642	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG|1AAC	1LHND|2FEWX|3DMG|4VULN|5AAC|6LWND|7MULHEA|8aRCR|9CDMG
28	33312 36642	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG|1AAC	1LHND|2FEWX|3DMG|4VULN|5AAC|6LWND|7CANARM|8aRCR|9CDMG
29	13316 16432	 * 	234.05	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|2LWND|3aDMG|4aVULN|5LHND|6aDUR|7AEWIND|8TLV|9RCR|aBPWR
30	23426 25122	 * 	232.35	DCR|DCR|2MLV|1DMG|1CDMG	1LIT|2RPLT|3CANTOX|4CDMG|5BELT|69MLV|7DMG|8aRCR
31	62341 42126	   	231.75	DCR|DCR|1VULN|1MLV|1CDMG|1SELL	1ERES|2VULN|3MLV|4LWND|5MBVNT|6RPLT|7aRCR|8CDMG|9SELL
32	12532 13642	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1FEWX|2LHND|3DUR|4AIRBOS|5NUKE|6ZMB|7VULN|8aRCR|9CDMG
33	33532 13642	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1LHND|2FEWX|3DUR|4AIRBOS|5NUKE|6ZMB|7VULN|8aRCR|9CDMG
34	12232 15431	   	229.14	DCR|DCR|2VULN	14FEWX|2LHND|3RAT|5BEXP|69RCR|7aVULN|8RPLT
35	13232 15431	   	229.14	DCR|DCR|2VULN	14FEWX|2LWND|3RAT|5BEXP|69RCR|7aVULN|8RPLT
36	33232 15431	   	229.14	DCR|DCR|2VULN	1LHND|24FEWX|3RAT|5BEXP|69RCR|7aVULN|8RPLT
37	51212 15432	   	229.14	DCR|DCR|1VULN|1TLV	1RAT|2BEXP|3CGEN|4TLV|5FEWX|69RCR|7VULN|8RPLT|aLIT
38	51212 15433	   	229.14	DCR|DCR|1VULN|1TLV	1aRAT|2BEXP|3CGEN|4TLV|5FEWX|69RCR|7VULN|8RPLT
39	12215 15431	   	229.04	DCR|DCR|2VULN	1FEWX|2LHND|35RAT|4DUST|69RCR|7aVULN|8RPLT
40	13215 15431	   	229.04	DCR|DCR|2VULN	1FEWX|2LWND|35RAT|4DUST|69RCR|7aVULN|8RPLT
41	33215 15431	   	229.04	DCR|DCR|2VULN	1LHND|2FEWX|35RAT|4DUST|69RCR|7aVULN|8RPLT
42	35211 15431	   	229.04	DCR|DCR|2VULN	1LHND|25BEXP|3RAT|4DUST|69RCR|7aVULN|8RPLT
43	51222 15431	   	229.04	DCR|DCR|2VULN	1RAT|2BEXP|3CGEN|4ERES|5FEWX|69RCR|7aVULN|8RPLT
44	51312 15432	   	229.04	DCR|DCR|1VULN|1TLV	1RAT|2BEXP|3AME|4TLV|5FEWX|69RCR|7VULN|8RPLT|aLIT
45	51312 15433	   	229.04	DCR|DCR|1VULN|1TLV	1aRAT|2BEXP|3AME|4TLV|5FEWX|69RCR|7VULN|8RPLT
46	42212 15431	   	228.94	DCR|DCR|2VULN	14DUST|2LHND|3RAT|5FEWX|69RCR|7aVULN|8RPLT
47	43212 15431	   	228.94	DCR|DCR|2VULN	14DUST|2LWND|3RAT|5FEWX|69RCR|7aVULN|8RPLT
48	51322 15431	   	228.94	DCR|DCR|2VULN	1RAT|2BEXP|3AME|4ERES|5FEWX|69RCR|7aVULN|8RPLT
49	64311 12612	   	228.74	DCR|DCR|1VULN|1TLV	13ERES|2AEWIND|4RPLT|5CGEN|6VULN|7TLV|8aRCR|9AIRBOS
50	32313 43236	 * 	226.46	DCR|2VULN|3DMG|1MLV|1AART	1LHND|2LEGI|367DMG|46VULN|5MBVNT|6BPWR|8AART|9RCR|aMLV
51	51212 13432	   	226.30	DCR|DCR|1TLV|1MLV|1DUR	1RAT|2BEXP|3CGEN|4TLV|5FEWX|69RCR|7DUR|8RPLT|aMLV
52	55112 13432	   	226.30	DCR|DCR|1TLV|1MLV|1DUR	1RAT|2CGEN|3FEWX|4TLV|5BEXP|69RCR|7DUR|8RPLT|aMLV
53	55322 13432	   	226.30	DCR|DCR|1TLV|1MLV|1DUR	1RAT|2CGEN|3TLV|4FEWX|5BEXP|69RCR|7DUR|8RPLT|aMLV
