0	Index      	 *	Score 	Summary	Detail	
1	13511 23211	 * 	285.53	ACR|DCR|2VULN|2TLV|1DMG|2CDMG|1DUR	1LHND|24VULN|34TLV|4BPWR|59RCR|6DUR|7aCDMG|8DMG
17	13611 23215	   	270.58	ACR|DCR|2VULN|2MLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6DUR|7CDMG|8DMG|aRCVC
18	13611 23216	   	270.58	ACR|DCR|2VULN|2MLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6DUR|7CDMG|8DMG|aZMB
19	13611 23212	   	270.48	ACR|DCR|2VULN|2MLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6DUR|7CDMG|8DMG|aBBNT
20	13611 23213	   	270.48	ACR|DCR|2VULN|2MLV|1DMG|1DUR|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6DUR|7CDMG|8DMG|aAME
21	62441 23213	   	268.42	ACR|DCR|2TLV|1VULN|1DMG|1MLV|1DUR|1CDMG	13TLV|2AETHUN|4VULN|59RCR|6DUR|7CDMG|8DMG|aMLV
22	13534 31222	 * 	266.77	DCR|DCR|2TLV|1VULN|1DUR|1AART	1LHND|2VULN|3aTLV|4LWND|5AART|69RCR|7RAT|8DUR
23	13511 12214	   	265.57	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7FEWX|8DMG|aLWND
24	13511 12212	   	265.47	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7FEWX|8DMG|aBBNT
25	13511 12213	   	265.47	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7FEWX|8DMG|aAME
26	13511 12216	   	265.47	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7FEWX|8DMG|aAEWIND
27	13511 14214	   	265.47	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7LEGI|8DMG|aLWND
28	13511 14215	   	265.47	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7LEGI|8DMG|aRCVC
29	13511 14216	   	265.47	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7LEGI|8DMG|aZMB
30	13611 25333	 * 	265.47	ACR|DCR|2VULN|2MLV|2DUR|1MSLTOX	1LHND|24VULN|34MLV|4BPWR|59RCR|6aDUR|7MSLTOX|8DUST
31	13511 14212	   	265.37	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7LEGI|8DMG|aBBNT
32	13511 14213	   	265.37	ACR|DCR|2VULN|2TLV|1DMG|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7LEGI|8DMG|aAME
33	13611 12211	   	263.24	ACR|DCR|2VULN|2MLV|1DMG|2CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6aCDMG|7FEWX|8DMG
34	13611 14211	   	263.14	ACR|DCR|2VULN|2MLV|1DMG|2CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6aCDMG|7LEGI|8DMG
35	13611 25335	 * 	262.12	ACR|DCR|2VULN|3MLV|1MSLTOX|1DUR	1LHND|24VULN|34aMLV|4BPWR|59RCR|6DUR|7MSLTOX|8DUST
36	63315 32263	 * 	260.99	DCR|2VULN|3DMG|3TLV|1CDMG	148TLV|278DMG|3ASPD|5ERES|68VULN|8BPWR|9CDMG|aRCR
37	62441 23211	   	259.13	ACR|DCR|2TLV|1VULN|1DMG|2CDMG|1DUR	13TLV|2AETHUN|4VULN|59RCR|6DUR|7aCDMG|8DMG
38	13511 11315	   	259.06	ACR|DCR|2VULN|2TLV|1DUR|1CDMG|1AAC	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7AAC|8DUST|aDUR
39	13511 13315	   	259.06	ACR|DCR|2VULN|2TLV|1DUR|1CDMG	1LHND|24VULN|34TLV|4BPWR|59RCR|6CDMG|7ZMB|8DUST|aDUR
40	13634 31522	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1AART	1LHND|2VULN|3MLV|4LWND|5AART|69RCR|7RAT|8LEGI|aTLV
41	13611 12214	   	256.93	ACR|DCR|2VULN|2MLV|1DMG|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6CDMG|7FEWX|8DMG|aLWND
42	13611 12212	   	256.83	ACR|DCR|2VULN|2MLV|1DMG|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6CDMG|7FEWX|8DMG|aBBNT
43	13611 12213	   	256.83	ACR|DCR|2VULN|2MLV|1DMG|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6CDMG|7FEWX|8DMG|aAME
44	13611 12216	   	256.83	ACR|DCR|2VULN|2MLV|1DMG|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6CDMG|7FEWX|8DMG|aAEWIND
45	13611 14214	   	256.83	ACR|DCR|2VULN|2MLV|1DMG|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6CDMG|7LEGI|8DMG|aLWND
46	13611 14215	   	256.83	ACR|DCR|2VULN|2MLV|1DMG|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6CDMG|7LEGI|8DMG|aRCVC
47	13611 14216	   	256.83	ACR|DCR|2VULN|2MLV|1DMG|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6CDMG|7LEGI|8DMG|aZMB
48	13611 14212	   	256.73	ACR|DCR|2VULN|2MLV|1DMG|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6CDMG|7LEGI|8DMG|aBBNT
49	13611 14213	   	256.73	ACR|DCR|2VULN|2MLV|1DMG|1CDMG	1LHND|24VULN|34MLV|4BPWR|59RCR|6CDMG|7LEGI|8DMG|aAME
50	13534 31223	   	256.44	DCR|DCR|1VULN|1TLV|1DUR|1AART	1LHND|2VULN|3TLV|4LWND|5AART|69RCR|7aRAT|8DUR
51	13534 31221	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1LHND|2VULN|3TLV|4LWND|5AART|69RCR|7RAT|8DUR|aBBNT
52	13534 31224	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1LHND|2VULN|3TLV|4LWND|5AART|69RCR|7RAT|8DUR|aAME
53	13534 31226	   	256.34	DCR|DCR|1VULN|1TLV|1DUR|1AART	1LHND|2VULN|3TLV|4LWND|5AART|69RCR|7RAT|8DUR|aMDPS
54	11232 11616	   	256.23	ACR|DCR|2VULN|1DMG|1AART|2ASPD|1CDMG	13LHND|23ASPD|3BPWR|47RCR|5aVULN|6CDMG|8DMG|9AART
