0	Index      	 *	Score 	Summary	Detail	
1	54126 14231	 * 	258.19	DCR|DCR|2VULN|1MLV|1DUR	1BELT|26VULN|3LHND|4MLV|5MBVNT|79RCR|8TBNT|aDUR
36	31311 35142	   	237.27	ACR|DCR|2VULN|1TLV|1MSLTOX	19RCR|2TLV|37VULN|4LEGI|5MSLTOX|6TBNT|8AEFBLL|aAEBURN
37	31311 35144	   	237.27	ACR|DCR|2VULN|1TLV|1MSLTOX	19RCR|2TLV|37VULN|4LEGI|5MSLTOX|6TBNT|8AEFBLL|aDUST
38	31353 52611	   	236.83	ACR|DCR|2VULN|1TLV|1MLV	1aRCR|2TLV|34VULN|5AEFBLL|6BELT|7CGEN|8MLV|9AEPOI
39	31351 14331	 * 	236.76	ACR|3VULN|2TLV|2DUR|1FLTARM|1MLV	1RCR|29TLV|349VULN|5MLV|6BOSS|7AEFRZ|89DUR|9BPWR|aFLTARM
40	31351 15331	   	236.76	ACR|3VULN|2TLV|2DUR|1FLTARM|1MLV	1RCR|29TLV|349VULN|5MLV|6BOSS|7AEWIND|89DUR|9BPWR|aFLTARM
41	31351 33636	   	236.44	ACR|DCR|2VULN|1TLV|1MLV|2SELL	1aRCR|2TLV|34VULN|5MLV|68SELL|7TBNT|9LIT
42	31236 43432	 * 	235.43	ACR|4VULN|3TLV|1DMG|1AART	1RCR|289TLV|3AART|489aVULN|5DMG|6ASPD|789CGEN|89BPWR
43	31236 14341	   	235.04	ACR|3VULN|1TLV|1DMG|1MLV|1DUR|1AART|1CDMG	1RCR|2TLV|3AART|489VULN|5DMG|6DUR|7MLV|aCDMG
44	32131 21616	   	234.97	ACR|DCR|2VULN|1TLV|1DUR	1aRCR|2RMIN|39VULN|4LIT|5TLV|6RPLT|7DUR|8MDPS
45	32154 13235	 * 	234.97	ACR|DCR|2VULN|1FLTARM|1CDMG	1aRCR|2RMIN|34VULN|5TBNT|6CDMG|7FLTARM|8BEXP|9FEWX
46	33126 41412	   	234.97	ACR|DCR|2VULN|1TLV|1CDMG	1aRCR|2BELT|3TBNT|49VULN|5LWND|6LHND|7TLV|8CDMG
47	32154 13225	   	234.87	ACR|DCR|2VULN|1FLTARM|1CDMG	1aRCR|2RMIN|34VULN|5TBNT|6CDMG|7FLTARM|8BEXP|9DUST
48	33121 41412	   	234.87	ACR|DCR|2VULN|1TLV|1CDMG	1aRCR|2BELT|3TBNT|49VULN|5LEGI|6LHND|7TLV|8CDMG
49	51121 41412	   	234.87	ACR|DCR|2VULN|1TLV|1CDMG	1BELT|2aRCR|3TBNT|49VULN|5LEGI|6LHND|7TLV|8CDMG
50	31316 35143	   	234.67	ACR|DCR|2VULN|1TLV|1DUR	19RCR|2TLV|37VULN|4LEGI|5MULHEA|6TBNT|8AEFBLL|aDUR
51	42141 25111	 * 	234.25	DCR|3VULN|2DUR|1TLV|1MLV	18DUR|2RPLT|3MLV|48RAT|5BELT|6RCR|789VULN|8BPWR|aTLV
52	22235 16633	   	233.61	DCR|DCR|1DMG|1MLV|1DUR|1AART	1AIRARM|2RAT|3DUR|4MLV|5BOSS|6AART|7BBNT|89RCR|aDMG
53	42135 63122	   	233.07	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1CDMG	1DUR|2RPLT|3MLV|46VULN|5TLV|7RCR|8TBNT|9DMG|aCDMG
54	31326 22116	 * 	232.87	ACR|DCR|2DMG|1VULN|1TLV	1aRCR|2TLV|3VULN|48DMG|5BOSS|6RPLT|7LWND|9RAT
55	32153 12226	   	232.86	ACR|DCR|3VULN|1MLV	1aRCR|2RMIN|346VULN|5AEFBLL|7RCVC|8LHND|9MLV
56	33152 12415	 * 	232.77	ACR|DCR|2VULN|2DMG	18RCR|2BELT|3TBNT|4LHND|57DMG|6aVULN|9RAT
57	33152 12443	   	232.77	ACR|DCR|2VULN|2DMG	18RCR|2BELT|3TBNT|4LHND|57DMG|6aVULN|9CGEN
58	33152 12451	   	232.77	ACR|DCR|2VULN|2DMG	18RCR|2BELT|3TBNT|4LHND|57DMG|6aVULN|9RPLT
59	32153 12126	   	232.76	ACR|DCR|3VULN|1MLV	1aRCR|2RMIN|346VULN|5AEFBLL|7RCVC|8DUST|9MLV
60	42135 63232	 * 	231.87	DCR|2VULN|2DUR|1TLV|1DMG|1MLV	19DUR|2RPLT|3MLV|46VULN|5TLV|7RCR|8DUST|aDMG
61	32131 22626	   	231.86	ACR|DCR|2VULN|2TLV	1aRCR|2RMIN|39VULN|4LIT|59TLV|6RPLT|79LWND|8MDPS|9BPWR
62	31633 32441	   	231.56	ACR|DCR|2VULN|2TLV	17RCR|2aTLV|3BBNT|4AME|59RCVC|6aBASHEA|8aVULN|aBPWR
63	31631 32441	   	231.46	ACR|DCR|2VULN|2TLV	17RCR|2aTLV|3BBNT|4aAME|5AEFRZ|6BASHEA|8aVULN|9RCVC|aBPWR
64	31633 32431	   	231.46	ACR|DCR|2VULN|2TLV	17RCR|2aTLV|3BBNT|49AME|5RCVC|6aBASHEA|8aVULN|aBPWR
65	31631 32431	   	231.36	ACR|DCR|2VULN|2TLV	17RCR|2aTLV|3BBNT|49aAME|5AEFRZ|6BASHEA|8aVULN|aBPWR
66	23612 36623	   	231.09	DCR|DCR|1TLV|1DUR|1CDMG	1AIRARM|2FEWX|3TLV|4DUR|5AME|6LIT|7CDMG|8aRCR|9ASPD
67	32153 56231	   	230.91	ACR|DCR|3VULN|1DUR	1aRCR|27RMIN|348VULN|5AEFBLL|6BELT|9DUR
68	33122 14434	   	230.79	ACR|DCR|2VULN|1DMG|1MLV	18RCR|2BELT|3TBNT|46VULN|5DMG|7BEXP|9ZMB|aMLV
69	11132 51563	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1CGEN|2BLASTR|3MDPS|4AART|5DUR|69RCR|7VULN|8TBNT|aLIT
70	11132 52363	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1CGEN|2BLASTR|3MDPS|4AART|5DUR|69RCR|7BBNT|8VULN|aLIT
71	11132 52364	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1CGEN|2BLASTR|3MDPS|4AART|5DUR|69RCR|7BBNT|8VULN|aLWND
72	15132 52363	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1CGEN|2CANSTR|3MDPS|4AART|5DUR|69RCR|7BBNT|8VULN|aLIT
73	55213 16332	 * 	229.89	DCR|3VULN|2DMG|1TLV|1NUKE	1BELT|2aAEPOI|3TLV|4NUKE|57aVULN|6aDMG|8RPLT|9RCR|aBPWR
74	21132 51563	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1AIRARM|2ERES|3MDPS|4AART|5DUR|69RCR|7VULN|8TBNT|aLIT
75	21132 52363	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1AIRARM|2ERES|3MDPS|4AART|5DUR|69RCR|7BBNT|8VULN|aLIT
76	21132 52364	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1AIRARM|2ERES|3MDPS|4AART|5DUR|69RCR|7BBNT|8VULN|aLWND
77	11132 51561	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1CGEN|2BLASTR|3MDPS|4AART|5DUR|69RCR|7VULN|8TBNT|aBBNT
78	11132 52361	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1CGEN|2BLASTR|3MDPS|4AART|5DUR|69RCR|7BBNT|8VULN|aTBNT
79	15132 52361	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1CGEN|2CANSTR|3MDPS|4AART|5DUR|69RCR|7BBNT|8VULN|aTBNT
80	21132 51561	   	229.74	DCR|DCR|1VULN|1DUR|1AART	1AIRARM|2ERES|3MDPS|4AART|5DUR|69RCR|7VULN|8TBNT|aBBNT
81	21132 52361	   	229.74	DCR|DCR|1VULN|1DUR|1AART	1AIRARM|2ERES|3MDPS|4AART|5DUR|69RCR|7BBNT|8VULN|aTBNT
82	31351 14335	 * 	229.72	ACR|4VULN|2TLV|2DUR|1MLV	1RCR|29TLV|349aVULN|5MLV|6BOSS|7AEFRZ|89DUR|9BPWR
83	31351 15335	   	229.72	ACR|4VULN|2TLV|2DUR|1MLV	1RCR|29TLV|349aVULN|5MLV|6BOSS|7AEWIND|89DUR|9BPWR
84	11111 56141	   	228.84	DCR|DCR|1VULN|1TLV	1CGEN|2BLASTR|3MDPS|4LHND|5ERES|69RCR|7VULN|8TLV|aRPLT
85	33122 14432	   	228.83	ACR|DCR|2VULN|1DMG|1CDMG	18RCR|2BELT|3TBNT|46VULN|5DMG|7BEXP|9ZMB|aCDMG
86	33122 14442	   	228.83	ACR|DCR|2VULN|1DMG|1CDMG	18RCR|2BELT|3TBNT|46VULN|5DMG|7BEXP|9CGEN|aCDMG
87	33122 14453	   	228.83	ACR|DCR|2VULN|1DMG|1AAC	18RCR|2BELT|3TBNT|46VULN|5DMG|7BEXP|9RPLT|aAAC
88	33122 15414	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9RAT|aRPLT
89	33122 15431	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ZMB|aFEWX
90	33122 15432	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ZMB|aCGEN
91	33122 15435	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ZMB|aBEXP
92	33122 15441	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9CGEN|aFEWX
93	33122 15442	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9aCGEN
94	33122 15452	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9RPLT|aLIT
95	51122 14432	   	228.83	ACR|DCR|2VULN|1DMG|1CDMG	1BELT|28RCR|3TBNT|46VULN|5DMG|7BEXP|9ZMB|aCDMG
96	51122 15431	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	1BELT|28RCR|3TBNT|46VULN|5DMG|7DUR|9ZMB|aFEWX
97	51122 15432	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	1BELT|28RCR|3TBNT|46VULN|5DMG|7DUR|9ZMB|aCGEN
98	33122 25415	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|4aVULN|5DMG|6DMSP|7DUR|9RAT
99	33122 25443	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|4aVULN|5DMG|6DMSP|7DUR|9CGEN
100	33122 25451	   	228.83	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|4aVULN|5DMG|6DMSP|7DUR|9RPLT
101	11111 56142	   	228.74	DCR|DCR|1VULN|1TLV	1CGEN|2BLASTR|3MDPS|4LHND|5ERES|69RCR|7VULN|8TLV|aBBNT
102	33122 14422	   	228.73	ACR|DCR|2VULN|1DMG|1CDMG	18RCR|2BELT|3TBNT|46VULN|5DMG|7BEXP|9ERES|aCDMG
103	33122 15411	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9RAT|aDUST
104	33122 15412	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9RAT|aAEBURN
105	33122 15413	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9RAT|aAEWIND
106	33122 15416	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9RAT|aERES
107	33122 15421	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ERES|aFEWX
108	33122 15422	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ERES|aCGEN
109	33122 15425	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ERES|aBOSS
110	33122 15433	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ZMB|aTSLFST
111	33122 15436	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ZMB|aLEGI
112	33122 15461	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9AEFBLL|aLWND
113	33122 15462	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9AEFBLL|aDMSP
114	51122 14422	   	228.73	ACR|DCR|2VULN|1DMG|1CDMG	1BELT|28RCR|3TBNT|46VULN|5DMG|7BEXP|9ERES|aCDMG
115	51122 15411	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	1BELT|28RCR|3TBNT|46VULN|5DMG|7DUR|9RAT|aDUST
116	51122 15412	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	1BELT|28RCR|3TBNT|46VULN|5DMG|7DUR|9RAT|aAEBURN
117	51122 15413	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	1BELT|28RCR|3TBNT|46VULN|5DMG|7DUR|9RAT|aAEWIND
118	51122 15421	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	1BELT|28RCR|3TBNT|46VULN|5DMG|7DUR|9ERES|aFEWX
119	51122 15422	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	1BELT|28RCR|3TBNT|46VULN|5DMG|7DUR|9ERES|aCGEN
120	51122 15433	   	228.73	ACR|DCR|2VULN|1DMG|1DUR	1BELT|28RCR|3TBNT|46VULN|5DMG|7DUR|9ZMB|aTSLFST
121	33122 25463	   	228.73	ACR|DCR|1VULN|1TLV|1DMG|1DUR	18RCR|2BELT|3TBNT|4VULN|5DMG|6DMSP|7DUR|9AEFBLL|aTLV
122	33122 15424	   	228.63	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ERES|aBASHEA
123	33122 15426	   	228.63	ACR|DCR|2VULN|1DMG|1DUR	18RCR|2BELT|3TBNT|46VULN|5DMG|7DUR|9ERES|aDUST
124	31663 32523	   	228.63	ACR|DCR|1VULN|1TLV|1DMG|1DUR	17RCR|2TLV|3BBNT|4ERES|5RCVC|6BASHEA|8DMG|9VULN|aDUR
125	31661 32523	   	228.53	ACR|DCR|1VULN|1TLV|1DMG|1DUR	17RCR|2TLV|3BBNT|4ERES|5AEWIND|6BASHEA|8DMG|9VULN|aDUR
