0	Index      	 *	Score 	Summary	Detail	
1	51343 22116	 * 	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MLV|2BOSS|3VULN|4BBNT|5RAT|6DUR|7aRCR|8DMG|9BEXP
22	51624 22113	   	232.19	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2BOSS|3LWND|46CGEN|5CDMG|7aRCR|8LIT|9VULN
23	24323 11252	 * 	232.09	DCR|3VULN|2DUR|1TLV|1CDMG	12DUR|2BPWR|3RCVC|4CDMG|5TLV|69aVULN|7LHND|8RCR
24	51222 42113	   	232.09	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2BOSS|3DUST|4CGEN|5RCVC|6CDMG|7aRCR|8LIT|9VULN
25	51224 22113	   	232.09	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2BOSS|3DUST|46CGEN|5CDMG|7aRCR|8LIT|9VULN
26	51226 42113	   	232.09	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2BOSS|3DUST|45CGEN|6CDMG|7aRCR|8LIT|9VULN
27	51511 42113	   	232.09	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2BOSS|35FEWX|4ERES|6CDMG|7aRCR|8LIT|9VULN
28	51612 42113	   	232.09	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2BOSS|3LWND|4ERES|5RCVC|6CDMG|7aRCR|8LIT|9VULN
29	31421 15352	   	231.99	DCR|DCR|1VULN|1MLV|1CDMG	1RAT|2LIT|3MDPS|4MLV|5BBNT|6CDMG|79RCR|8FRZICY|aVULN
30	51212 42113	   	231.99	DCR|DCR|1VULN|1MLV|1CDMG	1MLV|2BOSS|3DUST|4ERES|5RCVC|6CDMG|7aRCR|8LIT|9VULN
31	31421 16252	   	231.89	DCR|DCR|1VULN|1MLV|1CDMG	1RAT|2LIT|3MDPS|4MLV|5BBNT|6CDMG|7FLTHEA|89RCR|aVULN
32	35421 36113	 * 	231.83	DCR|2VULN|2DMG|2TLV|1CDMG	13RAT|23DMG|3BPWR|48TLV|5TBNT|6CDMG|7RCR|9aVULN
33	22124 41263	 * 	230.56	DCR|DCR|2DUR|1DMG|1AART	14DUR|24AEBURN|3AART|4BPWR|5CGEN|69RCR|7aFEWX|8DMG
34	22124 41261	   	230.46	DCR|DCR|2DUR|1DMG|1AART	14DUR|24AEBURN|3AART|4BPWR|5CGEN|69RCR|7FEWX|8DMG|aMDPS
35	22124 41262	   	230.46	DCR|DCR|2DUR|1DMG|1AART|1MSE	14DUR|24AEBURN|3AART|4BPWR|5CGEN|69RCR|7FEWX|8DMG|aMSE
36	23152 45313	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1DUR|2FEWX|3RMIN|4VULN|5AEPOI|6MDPS|78RCR|9RAT|aCDMG
37	31432 42225	 * 	228.84	DCR|DCR|2VULN	1RAT|2LIT|3MDPS|4aVULN|5BEXP|69RCR|7MULHEA|8ERES
38	24211 33165	 * 	228.84	DCR|DCR|1VULN|2DUR	12DUR|2BPWR|3RAT|4RPLT|5DLOT|6BEXP|7aRCR|8TBNT|9VULN
39	24211 23165	   	228.74	DCR|DCR|1VULN|2DUR	12DUR|2BPWR|3RAT|4RPLT|5DLOT|6DUST|7aRCR|8TBNT|9VULN
40	35266 13311	 * 	223.85	DCR|DCR|1TLV|1DMG|1AAC	1RAT|2DMG|3ASPD|4AAC|5TBNT|68RCR|7AEFRZ|9TLV|aCGEN
41	35266 13313	   	223.85	DCR|DCR|1TLV|1DMG|1AAC	1RAT|2DMG|3ASPD|4AAC|5TBNT|68RCR|7AEFRZ|9TLV|aRMIN
42	35266 13312	   	223.75	DCR|DCR|1TLV|1DMG|1AAC	1RAT|2DMG|3ASPD|4AAC|5TBNT|68RCR|7AEFRZ|9TLV|aDUST
43	35431 52211	   	223.39	DCR|2VULN|2DMG|2MLV|1AART|1AAC	13aRAT|23DMG|3aBPWR|4AART|5AETHUN|6RCR|7aMLV|8AAC|9aVULN
44	51324 51332	   	223.39	DCR|2VULN|2DMG|2MLV|1CDMG	19MLV|2BOSS|39VULN|4CGEN|5CDMG|69DMG|7RCR|8RPLT|9BPWR|aFRZICY
45	51324 51333	   	223.39	DCR|2VULN|2DMG|2MLV|1CDMG	19MLV|2BOSS|39VULN|4CGEN|5CDMG|69DMG|7RCR|8RPLT|9BPWR|aBELT
46	11343 22416	   	223.33	DCR|DCR|1VULN|1DUR	1ASPD|2BOSS|3VULN|4BBNT|5RAT|6DUR|7aRCR|8ERES|9BEXP
47	14214 63133	   	223.33	DCR|DCR|1VULN|1CDMG	1ASPD|2BEXP|3CDMG|4RMIN|5TBNT|67RCR|8CGEN|9BASHEA|aVULN
48	16263 12236	   	223.33	DCR|DCR|1VULN|1AART|1AAC	1ASPD|2AME|3RAT|4AAC|5TBNT|6aRCR|7AART|8VULN|9LIT
49	23142 41532	   	223.33	DCR|DCR|1VULN|1DUR	1DUR|2FEWX|3RMIN|4BEXP|5ASPD|6BASARM|7aRCR|8VENFST|9VULN
50	13436 31614	   	223.33	DCR|DCR|1VULN|1AART	1ASPD|2LSRICY|3BEXP|4VULN|5RAT|6aRCR|7CGEN|8AART|9MBVNT
51	51314 51332	   	223.29	DCR|2VULN|2DMG|2MLV|1CDMG	19MLV|2BOSS|39VULN|4ERES|5CDMG|69DMG|7RCR|8RPLT|9BPWR|aFRZICY
52	51314 51333	   	223.29	DCR|2VULN|2DMG|2MLV|1CDMG	19MLV|2BOSS|39VULN|4ERES|5CDMG|69DMG|7RCR|8RPLT|9BPWR|aBELT
53	23151 21542	   	223.23	DCR|DCR|1VULN|1DUR	1DUR|2FEWX|3RMIN|4VULN|5CANSTR|6ASPD|7aRCR|8MULHEA|9DUST
54	31436 42221	   	223.23	DCR|DCR|1VULN|1DUR	1RAT|2LIT|3MDPS|4VULN|5DUR|69RCR|7MULHEA|8ERES|aASPD
55	15413 16231	   	223.09	DCR|2VULN|2DMG|2MLV|2ASPD	12ASPD|2aBPWR|3aMLV|4TSLARM|5FEWX|6aDMG|7ERES|8aVULN|9RCR
56	24512 35312	 * 	222.95	DCR|DCR|2DUR|1TLV	12DUR|2BPWR|3FEWX|4CGEN|5BBNT|68RCR|7BEXP|9TBNT|aTLV
57	31432 42226	   	222.70	DCR|DCR|1VULN|1DMG	1RAT|2LIT|3MDPS|4VULN|5BEXP|69RCR|7MULHEA|8ERES|aDMG
58	32322 53255	   	222.70	DCR|DCR|1VULN|1DMG|1NUKE	1RAT|2LWND|3DLOT|4RCVC|5NUKE|6aRCR|7TBNT|8VULN|9DMG
59	31433 42226	   	222.60	DCR|DCR|1VULN|1DMG	1RAT|2LIT|3MDPS|4VULN|5DUST|69RCR|7MULHEA|8ERES|aDMG
