0	Index      	 *	Score 	Summary	Detail	
1	62513 23612	 * 	264.52	ACR|DCR|3VULN|2CDMG|1DUR|1AART	139VULN|2aRCR|4DUR|5AART|69CDMG|7LEGI|89AEFRZ|9BPWR
73	42432 31622	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1RAT|2VULN|3DMG|4FEWX|5MDPS|68RCR|7DUR|9DUST|aBLAICY
74	52132 22562	   	236.07	ACR|DCR|2VULN|1DUR|1AART|1CDMG	1LHND|2aRCR|3FEWX|4CDMG|5DUR|67VULN|8AART|9AEBURN
75	62513 21612	   	236.07	ACR|DCR|2VULN|1DUR|1AART|1CDMG	13VULN|2aRCR|4DUR|5AART|6CDMG|7RMIN|8AME|9LWND
76	62613 34222	   	236.07	ACR|DCR|2VULN|1DUR|1AART|1CDMG	16VULN|2aRCR|3AEPOI|4DUR|5AART|7CDMG|8LHND|9LWND
77	62513 23622	   	235.97	ACR|DCR|2VULN|1DUR|1AART|1CDMG	13VULN|2aRCR|4DUR|5AART|6CDMG|7LEGI|8AEFRZ|9LWND
78	62613 23612	   	235.87	ACR|DCR|2VULN|1DUR|1AART|1CDMG	19VULN|2aRCR|39AEPOI|4DUR|5AART|6CDMG|7LEGI|89AEFRZ|9BPWR
79	36433 32112	 * 	235.79	DCR|2VULN|2TLV|2DUR|1MLV|1CDMG	1TBNT|28TLV|38VULN|4CDMG|56DUR|78AEPOI|8BPWR|9RCR|aMLV
80	62513 12252	 * 	234.97	ACR|DCR|2VULN|2DUR|1AART	13VULN|28RCR|4aDUR|5AART|6VENTOX|7FEWX|9RMIN
81	62234 43312	 * 	234.97	ACR|DCR|1VULN|2AART|1TLV|1CDMG	1VULN|2aRCR|3LHND|4CDMG|58AART|6TLV|7CGEN|9LWND
82	62553 23322	   	234.77	ACR|DCR|2VULN|2AART|1CDMG	13VULN|2aRCR|4DUST|58AART|6CDMG|7LEGI|9LWND
