0	Index      	 *	Score 	Summary	Detail	
1	22253 42233	 * 	258.29	DCR|DCR|2VULN|1MLV|1DUR	12RAT|3DUR|4VENFST|59VULN|6CGEN|78RCR|aMLV
39	22253 42253	   	231.99	DCR|DCR|1VULN|1MLV|1DUR	12RAT|3DUR|4VENFST|5VULN|6CGEN|78RCR|9AEFRZ|aMLV
40	24316 35312	   	230.56	DCR|DCR|1TLV|1DMG|1DUR	135RAT|2TBNT|4DUR|6DUST|79RCR|8DMG|aTLV
41	42633 33363	   	230.56	DCR|DCR|1TLV|1DMG|1DUR|1AAC	1BEXP|2FEWX|3TBNT|4DUST|5TLV|6aRCR|7AAC|8DUR|9DMG
42	22253 42263	   	230.14	DCR|DCR|1VULN|1DUR|1AAC	12RAT|3DUR|4VENFST|5VULN|6CGEN|78RCR|9ZMB|aAAC
43	21236 18711	   	230.04	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4DMSP|5VULN|6AART|7aRCR|8DUR|9FEWX
44	21236 18721	   	230.04	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4DMSP|5VULN|6AART|7aRCR|8DUR|9BEXP
45	36544 64421	   	230.04	DCR|DCR|1VULN|1DUR|1CDMG	1RMIN|2MDPS|3MBVNT|4VULN|5RPLT|6ZMB|7DUR|8aRCR|9CDMG
46	22231 42661	   	229.99	DCR|DCR|1VULN|1DUR|1CDMG|1SELL	12RAT|3DUR|4RCVC|5CDMG|6CGEN|79RCR|8SELL|aVULN
47	21216 18711	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4AEFRZ|5VULN|6AART|7aRCR|8DUR|9FEWX
48	21216 18721	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4AEFRZ|5VULN|6AART|7aRCR|8DUR|9BEXP
49	21232 18631	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4DMSP|5LEGI|6AART|7aRCR|8VULN|9DUR
50	21236 18741	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4DMSP|5VULN|6AART|7aRCR|8DUR|9DUST
51	21236 18831	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4DMSP|5VULN|6AART|7aRCR|8DUST|9DUR
52	21245 18631	   	229.94	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4CGEN|5ERES|6AART|7aRCR|8VULN|9DUR
53	23223 62621	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1RAT|2RMIN|3MDPS|4NUKE|5BBNT|68RCR|7CDMG|9DUR|aVULN
54	23226 62621	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1RAT|2RMIN|3MDPS|4NUKE|5TBNT|68RCR|7CDMG|9DUR|aVULN
55	32223 62621	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1RMIN|2RAT|3MDPS|4NUKE|5BBNT|68RCR|7CDMG|9DUR|aVULN
56	32226 62621	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1RMIN|2RAT|3MDPS|4NUKE|5TBNT|68RCR|7CDMG|9DUR|aVULN
57	36542 64421	   	229.94	DCR|DCR|1VULN|1DUR|1CDMG|1NUKE	1RMIN|2MDPS|3MBVNT|4VULN|5NUKE|6RPLT|7DUR|8aRCR|9CDMG
58	21212 18631	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4AEFRZ|5LEGI|6AART|7aRCR|8VULN|9DUR
59	21272 18631	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4AEBURN|5LEGI|6AART|7aRCR|8VULN|9DUR
60	21216 18741	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4AEFRZ|5VULN|6AART|7aRCR|8DUR|9DUST
61	21216 18831	   	229.84	DCR|DCR|1VULN|1DUR|1AART	1RAT|2AME|3MBVNT|4AEFRZ|5VULN|6AART|7aRCR|8DUST|9DUR
62	36214 35113	   	229.64	DCR|DCR|1VULN|1DMG	1RMIN|2MDPS|3LWND|4ERES|5VULN|6aRCR|7TBNT|8DMG|9ASPD
63	41217 33342	   	229.64	DCR|DCR|1VULN|1DMG	1BEXP|2MBVNT|3SPLARM|4ASPD|5BASARM|6DMG|7VULN|89RCR|aCGEN
64	41217 33344	   	229.64	DCR|DCR|1VULN|1DMG	1BEXP|2MBVNT|3SPLARM|4ASPD|5BASARM|6DMG|7VULN|89RCR|aBOSS
65	41217 33346	   	229.64	DCR|DCR|1VULN|1DMG	1BEXP|2MBVNT|3SPLARM|4ASPD|5BASARM|6DMG|7VULN|89RCR|aDMSP
66	41217 33347	   	229.64	DCR|DCR|1VULN|1DMG	1BEXP|2MBVNT|3SPLARM|4ASPD|5BASARM|6DMG|7VULN|89RCR|aRCVC
67	41217 38342	   	229.64	DCR|DCR|1VULN|1DMG	1BEXP|2MBVNT|3SPLARM|4ASPD|5BASARM|6DMG|7FEWX|89RCR|aVULN
68	41283 71342	   	229.64	DCR|DCR|1VULN|1DMG	1BEXP|2MBVNT|3SPLARM|4FEWX|5DMG|6FLTFST|7ASPD|89RCR|aVULN
69	41523 71342	   	229.64	DCR|DCR|1VULN|1DMG	1BEXP|2MBVNT|3DUST|4MGNSTR|5DMG|6FLTFST|7ASPD|89RCR|aVULN
70	43324 35313	   	229.64	DCR|DCR|1VULN|1DMG	1BEXP|2VULN|3ASPD|4FEWX|5BBNT|69MDPS|7aRCR|8DMG
71	43324 35333	   	229.64	DCR|DCR|1VULN|1DMG	1BEXP|2VULN|3ASPD|4FEWX|5BBNT|6MDPS|7aRCR|8DMG|9AEWIND
72	41217 33343	   	229.54	DCR|DCR|1VULN|1DMG	1BEXP|2MBVNT|3SPLARM|4ASPD|5BASARM|6DMG|7VULN|89RCR|aFLTHEA
73	41217 33345	   	229.54	DCR|DCR|1VULN|1DMG	1BEXP|2MBVNT|3SPLARM|4ASPD|5BASARM|6DMG|7VULN|89RCR|aBLAICY
74	31352 52361	   	229.14	DCR|DCR|1VULN|1TLV|1AAC	15RMIN|23CGEN|4RAT|69RCR|7TLV|8AAC|aVULN
75	22153 42231	   	229.04	DCR|DCR|2VULN	12RAT|3LHND|4VENFST|5aVULN|6CGEN|78RCR|9BEXP
76	22533 22231	   	229.04	DCR|DCR|2VULN	12RAT|3CGEN|4CANARM|5aVULN|6LHND|78RCR|9BEXP
77	22533 22264	   	229.04	DCR|DCR|2VULN	12RAT|3CGEN|4CANARM|5aVULN|6LHND|78RCR|9ZMB
78	22543 22231	   	229.04	DCR|DCR|2VULN	12RAT|3CGEN|4VENICY|5aVULN|6LHND|78RCR|9BEXP
79	12152 26162	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1ZMB|2FEWX|3MULHEA|4VULN|5CGEN|6RPLT|7aRCR|8TLV|9AAC
80	12352 26162	   	229.04	DCR|DCR|1VULN|1TLV|1AAC	1ZMB|2FEWX|3SPLREG|4VULN|5CGEN|6RPLT|7aRCR|8TLV|9AAC
81	22152 42231	   	228.94	DCR|DCR|2VULN	12RAT|3LHND|4VENFST|5DUST|6CGEN|78RCR|9aVULN
82	22533 42231	   	228.94	DCR|DCR|2VULN	12RAT|3CGEN|4CANARM|5aVULN|6FEWX|78RCR|9DUST
83	22543 42231	   	228.94	DCR|DCR|2VULN	12RAT|3CGEN|4VENICY|5aVULN|6FEWX|78RCR|9DUST
84	22653 42221	   	228.94	DCR|DCR|2VULN	12RAT|3DUST|4VENFST|5aVULN|6CGEN|78RCR|9FEWX
85	22653 42231	   	228.94	DCR|DCR|2VULN	12RAT|3DUST|4VENFST|59VULN|6CGEN|78RCR|aLWND
86	11214 13133	   	228.94	DCR|DCR|1VULN|1TLV|1AAC	1ZMB|2AAC|3TBNT|4TLV|5VULN|6RMIN|7LWND|8aRCR|9MDPS
87	26231 42221	   	228.94	DCR|DCR|1VULN|2DUR	1RAT|2LHND|35DUR|4SNIFST|6CGEN|78RCR|9FEWX|aVULN
88	26231 42234	   	228.94	DCR|DCR|1VULN|2DUR	1RAT|2LHND|35DUR|4SNIFST|6CGEN|78RCR|9VULN|aBEXP
89	26231 42235	   	228.94	DCR|DCR|1VULN|2DUR	1RAT|2LHND|35DUR|4SNIFST|6aCGEN|78RCR|9VULN
90	26231 42236	   	228.94	DCR|DCR|1VULN|2DUR	1RAT|2LHND|35DUR|4SNIFST|6CGEN|78RCR|9VULN|aFRZARM
91	22653 42232	   	228.84	DCR|DCR|2VULN	12RAT|3DUST|4VENFST|59VULN|6CGEN|78RCR|aAEFRZ
92	26231 42232	   	228.84	DCR|DCR|1VULN|2DUR	1RAT|2LHND|35DUR|4SNIFST|6CGEN|78RCR|9VULN|aAEBURN
93	26231 42233	   	228.84	DCR|DCR|1VULN|2DUR	1RAT|2LHND|35DUR|4SNIFST|6CGEN|78RCR|9VULN|aMULARM
94	65212 11444	   	228.84	DCR|DCR|1VULN|2DUR	1CGEN|25DUR|3LWND|4AETHUN|6MBVNT|7VULN|8MGNSTR|9aRCR
95	36541 43413	   	228.74	DCR|DCR|1VULN|1TLV	1RMIN|2MDPS|3MBVNT|4VULN|5TLV|6aRCR|7CGEN|8ERES|9TBNT
96	36541 46223	   	228.74	DCR|DCR|1VULN|1TLV	1RMIN|2MDPS|3MBVNT|4VULN|5TLV|6aRCR|7TBNT|8AEWIND|9LWND
97	36541 46213	   	228.64	DCR|DCR|1VULN|1TLV	1RMIN|2MDPS|3MBVNT|4VULN|5TLV|6aRCR|7TBNT|8AEWIND|9AETHUN
98	36515 41343	   	228.64	DCR|DCR|1VULN|2DUR	1RMIN|2MDPS|3MBVNT|4AME|5VULN|6aRCR|79DUR|8TBNT
99	36515 42413	   	228.64	DCR|DCR|1VULN|1TLV	1RMIN|2MDPS|3MBVNT|4AME|5VULN|6aRCR|7TLV|8ERES|9TBNT
100	36546 41343	   	228.64	DCR|DCR|1VULN|2DUR	1RMIN|2MDPS|3MBVNT|4VULN|5ERES|6aRCR|79DUR|8TBNT
