0	Index      	 *	Score 	Summary	Detail	
1	16131 51351	 * 	271.95	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1CDMG	1DMSP|2BBNT|3DUR|4CGEN|5CDMG|69RCR|7MLV|8VULN|aTLV
17	32423 12152	   	253.12	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2CGEN|3VULN|4RMIN|57TLV|6aRCR|8LIT|9FEWX
18	32433 12132	   	253.02	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2CGEN|3VULN|4ERES|57TLV|6aRCR|8LIT|9LHND
19	32433 12152	   	253.02	DCR|DCR|2TLV|1VULN|1CDMG	1CDMG|2CGEN|3VULN|4ERES|57TLV|6aRCR|8LIT|9FEWX
20	55623 21123	 * 	250.71	DCR|2VULN|2DMG|1TLV|1MLV|1DUR|1AART|1SELL	1AART|29LWND|39VULN|4MLV|5DUR|6SELL|7RCR|89DMG|9BPWR|aTLV
21	56423 21123	 * 	250.51	DCR|2VULN|2DMG|1TLV|1MLV|1DUR|1AART|1SELL	1AART|29VULN|39DUST|4MLV|5DUR|6SELL|7RCR|89DMG|9BPWR|aTLV
22	35353 51322	   	250.15	DCR|5VULN|2MLV|2CDMG	1aCDMG|2RMIN|3TBNT|4589aVULN|6RCR|7aMLV|aBPWR
23	22211 14236	   	249.49	DCR|DCR|1VULN|1TLV|1CDMG|1SELL	1LIT|2SELL|3RPLT|4VULN|5TLV|6ASPD|7BELT|8aRCR|9CDMG
24	15613 51123	 * 	249.25	DCR|2VULN|2DMG|2MLV|1TLV|1AART|1SELL	1DMSP|2SELL|3AART|49MLV|59VULN|6MDPS|7RCR|89DMG|9BPWR|aTLV
25	56116 21121	 * 	247.56	DCR|2VULN|2DMG|2DUR|1TLV|1AART|1SELL	1AART|29VULN|39DUR|4aBEXP|5TLV|6SELL|7RCR|89DMG|9BPWR
26	56116 21123	 * 	247.56	DCR|2VULN|2DMG|2DUR|1TLV|1AART|1SELL	1AART|29VULN|39DUR|4BEXP|5TLV|6SELL|7RCR|89DMG|9BPWR|aLWND
27	51616 21121	 * 	247.56	DCR|2VULN|2DMG|2DUR|1TLV|1AART|1SELL	1AART|29DUR|39VULN|4aBEXP|5TLV|6SELL|7RCR|89DMG|9BPWR
28	51616 21123	 * 	247.56	DCR|2VULN|2DMG|2DUR|1TLV|1AART|1SELL	1AART|29DUR|39VULN|4BEXP|5TLV|6SELL|7RCR|89DMG|9BPWR|aLWND
29	51633 34111	 * 	247.50	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1AART|25DUR|36VULN|46DMG|6BPWR|7MDPS|8TLV|9TBNT|aRCR
30	56116 21122	   	247.46	DCR|2VULN|2DMG|2DUR|1TLV|1AART|1SELL	1AART|29VULN|39DUR|4BEXP|5TLV|6SELL|7RCR|89DMG|9BPWR|aMBVNT
31	56141 21123	   	247.46	DCR|2VULN|2DMG|2DUR|1TLV|1AART|1SELL	1AART|29VULN|39DUR|4LWND|5ERES|6SELL|7RCR|89DMG|9BPWR|aTLV
32	51616 21122	   	247.46	DCR|2VULN|2DMG|2DUR|1TLV|1AART|1SELL	1AART|29DUR|39VULN|4BEXP|5TLV|6SELL|7RCR|89DMG|9BPWR|aMBVNT
33	51641 21123	   	247.46	DCR|2VULN|2DMG|2DUR|1TLV|1AART|1SELL	1AART|29DUR|39VULN|4LWND|5ERES|6SELL|7RCR|89DMG|9BPWR|aTLV
34	16131 51353	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1DMSP|2BBNT|3DUR|4CGEN|5CDMG|69RCR|7MLV|8VULN|aBEXP
35	35312 51352	   	245.54	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1CDMG|2RMIN|3TBNT|4AME|5ERES|69RCR|7MLV|8VULN|aAAC
36	56631 21123	 * 	243.30	DCR|3VULN|2DMG|1TLV|1AART|1SELL	1AART|239VULN|4MDPS|59ERES|6SELL|7RCR|89DMG|9BPWR|aTLV
37	32423 11132	   	242.79	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2CGEN|3VULN|4RMIN|5TLV|6aRCR|7RCVC|8LIT|9LHND
38	32423 11152	   	242.79	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2CGEN|3VULN|4RMIN|5TLV|6aRCR|7RCVC|8LIT|9FEWX
39	32461 11132	   	242.69	DCR|DCR|2VULN|1CDMG	1CDMG|2CGEN|34VULN|5AETHUN|6aRCR|7RCVC|8LIT|9LHND
40	35461 11132	   	242.69	DCR|DCR|2VULN|1CDMG	1CDMG|2RMIN|34VULN|5AETHUN|6aRCR|7RCVC|8LIT|9LHND
41	32433 11132	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2CGEN|3VULN|4ERES|5TLV|6aRCR|7RCVC|8LIT|9LHND
42	32433 11152	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2CGEN|3VULN|4ERES|5TLV|6aRCR|7RCVC|8LIT|9FEWX
43	32623 61353	   	242.69	DCR|DCR|2VULN|1CDMG	1CDMG|2CGEN|3aFEWX|4RMIN|5TBNT|69RCR|78VULN
44	35222 52351	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|24RMIN|3LHND|5TBNT|69RCR|7CGEN|8VULN|aTLV
45	32633 61353	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|2CGEN|3FEWX|4ERES|5TBNT|69RCR|78VULN|aBEXP
46	35461 13332	   	242.59	DCR|DCR|2VULN|1CDMG	1CDMG|2RMIN|34VULN|5AETHUN|6aRCR|7LIT|8AEBURN|9LHND
47	11633 11162	   	242.59	DCR|DCR|1VULN|2DUR|1CDMG	1DMSP|2DUST|3CGEN|4CDMG|57DUR|6aRCR|8LIT|9VULN
48	22211 34236	   	242.55	DCR|DCR|1VULN|1TLV|1AAC|1CDMG|1SELL	1LIT|2SELL|3RPLT|4VULN|5TLV|6AAC|7BELT|8aRCR|9CDMG
49	35312 52351	   	242.49	DCR|DCR|1VULN|1TLV|1CDMG	1CDMG|2RMIN|3TBNT|4AME|5ERES|69RCR|7CGEN|8VULN|aTLV
50	31522 62631	 * 	242.21	DCR|DCR|2DMG|2CDMG|1DUR	19CDMG|2RPLT|3MDPS|4DUR|59LIT|68RCR|79DMG|9BPWR|aDMSP
51	31522 62633	   	242.21	DCR|DCR|2DMG|2CDMG|1DUR	19CDMG|2RPLT|3MDPS|4DUR|59LIT|68RCR|79DMG|9BPWR|aRAT
52	31522 62632	   	242.11	DCR|DCR|2DMG|2CDMG|1DUR	19CDMG|2RPLT|3MDPS|4DUR|59LIT|68RCR|79DMG|9BPWR|aBLAICY
