0	Index      	 *	Score 	Summary	Detail	
1	45113 21513	 * 	269.49	DCR|DCR|1VULN|2AART|1DMG|1DUR	19AART|2ASPD|3AME|4DMG|5ERES|6DUR|78RCR|aVULN
44	36411 31581	   	244.11	DCR|DCR|1TLV|1DMG|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9LEGI|aDMG
45	45212 11532	   	243.49	DCR|DCR|1VULN|1DMG|1AART	1AART|2ASPD|3CGEN|4DMG|5LWND|6ERES|78RCR|9VULN|aZMB
46	45212 11533	   	243.49	DCR|DCR|1VULN|1DMG|1AART	1AART|2ASPD|3CGEN|4DMG|5LWND|6ERES|78RCR|9VULN|aBOSS
47	45112 11532	   	243.39	DCR|DCR|1VULN|1DMG|1AART	1AART|2ASPD|3AME|4DMG|5LWND|6ERES|78RCR|9VULN|aZMB
48	45112 11533	   	243.39	DCR|DCR|1VULN|1DMG|1AART	1AART|2ASPD|3AME|4DMG|5LWND|6ERES|78RCR|9VULN|aBOSS
49	45212 11531	   	243.39	DCR|DCR|1VULN|1DMG|1AART|1MSE	1AART|2ASPD|3CGEN|4DMG|5LWND|6ERES|78RCR|9VULN|aMSE
50	45112 11531	   	243.29	DCR|DCR|1VULN|1DMG|1AART|1MSE	1AART|2ASPD|3AME|4DMG|5LWND|6ERES|78RCR|9VULN|aMSE
51	23253 14162	   	242.69	DCR|DCR|2VULN|1AART	1BELT|2AART|3LWND|4aVULN|5AEFBLL|6CGEN|7ZMB|89RCR
52	23631 14162	   	242.69	DCR|DCR|1VULN|1TLV|1AART	1BELT|2AART|3TLV|4RMIN|5AETHUN|6CGEN|7ZMB|89RCR|aVULN
53	36811 44844	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1DUST|2MBVNT|3TBNT|4TLV|5FEWX|6DUR|7BEXP|89RCR|aVULN
54	36448 31532	 * 	241.32	DCR|DCR|2TLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4ASPD|5aTLV|68RCR|7AART|9MDPS
55	11313 24226	 * 	240.94	DCR|DCR|3TLV|1DUR|1AART	1LWND|2DUR|3DUST|478TLV|5AART|6MDPS|9aRCR
56	31413 24226	   	240.94	DCR|DCR|3TLV|1DUR|1AART	1DUST|2DUR|3LWND|478TLV|5AART|6MDPS|9aRCR
57	36411 31523	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9LHND|aMLV
58	36411 31543	   	239.75	DCR|DCR|1TLV|1MLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9BEXP|aMLV
59	36411 31583	   	239.65	DCR|DCR|1TLV|1MLV|1DUR|1AART	1DUST|2MBVNT|3DUR|4TLV|5ZMB|68RCR|7AART|9LEGI|aMLV
