0	Index      	 *	Score 	Summary	Detail	
1	21522 31636	 * 	211.82	ACR|1BASARM|2BEXP|1DMG|1VULN|1AAC|1SELL	1SELL|26LHND|3RCR|4RPLT|56BEXP|6BPWR|7AAC|8BASARM|9VULN|aDMG
35	21534 31611	 * 	197.29	ACR|1BASARM|2BEXP|2AAC|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5CDMG|6aBEXP|79AAC|8BASARM
36	23624 22482	 * 	196.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1SELL	1SELL|2BEXP|3ASPD|4CGEN|5RCR|6DUST|7MBVNT|8DMG|9BASARM|aCDMG
37	32324 22482	 * 	196.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1CDMG|1SELL	1BEXP|2CGEN|3ASPD|4SELL|5RCR|6DUST|7MBVNT|8DMG|9BASARM|aCDMG
38	34252 31342	   	195.92	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG|1AAC	12BEXP|3AEMAG|4RCR|5AART|6CDMG|7DMG|8LEGI|9ASPD|aAAC
39	21512 21253	 * 	195.67	ACR|1BASARM|1DMG|1AART|1BEXP|1AAC|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6MULARM|7AAC|8BASARM|9DMG|aAART
40	21523 42135	   	195.47	ACR|1BASARM|1VULN|1AART|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4RPLT|5VULN|6AAC|7CDMG|8AART|9DUR|aBASARM
41	13224 78154	 * 	195.19	ACR|1BASARM|2VULN|2DMG	13AEMAG|2MBVNT|49VULN|5RCR|6DUST|79DMG|89LHND|9BPWR|aBASARM
42	13224 78354	   	195.19	ACR|1BASARM|2VULN|2DMG	13AEMAG|2MBVNT|49VULN|5RCR|6DUST|79DMG|89FEWX|9BPWR|aBASARM
43	13224 78454	   	195.19	ACR|1BASARM|2VULN|2DMG	13AEMAG|2MBVNT|49VULN|5RCR|6DUST|79DMG|89DUR|9BPWR|aBASARM
44	12234 38354	   	195.19	ACR|1BASARM|2DMG|2VULN	13AEMAG|29LHND|4MBVNT|5RCR|6DUST|79DMG|89VULN|9BPWR|aBASARM
45	32234 31125	   	195.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1BEXP|2CGEN|3ERES|4MBVNT|5RCR|6AART|7RMIN|8CDMG|9ASPD|aBASARM
46	32234 33125	   	195.16	ACR|1BASARM|1ASPD|1AART|1BEXP|1CDMG	1BEXP|2CGEN|3ERES|4MBVNT|5RCR|6AART|7ZMB|8CDMG|9ASPD|aBASARM
47	21522 31621	 * 	195.10	ACR|1BASARM|3BEXP|2AAC|1SELL	1SELL|26LHND|3RCR|4RPLT|56aBEXP|6BPWR|79AAC|8BASARM
48	21522 41621	 * 	195.10	ACR|1BASARM|3BEXP|2AAC|1SELL	1SELL|27LHND|3RCR|4RPLT|57aBEXP|69AAC|7BPWR|8BASARM
49	11234 48354	   	195.09	ACR|1BASARM|2DMG|2VULN	13AEMAG|29DUST|4MBVNT|5RCR|6LHND|79DMG|89VULN|9BPWR|aBASARM
50	13284 28324	   	194.96	ACR|1BASARM|2BEXP|1VULN|1DMG	13AEMAG|2MBVNT|46BEXP|5RCR|6BPWR|7DMG|8VULN|9RCVC|aBASARM
51	14234 28324	   	194.96	ACR|1BASARM|2BEXP|1VULN|1DMG	13AEMAG|26BEXP|4MBVNT|5RCR|6BPWR|7DMG|8VULN|9RCVC|aBASARM
52	45234 28324	   	194.96	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|26BEXP|36ERES|4MBVNT|5RCR|6BPWR|7DMG|8VULN|9RCVC|aBASARM
53	46334 28324	   	194.96	ACR|1BASARM|2BEXP|1VULN|1DMG	1TLV|26ERES|36BEXP|4MBVNT|5RCR|6BPWR|7DMG|8VULN|9RCVC|aBASARM
54	22654 11131	 * 	194.63	ACR|1BASARM|1VULN|1ASPD|2AAC|1BEXP|1SELL	1SELL|2DUR|3ASPD|46AAC|5RCR|7AEMAG|8VULN|9BEXP|aBASARM
55	21523 42361	 * 	194.46	ACR|3VULN|1BASARM|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4RPLT|589VULN|6AAC|7CDMG|aBASARM
56	21512 22211	 * 	194.38	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6MULARM|7DMG|8BASARM|9RCVC|aASPD
57	34252 31511	 * 	194.03	ACR|2BEXP|1ASPD|1DMG|2CDMG|1AART	12BEXP|3AEMAG|4RCR|5AART|68CDMG|7DMG|9LHND|aASPD
58	13284 28354	   	193.36	ACR|1BASARM|2BEXP|1VULN|1DMG	13AEMAG|2MBVNT|46BEXP|5RCR|6BPWR|7DMG|8VULN|9DMSP|aBASARM
59	13284 28614	   	193.36	ACR|1BASARM|2BEXP|1DMG|1VULN	13AEMAG|2MBVNT|46BEXP|5RCR|6BPWR|7DMG|8FEWX|9VULN|aBASARM
60	14234 28354	   	193.36	ACR|1BASARM|2BEXP|1VULN|1DMG	13AEMAG|26BEXP|4MBVNT|5RCR|6BPWR|7DMG|8VULN|9DMSP|aBASARM
61	14234 28614	   	193.36	ACR|1BASARM|2BEXP|1DMG|1VULN	13AEMAG|26BEXP|4MBVNT|5RCR|6BPWR|7DMG|8FEWX|9VULN|aBASARM
62	34252 62113	   	192.83	ACR|2BEXP|1ASPD|1DMG|1AART|1VULN	12BEXP|3AEMAG|4RCR|5AART|6LHND|7DMG|8ASPD|9FEWX|aVULN
63	34252 62133	   	192.83	ACR|2BEXP|1ASPD|1DMG|1AART|1VULN	12BEXP|3AEMAG|4RCR|5AART|6LHND|7DMG|8ASPD|9LIT|aVULN
64	21512 16163	 * 	192.78	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6AEFBLL|7BASARM|8BELT|9ASPD|aDMG
65	21533 16163	 * 	192.68	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1SELL|2LHND|3RCR|4DUST|5BEXP|6AEFBLL|7BASARM|8BELT|9ASPD|aDMG
66	12134 31621	 * 	192.53	ACR|1BASARM|2BEXP|2AAC|1CDMG	1AEMAG|2LHND|3RPLT|4RCR|5CDMG|6aBEXP|79AAC|8BASARM
67	21511 16163	 * 	192.53	ACR|1BASARM|1ASPD|1DMG|1BEXP|2SELL	15SELL|2LHND|3RCR|4BEXP|6AEFBLL|7BASARM|8BELT|9ASPD|aDMG
68	11134 51621	   	192.43	ACR|1BASARM|2BEXP|2AAC|1CDMG	1AEMAG|2DUST|3RPLT|4RCR|5CDMG|6aBEXP|79AAC|8BASARM
69	21512 21216	 * 	192.18	ACR|2BASARM|2BEXP|1AAC|1SELL	1SELL|2aLHND|3RCR|4aBEXP|5FEWX|6MULARM|7AAC|8aBASARM|9RCVC|aBPWR
70	34254 32133	   	191.83	ACR|2BEXP|1ASPD|1DMG|1AART|1VULN	12BEXP|3AEMAG|4RCR|5DUR|6AART|7DMG|8ASPD|9LIT|aVULN
71	12131 31636	   	191.78	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC|1SELL	1AEMAG|2LHND|3RPLT|4RCR|5SELL|6BEXP|7AAC|8BASARM|9VULN|aDMG
72	11131 51636	   	191.68	ACR|1BASARM|1DMG|1VULN|1BEXP|1AAC|1SELL	1AEMAG|2DUST|3RPLT|4RCR|5SELL|6BEXP|7AAC|8BASARM|9VULN|aDMG
73	33634 27822	 * 	191.14	ACR|1BASARM|2BEXP|1ASPD|1CDMG	18BEXP|26ERES|36TLV|4MBVNT|5RCR|6BPWR|7CDMG|9ASPD|aBASARM
74	21522 31632	   	190.76	ACR|1BASARM|2BEXP|1VULN|1AAC|1SELL	1SELL|26aLHND|3RCR|4RPLT|56BEXP|6BPWR|7AAC|8BASARM|9VULN
75	21522 31633	   	190.76	ACR|1BASARM|2BEXP|1VULN|1AAC|1SELL	1SELL|26LHND|3RCR|4RPLT|56BEXP|6BPWR|7AAC|8BASARM|9VULN|aBELT
76	21522 41632	   	190.76	ACR|1BASARM|2BEXP|1VULN|1AAC|1SELL	1SELL|27aLHND|3RCR|4RPLT|57BEXP|6AAC|7BPWR|8BASARM|9VULN
77	21522 41633	   	190.76	ACR|1BASARM|2BEXP|1VULN|1AAC|1SELL	1SELL|27LHND|3RCR|4RPLT|57BEXP|6AAC|7BPWR|8BASARM|9VULN|aBELT
78	21512 33261	   	190.69	ACR|2BEXP|1ASPD|1DMG|1VULN|1CDMG|1SELL	1SELL|2LHND|3RCR|47BEXP|5FEWX|6CDMG|8ASPD|9VULN|aDMG
79	21512 33331	   	190.69	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LHND|3RCR|47BEXP|5FEWX|6CDMG|8VULN|9ASPD|aDMG
80	21514 13261	   	190.69	ACR|2BEXP|1ASPD|1DMG|1VULN|1CDMG|1SELL	1SELL|2LHND|3RCR|47BEXP|5CDMG|6FEWX|8ASPD|9VULN|aDMG
81	21514 13331	   	190.69	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LHND|3RCR|47BEXP|5CDMG|6FEWX|8VULN|9ASPD|aDMG
82	21514 33251	   	190.69	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LHND|3RCR|46BEXP|5CDMG|7VULN|8ASPD|9FEWX|aDMG
83	21514 33631	   	190.69	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LHND|3RCR|46BEXP|5CDMG|7VULN|8LWND|9DMG|aASPD
84	21514 34331	   	190.69	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LHND|3RCR|46BEXP|5CDMG|7FEWX|8VULN|9ASPD|aDMG
85	21514 35331	   	190.69	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LHND|3RCR|46BEXP|5CDMG|7DUR|8VULN|9DMG|aASPD
86	21522 31611	   	190.66	ACR|1BASARM|2BEXP|1VULN|1AAC|1SELL	1SELL|26LHND|3RCR|4RPLT|56BEXP|6BPWR|7AAC|8BASARM|9MDPS|aVULN
87	21522 31631	   	190.66	ACR|1BASARM|2BEXP|1VULN|1AAC|1SELL	1SELL|26LHND|3RCR|4RPLT|56BEXP|6BPWR|7AAC|8BASARM|9VULN|aERES
88	21522 31634	   	190.66	ACR|1BASARM|2BEXP|1VULN|1AAC|1SELL	1SELL|26LHND|3RCR|4RPLT|56BEXP|6BPWR|7AAC|8BASARM|9VULN|aTLV
89	21522 41611	   	190.66	ACR|1BASARM|2BEXP|1VULN|1AAC|1SELL	1SELL|27LHND|3RCR|4RPLT|57BEXP|6AAC|7BPWR|8BASARM|9MDPS|aVULN
90	21522 41631	   	190.66	ACR|1BASARM|2BEXP|1VULN|1AAC|1SELL	1SELL|27LHND|3RCR|4RPLT|57BEXP|6AAC|7BPWR|8BASARM|9VULN|aERES
91	21514 33216	   	190.59	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LHND|3RCR|46BEXP|5CDMG|7VULN|8ASPD|9VENFST|aDMG
92	21533 33331	   	190.59	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|57BEXP|6CDMG|8VULN|9ASPD|aDMG
93	21534 33331	   	190.59	ACR|2BEXP|1VULN|1ASPD|1DMG|1CDMG|1SELL	1SELL|2LHND|3RCR|4DUST|5CDMG|67BEXP|8VULN|9ASPD|aDMG
94	23624 13342	 * 	190.52	ACR|2ASPD|2BEXP|1VULN|1AART|1AAC|1SELL	1SELL|27BEXP|39ASPD|4CGEN|5RCR|6AAC|8AART|aVULN
95	32324 13342	 * 	190.52	ACR|2ASPD|2BEXP|1VULN|1AART|1AAC|1SELL	17BEXP|2CGEN|39ASPD|4SELL|5RCR|6AAC|8AART|aVULN
96	21512 31632	   	190.47	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2aLHND|3RCR|4BEXP|5FEWX|6CDMG|7AAC|8BASARM|9VULN
97	21512 31633	   	190.47	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6CDMG|7AAC|8BASARM|9VULN|aBELT
98	21514 11632	   	190.47	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2aLHND|3RCR|4BEXP|5CDMG|6FEWX|7AAC|8BASARM|9VULN
99	21514 11633	   	190.47	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4BEXP|5CDMG|6FEWX|7AAC|8BASARM|9VULN|aBELT
100	21512 31631	   	190.37	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6CDMG|7AAC|8BASARM|9VULN|aERES
101	21512 31634	   	190.37	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6CDMG|7AAC|8BASARM|9VULN|aTLV
102	21514 11631	   	190.37	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4BEXP|5CDMG|6FEWX|7AAC|8BASARM|9VULN|aERES
103	21532 31635	   	190.37	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5FEWX|6CDMG|7AAC|8BASARM|9VULN|aBEXP
104	21533 31632	   	190.37	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2aLHND|3RCR|4DUST|5BEXP|6CDMG|7AAC|8BASARM|9VULN
105	21533 31633	   	190.37	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5BEXP|6CDMG|7AAC|8BASARM|9VULN|aBELT
106	21534 31632	   	190.37	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2aLHND|3RCR|4DUST|5CDMG|6BEXP|7AAC|8BASARM|9VULN
107	21534 31633	   	190.37	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5CDMG|6BEXP|7AAC|8BASARM|9VULN|aBELT
108	21514 61113	   	190.27	ACR|2BEXP|1ASPD|1AART|1VULN|1CDMG|1SELL	1SELL|2LHND|3RCR|47BEXP|5CDMG|6AART|8ASPD|9FEWX|aVULN
109	21514 61133	   	190.27	ACR|2BEXP|1ASPD|1AART|1VULN|1CDMG|1SELL	1SELL|2LHND|3RCR|47BEXP|5CDMG|6AART|8ASPD|9LIT|aVULN
110	21533 31631	   	190.27	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5BEXP|6CDMG|7AAC|8BASARM|9VULN|aERES
111	21533 31634	   	190.27	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5BEXP|6CDMG|7AAC|8BASARM|9VULN|aTLV
112	21534 31631	   	190.27	ACR|1BASARM|1VULN|1BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5CDMG|6BEXP|7AAC|8BASARM|9VULN|aERES
113	21512 22212	   	190.08	ACR|1BASARM|1DMG|1VULN|1BEXP|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|6MULARM|7DMG|8BASARM|9RCVC|aVULN
114	21533 46313	   	190.05	ACR|1BASARM|2BEXP|1DMG|1SELL	1SELL|2LHND|3RCR|4DUST|59BEXP|6RCVC|7BASARM|8ZMB|aDMG
115	21511 46313	   	189.91	ACR|1BASARM|2BEXP|1DMG|2SELL	15SELL|2LHND|3RCR|49BEXP|6RCVC|7BASARM|8ZMB|aDMG
116	21512 31652	   	189.54	ACR|1BASARM|2BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|49BEXP|5FEWX|6CDMG|7AAC|8BASARM|aCGEN
117	21512 31653	   	189.54	ACR|1BASARM|2BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|49BEXP|5FEWX|6CDMG|7AAC|8BASARM|aDUR
118	21533 31642	   	189.44	ACR|1BASARM|2BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5aBEXP|6CDMG|7AAC|8BASARM|9MLV
119	34252 31235	 * 	189.42	ACR|2AART|2BEXP|1DMG|2CDMG	12BEXP|3AEMAG|4RCR|58AART|6aCDMG|7DMG|9RPLT
120	21533 31622	   	189.34	ACR|1BASARM|2BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5aBEXP|6CDMG|7AAC|8BASARM|9TLV
121	21534 31622	   	189.34	ACR|1BASARM|2BEXP|1CDMG|1AAC|1SELL	1SELL|2LHND|3RCR|4DUST|5CDMG|6aBEXP|7AAC|8BASARM|9TLV
122	34252 31161	   	189.32	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	12BEXP|3AEMAG|4RCR|5AART|6CDMG|7DMG|8FEWX|9RCVC|aASPD
123	34252 31361	   	189.22	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	12BEXP|3AEMAG|4RCR|5AART|6CDMG|7DMG|8LEGI|9RCVC|aASPD
124	21512 22216	 * 	189.10	ACR|2BASARM|1DMG|1BEXP|1SELL	1SELL|2aLHND|3RCR|4BEXP|5aFEWX|6MULARM|7DMG|8aBASARM|9RCVC|aBPWR
125	33634 28314	   	189.05	ACR|1BASARM|2VULN|1DMG|1BEXP	1BEXP|26ERES|36TLV|4MBVNT|5RCR|6BPWR|7DMG|89VULN|aBASARM
126	33634 88314	   	189.05	ACR|1BASARM|2VULN|1DMG|1BEXP	1BEXP|2ERES|36TLV|4MBVNT|5RCR|7DMG|89VULN|aBASARM
127	12134 62143	   	189.03	ACR|2AART|1ASPD|1VULN|1BEXP|1CDMG	1AEMAG|2LHND|3RPLT|4RCR|5CDMG|67AART|8ASPD|9BEXP|aVULN
128	34252 31341	   	188.92	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	12BEXP|3AEMAG|4RCR|5AART|6CDMG|7DMG|8LEGI|9ASPD|aRCVC
129	21533 16242	 * 	188.26	ACR|1BASARM|1DMG|1AART|1BEXP|1SELL	1SELL|2LHND|3RCR|4DUST|5BEXP|6AEFBLL|7BASARM|8FEWX|9AART|aDMG
130	21512 16342	 * 	188.26	ACR|1BASARM|1DMG|1AART|1BEXP|1SELL	1SELL|2LHND|3RCR|4BEXP|5FEWX|68AEFBLL|7BASARM|9AART|aDMG
131	21511 16242	 * 	188.12	ACR|1BASARM|1DMG|1AART|1BEXP|2SELL	15SELL|2LHND|3RCR|4BEXP|6AEFBLL|7BASARM|8FEWX|9AART|aDMG
132	12133 66226	 * 	188.02	ACR|1BASARM|1ASPD|1BASICY|1CDMG	1AEMAG|2LHND|36RPLT|4RCR|5VENTOX|7ASPD|8BASARM|9CDMG|aBASICY
133	11133 55261	 * 	187.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1AEMAG|2DUST|3RPLT|4RCR|5VENTOX|6DMG|7DMSP|8BASARM|9BEXP|aASPD
134	13284 27135	 * 	187.83	ACR|1BASARM|2BEXP|1AART|1CDMG	13AEMAG|2MBVNT|46BEXP|5RCR|6BPWR|7CDMG|8AART|9LHND|aBASARM
135	14234 27135	   	187.83	ACR|1BASARM|2BEXP|1AART|1CDMG	13AEMAG|26BEXP|4MBVNT|5RCR|6BPWR|7CDMG|8AART|9LHND|aBASARM
136	43133 31553	   	187.72	ACR|1BASARM|1ASPD|1DMG|1CDMG	1TLV|2AME|3RPLT|4RCR|5MSLFST|6CDMG|7MBVNT|8DMG|9BASARM|aASPD
137	34252 31141	   	187.72	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	12BEXP|3AEMAG|4RCR|5AART|6CDMG|7DMG|8FEWX|9ASPD|aDUR
138	34252 31142	   	187.62	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	12BEXP|3AEMAG|4RCR|5AART|6CDMG|7DMG|8FEWX|9ASPD|aAME
139	34252 31343	   	187.62	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG	12BEXP|3AEMAG|4RCR|5AART|6CDMG|7DMG|8LEGI|9ASPD|aFEWX
140	21515 24321	   	187.55	ACR|1BASARM|2BEXP|1ASPD|1SELL	1SELL|2LHND|3RCR|48BEXP|5AME|6RMIN|7CGEN|9ASPD|aBASARM
141	21516 21321	   	187.55	ACR|1BASARM|2BEXP|1ASPD|1SELL	1SELL|2LHND|3RCR|48BEXP|5CGEN|6RMIN|7ERES|9ASPD|aBASARM
142	21516 25321	   	187.55	ACR|1BASARM|2BEXP|1ASPD|1SELL	1SELL|2LHND|3RCR|48BEXP|5CGEN|6RMIN|7TLV|9ASPD|aBASARM
143	21513 26117	   	187.45	ACR|1BASARM|2BEXP|1ASPD|1SELL	1SELL|2LHND|3RCR|45BEXP|6DUST|7BASARM|8BELT|9MBVNT|aASPD
