0	Index      	 *	Score 	Summary	Detail	
1	14432 25231	 * 	245.13	ACR|3DMG|1BASARM|1VULN|1ASPD|1BEXP	157DMG|28LIT|3RCR|4ASPD|6VULN|9BEXP|aBASARM
18	14432 11632	   	218.94	ACR|3DMG|1VULN|1ASPD|1AART|1BEXP	158DMG|2LIT|3RCR|4ASPD|6AART|7VULN|9RCVC|aBEXP
19	14432 35112	   	217.33	ACR|1BASARM|2DMG|1ASPD|1VULN	15DMG|2LIT|3RCR|4ASPD|6RCVC|7BASARM|8MLV|9LWND|aVULN
20	14432 35122	   	217.33	ACR|1BASARM|2DMG|1ASPD|1VULN	15DMG|2LIT|3RCR|4ASPD|6RCVC|7BASARM|8MLV|9DUR|aVULN
21	14432 11241	   	217.31	ACR|2VULN|2DMG|1ASPD|1AART|1CDMG	15DMG|2aLIT|3RCR|4ASPD|6AART|78VULN|9CDMG
22	14432 11242	   	217.31	ACR|2VULN|2DMG|1ASPD|1AART|1CDMG	15DMG|2LIT|3RCR|4ASPD|6AART|78VULN|9CDMG|aDMSP
23	14432 11622	   	217.24	ACR|3DMG|1VULN|1ASPD|1AART|1BEXP	158DMG|2LIT|3RCR|4ASPD|6AART|7VULN|9AME|aBEXP
24	14432 35212	   	217.23	ACR|1BASARM|2DMG|1ASPD|1VULN	15DMG|2LIT|3RCR|4ASPD|6RCVC|7BASARM|8AME|9LWND|aVULN
25	14432 35222	   	217.23	ACR|1BASARM|2DMG|1ASPD|1VULN	15DMG|2LIT|3RCR|4ASPD|6RCVC|7BASARM|8AME|9DUR|aVULN
26	14432 35332	   	217.23	ACR|1BASARM|2DMG|1ASPD|1VULN	15DMG|2LIT|3RCR|4ASPD|6RCVC|7BASARM|8LWND|9TLV|aVULN
27	14435 11113	   	216.13	ACR|2ASPD|2AART|1VULN|1DMG|1BEXP	1DMG|25LIT|3RCR|45ASPD|5BPWR|6aAART|7VULN|8ERES|9BEXP
28	14435 11313	   	216.13	ACR|2ASPD|2AART|1VULN|1DMG|1BEXP	1DMG|25LIT|3RCR|45ASPD|5BPWR|6aAART|7VULN|8TLV|9BEXP
29	14432 11113	   	216.03	ACR|2DMG|2AART|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6aAART|7VULN|8ERES|9BEXP
30	14432 11313	   	216.03	ACR|2DMG|2AART|1VULN|1ASPD|1BEXP	15DMG|2LIT|3RCR|4ASPD|6aAART|7VULN|8TLV|9BEXP
31	14435 11212	   	215.31	ACR|2VULN|2ASPD|1DMG|1AART|1BEXP	1DMG|25LIT|3RCR|45ASPD|5BPWR|6AART|78VULN|9MDPS|aBEXP
32	14432 11212	   	215.21	ACR|2VULN|2DMG|1ASPD|1AART|1BEXP	15DMG|2LIT|3RCR|4ASPD|6AART|78VULN|9MDPS|aBEXP
