0	Index      	 *	Score 	Summary	Detail	
1	34345 31231	 * 	260.17	ACR|2VULN|1BASARM|2ASPD|2BEXP|1AART	1RCR|27ASPD|38VULN|4AART|57DUR|67BEXP|7BPWR|9MLV|aBASARM
26	33643 31231	 * 	233.95	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1RCR|2LHND|3DMG|4AART|5ASPD|68VULN|7RMIN|9MLV|aBASARM
27	36143 43231	   	233.95	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1RCR|2ZMB|3LHND|4AART|5ASPD|6DMG|78VULN|9MLV|aBASARM
28	36343 41231	   	233.85	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1RCR|2ZMB|38VULN|4AART|5ASPD|6DMG|7DUST|9MLV|aBASARM
29	33143 43231	   	233.85	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1RCR|2LHND|3NUKE|4AART|5ASPD|6DMG|78VULN|9MLV|aBASARM
30	33143 43261	   	233.75	ACR|2VULN|1BASARM|1ASPD|1DMG|1AART	1RCR|2LHND|3NUKE|4AART|5ASPD|6DMG|78VULN|9TLV|aBASARM
31	32343 63342	   	233.02	ACR|3VULN|2ASPD|1DMG|1AART|1BEXP	1RCR|2ERES|37aVULN|4AART|56ASPD|8DMG|9BEXP
32	36343 43131	   	232.92	ACR|1BASARM|1VULN|1ASPD|1DMG|1BEXP|1AART	1RCR|2ZMB|3VULN|4AART|5ASPD|6DMG|7AEFBLL|8MLV|9BEXP|aBASARM
33	35322 53632	 * 	232.64	ACR|2BASARM|2BEXP|1ASPD|1DMG	1RCR|27BEXP|3LWND|47LHND|5NUKE|67BASARM|7BPWR|8ASPD|9FEWX|aDMG
34	35213 42433	 * 	231.91	ACR|3DMG|3BEXP|2ASPD	1RCR|289BEXP|3DMSP|4aASPD|58aDMG|68aCGEN|7NUKE|8aBPWR
35	34416 23133	 * 	231.81	ACR|3ASPD|3BEXP|2DMG	1RCR|26aASPD|379BEXP|4aCGEN|5RMIN|8aDMG|aBPWR
36	34345 11231	   	231.68	ACR|2VULN|1BASARM|2ASPD|1AART	1RCR|27ASPD|38VULN|4AART|57DUR|67FEWX|7BPWR|9MLV|aBASARM
37	34151 53331	 * 	231.58	ACR|2BASARM|2ASPD|1VULN|1AART	1RCR|27ASPD|37LHND|4LWND|5DUST|67BASARM|7BPWR|8AART|9LIT|aVULN
38	33651 53331	 * 	231.58	ACR|2BASARM|2DMG|1VULN|1AART	1RCR|27LHND|37DMG|4LWND|5DUST|67BASARM|7BPWR|8AART|9LIT|aVULN
39	34143 13231	   	231.48	ACR|2VULN|1BASARM|2ASPD|1AART	1RCR|25ASPD|3LHND|4AART|6FEWX|78VULN|9MLV|aBASARM
40	32343 63121	   	231.38	ACR|2VULN|1BASARM|2ASPD|1AART	1RCR|2ERES|37VULN|4AART|56ASPD|8FEWX|9LHND|aBASARM
41	32343 63531	   	231.38	ACR|2VULN|1BASARM|2ASPD|1AART	1RCR|2ERES|37VULN|4AART|56ASPD|8LWND|9FEWX|aBASARM
42	34342 63121	   	231.38	ACR|2VULN|1BASARM|2ASPD|1AART	1RCR|26ASPD|37VULN|4AART|5AME|8FEWX|9LHND|aBASARM
43	34343 11261	   	231.38	ACR|2VULN|1BASARM|2ASPD|1AART	1RCR|25ASPD|38VULN|4AART|6FEWX|7DUST|9MLV|aBASARM
44	32343 23651	   	231.28	ACR|2VULN|1BASARM|2ASPD|1AART	1RCR|2ERES|37VULN|4AART|59ASPD|6DMSP|8MDPS|aBASARM
45	32343 21131	   	230.44	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|2ERES|3VULN|4AART|57ASPD|6DMSP|8FEWX|9BEXP|aBASARM
46	32443 63231	   	230.44	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|2ERES|3BEXP|4AART|56ASPD|7VULN|89LWND|aBASARM
47	34342 21131	   	230.44	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|27ASPD|3VULN|4AART|5AME|6DMSP|8FEWX|9BEXP|aBASARM
48	34343 13131	   	230.44	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|25ASPD|3VULN|4AART|6FEWX|7AEFBLL|8MLV|9BEXP|aBASARM
49	34343 33131	   	230.44	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|25ASPD|3VULN|4AART|6DUR|7AEFBLL|8MLV|9BEXP|aBASARM
50	34343 63121	   	230.44	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1RCR|25ASPD|3VULN|4AART|6BEXP|7AEFBLL|8MLV|9LHND|aBASARM
51	34343 63231	   	230.44	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1RCR|25ASPD|3VULN|4AART|6BEXP|7AEFBLL|8LHND|9MLV|aBASARM
52	32143 23451	   	230.44	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|2ERES|3LHND|4AART|59ASPD|6DMSP|7VULN|8BEXP|aBASARM
53	33212 53451	   	230.44	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|2LHND|3DMSP|49ASPD|5ERES|6AART|7VULN|8BEXP|aBASARM
54	32343 66331	   	230.34	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|28ERES|3VULN|4AART|56ASPD|7FEWX|9BEXP|aBASARM
55	32443 33251	   	230.34	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|2ERES|3BEXP|4AART|59ASPD|6VULN|7LWND|8AEFBLL|aBASARM
56	32443 63321	   	230.34	ACR|1BASARM|2ASPD|1VULN|1AART|1BEXP	1RCR|28ERES|3BEXP|4AART|56ASPD|7VULN|9LHND|aBASARM
57	34334 51131	   	230.34	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1RCR|27ASPD|3VULN|4ERES|5AEFBLL|6AART|8FEWX|9BEXP|aBASARM
58	32343 14251	   	230.24	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1RCR|2ERES|3VULN|4AART|59ASPD|6DUST|7BEXP|8AEFBLL|aBASARM
59	32343 34251	   	230.24	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1RCR|2ERES|3VULN|4AART|59ASPD|6LEGI|7BEXP|8AEFBLL|aBASARM
60	32643 63331	   	230.24	ACR|1BASARM|2ASPD|1VULN|1BEXP|1AART	1RCR|28ERES|3DUST|4AART|56ASPD|7VULN|9BEXP|aBASARM
