0	Index      	 *	Score 	Summary	Detail	
1	54113 21352	 * 	203.59	DCR|2VULN|1BASARM|2ASPD|1AART|1BEXP	18ASPD|26VULN|3LIT|4AART|5BASARM|7DUST|9BEXP|aRCR
24	54113 62323	   	186.38	3ASPD|2VULN|1BASARM|2BEXP|1AART	178ASPD|27VULN|3LIT|4AART|5BASARM|67BEXP|7BPWR|9LHND|aAEMAG
25	54113 62332	   	186.38	3ASPD|2VULN|1BASARM|2BEXP|1AART	178ASPD|27VULN|3LIT|4AART|5BASARM|67BEXP|7BPWR|9FEWX|aERES
26	51242 23326	 * 	186.32	DCR|3VULN|2ASPD|1DMG|1AART|1BEXP	15ASPD|2BEXP|389VULN|4DUR|6AART|7DMG|aRCR
27	54113 22352	   	186.21	DCR|2VULN|1BASARM|1AART|1ASPD|1BEXP	1ASPD|26VULN|3LIT|4AART|5BASARM|7RCVC|8DUST|9BEXP|aRCR
28	36314 13124	 * 	185.78	ACR|1BASARM|1ASPD|1DMG|1AART|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8AART|9RMIN|aDMG
29	54113 62212	 * 	185.43	DCR|2VULN|1BASARM|2ASPD|2BEXP|1AART|1AAC|1MSE	17ASPD|27VULN|3LIT|4AART|5BASARM|67BEXP|7BPWR|8MSE|9AAC|aRCR
30	33525 23511	 * 	185.14	ACR|3DMG|2BEXP|1AART	1LEGI|2AART|348ERES|48BPWR|5RCR|68BEXP|789DMG|aDUR
31	33525 23512	   	185.14	ACR|3DMG|2BEXP|1AART	1LEGI|2AART|348ERES|48BPWR|5RCR|68BEXP|789DMG|aFEWX
32	33535 23511	   	185.14	ACR|3DMG|2BEXP|1AART	1LEGI|2AART|348ERES|5RCR|68BEXP|789DMG|8BPWR|aDUR
33	33535 23512	   	185.14	ACR|3DMG|2BEXP|1AART	1LEGI|2AART|348ERES|5RCR|68BEXP|789DMG|8BPWR|aFEWX
34	33525 23513	   	185.04	ACR|3DMG|2BEXP|1AART	1LEGI|2AART|348ERES|48BPWR|5RCR|68BEXP|789DMG|aMDPS
35	33535 23513	   	185.04	ACR|3DMG|2BEXP|1AART	1LEGI|2AART|348ERES|5RCR|68BEXP|789DMG|8BPWR|aMDPS
36	33625 23316	 * 	185.03	ACR|2AART|1VULN|1DMG|1BEXP|1CDMG	1LEGI|2aAART|34MLV|4BPWR|5RCR|6BEXP|7DMG|8VULN|9CDMG
37	33525 23316	   	184.83	ACR|2AART|1VULN|1DMG|1BEXP|1CDMG	1LEGI|2aAART|34ERES|4BPWR|5RCR|6BEXP|7DMG|8VULN|9CDMG
38	33535 23316	   	184.83	ACR|2AART|1VULN|1DMG|1BEXP|1CDMG	1LEGI|2aAART|34ERES|5RCR|6BEXP|7DMG|8VULN|9CDMG
39	46243 33432	 * 	184.66	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP|1AAC|1MSE	1MSE|2BEXP|3VULN|4MBVNT|5RCR|6AART|78DMG|9AAC|aBASARM
40	33625 23353	 * 	184.42	ACR|2BEXP|1VULN|1AART|1DMG|1CDMG	1LEGI|2AART|34MLV|4BPWR|5RCR|69BEXP|7DMG|8VULN|aCDMG
41	33625 23326	   	184.30	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP|1AAC	1LEGI|2AART|34MLV|4BPWR|5RCR|6BEXP|7DMG|8VULN|9ASPD|aAAC
42	33525 23326	   	184.10	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP|1AAC	1LEGI|2AART|34ERES|4BPWR|5RCR|6BEXP|7DMG|8VULN|9ASPD|aAAC
43	33535 23326	   	184.10	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP|1AAC	1LEGI|2AART|34ERES|5RCR|6BEXP|7DMG|8VULN|9ASPD|aAAC
44	54231 21532	 * 	184.07	3VULN|3BEXP|2ASPD|2AART|1DMG	1aASPD|23aVULN|4DMG|5ERES|68AART|79aBEXP|aBPWR
45	54113 23222	   	184.00	DCR|2VULN|1BASARM|1AART|1ASPD|1BEXP	1ASPD|26VULN|3LIT|4AART|5BASARM|7RMIN|8ERES|9BEXP|aRCR
46	54113 11512	   	184.00	DCR|1BASARM|2VULN|1AART|1ASPD|1BEXP	1ASPD|29VULN|3LIT|4AART|5BASARM|6VENFST|7CGEN|8BEXP|aRCR
47	33251 36431	 * 	183.49	ACR|3AART|1VULN|1DMG|1AAC	1LEGI|279AART|3DUR|4RPLT|5RCR|6AAC|8VULN|aDMG
48	13226 22442	 * 	183.32	ACR|1BASARM|2ASPD|1VULN|1SELL	1LHND|2ERES|3VULN|4SELL|5RCR|6DMSP|7MSLTOX|8BASARM|9aASPD
49	31226 22442	 * 	183.32	ACR|1BASARM|2ASPD|1VULN|1SELL	1LEGI|2MLV|3VULN|4SELL|5RCR|6DMSP|7MSLTOX|8BASARM|9aASPD
50	54231 21522	 * 	183.12	4VULN|2ASPD|2AART|2BEXP|1DMG	1aASPD|239aVULN|4DMG|5ERES|68AART|7aBEXP|aBPWR
51	33625 22433	 * 	182.31	ACR|1BASARM|1VULN|1AART|1BEXP	1LEGI|2AART|349MLV|4BPWR|5RCR|6BEXP|7RPLT|8VULN|aBASARM
52	33625 26221	 * 	181.81	ACR|2AART|2BEXP|1VULN|1CDMG	1LEGI|27AART|34MLV|4BPWR|5RCR|68BEXP|9VULN|aCDMG
53	33525 26221	   	181.61	ACR|2AART|2BEXP|1VULN|1CDMG	1LEGI|27AART|34ERES|4BPWR|5RCR|68BEXP|9VULN|aCDMG
54	33535 26221	   	181.61	ACR|2AART|2BEXP|1VULN|1CDMG	1LEGI|27AART|34ERES|5RCR|68BEXP|9VULN|aCDMG
55	51262 27342	 * 	181.47	3ASPD|1BASARM|2AART|1VULN|1BEXP|1AAC	158ASPD|2BEXP|3VULN|4MBVNT|67AART|9AAC|aBASARM
56	33625 21253	 * 	180.86	ACR|3BEXP|2ASPD|1AART	1LEGI|2AART|34MLV|4BPWR|5RCR|678BEXP|9aASPD
57	33625 21521	   	180.81	ACR|2AART|2BEXP|1VULN|1CDMG	1LEGI|28AART|34MLV|4BPWR|5RCR|67BEXP|9VULN|aCDMG
58	33525 21253	   	180.66	ACR|3BEXP|2ASPD|1AART	1LEGI|2AART|34ERES|4BPWR|5RCR|678BEXP|9aASPD
59	33535 21253	   	180.66	ACR|3BEXP|2ASPD|1AART	1LEGI|2AART|34ERES|5RCR|678BEXP|9aASPD
60	33525 21521	   	180.61	ACR|2AART|2BEXP|1VULN|1CDMG	1LEGI|28AART|34ERES|4BPWR|5RCR|67BEXP|9VULN|aCDMG
61	33535 21521	   	180.61	ACR|2AART|2BEXP|1VULN|1CDMG	1LEGI|28AART|34ERES|5RCR|67BEXP|9VULN|aCDMG
62	51241 23326	 * 	180.57	DCR|3VULN|2BEXP|1ASPD|1DMG|1AART	1ASPD|25BEXP|389VULN|4DUR|6AART|7DMG|aRCR
63	36314 13512	 * 	180.30	ACR|1BASARM|2ASPD|1BEXP|1SELL	1LEGI|2SELL|38LWND|4LHND|5RCR|69ASPD|7BASARM|aBEXP
64	33151 61236	 * 	180.19	ACR|1BASARM|2VULN|1AART	1LEGI|2AART|37LWND|4RPLT|5RCR|6TLV|8BASARM|9aVULN
65	36314 13411	 * 	179.48	ACR|1BASARM|1ASPD|1VULN|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8CDMG|9VULN|aCGEN
66	36314 13412	 * 	179.38	ACR|1BASARM|1ASPD|1VULN|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8CDMG|9VULN|aMSLTOX
67	36314 13413	 * 	179.38	ACR|1BASARM|1ASPD|1VULN|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8CDMG|9VULN|aAME
68	36314 13122	 * 	179.36	ACR|1BASARM|1ASPD|1AART|1BEXP|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8AART|9RMIN|aBEXP
69	36314 13131	 * 	179.36	ACR|1BASARM|1ASPD|1AART|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8AART|9CDMG|aVENTOX
70	36314 13132	 * 	179.36	ACR|1BASARM|1ASPD|1AART|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8AART|9CDMG|aFEWX
71	36314 13133	 * 	179.36	ACR|1BASARM|1ASPD|1AART|1CDMG|1SELL	1LEGI|2SELL|3aLWND|4LHND|5RCR|6ASPD|7BASARM|8AART|9CDMG
72	36314 13134	 * 	179.36	ACR|1BASARM|1ASPD|1AART|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8AART|9CDMG|aDUR
73	36314 13135	 * 	179.36	ACR|1BASARM|1ASPD|1AART|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8AART|9CDMG|aRPLT
74	36314 13142	 * 	179.36	ACR|1BASARM|1ASPD|1AART|1BEXP|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8AART|9CGEN|aBEXP
75	36314 13136	 * 	179.26	ACR|1BASARM|1ASPD|1AART|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8AART|9CDMG|aFLTARM
76	36314 13162	 * 	179.26	ACR|1BASARM|1ASPD|1AART|1BEXP|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8AART|9ERES|aBEXP
77	33625 23621	   	179.18	ACR|1AART|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1LEGI|2AART|34MLV|4BPWR|5RCR|6BEXP|7DMG|8ASPD|9CDMG|aAAC
78	36314 13126	 * 	179.17	ACR|1BASARM|2AART|1ASPD|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8aAART|9RMIN
79	33525 23533	   	179.10	ACR|2DMG|2BEXP|1AART|1AAC	1LEGI|2AART|348ERES|48BPWR|5RCR|68BEXP|78DMG|9AAC|aRCVC
80	33535 23533	   	179.10	ACR|2DMG|2BEXP|1AART|1AAC	1LEGI|2AART|348ERES|5RCR|68BEXP|78DMG|8BPWR|9AAC|aRCVC
81	33645 23322	   	179.10	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|3MLV|4RCVC|5RCR|6BEXP|7DMG|8VULN|9ASPD|aFEWX
82	33545 23322	   	179.00	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|3ERES|4RCVC|5RCR|6BEXP|7DMG|8VULN|9ASPD|aFEWX
83	33645 23321	   	179.00	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|3MLV|4RCVC|5RCR|6BEXP|7DMG|8VULN|9ASPD|aMSLREG
84	33525 23621	   	178.98	ACR|1AART|1ASPD|1DMG|1BEXP|1CDMG|1AAC	1LEGI|2AART|34ERES|4BPWR|5RCR|6BEXP|7DMG|8ASPD|9CDMG|aAAC
85	33535 23621	   	178.98	ACR|1AART|1ASPD|1DMG|1CDMG|1BEXP|1AAC	1LEGI|2AART|34ERES|5RCR|6BEXP|7DMG|8ASPD|9CDMG|aAAC
86	54212 21533	 * 	178.96	DCR|3VULN|2AART|2BEXP|1ASPD	1ASPD|235VULN|4LWND|68AART|79BEXP|aRCR
87	33545 23321	   	178.90	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|3ERES|4RCVC|5RCR|6BEXP|7DMG|8VULN|9ASPD|aMSLREG
88	54113 24112	   	178.76	DCR|2VULN|1BASARM|1AART|1ASPD|1AAC	1ASPD|26VULN|3LIT|4AART|5BASARM|7LWND|8FEWX|9AAC|aRCR
89	46243 33332	 * 	178.71	ACR|2VULN|1BASARM|1DMG|1AART|1BEXP|1AAC|1MSE	1MSE|2BEXP|38VULN|4MBVNT|5RCR|6AART|7DMG|9AAC|aBASARM
90	54113 21412	   	178.66	DCR|2VULN|1BASARM|1AART|1ASPD|1AAC	1ASPD|26VULN|3LIT|4AART|5BASARM|7DUST|8LWND|9AAC|aRCR
91	21226 41142	 * 	178.48	ACR|1BASARM|1VULN|1ASPD|1BEXP|1SELL	1MLV|2BEXP|3VULN|4SELL|5RCR|6LIT|7ASPD|8CGEN|9ERES|aBASARM
92	36314 13216	 * 	178.48	ACR|1BASARM|1ASPD|1VULN|1BEXP|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8FEWX|9VULN|aBEXP
93	21226 62412	 * 	178.38	ACR|1BASARM|1VULN|1ASPD|1BEXP|1SELL	1MLV|2BEXP|3VULN|4SELL|5RCR|6AEFBLL|7MSLTOX|8BASARM|9CGEN|aASPD
94	21226 62413	 * 	178.38	ACR|1BASARM|1VULN|1DMG|1BEXP|1SELL	1MLV|2BEXP|3VULN|4SELL|5RCR|6AEFBLL|7MSLTOX|8BASARM|9CGEN|aDMG
95	36314 13331	 * 	178.38	ACR|1BASARM|1ASPD|1VULN|1BEXP|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8TLV|9VULN|aBEXP
96	33251 35623	   	177.89	ACR|1AART|1DMG|1VULN|1CDMG|1BEXP|1AAC	1LEGI|2AART|3DUR|4RPLT|5RCR|6AAC|7CDMG|8DMG|9BEXP|aVULN
97	33251 45323	   	177.89	ACR|1AART|1ASPD|1VULN|1CDMG|1BEXP|1AAC	1LEGI|2AART|3DUR|4RPLT|5RCR|6ASPD|7CDMG|8AAC|9BEXP|aVULN
98	33625 23315	   	177.89	ACR|1VULN|1AART|1DMG|1BEXP|1CDMG|1AAC	1LEGI|2AART|34MLV|4BPWR|5RCR|6BEXP|7DMG|8VULN|9CDMG|aAAC
99	33151 35313	 * 	177.87	ACR|2VULN|1AART|1ASPD|1CDMG|1AAC	1LEGI|2AART|3LWND|4RPLT|5RCR|6AAC|7aVULN|8ASPD|9CDMG
100	33251 35163	 * 	177.87	ACR|2VULN|1AART|1DMG|1CDMG|1AAC	1LEGI|2AART|3DUR|4RPLT|5RCR|6AAC|7CDMG|8aVULN|9DMG
101	51262 21342	   	177.86	3ASPD|1BASARM|1VULN|2BEXP|1AART|1AAC	158ASPD|27BEXP|3VULN|4MBVNT|6AART|9AAC|aBASARM
102	51652 21332	   	177.86	3ASPD|1BASARM|1VULN|2BEXP|1AART|1AAC	158ASPD|27BEXP|3DUST|4VULN|6AART|9AAC|aBASARM
103	56352 21332	   	177.86	3ASPD|1BASARM|1VULN|2BEXP|1AART|1AAC	158ASPD|2DUST|37BEXP|4VULN|6AART|9AAC|aBASARM
104	33525 23531	   	177.80	ACR|2DMG|2BEXP|1AART|1AAC	1LEGI|2AART|348ERES|48BPWR|5RCR|68BEXP|78DMG|9AAC|aDUR
105	33535 23531	   	177.80	ACR|2DMG|2BEXP|1AART|1AAC	1LEGI|2AART|348ERES|5RCR|68BEXP|78DMG|8BPWR|9AAC|aDUR
106	33525 23315	   	177.69	ACR|1VULN|1AART|1DMG|1BEXP|1CDMG|1AAC	1LEGI|2AART|34ERES|4BPWR|5RCR|6BEXP|7DMG|8VULN|9CDMG|aAAC
107	33535 23315	   	177.69	ACR|1VULN|1AART|1DMG|1BEXP|1CDMG|1AAC	1LEGI|2AART|34ERES|5RCR|6BEXP|7DMG|8VULN|9CDMG|aAAC
108	36314 13351	 * 	177.45	ACR|1BASARM|2BEXP|1ASPD|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8TLV|9aBEXP
109	51262 23421	 * 	177.24	DCR|3ASPD|1VULN|1DMG|1AART|1BEXP	158ASPD|2BEXP|3VULN|4MBVNT|6AART|7DMG|9RPLT|aRCR
110	33151 45311	   	176.99	ACR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LEGI|2AART|3LWND|4RPLT|5RCR|6ASPD|7VULN|8DMG|9CDMG|aLHND
111	33151 45312	   	176.99	ACR|1VULN|1AART|1ASPD|1DMG|1CDMG	1LEGI|2AART|3LWND|4RPLT|5RCR|6ASPD|7VULN|8DMG|9CDMG|aZMB
112	33151 33245	   	176.87	ACR|1BASARM|1AART|1VULN|1AAC	1LEGI|2AART|3LWND|4RPLT|5RCR|6AAC|7MBVNT|8DUR|9BASARM|aVULN
113	33151 33345	   	176.87	ACR|1BASARM|1AART|1VULN|1AAC	1LEGI|2AART|3LWND|4RPLT|5RCR|6AAC|7MBVNT|8FEWX|9BASARM|aVULN
114	33151 33545	   	176.87	ACR|1BASARM|1AART|1VULN|1AAC	1LEGI|2AART|3LWND|4RPLT|5RCR|6AAC|7MBVNT|8LHND|9BASARM|aVULN
115	66311 21133	 * 	176.82	DCR|1BASARM|3BEXP|1VULN|1CDMG|1AAC	1LWND|246BEXP|3FEWX|5CDMG|7BASARM|8AAC|9VULN|aRCR
116	33645 33232	   	176.80	ACR|2DMG|2VULN|1AART	1LEGI|2AART|36aMLV|4RCVC|5RCR|7aDMG|8aVULN|9DMSP|aBPWR
117	33151 33845	   	176.77	ACR|1BASARM|1AART|1VULN|1AAC	1LEGI|2AART|3LWND|4RPLT|5RCR|6AAC|7MBVNT|8DUST|9BASARM|aVULN
118	33151 14251	 * 	176.72	ACR|3ASPD|1AART|1VULN	1LEGI|2AART|39LWND|4RPLT|5RCR|69LIT|789ASPD|9BPWR|aVULN
119	33251 14251	   	176.72	ACR|3ASPD|1AART|1VULN	1LEGI|2AART|39DUR|4RPLT|5RCR|69LIT|789ASPD|9BPWR|aVULN
120	21115 35361	 * 	176.70	DCR|2VULN|2AART|2ASPD|1BEXP	1MLV|2BEXP|3LIT|46AART|58VULN|79ASPD|aRCR
121	33645 23222	   	176.62	ACR|2DMG|1AART|1VULN|1BEXP	1LEGI|2AART|3MLV|4RCVC|5RCR|6BEXP|7aDMG|8DMSP|9VULN
122	33545 23222	   	176.52	ACR|2DMG|1AART|1VULN|1BEXP	1LEGI|2AART|3ERES|4RCVC|5RCR|6BEXP|7aDMG|8DMSP|9VULN
123	33625 21261	 * 	176.42	ACR|3BEXP|2AART|1VULN	1LEGI|29AART|34MLV|4BPWR|5RCR|678BEXP|aVULN
124	33545 23332	   	176.42	ACR|2DMG|1VULN|1AART|1BEXP	1LEGI|2AART|39ERES|4RCVC|5RCR|6BEXP|7aDMG|8VULN
125	36314 13421	 * 	176.36	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8CDMG|9BEXP|aCGEN
126	46243 33442	 * 	176.36	ACR|1BASARM|2DMG|1VULN|1AART|1BEXP|1MSE	1MSE|2BEXP|3VULN|4MBVNT|5RCR|6AART|78DMG|9LIT|aBASARM
127	54113 11222	   	176.31	DCR|1BASARM|2ASPD|1VULN|1AART	18ASPD|2VULN|3LIT|4AART|5BASARM|6VENFST|7CGEN|9LHND|aRCR
128	54113 11232	   	176.31	DCR|1BASARM|2ASPD|1VULN|1AART	18ASPD|2VULN|3LIT|4AART|5BASARM|6VENFST|7CGEN|9LWND|aRCR
129	54113 31342	   	176.31	DCR|1BASARM|2ASPD|1VULN|1AART	18ASPD|2VULN|36LIT|4AART|5BASARM|7DUST|9FEWX|aRCR
130	54113 53122	   	176.31	DCR|1BASARM|2ASPD|1VULN|1AART	16ASPD|2VULN|3LIT|4AART|5BASARM|7RMIN|8LHND|9AME|aRCR
131	54113 53322	   	176.31	DCR|1BASARM|2ASPD|1VULN|1AART	16ASPD|2VULN|3LIT|4AART|5BASARM|7RMIN|8LWND|9AME|aRCR
132	36314 13422	 * 	176.26	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8CDMG|9BEXP|aSPLREG
133	36314 13423	 * 	176.26	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1SELL	1LEGI|2SELL|3LWND|4LHND|5RCR|6ASPD|7BASARM|8CDMG|9BEXP|aTLV
134	36131 23155	 * 	176.26	ACR|1BASARM|1DMG|1BEXP|1CDMG|1SELL	1LEGI|2SELL|3DMSP|4ERES|5RCR|6BEXP|7ZMB|8DMG|9CDMG|aBASARM
135	33525 21261	   	176.22	ACR|3BEXP|2AART|1VULN	1LEGI|29AART|34ERES|4BPWR|5RCR|678BEXP|aVULN
136	33535 21261	   	176.22	ACR|3BEXP|2AART|1VULN	1LEGI|29AART|34ERES|5RCR|678BEXP|aVULN
137	54113 13362	   	176.21	DCR|1BASARM|2ASPD|1VULN|1AART	19ASPD|2VULN|39LIT|4AART|5BASARM|6VENFST|7LEGI|89AME|9BPWR|aRCR
138	54113 15222	   	176.21	DCR|1BASARM|2ASPD|1VULN|1AART	18ASPD|2VULN|3LIT|4AART|5BASARM|6VENFST|7TLV|9LHND|aRCR
139	54113 15232	   	176.21	DCR|1BASARM|2ASPD|1VULN|1AART	18ASPD|2VULN|3LIT|4AART|5BASARM|6VENFST|7TLV|9LWND|aRCR
140	54113 53232	   	176.21	DCR|1BASARM|2ASPD|1VULN|1AART	16ASPD|2VULN|3LIT|4AART|5BASARM|7RMIN|8ERES|9LEGI|aRCR
141	33625 23322	   	175.99	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34MLV|4BPWR|5RCR|6BEXP|7DMG|8VULN|9ASPD|aFEWX
142	33625 23324	   	175.99	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34MLV|4BPWR|5RCR|6BEXP|7DMG|8VULN|9ASPD|aDUR
143	21115 35511	 * 	175.91	DCR|2AART|2ASPD|1VULN|2BEXP	1MLV|29BEXP|3LIT|46AART|5VULN|78ASPD|aRCR
144	33625 23321	   	175.89	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34MLV|4BPWR|5RCR|6BEXP|7DMG|8VULN|9ASPD|aMSLREG
145	33625 23325	   	175.89	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34MLV|4BPWR|5RCR|6BEXP|7DMG|8VULN|9ASPD|aMBVNT
146	33525 23322	   	175.79	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34ERES|4BPWR|5RCR|6BEXP|7DMG|8VULN|9ASPD|aFEWX
147	33525 23324	   	175.79	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34ERES|4BPWR|5RCR|6BEXP|7DMG|8VULN|9ASPD|aDUR
148	33535 23322	   	175.79	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34ERES|5RCR|6BEXP|7DMG|8VULN|9ASPD|aFEWX
149	33535 23324	   	175.79	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34ERES|5RCR|6BEXP|7DMG|8VULN|9ASPD|aDUR
150	33525 23321	   	175.69	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34ERES|4BPWR|5RCR|6BEXP|7DMG|8VULN|9ASPD|aMSLREG
151	33525 23325	   	175.69	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34ERES|4BPWR|5RCR|6BEXP|7DMG|8VULN|9ASPD|aMBVNT
152	33535 23321	   	175.69	ACR|1VULN|1AART|1ASPD|1DMG|1BEXP	1LEGI|2AART|34ERES|5RCR|6BEXP|7DMG|8VULN|9ASPD|aMSLREG
