0	Index      	 *	Score 	Summary	Detail	
1	32224 53511	 * 	210.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1RMIN	1RMIN|2AART|3LIT|4AME|5CDMG|6RCR|7aVULN|8ASPD|9DMG
15	15213 65123	   	201.76	DCR|2AART|2DMG|2ASPD|1ZMB	1FEWX|2ZMB|3LHND|45AART|6RCR|79ASPD|8aDMG
16	56212 22235	 * 	201.29	DCR|2VULN|2DMG|1AART|1ASPD	17ERES|27DMG|35LWND|4LIT|67VULN|7BPWR|8RCR|9AART|aASPD
17	12114 22254	 * 	201.29	DCR|3VULN|3ASPD|1CDMG	179FEWX|279ASPD|35ERES|4LIT|679VULN|79BPWR|8RCR|aCDMG
18	31213 61145	   	200.57	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7ZMB|8DMG|9VULN|aASPD
19	32413 63611	   	200.18	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5VULN|68DMG|7RCR|9BEXP|aASPD
20	32413 63631	   	200.18	DCR|2DMG|1AART|1VULN|1ASPD|1ZMB|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5VULN|68DMG|7RCR|9LHND|aASPD
21	32413 63231	   	200.08	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5VULN|69DMG|7RCR|8DUST|aASPD
22	12213 62242	 * 	199.96	DCR|2VULN|2AART|1ASPD|1CDMG	1FEWX|2ASPD|38LHND|45AART|6RCR|79VULN|aCDMG
23	12213 62642	   	199.96	DCR|2VULN|2AART|1ASPD|1CDMG	18FEWX|2ASPD|3LHND|45AART|6RCR|79VULN|aCDMG
24	12211 62142	   	199.96	DCR|2VULN|2AART|1ASPD|1CDMG	1FEWX|2ASPD|35LHND|48AART|6RCR|79VULN|aCDMG
25	32413 63122	 * 	199.41	DCR|2AART|2DMG|1VULN|2ZMB|1RMIN	1RMIN|29AART|3aZMB|4RPLT|5VULN|6aDMG|7RCR|8aTLV|aBPWR
26	54323 22121	 * 	199.22	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1ERES|249VULN|3DUR|5DUST|6RCR|7ASPD|8DMG|aMDPS
27	54326 22121	   	199.22	DCR|3VULN|1MDPS|1ASPD|1DMG|1DUR	1ERES|249VULN|3DUR|5LEGI|6RCR|7ASPD|8DMG|aMDPS
28	32413 63351	   	199.16	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5aVULN|6DMG|7RCR|8LHND|9CDMG
29	32413 63251	   	199.06	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5aVULN|6DMG|7RCR|8DUST|9CDMG
30	12213 61144	 * 	198.99	DCR|3AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2ASPD|3LHND|45aAART|6RCR|7ZMB|8DMG|9VULN
31	12213 62145	   	198.99	DCR|3AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2ASPD|3LHND|458AART|6RCR|7VULN|9DMG|aZMB
32	31213 65431	   	198.86	DCR|2VULN|2AART|1ASPD|1DUR|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7ASPD|8DUR|9aVULN
33	62532 26231	 * 	198.51	DCR|2VULN|2DMG|1MDPS|2CDMG|1ZMB|1DUR|1SELL	1MDPS|27CDMG|37DMG|4RCVC|57VULN|6SELL|7BPWR|8ZMB|9DUR|aRCR
34	31213 65123	   	198.26	DCR|2AART|2DMG|2ASPD|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|79ASPD|8aDMG
35	12213 63145	   	197.61	DCR|2AART|2ASPD|1VULN|1DMG	1FEWX|2aASPD|3LHND|45AART|6RCR|7CGEN|8DMG|9VULN
36	32116 22411	   	196.86	DCR|2VULN|2AART|1ASPD|1DUR|1RMIN	1RMIN|2aAART|3MSLREG|4LWND|5DUR|6ASPD|7RCR|89VULN
37	31216 33452	 * 	196.71	DCR|1AART|1VULN|1ASPD|1NUKE|1CDMG|1DUR|1RMIN	1RMIN|2DUST|3LHND|4AART|5VULN|6DUR|7RCR|8ASPD|9CDMG|aNUKE
38	31316 33452	   	196.71	DCR|1VULN|1AART|1ASPD|1NUKE|1CDMG|1DUR|1RMIN	1RMIN|2DUST|3LWND|4AART|5VULN|6DUR|7RCR|8ASPD|9CDMG|aNUKE
39	54326 22333	   	195.81	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ERES|24VULN|3DUR|5LEGI|6RCR|7ASPD|8LWND|9AART|aDMG
40	33246 62122	   	194.83	DCR|2AART|1VULN|1ASPD|1CDMG|1DUR|1RMIN	1RMIN|23LHND|48AART|5DUR|6RCR|7VULN|9ASPD|aCDMG
41	32413 63123	 * 	194.75	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1RMIN	1RMIN|29AART|3ZMB|4RPLT|5VULN|6DMG|7RCR|8TLV|aCDMG
42	32116 22116	   	194.68	DCR|2ASPD|1VULN|1AART|1DMG|1DUR|1RMIN	1RMIN|2AART|3MSLREG|4LWND|5DUR|68ASPD|7RCR|9DMG|aVULN
43	32243 36221	   	194.54	DCR|2AART|1VULN|1ASPD|1DMG|1DUR|1RMIN	1RMIN|24AART|3LIT|5DLOT|6DMG|7ASPD|8RCR|9VULN|aDUR
44	12213 62222	 * 	193.80	DCR|2AART|2ASPD|1VULN|1CDMG	1FEWX|29ASPD|38LHND|45AART|6RCR|7VULN|aCDMG
45	12213 62451	   	193.80	DCR|2AART|2ASPD|1VULN|1CDMG	1FEWX|2aASPD|3LHND|45AART|6RCR|7VULN|8LWND|9CDMG
46	12213 62622	   	193.80	DCR|2AART|2ASPD|1VULN|1CDMG	18FEWX|29ASPD|3LHND|45AART|6RCR|7VULN|aCDMG
47	12211 62122	   	193.80	DCR|2AART|2ASPD|1VULN|1CDMG	1FEWX|29ASPD|35LHND|48AART|6RCR|7VULN|aCDMG
48	12211 61144	   	193.73	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2ASPD|35LHND|4aAART|6RCR|7ZMB|8DMG|9VULN
49	12213 61141	   	193.73	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2ASPD|3LHND|45AART|6RCR|7ZMB|8DMG|9VULN|aLWND
50	12213 61142	   	193.73	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2ASPD|3LHND|45AART|6RCR|7ZMB|8DMG|9VULN|aBEXP
51	12213 61143	   	193.63	DCR|2AART|1VULN|1ASPD|1DMG|1ZMB	1FEWX|2ASPD|3LHND|45AART|6RCR|7ZMB|8DMG|9VULN|aTLV
52	54326 22331	 * 	193.58	DCR|3VULN|1AART|1ASPD|1DUR	1ERES|24aVULN|3DUR|5LEGI|6RCR|7ASPD|8LWND|9AART
53	62532 26321	 * 	193.34	DCR|2MDPS|2VULN|2DMG|2CDMG|1DUR|1SELL	19MDPS|27CDMG|37DMG|4RCVC|57VULN|6SELL|7BPWR|8RCR|aDUR
54	62532 26322	 * 	193.34	DCR|2MDPS|2VULN|2DMG|2CDMG|1SELL	19MDPS|27CDMG|37DMG|4RCVC|57VULN|6SELL|7BPWR|8RCR|aTLV
55	62532 26323	 * 	193.34	DCR|2MDPS|2VULN|2DMG|2CDMG|2SELL	19MDPS|27CDMG|37DMG|4RCVC|57VULN|6aSELL|7BPWR|8RCR
56	31213 61126	 * 	193.04	DCR|2AART|1ASPD|1DMG|1CDMG|1ZMB|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7ZMB|8DMG|9ASPD|aCDMG
57	12213 61121	   	192.48	DCR|2AART|2ASPD|1DMG|1ZMB|1DUR	1FEWX|29ASPD|3LHND|45AART|6RCR|7ZMB|8DMG|aDUR
58	15213 65121	   	192.48	DCR|2AART|2ASPD|1DMG|1ZMB|1DUR	1FEWX|2ZMB|3LHND|45AART|6RCR|79ASPD|8DMG|aDUR
59	54323 22311	   	191.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1ERES|24VULN|3DUR|5DUST|6RCR|7ASPD|8LWND|9CDMG|aAART
60	54323 22511	   	191.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1ERES|24VULN|3DUR|5DUST|6RCR|7ASPD|8LHND|9CDMG|aAART
61	54326 22311	   	191.99	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR	1ERES|24VULN|3DUR|5LEGI|6RCR|7ASPD|8LWND|9CDMG|aAART
62	12615 13251	   	191.98	DCR|3VULN|3ASPD|1SPLREG	19FEWX|269ASPD|3LIT|4AME|579VULN|8RCR|9BPWR|aSPLREG
63	12115 23251	   	191.88	DCR|3VULN|3ASPD|1SPLREG	19FEWX|259ASPD|3ERES|4LIT|679VULN|8RCR|9BPWR|aSPLREG
64	12211 61145	   	191.87	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	1FEWX|2aASPD|35LHND|4AART|6RCR|7ZMB|8DMG|9VULN
65	12213 62541	   	191.70	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1FEWX|2ASPD|3LHND|45AART|6RCR|7VULN|8BELT|9DMG|aDUR
66	32412 23435	   	191.64	DCR|2DMG|1VULN|1AART|2ZMB|1DUR|1RMIN	1RMIN|2AART|3aZMB|4RPLT|5DUR|69DMG|7RCR|8VULN
67	12213 65421	   	191.60	DCR|2AART|1VULN|1ASPD|1DMG|1DUR	1FEWX|2ASPD|3LHND|45AART|6RCR|7DMG|8DUR|9DUST|aVULN
68	12213 65123	 * 	191.32	DCR|2AART|2DMG|2ASPD|1NUKE	1FEWX|29ASPD|3LHND|45AART|6RCR|7aDMG|8NUKE
69	32412 23412	   	191.22	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|6DMG|7RCR|8aVULN|9LHND
70	32412 23422	   	191.22	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|6DMG|7RCR|8aVULN|9LWND
71	32412 23442	   	191.22	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|6DMG|7RCR|8aVULN|9BEXP
72	32413 63332	   	191.22	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5aVULN|6DMG|7RCR|8LHND|9DUR
73	32413 63512	   	191.22	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5aVULN|6DMG|7RCR|8DUR|9LHND
74	32413 63522	   	191.22	DCR|2VULN|1AART|1DMG|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5aVULN|6DMG|7RCR|8DUR|9LWND
75	15213 61323	   	191.10	DCR|2AART|2ASPD|1VULN|2ZMB	1FEWX|27ZMB|3LHND|45AART|6RCR|8VULN|9aASPD
76	54233 22121	   	190.92	DCR|3VULN|1MDPS|1ASPD|1DMG	1ERES|249VULN|3LWND|5DUST|6RCR|7ASPD|8DMG|aMDPS
77	54433 22121	   	190.92	DCR|3VULN|1MDPS|1ASPD|1DMG	1ERES|249VULN|3LHND|5DUST|6RCR|7ASPD|8DMG|aMDPS
78	32412 23462	 * 	190.90	DCR|1AART|1VULN|1DMG|1NUKE|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|6DMG|7RCR|8VULN|9CGEN|aNUKE
79	32411 63432	   	190.90	DCR|1VULN|1AART|1DMG|1NUKE|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5MLV|6DUR|7RCR|8VULN|9DMG|aNUKE
80	32413 63112	   	190.80	DCR|1VULN|1AART|1DMG|1NUKE|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5VULN|6DMG|7RCR|8TLV|9DUR|aNUKE
81	32365 62332	   	190.73	DCR|2VULN|1AART|1DMG|1CDMG|1AAC|1RMIN	1RMIN|2AART|3AAC|47VULN|5MLV|6RCR|8AELBLL|9CDMG|aDMG
82	56212 22233	 * 	190.59	DCR|2VULN|2DMG|1MDPS|1AART	17ERES|27DMG|35LWND|4LIT|67VULN|7BPWR|8RCR|9AART|aMDPS
83	31213 65331	   	190.55	DCR|2VULN|2AART|1ASPD|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7ASPD|8LWND|9aVULN
84	31213 62431	   	190.55	DCR|2VULN|2AART|1DMG|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7aVULN|8LWND|9DMG
85	31213 62631	   	190.55	DCR|2VULN|2AART|1DMG|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7aVULN|8FEWX|9DMG
86	32365 62311	   	190.55	DCR|2VULN|2AART|1DMG|1AAC|1RMIN	1RMIN|29AART|3AAC|47VULN|5MLV|6RCR|8AELBLL|aDMG
87	32224 53512	   	190.51	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1RMIN	1RMIN|2AART|3LIT|4AME|5CDMG|6RCR|7VULN|8ASPD|9DMG|aCGEN
88	32224 53513	   	190.41	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1RMIN	1RMIN|2AART|3LIT|4AME|5CDMG|6RCR|7VULN|8ASPD|9DMG|aLEGI
89	35111 43187	   	190.28	DCR|2DMG|1VULN|1ASPD|1CDMG|1DUR|1RMIN|1SELL	1RMIN|2SELL|3DUR|4CDMG|5MBVNT|6VULN|7RCR|8aDMG|9ASPD
90	31213 65141	   	190.23	DCR|2AART|1VULN|1ASPD|1DMG|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7ASPD|8DMG|9VULN|aLWND
91	31213 65142	   	190.23	DCR|2AART|1VULN|1ASPD|1DMG|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7ASPD|8DMG|9VULN|aBEXP
92	31213 63145	   	190.23	DCR|2AART|1VULN|1ASPD|1DMG|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7CGEN|8DMG|9VULN|aASPD
93	31213 66125	   	190.23	DCR|2AART|1VULN|1ASPD|1DMG|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7MLV|8DMG|9ASPD|aVULN
94	31213 65143	   	190.13	DCR|2AART|1VULN|1ASPD|1DMG|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7ASPD|8DMG|9VULN|aTLV
95	12213 63122	 * 	190.09	DCR|2AART|2ASPD|1DMG|1CDMG	1FEWX|29ASPD|3LHND|45AART|6RCR|7CGEN|8DMG|aCDMG
96	12213 65622	   	190.09	DCR|2AART|2ASPD|1DMG|1CDMG	1FEWX|29ASPD|3LHND|45AART|6RCR|7DMG|8CGEN|aCDMG
97	12213 66122	   	190.09	DCR|2AART|2ASPD|1DMG|1CDMG	1FEWX|29ASPD|3LHND|45AART|6RCR|7MLV|8DMG|aCDMG
98	54331 32631	   	189.96	DCR|3VULN|1ASPD|1DMG|1DUR	1ERES|28aVULN|3DUR|4DMG|5SPLJET|6RCR|7ASPD|9SNIFST
99	36141 36311	   	189.88	DCR|2VULN|1MDPS|1ASPD|1DMG|2DUR|1RMIN|1MSE	1RMIN|27MLV|37VULN|4ASPD|5DMG|67DUR|7BPWR|8RCR|9MSE|aMDPS
100	36141 36321	   	189.88	DCR|2VULN|1MDPS|1ASPD|1DMG|2DUR|1RMIN	1RMIN|27MLV|37VULN|4ASPD|5DMG|67DUR|7BPWR|8RCR|9MDPS|aDUST
101	36141 36322	   	189.88	DCR|2VULN|1MDPS|1ASPD|1DMG|2DUR|1RMIN	1RMIN|27MLV|37VULN|4ASPD|5DMG|67DUR|7BPWR|8RCR|9MDPS|aRPLT
102	36141 36323	   	189.88	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR|1RMIN	1RMIN|27MLV|37VULN|4ASPD|5DMG|67DUR|7BPWR|8RCR|9MDPS|aCDMG
103	36141 36331	   	189.88	DCR|2VULN|1MDPS|1ASPD|1DMG|2DUR|1RMIN	1RMIN|27MLV|37VULN|4ASPD|5DMG|67DUR|7BPWR|8RCR|9TLV|aMDPS
104	54323 22123	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ERES|249VULN|3DUR|5DUST|6RCR|7ASPD|8DMG|aBEXP
105	54323 22124	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ERES|249VULN|3DUR|5DUST|6RCR|7ASPD|8DMG|aCGEN
106	54323 22125	   	189.86	DCR|3VULN|1ASPD|1DMG|1DUR	1ERES|249VULN|3DUR|5DUST|6RCR|7ASPD|8DMG|aFEWX
107	41342 22411	   	189.82	DCR|2VULN|2AART|1ASPD|1DUR	1LEGI|2DUR|3MLV|4aAART|5MSLREG|6ASPD|7RCR|89VULN
108	41412 22411	   	189.82	DCR|2VULN|2AART|1ASPD|1DUR	1LEGI|2DUR|3MSLREG|4aAART|5MLV|6ASPD|7RCR|89VULN
109	54323 22122	   	189.76	DCR|3VULN|1ASPD|1DMG|1DUR|1MSE	1ERES|249VULN|3DUR|5DUST|6RCR|7ASPD|8DMG|aMSE
110	54326 22122	   	189.76	DCR|3VULN|1ASPD|1DMG|1DUR|1MSE	1ERES|249VULN|3DUR|5LEGI|6RCR|7ASPD|8DMG|aMSE
111	54326 22123	   	189.76	DCR|3VULN|1ASPD|1DMG|1DUR	1ERES|249VULN|3DUR|5LEGI|6RCR|7ASPD|8DMG|aDUST
112	32614 63231	   	189.75	DCR|2DMG|1VULN|1AART|1ASPD|1RMIN	1RMIN|2AART|3MLV|4RPLT|5VULN|69DMG|7RCR|8DUST|aASPD
113	41413 22411	 * 	189.72	DCR|2VULN|2AART|1ASPD|1NUKE|1DUR	1LEGI|2DUR|3MSLREG|4aAART|5NUKE|6ASPD|7RCR|89VULN
114	54343 13132	 * 	189.68	DCR|1VULN|1AART|1DMG|1NUKE|1CDMG|1DUR	1ERES|2VULN|3DUR|4AART|5BEXP|6DUST|7RCR|8CDMG|9DMG|aNUKE
115	15213 61631	 * 	189.33	DCR|2AART|3ZMB|1VULN|1DMG	1FEWX|278ZMB|3LHND|45AART|6RCR|9DMG|aVULN
116	52121 36622	 * 	189.33	DCR|2VULN|2DMG|2CDMG|1DUR	1ERES|2AELBLL|3DUR|47VULN|59DMG|6aCDMG|8RCR
117	31213 61431	   	189.13	DCR|2VULN|2AART|1ZMB|1DUR|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|7ZMB|8DUR|9aVULN
118	31213 65121	   	188.98	DCR|2AART|2ASPD|1DMG|1DUR|1RMIN	1RMIN|2DUST|3LHND|45AART|6RCR|79ASPD|8DMG|aDUR
119	12141 21421	   	188.77	DCR|2VULN|2DMG|1MDPS|1ASPD	1FEWX|2ASPD|3ERES|45DMG|6LHND|7RCR|89VULN|aMDPS
120	12141 51421	   	188.77	DCR|2VULN|2DMG|1MDPS|1ASPD	1FEWX|2ASPD|3ERES|45DMG|6BEXP|7RCR|89VULN|aMDPS
121	12141 31421	   	188.67	DCR|2VULN|2DMG|1MDPS|1ASPD	1FEWX|2ASPD|3ERES|45DMG|6DUST|7RCR|89VULN|aMDPS
122	12213 62141	   	188.66	DCR|3AART|1VULN|1ASPD|1DMG	1FEWX|2ASPD|3LHND|458AART|6RCR|7VULN|9DMG|aAELBLL
123	12213 62142	   	188.66	DCR|3AART|1VULN|1ASPD|1DMG	1FEWX|2ASPD|3LHND|458AART|6RCR|7VULN|9DMG|aCGEN
124	12213 62146	   	188.66	DCR|3AART|1VULN|1ASPD|1DMG	1aFEWX|2ASPD|3LHND|458AART|6RCR|7VULN|9DMG
125	12213 63144	   	188.66	DCR|3AART|1VULN|1ASPD|1DMG	1FEWX|2ASPD|3LHND|45aAART|6RCR|7CGEN|8DMG|9VULN
126	12213 62143	   	188.56	DCR|3AART|1VULN|1ASPD|1DMG|1MSE	1FEWX|2ASPD|3LHND|458AART|6RCR|7VULN|9DMG|aMSE
127	12213 62144	   	188.56	DCR|3AART|1VULN|1ASPD|1DMG	1FEWX|2ASPD|3LHND|458AART|6RCR|7VULN|9DMG|aDUST
128	54321 52213	   	188.44	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1ERES|24VULN|3DUR|5DMG|6RMIN|7MDPS|8RCR|9CDMG|aASPD
129	36142 13331	   	188.44	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1RMIN	1RMIN|2MLV|3VULN|4ASPD|5CDMG|6RCVC|7BASFIG|8RCR|9DMG|aAART
130	32412 23432	   	188.42	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|69DMG|7RCR|8VULN|aLHND
131	32412 23433	   	188.42	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|69DMG|7RCR|8VULN|aCGEN
132	32412 23436	   	188.42	DCR|2DMG|1VULN|1AART|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|69DMG|7RCR|8VULN|aAME
133	32413 63532	   	188.42	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5VULN|69DMG|7RCR|8DUR|aLHND
134	32413 63533	   	188.42	DCR|2DMG|1AART|1VULN|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5VULN|69DMG|7RCR|8DUR|aCGEN
135	36115 33235	   	188.41	DCR|3VULN|1AART|1ASPD|1RMIN	1RMIN|2MLV|357VULN|4LIT|6LWND|8RCR|9AART|aASPD
136	54331 32612	   	188.38	DCR|2VULN|1ASPD|1DMG|1CDMG|1DUR	1ERES|28VULN|3DUR|4DMG|5SPLJET|6RCR|7ASPD|9LHND|aCDMG
137	31211 65125	   	188.38	DCR|2ASPD|1AART|1VULN|1DMG|1RMIN	1RMIN|2DUST|35LHND|4AART|6RCR|79ASPD|8DMG|aVULN
138	32412 23434	   	188.32	DCR|2DMG|1VULN|1AART|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|69DMG|7RCR|8VULN|aDUST
139	31211 62145	 * 	188.32	DCR|3VULN|2AART|1RMIN	1RMIN|2DUST|35LHND|48AART|6RCR|79aVULN
140	31213 62245	   	188.32	DCR|3VULN|2AART|1RMIN	1RMIN|2DUST|38LHND|45AART|6RCR|79aVULN
141	62133 41623	   	188.28	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1MDPS|2CDMG|3LIT|4ERES|5ASPD|6RCR|7DUR|8aVULN|9DMG
142	62532 26311	 * 	188.03	DCR|2VULN|2DMG|1MDPS|2CDMG|1SELL	1MDPS|27CDMG|37DMG|4RCVC|57VULN|6SELL|7BPWR|8RCR|9BEXP|aRMIN
143	62532 26331	 * 	188.03	DCR|2VULN|2DMG|1MDPS|2CDMG|1SELL	1MDPS|27CDMG|37DMG|4RCVC|57VULN|6SELL|7BPWR|8RCR|9LHND|aRMIN
144	36141 36121	   	187.98	DCR|2VULN|1MDPS|1ASPD|1DMG|2DUR|1RMIN	1RMIN|27MLV|37VULN|4ASPD|5DMG|67DUR|7BPWR|8LHND|9RCR|aMDPS
145	12213 61245	   	187.78	DCR|2AART|2ASPD|1VULN|1ZMB	1FEWX|2aASPD|3LHND|45AART|6RCR|7ZMB|8ERES|9VULN
146	33521 14314	   	187.72	DCR|2VULN|2DMG|1ASPD|2RMIN	13RMIN|2LHND|49VULN|58DMG|6MLV|7RCR|aASPD
147	12211 62431	   	187.70	DCR|2VULN|1AART|1ASPD|1DMG	1FEWX|2ASPD|35LHND|4AART|6RCR|7aVULN|8LWND|9DMG
148	12211 65231	   	187.60	DCR|2VULN|1AART|1ASPD|1DMG	1FEWX|2ASPD|35LHND|4AART|6RCR|7DMG|8DUST|9aVULN
149	54233 22142	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1ERES|24VULN|3LWND|5DUST|6RCR|7ASPD|8DMG|9LHND|aAART
150	54233 22533	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1ERES|24VULN|3LWND|5DUST|6RCR|7ASPD|8LHND|9AART|aDMG
151	54433 22333	   	187.50	DCR|2VULN|1AART|1ASPD|1DMG	1ERES|24VULN|3LHND|5DUST|6RCR|7ASPD|8LWND|9AART|aDMG
152	11443 61123	   	187.44	DCR|2AART|2DMG|1ASPD|1ZMB	1FEWX|2ERES|3LHND|45AART|6RCR|7ZMB|8aDMG|9ASPD
153	44114 22233	 * 	187.12	DCR|2VULN|1MDPS|2ASPD|1AART	1LEGI|27ASPD|35ERES|47LIT|67VULN|7BPWR|8RCR|9AART|aMDPS
154	32412 23351	   	187.09	DCR|1AART|1VULN|1DMG|1CDMG|1ZMB|1DUR|1RMIN	1RMIN|2AART|3ZMB|4RPLT|5DUR|6DMG|7RCR|8LHND|9CDMG|aVULN
