0	Index      	 *	Score 	Summary	Detail	
1	11512 23532	 * 	237.04	DCR|2MDPS|3VULN|2DMG|2CDMG	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9aMDPS
63	11321 55432	   	218.91	DCR|4VULN|2DMG|1AART	124aVULN|3LWND|5AART|6RCR|79DMG|8CGEN
64	11321 55622	   	218.91	DCR|4VULN|2DMG|1AART	1248VULN|3LWND|5AART|6RCR|79DMG|aCGEN
65	11321 55623	   	218.91	DCR|4VULN|2DMG|1AART	1248VULN|3LWND|5AART|6RCR|79DMG|aRPLT
66	12341 55332	   	218.91	DCR|4VULN|2DMG|1AART	134aVULN|2LHND|5AART|6RCR|79DMG|8RMIN
67	21321 55332	   	218.91	DCR|4VULN|2DMG|1AART	1LWND|234aVULN|5AART|6RCR|79DMG|8RMIN
68	21321 55432	   	218.91	DCR|4VULN|2DMG|1AART	1LWND|234aVULN|5AART|6RCR|79DMG|8CGEN
69	21321 55622	   	218.91	DCR|4VULN|2DMG|1AART	1LWND|2348VULN|5AART|6RCR|79DMG|aCGEN
70	21321 55623	   	218.91	DCR|4VULN|2DMG|1AART	1LWND|2348VULN|5AART|6RCR|79DMG|aRPLT
71	11231 55532	   	218.81	DCR|4VULN|2DMG|1AART	123aVULN|3BPWR|4BEXP|5AART|6RCR|79DMG|8ERES
72	11231 55621	   	218.81	DCR|4VULN|2DMG|1AART	1238VULN|3BPWR|4BEXP|5AART|6RCR|79DMG|aTLV
73	11321 55532	   	218.81	DCR|4VULN|2DMG|1AART	124aVULN|3LWND|5AART|6RCR|79DMG|8ERES
74	11321 55621	   	218.81	DCR|4VULN|2DMG|1AART	1248VULN|3LWND|5AART|6RCR|79DMG|aTLV
75	11621 55332	   	218.81	DCR|4VULN|2DMG|1AART	124aVULN|3DUST|5AART|6RCR|79DMG|8RMIN
76	21321 55532	   	218.81	DCR|4VULN|2DMG|1AART	1LWND|234aVULN|5AART|6RCR|79DMG|8ERES
77	21321 55621	   	218.81	DCR|4VULN|2DMG|1AART	1LWND|2348VULN|5AART|6RCR|79DMG|aTLV
78	11231 55252	 * 	217.80	DCR|3VULN|2AART|1DMG|1CDMG	123VULN|3BPWR|4BEXP|5aAART|6RCR|7DMG|8RCVC|9CDMG
79	11512 23513	   	217.78	DCR|3VULN|2DMG|1MDPS|2CDMG	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9LIT|aMDPS
80	11512 23531	   	217.68	DCR|3VULN|1MDPS|2DMG|2CDMG|1MSE	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9MDPS|aMSE
81	11512 23533	 * 	217.68	DCR|3VULN|3DMG|1MDPS|2CDMG	127VULN|3ERES|47aDMG|5LEGI|67CDMG|7BPWR|8RCR|9MDPS
82	11512 23534	   	217.68	DCR|3VULN|1MDPS|2DMG|2CDMG	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9MDPS|aLWND
83	11512 23535	   	217.68	DCR|3VULN|2DMG|1MDPS|2CDMG	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9MDPS|aLHND
84	11512 23536	   	217.68	DCR|3VULN|1MDPS|2DMG|2CDMG	127VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8RCR|9MDPS|aCGEN
85	12623 63236	 * 	216.45	DCR|3VULN|2ASPD|1AART|1CDMG|1DUR	168VULN|28LHND|3LIT|4DUR|5AART|78ASPD|8BPWR|9CDMG|aRCR
86	21623 63236	   	216.45	DCR|3VULN|2ASPD|1AART|1CDMG|1DUR	18LWND|268VULN|3LIT|4DUR|5AART|78ASPD|8BPWR|9CDMG|aRCR
87	31346 33313	 * 	216.24	DCR|3VULN|1MDPS|3CDMG|3ZMB|1AART	15aZMB|25aVULN|3MDPS|4AART|5aBPWR|67aCDMG|8LEGI|9RCR
88	11512 23543	   	214.91	DCR|4VULN|2DMG|2CDMG	127aVULN|3aERES|47DMG|5LEGI|67CDMG|7aBPWR|8RCR|9aLHND
89	11512 23553	   	214.91	DCR|4VULN|2DMG|2CDMG	127aVULN|3aERES|47DMG|5LEGI|67CDMG|7aBPWR|8RCR|9aBEXP
90	11512 23523	   	214.71	DCR|4VULN|2DMG|2CDMG	127aVULN|3aERES|47DMG|5LEGI|67CDMG|7aBPWR|8RCR|9aDUST
91	12623 33236	 * 	214.69	DCR|2VULN|2AART|2ASPD|1CDMG|1DUR	18VULN|28LHND|3LIT|4DUR|56AART|78ASPD|8BPWR|9CDMG|aRCR
92	21623 33236	   	214.69	DCR|2VULN|2AART|2ASPD|1CDMG|1DUR	18LWND|28VULN|3LIT|4DUR|56AART|78ASPD|8BPWR|9CDMG|aRCR
93	11511 25331	 * 	214.61	DCR|3VULN|3DMG|1AART	12aVULN|3ERES|479DMG|5AART|6FEWX|8RCR
94	11251 32446	   	214.28	DCR|5VULN|1ASPD|1CDMG|1ZMB	12345VULN|35BPWR|6MBVNT|7CDMG|8RCR|9ZMB|aASPD
95	11252 32446	   	214.28	DCR|5VULN|1ASPD|1CDMG|1ZMB	12345VULN|3BPWR|6MBVNT|7CDMG|8RCR|9ZMB|aASPD
96	31432 36231	   	213.39	DCR|3VULN|2DMG|1AART|1ZMB	1ZMB|249VULN|3LIT|5RPLT|6RCR|78DMG|aAART
97	14411 15231	 * 	212.89	DCR|3DMG|2VULN|1AART|1CDMG|1SELL	1aVULN|2SELL|3CDMG|479DMG|5AART|6BEXP|8RCR
98	11151 24613	 * 	212.62	DCR|4VULN|1MDPS|1DMG|1CDMG	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8CDMG|9BEXP|aMDPS
99	11152 24613	   	212.62	DCR|4VULN|1MDPS|1DMG|1CDMG	1245VULN|3DMSP|6RCR|7DMG|8CDMG|9BEXP|aMDPS
100	11151 24223	   	212.52	DCR|4VULN|1MDPS|1DMG|1CDMG	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8DUST|9CDMG|aMDPS
101	11151 24623	   	212.52	DCR|4VULN|1MDPS|1DMG|1CDMG	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8CDMG|9DUST|aMDPS
102	11152 24223	   	212.52	DCR|4VULN|1MDPS|1DMG|1CDMG	1245VULN|3DMSP|6RCR|7DMG|8DUST|9CDMG|aMDPS
103	11152 24623	   	212.52	DCR|4VULN|1MDPS|1DMG|1CDMG	1245VULN|3DMSP|6RCR|7DMG|8CDMG|9DUST|aMDPS
104	11241 53333	   	212.31	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	123VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|8RMIN|9DMG|aAAC
105	11241 53433	   	212.31	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	123VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|8CGEN|9DMG|aAAC
106	12341 53333	   	212.31	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	134VULN|2LHND|5AART|6RCR|7ASPD|8RMIN|9DMG|aAAC
107	12341 53433	   	212.31	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	134VULN|2LHND|5AART|6RCR|7ASPD|8CGEN|9DMG|aAAC
108	11231 55512	   	211.55	DCR|4VULN|1AART|1DMG|1ZMB	123aVULN|3BPWR|4BEXP|5AART|6RCR|7DMG|8ERES|9ZMB
109	11241 53512	   	211.55	DCR|4VULN|1AART|1ASPD|1ZMB	123aVULN|3BPWR|4LHND|5AART|6RCR|7ASPD|8ERES|9ZMB
110	11321 55512	   	211.55	DCR|4VULN|1AART|1DMG|1ZMB	124aVULN|3LWND|5AART|6RCR|7DMG|8ERES|9ZMB
111	12341 53512	   	211.55	DCR|4VULN|1AART|1ASPD|1ZMB	134aVULN|2LHND|5AART|6RCR|7ASPD|8ERES|9ZMB
112	21321 55512	   	211.55	DCR|4VULN|1AART|1DMG|1ZMB	1LWND|234aVULN|5AART|6RCR|7DMG|8ERES|9ZMB
113	11231 55214	   	211.07	DCR|3VULN|1MDPS|1AART|1DMG|1AAC	123VULN|3BPWR|4BEXP|5AART|6RCR|7DMG|8RCVC|9AAC|aMDPS
114	11241 53214	   	211.07	DCR|3VULN|1MDPS|1AART|1ASPD|1AAC	123VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|8RCVC|9AAC|aMDPS
115	11321 55214	   	211.07	DCR|3VULN|1MDPS|1AART|1DMG|1AAC	124VULN|3LWND|5AART|6RCR|7DMG|8RCVC|9AAC|aMDPS
116	12311 53614	   	211.07	DCR|3VULN|1MDPS|1AART|1ASPD|1AAC	138VULN|24LHND|5AART|6RCR|7ASPD|9AAC|aMDPS
117	12341 53214	   	211.07	DCR|3VULN|1MDPS|1AART|1ASPD|1AAC	134VULN|2LHND|5AART|6RCR|7ASPD|8RCVC|9AAC|aMDPS
118	21321 55214	   	211.07	DCR|3VULN|1MDPS|1AART|1DMG|1AAC	1LWND|234VULN|5AART|6RCR|7DMG|8RCVC|9AAC|aMDPS
119	31325 26322	 * 	210.99	DCR|3VULN|2DMG|1MDPS|1ASPD|2ZMB	1aZMB|26aVULN|3MDPS|4BEXP|5BELT|7RCR|8ASPD|9aDMG|aBPWR
120	11512 23414	   	210.81	DCR|4VULN|2DMG|2CDMG	1279VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8CGEN|aRCR
121	11512 23114	   	210.71	DCR|4VULN|2DMG|2CDMG	1279VULN|3ERES|47DMG|5LEGI|67CDMG|7BPWR|8TLV|aRCR
122	31346 33243	 * 	210.51	DCR|2MDPS|2VULN|3ZMB|1AART|2CDMG	158ZMB|25VULN|3aMDPS|4AART|5BPWR|67CDMG|9RCR
123	11233 46633	   	210.24	DCR|4VULN|1ASPD|1DMG|1ZMB|1DUR	1236VULN|3BPWR|4BEXP|5ZMB|7DUR|8DMG|9RCR|aASPD
124	11233 52633	   	210.24	DCR|4VULN|1ASPD|1DMG|1ZMB|1DUR	1237VULN|3BPWR|4BEXP|5ZMB|6DUR|8DMG|9RCR|aASPD
125	11623 52633	   	210.14	DCR|4VULN|1ASPD|1DMG|1ZMB|1DUR	1247VULN|3DUST|5ZMB|6DUR|8DMG|9RCR|aASPD
126	11241 52432	   	210.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	123VULN|3BPWR|47LHND|5AART|6RCR|8CDMG|9DMG|aDUR
127	11241 53252	   	210.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	123VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|8RCVC|9CDMG|aDUR
128	11321 55252	   	210.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	124VULN|3LWND|5AART|6RCR|7DMG|8RCVC|9CDMG|aDUR
129	12311 53652	   	210.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	138VULN|24LHND|5AART|6RCR|7ASPD|9CDMG|aDUR
130	12341 52432	   	210.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	134VULN|27LHND|5AART|6RCR|8CDMG|9DMG|aDUR
131	12341 53252	   	210.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	134VULN|2LHND|5AART|6RCR|7ASPD|8RCVC|9CDMG|aDUR
132	21321 55252	   	210.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LWND|234VULN|5AART|6RCR|7DMG|8RCVC|9CDMG|aDUR
133	11511 62363	   	209.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	12aVULN|3ERES|4DMG|5AART|6DUR|7LHND|8RCR|9ASPD
134	11151 24313	   	209.52	DCR|4VULN|1AART|1DMG|1DUR	1245VULN|3DMSP|5BPWR|6RCR|7DMG|8TLV|9DUR|aAART
135	11151 26113	   	209.52	DCR|4VULN|1AART|1ASPD|1DUR	1245VULN|3DMSP|5BPWR|6RCR|7ERES|8ASPD|9DUR|aAART
136	11152 24313	   	209.52	DCR|4VULN|1AART|1DMG|1DUR	1245VULN|3DMSP|6RCR|7DMG|8TLV|9DUR|aAART
137	11152 26113	   	209.52	DCR|4VULN|1AART|1ASPD|1DUR	1245VULN|3DMSP|6RCR|7ERES|8ASPD|9DUR|aAART
138	31553 21421	 * 	209.52	DCR|2VULN|2DMG|1AART|1ASPD|1ZMB	1ZMB|28VULN|3RPLT|4ASPD|57DMG|6LEGI|9RCR|aAART
139	11151 21642	   	209.49	DCR|5VULN|2DMG	12459VULN|3DMSP|59BPWR|6RCR|7BELT|89DMG|aLWND
140	11151 21643	   	209.49	DCR|5VULN|2DMG	12459VULN|3DMSP|59BPWR|6RCR|7BELT|89DMG|aRCVC
141	11152 21642	   	209.49	DCR|5VULN|2DMG	12459VULN|3DMSP|6RCR|7BELT|89DMG|9BPWR|aLWND
142	11152 21643	   	209.49	DCR|5VULN|2DMG	12459VULN|3DMSP|6RCR|7BELT|89DMG|9BPWR|aRCVC
143	12234 32334	 * 	209.39	DCR|4VULN|2DMG|1ASPD	1458VULN|28LHND|3FEWX|6LIT|78DMG|8BPWR|9RCR|aASPD
144	13334 32334	   	209.39	DCR|4VULN|2DMG|1ASPD	1458VULN|28FEWX|3LWND|6LIT|78DMG|8BPWR|9RCR|aASPD
145	21234 32334	   	209.39	DCR|4VULN|2DMG|1ASPD	18LWND|2458VULN|3FEWX|6LIT|78DMG|8BPWR|9RCR|aASPD
146	11151 21641	   	209.39	DCR|5VULN|2DMG	12459VULN|3DMSP|59BPWR|6RCR|7BELT|89DMG|aDLOT
147	11152 21641	   	209.39	DCR|5VULN|2DMG	12459VULN|3DMSP|6RCR|7BELT|89DMG|9BPWR|aDLOT
148	11511 25312	   	209.29	DCR|3VULN|2DMG|1AART|1ZMB	12aVULN|3ERES|47DMG|5AART|6FEWX|8RCR|9ZMB
149	11151 24334	   	209.29	DCR|5VULN|2DMG	1245aVULN|3DMSP|5BPWR|6RCR|79DMG|8TLV
150	11152 24334	   	209.29	DCR|5VULN|2DMG	1245aVULN|3DMSP|6RCR|79DMG|8TLV
151	11155 62333	 * 	209.19	DCR|4VULN|1MDPS|2DMG|1ASPD	1248VULN|3DMSP|58DMG|6RMIN|7MDPS|8BPWR|9RCR|aASPD
152	11461 36123	 * 	209.05	DCR|4VULN|2AART|1ASPD|1SELL	1257VULN|3SELL|45MSLFST|5BPWR|68AART|9ASPD|aRCR
153	14261 36123	 * 	209.05	DCR|4VULN|2AART|1ASPD|1SELL	1357VULN|2SELL|45MSLFST|5BPWR|68AART|9ASPD|aRCR
154	11212 21265	   	208.78	DCR|4VULN|2DMG|1MDPS|2DUR	123aVULN|3aBPWR|4RMIN|5MDPS|6RCR|7aDUR|8aDMG|9RPLT
155	11151 55333	 * 	208.62	DCR|5VULN|1MDPS|1ASPD	12458VULN|3DMSP|5BPWR|6BEXP|7RCR|9ASPD|aMDPS
156	11152 55333	   	208.62	DCR|5VULN|1MDPS|1ASPD	12458VULN|3DMSP|6BEXP|7RCR|9ASPD|aMDPS
157	11231 55612	   	208.60	DCR|5VULN|1AART|1DMG|1AAC	1238aVULN|3BPWR|4BEXP|5AART|6RCR|7DMG|9AAC
158	11241 53612	   	208.60	DCR|5VULN|1AART|1ASPD|1AAC	1238aVULN|3BPWR|4LHND|5AART|6RCR|7ASPD|9AAC
159	11321 55612	   	208.60	DCR|5VULN|1AART|1DMG|1AAC	1248aVULN|3LWND|5AART|6RCR|7DMG|9AAC
160	12341 53612	   	208.60	DCR|5VULN|1AART|1ASPD|1AAC	1348aVULN|2LHND|5AART|6RCR|7ASPD|9AAC
161	21321 55612	   	208.60	DCR|5VULN|1AART|1DMG|1AAC	1LWND|2348aVULN|5AART|6RCR|7DMG|9AAC
162	11231 53435	   	208.50	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	123VULN|3BPWR|4BEXP|5AART|6RCR|7LIT|8ASPD|9CDMG|aAAC
163	11231 55135	   	208.50	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	123VULN|3BPWR|4BEXP|5AART|6RCR|7DMG|8LIT|9CDMG|aAAC
164	11241 53135	   	208.50	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	123VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|8LIT|9CDMG|aAAC
165	11321 53435	   	208.50	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	124VULN|3LWND|5AART|6RCR|7LIT|8ASPD|9CDMG|aAAC
166	11321 55135	   	208.50	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	124VULN|3LWND|5AART|6RCR|7DMG|8LIT|9CDMG|aAAC
167	12341 53135	   	208.50	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	134VULN|2LHND|5AART|6RCR|7ASPD|8LIT|9CDMG|aAAC
168	21321 53435	   	208.50	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1LWND|234VULN|5AART|6RCR|7LIT|8ASPD|9CDMG|aAAC
169	21321 55135	   	208.50	DCR|3VULN|1AART|1DMG|1CDMG|1AAC	1LWND|234VULN|5AART|6RCR|7DMG|8LIT|9CDMG|aAAC
170	31432 36234	   	208.44	DCR|3VULN|1MDPS|2DMG|1ZMB	1ZMB|249VULN|3LIT|5RPLT|6RCR|78DMG|aMDPS
171	11241 53633	   	208.09	DCR|4VULN|1AART|1ASPD|1AAC	1238VULN|3BPWR|4LHND|5AART|6RCR|7ASPD|9BEXP|aAAC
172	12341 53633	   	208.09	DCR|4VULN|1AART|1ASPD|1AAC	1348VULN|2LHND|5AART|6RCR|7ASPD|9BEXP|aAAC
173	11231 55611	   	207.99	DCR|4VULN|1AART|1DMG|1AAC	1238VULN|3BPWR|4BEXP|5AART|6RCR|7DMG|9AAC|aERES
174	11231 55613	   	207.99	DCR|4VULN|1AART|1DMG|1AAC	1238VULN|3BPWR|4BEXP|5AART|6RCR|7DMG|9AAC|aFEWX
175	11231 55633	   	207.99	DCR|4VULN|1AART|1DMG|1AAC	1238VULN|3BPWR|4BEXP|5AART|6RCR|7DMG|9DUST|aAAC
