0	Index      	 *	Score 	Summary	Detail	
1	11212 14215	 * 	228.23	DCR|3DMG|2AART|2ASPD|2DUR|2ZMB|1SELL	14aDMG|24ZMB|3SELL|4aBPWR|56AART|7aASPD|8aDUR|9RCR
64	63131 11511	   	209.66	DCR|3VULN|2DMG|2ASPD	1aASPD|2ERES|34aVULN|5BEXP|67DMG|8RCR|9aLWND|aBPWR
65	63135 11511	   	209.66	DCR|3VULN|2DMG|2ASPD	1aASPD|2ERES|34aVULN|5FEWX|67DMG|8RCR|9aLWND|aBPWR
66	15113 21312	 * 	209.58	DCR|3DMG|2VULN|2ASPD	14aDMG|2aCGEN|39VULN|58ASPD|6aSNIFST|7RCR|aBPWR
67	13113 21312	   	209.38	DCR|3DMG|2VULN|2ASPD	14aDMG|2aERES|39VULN|58ASPD|6aSNIFST|7RCR|aBPWR
68	11163 25311	   	208.88	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB	17DMG|27ZMB|3VULN|4BEXP|57ASPD|6RPLT|7BPWR|8RCR|9AART|aLWND
69	11163 25312	   	208.88	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB	17DMG|27ZMB|3VULN|4BEXP|57ASPD|6RPLT|7BPWR|8RCR|9AART|aAME
70	11163 25313	   	208.88	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB	17DMG|27ZMB|3VULN|4BEXP|57ASPD|6RPLT|7BPWR|8RCR|9AART|aFEWX
71	11163 25314	   	208.88	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB	17DMG|27ZMB|3VULN|4BEXP|57ASPD|6RPLT|7BPWR|8RCR|9AART|aLHND
72	11163 25316	   	208.78	DCR|2DMG|2ASPD|1VULN|1AART|2ZMB	17DMG|27ZMB|3VULN|4BEXP|57ASPD|6RPLT|7BPWR|8RCR|9AART|aDUST
73	61113 52313	   	208.54	DCR|2VULN|2ASPD|1DMG|1NUKE|1ZMB	18ASPD|2ZMB|39VULN|4DMG|5MULFIG|6RCR|7AME|aNUKE
74	61113 54313	   	208.54	DCR|2VULN|2ASPD|1DMG|1NUKE|1ZMB	18ASPD|2ZMB|39VULN|4DMG|5MULFIG|6RCR|7CGEN|aNUKE
75	63132 14611	 * 	208.52	DCR|3VULN|3ASPD|2CDMG	19aASPD|2ERES|34aVULN|5RPLT|6aCDMG|7LEGI|8RCR|aBPWR
76	51311 63135	   	208.51	DCR|3VULN|2DMG|2CDMG|2DUR	18CDMG|28DMG|369VULN|47DUR|58ERES|8BPWR|aRCR
77	11212 14611	 * 	208.39	DCR|2AART|2DMG|1VULN|1ASPD|2ZMB|1SELL	14DMG|24ZMB|3SELL|4BPWR|56AART|7ASPD|8VULN|9RCR|aRPLT
78	11212 14612	 * 	208.39	DCR|2AART|2DMG|1VULN|1ASPD|2ZMB|1SELL	14DMG|24ZMB|3SELL|4BPWR|56AART|7ASPD|8VULN|9RCR|aAME
79	11212 14614	 * 	208.39	DCR|2AART|2DMG|1VULN|1ASPD|2ZMB|1SELL	14DMG|24ZMB|3SELL|4BPWR|56AART|7ASPD|8VULN|9RCR|aMLV
80	11212 14615	 * 	208.39	DCR|2AART|2DMG|1VULN|1ASPD|2ZMB|1SELL	14DMG|24ZMB|3SELL|4BPWR|56AART|7ASPD|8VULN|9RCR|aLWND
81	11212 14616	 * 	208.39	DCR|2AART|2DMG|1VULN|1ASPD|2ZMB|1SELL	14DMG|24ZMB|3SELL|4BPWR|56AART|7ASPD|8VULN|9RCR|aFEWX
82	11312 14516	   	208.14	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMG|2ZMB|3DMSP|4CDMG|56AART|7ASPD|8RMIN|9RCR|aVULN
83	12636 35321	   	208.13	DCR|2VULN|2DMG|1MDPS|2ASPD	17DMG|2LHND|3RPLT|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9MDPS|aLWND
84	12636 35323	   	208.13	DCR|2VULN|2DMG|1MDPS|2ASPD	17DMG|2LHND|3RPLT|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9MDPS|aMLV
85	11212 61356	 * 	208.05	DCR|3DMG|1VULN|1AART|1CDMG|2ZMB|1AAC|1SELL	14aDMG|24ZMB|3SELL|4BPWR|5AART|6AAC|7RCR|8CDMG|9VULN
86	11121 25416	   	207.91	DCR|2VULN|2DMG|1AART|1CDMG|1AAC|1ZMB	17DMG|2ZMB|37VULN|47FEWX|5AAC|6RPLT|7BPWR|8RCR|9AART|aCDMG
87	13153 21253	 * 	207.60	DCR|3VULN|1AART|1ASPD|1DMG	1DMG|2ERES|349VULN|5ASPD|6SNIFST|7RCR|8AART|aRMIN
88	35225 23316	 * 	207.49	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	1RPLT|2FEWX|35DMG|4ASPD|6VULN|7ZMB|8RCR|9AART|aCDMG
89	15111 53521	   	207.48	DCR|3DMG|2VULN|2ASPD	14aDMG|2aCGEN|36VULN|5BEXP|7aASPD|8RCR|9MBVNT|aBPWR
90	15126 13521	   	207.48	DCR|3DMG|2VULN|2ASPD	16aDMG|2aCGEN|35VULN|4FEWX|7aASPD|8RCR|9MBVNT|aBPWR
91	15126 21521	   	207.48	DCR|3DMG|2VULN|2ASPD	17aDMG|2aCGEN|35VULN|4FEWX|6aASPD|8RCR|9MBVNT|aBPWR
92	15151 13521	   	207.48	DCR|3DMG|2VULN|2ASPD	16aDMG|2aCGEN|34VULN|5BEXP|7aASPD|8RCR|9MBVNT|aBPWR
93	15151 21521	   	207.48	DCR|3DMG|2VULN|2ASPD	17aDMG|2aCGEN|34VULN|5BEXP|6aASPD|8RCR|9MBVNT|aBPWR
94	11244 72337	   	207.47	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB|1SELL	15DMG|2ZMB|3SELL|4MBVNT|6AART|7CDMG|8RCR|9aVULN
95	13113 21253	   	207.35	DCR|2VULN|2DMG|1AART|1ASPD	14DMG|2ERES|39VULN|5ASPD|6SNIFST|7RCR|8AART|aRMIN
96	61212 11336	 * 	207.34	DCR|2VULN|2AART|2ASPD|2ZMB|1SELL	14ASPD|24ZMB|3SELL|4BPWR|56AART|7RPLT|8RCR|9aVULN
97	13126 21521	   	207.28	DCR|3DMG|2VULN|2ASPD	17aDMG|2aERES|35VULN|4FEWX|6aASPD|8RCR|9MBVNT|aBPWR
98	13151 21521	   	207.28	DCR|3DMG|2VULN|2ASPD	17aDMG|2aERES|34VULN|5BEXP|6aASPD|8RCR|9MBVNT|aBPWR
99	13155 21521	   	207.28	DCR|3DMG|2VULN|2ASPD	17aDMG|2aERES|34VULN|5FEWX|6aASPD|8RCR|9MBVNT|aBPWR
100	13166 21521	   	207.28	DCR|3DMG|2VULN|2ASPD	17aDMG|2aERES|35VULN|4BEXP|6aASPD|8RCR|9MBVNT|aBPWR
101	63131 11521	   	207.28	DCR|3DMG|2VULN|2ASPD	1aASPD|2aERES|34VULN|5BEXP|67aDMG|8RCR|9MBVNT|aBPWR
102	63135 11521	   	207.28	DCR|3DMG|2VULN|2ASPD	1aASPD|2aERES|34VULN|5FEWX|67aDMG|8RCR|9MBVNT|aBPWR
103	11126 16431	 * 	207.23	DCR|2VULN|2DMG|3ZMB|1AART	16DMG|29aZMB|35VULN|4FEWX|7AART|8RCR
104	11151 16431	   	207.23	DCR|2VULN|2DMG|3ZMB|1AART	16DMG|29aZMB|34VULN|5BEXP|7AART|8RCR
105	42212 51335	 * 	207.07	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1CGEN|2LHND|3VULN|49AART|5ASPD|6RCR|78CDMG|aDMG
106	11212 11362	 * 	206.58	DCR|2AART|2DMG|1VULN|1CDMG|2ZMB|1SELL	14DMG|24ZMB|3SELL|4BPWR|56AART|7RPLT|8RCR|9CDMG|aVULN
107	65113 21613	   	206.54	DCR|2VULN|2ASPD|1DMG|1NUKE|1ZMB	15ASPD|2CGEN|39VULN|4DMG|6SNIFST|7RCR|8ZMB|aNUKE
108	11312 11336	   	206.30	DCR|2VULN|2AART|1DMG|1CDMG|1ZMB	1DMG|2ZMB|3DMSP|4CDMG|56AART|7RPLT|8RCR|9aVULN
109	61312 11336	   	206.30	DCR|2VULN|2AART|1ASPD|1CDMG|1ZMB	1ASPD|2ZMB|3DMSP|4CDMG|56AART|7RPLT|8RCR|9aVULN
110	51314 22621	   	206.23	DCR|2VULN|2DMG|1ASPD|1CDMG|1DUR	1CDMG|2aDMG|35VULN|4DUR|6ASPD|7RPLT|8RCR|9RMIN
111	15153 21221	 * 	205.67	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1DMG|2CGEN|34VULN|5ASPD|6SNIFST|7RCR|8AART|9NUKE|aLHND
112	15153 21222	 * 	205.67	DCR|2VULN|2AART|1ASPD|1DMG|1NUKE	1DMG|2CGEN|34VULN|5ASPD|6SNIFST|7RCR|8aAART|9NUKE
113	15153 21223	   	205.67	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1DMG|2CGEN|34VULN|5ASPD|6SNIFST|7RCR|8AART|9NUKE|aLWND
114	15153 21226	   	205.67	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1DMG|2aCGEN|34VULN|5ASPD|6SNIFST|7RCR|8AART|9NUKE
115	13153 21221	   	205.57	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1DMG|2ERES|34VULN|5ASPD|6SNIFST|7RCR|8AART|9NUKE|aLHND
116	13153 21222	   	205.57	DCR|2VULN|2AART|1ASPD|1DMG|1NUKE	1DMG|2ERES|34VULN|5ASPD|6SNIFST|7RCR|8aAART|9NUKE
117	13153 21223	   	205.57	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1DMG|2ERES|34VULN|5ASPD|6SNIFST|7RCR|8AART|9NUKE|aLWND
118	13153 21226	   	205.57	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE	1DMG|2ERES|34VULN|5ASPD|6SNIFST|7RCR|8AART|9NUKE|aCGEN
119	11314 32416	   	205.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	15DMG|2ZMB|3DMSP|4CDMG|6ASPD|7ERES|8AART|9RCR|aVULN
120	13112 16642	   	205.36	DCR|2DMG|1VULN|1AART|1NUKE|1CDMG|1DUR	14DMG|2ERES|3VULN|5RPLT|6CDMG|7DUR|8RCR|9AART|aNUKE
121	23236 35311	   	205.06	DCR|2VULN|2ASPD|1AART|1DMG	17BEXP|2RPLT|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aLWND
122	23236 35312	   	205.06	DCR|2VULN|2ASPD|1AART|1DMG	17BEXP|2RPLT|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aAME
123	23236 35313	   	205.06	DCR|2VULN|2ASPD|1AART|1DMG	17BEXP|2RPLT|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aFEWX
124	23236 35314	   	205.06	DCR|2VULN|2ASPD|1AART|1DMG	17BEXP|2RPLT|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aLHND
125	35236 35311	   	205.06	DCR|2VULN|2ASPD|1AART|1DMG	1RPLT|27FEWX|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aLWND
126	35236 35312	   	205.06	DCR|2VULN|2ASPD|1AART|1DMG	1RPLT|27FEWX|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aAME
127	35236 35313	   	205.06	DCR|2VULN|2ASPD|1AART|1DMG	1RPLT|27FEWX|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aBEXP
128	36236 35311	   	205.06	DCR|2VULN|2ASPD|1AART|1DMG	1RPLT|27LHND|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aLWND
129	36236 35312	   	205.06	DCR|2VULN|2ASPD|1AART|1DMG	1RPLT|27LHND|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aAME
130	36236 35313	   	205.06	DCR|2VULN|2ASPD|1AART|1DMG	1RPLT|27LHND|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aBEXP
131	51226 25212	 * 	205.04	DCR|2VULN|1MDPS|2ASPD|3CDMG|1DMG	178CDMG|2DMG|3MDPS|47ASPD|57VULN|6RMIN|7BPWR|9BASFIG|aRCR
132	61212 14611	 * 	205.02	DCR|2AART|2ASPD|1VULN|1DMG|2ZMB|1SELL	14ASPD|24ZMB|3SELL|4BPWR|56AART|7DMG|8VULN|9RCR|aRPLT
133	61212 14612	 * 	205.02	DCR|2AART|2ASPD|1VULN|1DMG|2ZMB|1SELL	14ASPD|24ZMB|3SELL|4BPWR|56AART|7DMG|8VULN|9RCR|aAME
134	23236 35316	   	204.96	DCR|2VULN|2ASPD|1AART|1DMG	17BEXP|2RPLT|3DMG|4RMIN|57VULN|67ASPD|7BPWR|8RCR|9AART|aDUST
135	65113 11511	 * 	204.86	DCR|3ASPD|2VULN|2DMG	15aASPD|2CGEN|3aVULN|47DMG|6FEWX|8RCR|9aLWND|aBPWR
136	11212 61612	   	204.84	DCR|2VULN|2DMG|1AART|2ZMB|1AAC|1DUR|1SELL	14DMG|24ZMB|3SELL|4BPWR|5AART|6AAC|7RCR|8aVULN|9DUR
137	63163 11511	   	204.76	DCR|3ASPD|2VULN|2DMG	15aASPD|2ERES|3aVULN|4BEXP|67DMG|8RCR|9aLWND|aBPWR
138	42212 51125	   	204.70	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1CGEN|2LHND|38VULN|4AART|5ASPD|6RCR|7CDMG|9RCVC|aDMG
139	51521 13124	 * 	204.60	DCR|2VULN|1MDPS|2DMG|2CDMG|2DUR	18CDMG|28DMG|3ERES|47DUR|5RCVC|68VULN|8BPWR|9RCR|aMDPS
140	11212 61615	   	204.52	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB|1AAC|1DUR|1SELL	14DMG|24ZMB|3SELL|4BPWR|5AART|6AAC|7RCR|8VULN|9DUR|aASPD
141	51333 22513	   	204.35	DCR|2VULN|2ASPD|2CDMG|1DMG|1ZMB	18CDMG|2DMG|38VULN|4ZMB|5CGEN|68ASPD|7RPLT|8BPWR|9LWND|aRCR
142	33456 12313	 * 	204.12	DCR|3VULN|2ASPD|1DMG|1CDMG	1RPLT|2CDMG|38ASPD|459VULN|6DMG|7BASARM|aRCR
143	35226 33316	 * 	204.12	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB	1RPLT|2FEWX|3DMG|46ASPD|5VULN|7ZMB|8RCR|9AART|aCDMG
144	11126 11521	   	204.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	16DMG|2ZMB|35VULN|4FEWX|7CGEN|8RCR|9CDMG|aASPD
145	11166 11521	   	204.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	16DMG|2ZMB|35VULN|4BEXP|7CGEN|8RCR|9CDMG|aASPD
146	41151 11521	   	204.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1CGEN|2ZMB|34VULN|5BEXP|67DMG|8RCR|9CDMG|aASPD
147	11151 11521	   	204.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	16DMG|2ZMB|34VULN|5BEXP|7CGEN|8RCR|9CDMG|aASPD
148	11155 11521	   	204.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	16DMG|2ZMB|34VULN|5FEWX|7CGEN|8RCR|9CDMG|aASPD
149	11126 51521	   	203.99	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	17DMG|2ZMB|35VULN|4FEWX|6ERES|8RCR|9CDMG|aASPD
150	11151 51521	   	203.99	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	17DMG|2ZMB|34VULN|5BEXP|6ERES|8RCR|9CDMG|aASPD
151	11636 11521	   	203.99	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	16DMG|2ZMB|3DUST|45VULN|7CGEN|8RCR|9CDMG|aASPD
152	12451 25223	   	203.98	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	17DMG|2LHND|37ASPD|47VULN|5AAC|6RPLT|7BPWR|8CDMG|9TLV|aRCR
153	11312 14611	   	203.98	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMG|2ZMB|3DMSP|4CDMG|56AART|7ASPD|8VULN|9RCR|aRPLT
154	11312 14612	   	203.98	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB	1DMG|2ZMB|3DMSP|4CDMG|56AART|7ASPD|8VULN|9RCR|aAME
