0	Index      	 *	Score 	Summary	Detail	
1	47324 44462	 * 	210.76	橙3易伤3伤害3策反1暴击	1加一289易伤3立即金币4狙击对直升589策反689伤害7核89序列升级a暴击
50	21343 13226	   	183.47	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8最后敌人a金币生成
51	21343 13264	   	183.47	橙3易伤2伤害1全技能	1随机矿2全技能37a易伤47低血量敌人57伤害6核7序列升级8最后敌人9雷电
52	21343 13421	   	183.47	橙3易伤2伤害1全技能	1a随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8基地爆炸
53	21343 13424	   	183.47	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47a低血量敌人57伤害6核7序列升级8基地爆炸
54	21343 13426	   	183.47	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8基地爆炸a金币生成
55	21343 13621	   	183.47	橙3易伤2伤害1全技能	1a随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8敌人爆炸
56	21343 13624	   	183.47	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47a低血量敌人57伤害6核7序列升级8敌人爆炸
57	21343 13626	   	183.47	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8敌人爆炸a金币生成
58	21343 13222	   	183.37	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8最后敌人a掉矿
59	21343 13223	   	183.37	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8最后敌人a激光对绿
60	21343 13225	   	183.37	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8最后敌人a挖尘
61	21343 13332	   	183.37	橙3易伤2伤害1全技能	1随机矿2全技能37a易伤47低血量敌人57伤害6核7序列升级8金币生成9掉矿
62	21343 13422	   	183.37	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8基地爆炸a掉矿
63	21343 13423	   	183.37	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8基地爆炸a激光对绿
64	21343 13425	   	183.37	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8基地爆炸a挖尘
65	21343 13622	   	183.37	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8敌人爆炸a掉矿
66	21343 13623	   	183.37	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8敌人爆炸a激光对绿
67	21343 13625	   	183.37	橙3易伤2伤害1全技能	1随机矿2全技能379易伤47低血量敌人57伤害6核7序列升级8敌人爆炸a挖尘
68	63234 23314	   	183.22	橙3伤害2易伤1全技能1暴击	14最后敌人246伤害3平台4序列升级5暴击78易伤9全技能a核
69	44552 21132	   	182.88	橙2易伤2伤害1全技能2暴击	1加一2全技能3平台4a易伤5额外掉落6a伤害7a暴击8核9随机矿a序列升级
70	21563 23141	 * 	182.64	紫2伤害1全技能1易伤2暴击2时间	1随机矿2全技能3核4易伤57伤害6a时间89暴击
71	21563 21135	 * 	182.48	紫2全技能2伤害1易伤1暴击1时间	1随机矿27全技能3核4易伤5a伤害6时间8暴击9立即金币
72	21363 13141	   	182.22	橙2伤害1全技能1易伤2暴击2时间	1随机矿2全技能3易伤4a时间57伤害6核89暴击
73	44414 64354	   	182.22	橙4易伤2全技能2攻速	1加一26全技能39掉矿459a易伤7核89攻速9序列升级
74	21363 11135	   	182.06	橙2全技能2伤害1易伤1暴击1时间	1随机矿27全技能3易伤4时间5a伤害6核8暴击9立即金币
75	21363 13165	   	182.06	橙2全技能2伤害1易伤1暴击1时间	1随机矿2a全技能3易伤4时间57伤害6核8暴击9敌人爆炸
76	21413 13135	   	182.06	橙2全技能2伤害1易伤1暴击1时间	1随机矿2a全技能3基地爆炸4易伤57伤害6核8暴击9时间
77	21552 12135	   	182.04	紫2易伤1全技能1伤害1暴击1策反1时间	1随机矿2全技能3核4策反5暴击68易伤7时间9立即金币a伤害
78	21563 63111	   	181.78	紫2易伤2伤害1全技能1暴击	1随机矿2全技能3核47易伤57伤害67最后敌人7序列升级8暴击9掉矿a基地爆炸
79	21563 63112	   	181.78	紫2易伤2伤害1全技能1暴击	1随机矿2全技能3核47易伤57伤害67最后敌人7序列升级8暴击9掉矿a矿等
80	21563 63113	   	181.78	紫2易伤2伤害1全技能1暴击	1随机矿2全技能3核47易伤57伤害67a最后敌人7序列升级8暴击9掉矿
81	21563 63132	   	181.78	紫2易伤2伤害1全技能1暴击	1随机矿2全技能3核47易伤57伤害67最后敌人7序列升级8暴击9立即金币a挖尘
82	21563 63133	   	181.78	紫2易伤2伤害1全技能1暴击	1随机矿2全技能3核47易伤57伤害67最后敌人7序列升级8暴击9立即金币a掉矿
83	21515 33422	   	181.68	紫2易伤2伤害1全技能2攻速	1随机矿2全技能3核4a攻速5基地爆炸6挖青7a伤害8a易伤9额外掉落a序列升级
84	21312 42136	 * 	181.63	橙4易伤2全技能1伤害	1随机矿27全技能3469易伤5伤害8最后敌人a核
85	21312 42436	   	181.63	橙4易伤2全技能1伤害	1随机矿27全技能3468易伤5伤害9基地爆炸a核
86	21523 45112	   	181.58	紫2易伤2伤害1全技能1暴击	1随机矿2全技能3核4基地爆炸56伤害7a易伤8暴击9掉矿
87	21343 13136	   	181.46	橙2易伤2伤害1全技能1暴击	1a随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9立即金币
88	21343 13151	   	181.46	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9a最后敌人
89	21343 13154	   	181.46	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9最后敌人a平台
90	21343 13156	   	181.46	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47a低血量敌人57伤害6核7序列升级8暴击9最后敌人
91	21343 13161	   	181.46	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9敌人爆炸a最后敌人
92	21343 13163	   	181.46	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9敌人爆炸a双倍矿
93	21343 13164	   	181.46	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9敌人爆炸a平台
94	21343 13313	   	181.46	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8金币生成9敌人爆炸a暴击
95	21343 13443	   	181.46	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8基地爆炸9金币生成a暴击
96	21343 13643	   	181.46	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8敌人爆炸9金币生成a暴击
97	21413 11145	   	181.44	橙2全技能2伤害1易伤2暴击	1随机矿27全技能3基地爆炸4易伤5a伤害6核89暴击
98	21343 13111	   	181.36	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9掉矿a基地爆炸
99	21343 13112	   	181.36	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9掉矿a矿等
100	21343 13113	   	181.36	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9掉矿a最后敌人
101	21343 13114	   	181.36	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9掉矿a平台
102	21343 13132	   	181.36	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9立即金币a挖尘
103	21343 13133	   	181.36	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9立即金币a掉矿
104	21343 13134	   	181.36	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9立即金币a双倍物品
105	21343 13152	   	181.36	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9最后敌人a挖尘
106	21343 13153	   	181.36	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9最后敌人a掉矿
107	21343 13323	   	181.36	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8金币生成9挖尘a暴击
108	21343 12135	   	181.26	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤4低血量敌人5a伤害6核8暴击9立即金币
109	21343 13115	   	181.26	橙2易伤2伤害1全技能1暴击	1随机矿2全技能37易伤47低血量敌人57伤害6核7序列升级8暴击9掉矿a挖尘
110	21413 13163	   	181.26	橙2易伤2伤害1全技能1暴击	1随机矿2全技能3基地爆炸4a易伤57伤害6核8暴击9额外掉落
111	21312 42224	   	181.18	橙3易伤2全技能1伤害1暴击	1随机矿27全技能346易伤5伤害8敌人爆炸9暴击a核
112	21413 13112	   	181.16	橙2易伤2伤害1全技能1暴击	1随机矿2全技能3基地爆炸4a易伤57伤害6核8暴击9掉矿
