0	Index      	 *	Score 	Summary	Detail	
1	32636 35131	 * 	216.26	ACR|1BASARM|2BEXP|1VULN|1ASPD|1DMG|1SELL	15BEXP|25AIRHEL|3SELL|4RCR|5BPWR|6VULN|7DMG|8MLV|9ASPD|aBASARM
14	22422 23536	   	196.76	ACR|1BASARM|2ASPD|1DMG	1AAC|2BELT|3RCR|4MLV|5BASARM|67DUST|8DMG|9aASPD
15	32632 15316	 * 	195.94	ACR|3DMG|2VULN|2BEXP|1SELL	1aBEXP|2AIRHEL|3SELL|4RCR|5RMIN|6AAC|78aDMG|9aVULN|aBPWR
16	34115 11352	 * 	194.98	ACR|1BASARM|3BEXP|1VULN|1CDMG	16aBEXP|2DUST|3CDMG|4FEWX|5RCR|7VULN|8LIT|9BASARM
17	22411 22463	 * 	194.69	ACR|2ASPD|2DMG|2BEXP	1AAC|2BELT|3RCR|49CGEN|5aASPD|6MDPS|79DMG|89BEXP|9BPWR
18	22453 21412	   	194.69	ACR|2ASPD|2DMG|2BEXP	1AAC|2BELT|3RCR|4aLHND|5aDMG|69BEXP|7AME|8aASPD|aBPWR
19	32353 21643	   	194.40	ACR|2DMG|2BEXP|1ASPD|1AART|1CDMG	18BEXP|28AIRHEL|3LIT|4CDMG|5RCR|68DMG|7AART|8BPWR|9ASPD|aZMB
20	32353 21641	   	194.30	ACR|2DMG|2BEXP|1ASPD|1AART|1CDMG	18BEXP|28AIRHEL|3LIT|4CDMG|5RCR|68DMG|7AART|8BPWR|9ASPD|aSNIHEL
21	22412 13123	   	193.36	ACR|2BASARM|1VULN|1BEXP|1CDMG	1AAC|2BELT|3RCR|4CGEN|59BASARM|6AME|7VULN|8BEXP|aCDMG
22	22412 33123	   	193.36	ACR|2BASARM|1VULN|1BEXP|1CDMG	1AAC|2BELT|3RCR|4CGEN|59BASARM|6ERES|7VULN|8BEXP|aCDMG
23	22426 23123	   	192.85	ACR|1BASARM|3BEXP|1CDMG	1AAC|2BELT|3RCR|47MLV|57LWND|678BEXP|7BPWR|9BASARM|aCDMG
24	22455 23123	   	192.85	ACR|1BASARM|3BEXP|1CDMG	1AAC|2BELT|3RCR|47LHND|57MLV|678BEXP|7BPWR|9BASARM|aCDMG
25	22412 36125	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|67ERES|8DMG|9CDMG|aASPD
26	22412 36141	   	192.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1AAC|2BELT|3RCR|4CGEN|5BASARM|67ERES|8DMG|9ASPD|aBEXP
27	22422 13256	 * 	192.82	ACR|1BASARM|1VULN|1ASPD|1DMG	18AAC|2BELT|3RCR|4MLV|5BASARM|6AME|7VULN|9DMG|aASPD
28	22422 36125	   	192.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1AAC|2BELT|3RCR|4MLV|5BASARM|67ERES|8DMG|9CDMG|aASPD
29	22422 36141	   	192.82	ACR|1BASARM|1ASPD|1DMG|1BEXP	1AAC|2BELT|3RCR|4MLV|5BASARM|67ERES|8DMG|9ASPD|aBEXP
30	22462 11163	   	192.15	ACR|1BASARM|2ASPD|1BEXP	1AAC|2BELT|3RCR|4aASPD|5LIT|6BEXP|7RCVC|8FEWX|9BASARM
31	32353 21624	 * 	191.92	ACR|3BEXP|2DMG|2CDMG|1AART	18aBEXP|28AIRHEL|3LIT|49CDMG|5RCR|68DMG|7AART|8BPWR
32	32353 21632	 * 	191.87	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG	18BEXP|28AIRHEL|3LIT|4CDMG|5RCR|68DMG|7AART|8BPWR|9VULN|aRMIN
33	32353 21633	   	191.87	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG	18BEXP|28AIRHEL|3LIT|4CDMG|5RCR|68DMG|7AART|8BPWR|9VULN|aDUR
34	32353 21634	   	191.87	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG	18BEXP|28AIRHEL|3LIT|4CDMG|5RCR|68DMG|7AART|8BPWR|9VULN|aLHND
35	32353 21636	   	191.87	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG	18BEXP|28AIRHEL|3LIT|4CDMG|5RCR|68DMG|7AART|8BPWR|9VULN|aLWND
36	26223 63213	   	191.77	ACR|2DMG|2BEXP|1VULN|1CDMG|1AART	1AAC|2LIT|38BEXP|4AART|5RCR|6CDMG|79DMG|aVULN
37	26223 63224	   	191.77	ACR|2DMG|2BEXP|1VULN|1CDMG|1AART	1AAC|2LIT|38BEXP|4AART|5RCR|6CDMG|7aDMG|9VULN
38	32353 21631	   	191.77	ACR|2DMG|2BEXP|1VULN|1CDMG|1AART	18BEXP|28AIRHEL|3LIT|4CDMG|5RCR|68DMG|7AART|8BPWR|9VULN|aTLV
39	32353 21635	   	191.77	ACR|2DMG|2BEXP|1VULN|1AART|1CDMG	18BEXP|28AIRHEL|3LIT|4CDMG|5RCR|68DMG|7AART|8BPWR|9VULN|aDUST
40	22412 56332	 * 	191.58	ACR|2BASARM|2ASPD	1AAC|2BELT|3RCR|4aCGEN|5aBASARM|6LWND|7RPLT|8ERES|9aASPD|aBPWR
41	22422 56332	   	191.58	ACR|2BASARM|2ASPD	1AAC|2BELT|3RCR|4aMLV|5aBASARM|6LWND|7RPLT|8ERES|9aASPD|aBPWR
42	22422 61314	   	190.83	ACR|1BASARM|2VULN|1DMG|2AAC	1aAAC|2BELT|3RCR|4MLV|5BASARM|68VULN|7FEWX|9DMG
43	22422 62315	   	190.73	ACR|1BASARM|2VULN|1DMG|2AAC	1aAAC|2BELT|3RCR|4MLV|5BASARM|68VULN|7MBVNT|9DMG
44	22412 13615	   	190.44	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4CGEN|5BASARM|6AME|7VULN|8ZMB|9aDMG
45	22412 33615	   	190.44	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4CGEN|5BASARM|6ERES|7VULN|8ZMB|9aDMG
46	22412 61115	   	190.44	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4CGEN|5BASARM|6VULN|7FEWX|8AEMAG|9aDMG
47	22412 61315	   	190.44	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4CGEN|5BASARM|6VULN|7FEWX|8AEFBLL|9aDMG
48	22422 13315	   	190.44	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4MLV|5BASARM|6AME|7VULN|8CGEN|9aDMG
49	22422 13615	   	190.44	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4MLV|5BASARM|6AME|7VULN|8ZMB|9aDMG
50	22422 33315	   	190.44	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4MLV|5BASARM|6ERES|7VULN|8CGEN|9aDMG
51	22422 33615	   	190.44	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4MLV|5BASARM|6ERES|7VULN|8ZMB|9aDMG
52	22422 61115	   	190.44	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4MLV|5BASARM|6VULN|7FEWX|8AEMAG|9aDMG
53	22412 13515	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4CGEN|5BASARM|6AME|7VULN|8ERES|9aDMG
54	22412 62116	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4CGEN|5BASARM|6VULN|7MBVNT|8AEMAG|9aDMG
55	22412 62316	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4CGEN|5BASARM|6VULN|7MBVNT|8AEFBLL|9aDMG
56	22412 63115	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4CGEN|5BASARM|6VULN|7DUST|8AEMAG|9aDMG
57	22412 63215	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4CGEN|5BASARM|6VULN|78DUST|9aDMG
58	22422 13515	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4MLV|5BASARM|6AME|7VULN|8ERES|9aDMG
59	22422 62116	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4MLV|5BASARM|6VULN|7MBVNT|8AEMAG|9aDMG
60	22422 63115	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4MLV|5BASARM|6VULN|7DUST|8AEMAG|9aDMG
61	22422 63215	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4MLV|5BASARM|6VULN|78DUST|9aDMG
62	22412 23215	   	190.34	ACR|1BASARM|2DMG|1BEXP	1AAC|2BELT|3RCR|4CGEN|5BASARM|67DUST|8BEXP|9aDMG
63	22412 23525	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4CGEN|5BASARM|67DUST|8aDMG|9VULN
64	22412 36126	   	190.34	ACR|1BASARM|2DMG|1CDMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|67ERES|8aDMG|9CDMG
65	22422 23215	   	190.34	ACR|1BASARM|2DMG|1BEXP	1AAC|2BELT|3RCR|4MLV|5BASARM|67DUST|8BEXP|9aDMG
66	22422 23525	   	190.34	ACR|1BASARM|2DMG|1VULN	1AAC|2BELT|3RCR|4MLV|5BASARM|67DUST|8aDMG|9VULN
67	22422 36126	   	190.34	ACR|1BASARM|2DMG|1CDMG	1AAC|2BELT|3RCR|4MLV|5BASARM|67ERES|8aDMG|9CDMG
68	32634 62232	 * 	189.90	ACR|2ASPD|2BEXP|1VULN|1AART|1AAC|1SELL	18BEXP|2AIRHEL|3SELL|4RCR|56ASPD|7AART|9VULN|aAAC
69	26223 63216	 * 	189.89	ACR|3DMG|2BEXP|1AART|1CDMG	1AAC|2LIT|38BEXP|4AART|5RCR|6CDMG|79aDMG
70	22462 12162	   	187.79	ACR|1BASARM|2BEXP|1ASPD	1AAC|2BELT|3RCR|4ASPD|5aLIT|67BEXP|8FEWX|9BASARM
71	22412 26135	   	187.69	ACR|1BASARM|2BEXP|1DMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|6DUST|7RMIN|89BEXP|aDMG
72	22462 12161	   	187.69	ACR|1BASARM|2BEXP|1ASPD	1AAC|2BELT|3RCR|4ASPD|5LIT|67BEXP|8FEWX|9BASARM|aERES
73	22435 23326	   	187.69	ACR|1BASARM|2BEXP|1ASPD	1AAC|2BELT|3RCR|478DUST|57MLV|67BEXP|7BPWR|9BASARM|aASPD
74	22412 11135	   	187.59	ACR|1BASARM|2BEXP|1DMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|6AME|7DUST|89BEXP|aDMG
75	22412 31135	   	187.59	ACR|1BASARM|2BEXP|1DMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|6ERES|7DUST|89BEXP|aDMG
76	22412 14421	   	187.26	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|6AME|7CDMG|8ASPD|9RCVC|aBEXP
77	22412 14423	   	187.26	ACR|1BASARM|1ASPD|1VULN|1CDMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|6AME|7CDMG|8ASPD|9RCVC|aVULN
78	22412 34421	   	187.26	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|6ERES|7CDMG|8ASPD|9RCVC|aBEXP
79	22422 14421	   	187.26	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1AAC|2BELT|3RCR|4MLV|5BASARM|6AME|7CDMG|8ASPD|9RCVC|aBEXP
80	22422 14423	   	187.26	ACR|1BASARM|1ASPD|1VULN|1CDMG	1AAC|2BELT|3RCR|4MLV|5BASARM|6AME|7CDMG|8ASPD|9RCVC|aVULN
81	22422 34421	   	187.26	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1AAC|2BELT|3RCR|4MLV|5BASARM|6ERES|7CDMG|8ASPD|9RCVC|aBEXP
82	22422 34423	   	187.26	ACR|1BASARM|1ASPD|1VULN|1CDMG	1AAC|2BELT|3RCR|4MLV|5BASARM|6ERES|7CDMG|8ASPD|9RCVC|aVULN
83	32634 63313	 * 	186.72	ACR|2ASPD|1VULN|1DMG|1BEXP|1CDMG|1SELL	1BEXP|2AIRHEL|3SELL|4RCR|56ASPD|7MBVNT|8DMG|9VULN|aCDMG
84	55333 63311	   	186.61	ACR|1BASARM|1ASPD|1VULN|1CDMG	1AEMAG|2VENTOX|3RCR|4ZMB|5CGEN|6CDMG|7ASPD|8DUR|9VULN|aBASARM
85	55336 23311	   	186.61	ACR|1BASARM|1ASPD|1VULN|1CDMG	1AEMAG|2VENTOX|3RCR|4ZMB|5CDMG|6CGEN|7ASPD|8DUR|9VULN|aBASARM
86	22412 14411	   	186.51	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|6AME|7CDMG|8ASPD|9RMIN|aBEXP
87	22412 34411	   	186.51	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|6ERES|7CDMG|8ASPD|9RMIN|aBEXP
88	22422 14411	   	186.51	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1AAC|2BELT|3RCR|4MLV|5BASARM|6AME|7CDMG|8ASPD|9RMIN|aBEXP
89	22422 34411	   	186.51	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1AAC|2BELT|3RCR|4MLV|5BASARM|6ERES|7CDMG|8ASPD|9RMIN|aBEXP
90	55336 23111	   	186.51	ACR|1BASARM|1ASPD|1VULN|1CDMG	1AEMAG|2VENTOX|3RCR|4ZMB|5CDMG|6CGEN|7ASPD|8DUST|9VULN|aBASARM
91	55313 63213	   	186.51	ACR|1BASARM|1ASPD|1VULN|1CDMG	1AEMAG|2VENTOX|3RCR|4MLV|5CGEN|6CDMG|7ASPD|8ERES|9BASARM|aVULN
92	55316 23213	   	186.51	ACR|1BASARM|1ASPD|1VULN|1CDMG	1AEMAG|2VENTOX|3RCR|4MLV|5CDMG|6CGEN|7ASPD|8ERES|9BASARM|aVULN
93	55333 63111	   	186.51	ACR|1BASARM|1ASPD|1VULN|1CDMG	1AEMAG|2VENTOX|3RCR|4ZMB|5CGEN|6CDMG|7ASPD|8DUST|9VULN|aBASARM
94	22412 22482	   	186.41	ACR|1BASARM|1DMG|1BEXP|1AART	1AAC|2BELT|3RCR|4CGEN|5BASARM|6DUST|7MBVNT|8BEXP|9AART|aDMG
95	22412 36121	   	186.41	ACR|1BASARM|1DMG|1BEXP|1CDMG	1AAC|2BELT|3RCR|4CGEN|5BASARM|67ERES|8DMG|9CDMG|aBEXP
96	22422 36121	   	186.41	ACR|1BASARM|1DMG|1BEXP|1CDMG	1AAC|2BELT|3RCR|4MLV|5BASARM|67ERES|8DMG|9CDMG|aBEXP
97	22422 36123	   	186.41	ACR|1BASARM|1DMG|1VULN|1CDMG	1AAC|2BELT|3RCR|4MLV|5BASARM|67ERES|8DMG|9CDMG|aVULN
98	55321 12322	   	186.41	ACR|1BASARM|1ASPD|1BEXP|1AART	1AEMAG|2VENTOX|3RCR|4BEXP|5AART|6ERES|7LIT|8DUST|9BASARM|aASPD
