0	Index      	 *	Score 	Summary	Detail	
1	14126 12413	 * 	263.85	DCR|DCR|1VULN|1DMG|1DUR|1AART|1CDMG	1AART|2FEWX|3BEXP|4CDMG|5TBNT|6DMG|7aRCR|8DUR|9VULN
91	12514 53326	 * 	236.50	DCR|4VULN|2DMG|1AART	1AART|2MBVNT|38AEBURN|4689VULN|58DMG|7BOSS|8BPWR|aRCR
92	12814 44814	   	236.40	DCR|4VULN|3DUR|1AART	1AART|2MBVNT|378aVULN|478DUR|578AME|6RCR|78BPWR|9ERES
93	12814 44837	   	236.40	DCR|4VULN|3DUR|1AART	1AART|2MBVNT|378aVULN|478DUR|578AME|6RCR|78BPWR|9AEFBLL
94	12842 44833	   	236.40	DCR|4VULN|3DUR|1AART	1AART|2MBVNT|378aVULN|478ERES|578DUR|6RCR|78BPWR|9AEFBLL
95	12842 44854	   	236.40	DCR|4VULN|3DUR|1AART	1AART|2MBVNT|378aVULN|478ERES|578DUR|6RCR|78BPWR|9MDPS
96	12854 42352	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3VULN|4RCVC|5DMG|69RCR|7VENFST|8AEFRZ|aLIT
97	12854 42354	   	236.35	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3VULN|4RCVC|5DMG|69RCR|7VENFST|8AEFRZ|aBEXP
98	12214 42352	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEWIND|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aLIT
99	12214 42354	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEWIND|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aBEXP
100	12214 42357	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEWIND|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aRAT
101	12514 42352	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aLIT
102	12514 42354	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aBEXP
103	12514 42357	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aRAT
104	12514 42852	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEWIND|aLIT
105	12514 42854	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEWIND|aBEXP
106	12834 42352	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3VULN|4AEWIND|5DMG|69RCR|7VENFST|8AEFRZ|aLIT
107	12834 42354	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3VULN|4AEWIND|5DMG|69RCR|7VENFST|8AEFRZ|aBEXP
108	12834 42357	   	236.25	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3VULN|4AEWIND|5DMG|69RCR|7VENFST|8AEFRZ|aRAT
109	12854 42351	   	236.25	DCR|DCR|1VULN|1DMG|1AART|1SELL	1AART|2MBVNT|3VULN|4RCVC|5DMG|69RCR|7VENFST|8AEFRZ|aSELL
110	12854 42353	   	236.25	DCR|DCR|1VULN|1DMG|1AART|1MSE	1AART|2MBVNT|3VULN|4RCVC|5DMG|69RCR|7VENFST|8AEFRZ|aMSE
111	16252 12413	   	236.21	DCR|DCR|1VULN|1DMG|1DUR|1AART|1SELL	1AART|2SELL|3TBNT|4BEXP|5FEWX|6DMG|7aRCR|8DUR|9VULN
112	12214 42351	   	236.15	DCR|DCR|1VULN|1DMG|1AART|1SELL	1AART|2MBVNT|3AEWIND|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aSELL
113	12214 42353	   	236.15	DCR|DCR|1VULN|1DMG|1AART|1MSE	1AART|2MBVNT|3AEWIND|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aMSE
114	12214 42355	   	236.15	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEWIND|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aBASARM
115	12214 42356	   	236.15	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEWIND|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aMDPS
116	12514 42351	   	236.15	DCR|DCR|1VULN|1DMG|1AART|1SELL	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aSELL
117	12514 42353	   	236.15	DCR|DCR|1VULN|1DMG|1AART|1MSE	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aMSE
118	12514 42355	   	236.15	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aBASARM
119	12514 42356	   	236.15	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEFRZ|aMDPS
120	12514 42851	   	236.15	DCR|DCR|1VULN|1DMG|1AART|1SELL	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEWIND|aSELL
121	12514 42853	   	236.15	DCR|DCR|1VULN|1DMG|1AART|1MSE	1AART|2MBVNT|3AEBURN|4VULN|5DMG|69RCR|7VENFST|8AEWIND|aMSE
122	12834 42351	   	236.15	DCR|DCR|1VULN|1DMG|1AART|1SELL	1AART|2MBVNT|3VULN|4AEWIND|5DMG|69RCR|7VENFST|8AEFRZ|aSELL
123	12834 42353	   	236.15	DCR|DCR|1VULN|1DMG|1AART|1MSE	1AART|2MBVNT|3VULN|4AEWIND|5DMG|69RCR|7VENFST|8AEFRZ|aMSE
124	12834 42355	   	236.15	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3VULN|4AEWIND|5DMG|69RCR|7VENFST|8AEFRZ|aBASARM
125	12834 42356	   	236.15	DCR|DCR|1VULN|1DMG|1AART	1AART|2MBVNT|3VULN|4AEWIND|5DMG|69RCR|7VENFST|8AEFRZ|aMDPS
126	12247 41258	   	236.11	DCR|DCR|1DMG|1MSLTOX|1MLV|1AART	1AART|2MBVNT|3AEWIND|4MSLTOX|5ERES|6DMG|7CGEN|89RCR|aMLV
127	16213 12413	   	236.01	DCR|DCR|1VULN|1DMG|1DUR|1AART|1SELL	1AART|2SELL|3TBNT|4AEPOI|5MDPS|6DMG|7aRCR|8DUR|9VULN
128	12244 62255	   	235.54	DCR|DCR|2AART|1MSLTOX|1MLV	15AART|2MBVNT|3AEWIND|4MSLTOX|6ASPD|7LHND|89RCR|aMLV
129	15222 26212	   	235.53	DCR|DCR|1VULN|1TLV|1AART|1SELL	1AART|23AME|3BPWR|4RAT|5TLV|69RCR|7SELL|8VULN|aASPD
130	15422 26212	 * 	235.53	DCR|DCR|1VULN|2AART|1TLV|1SELL	13AART|2AME|4RAT|5TLV|69RCR|7SELL|8VULN|aASPD
131	53263 22342	 * 	235.18	DCR|DCR|2TLV|2MLV	14TLV|24MLV|3RMIN|4BPWR|5AME|6LWND|7BBNT|8aRCR|9BELT
132	53263 12342	   	235.08	DCR|DCR|2TLV|2MLV	14TLV|24MLV|3RMIN|4BPWR|5AME|6LEGI|7BBNT|8aRCR|9BELT
133	53263 61332	   	235.08	DCR|DCR|2TLV|2MLV	14TLV|24MLV|3RMIN|4BPWR|5AME|6TBNT|7DUST|8aRCR|9BELT
134	12348 24278	 * 	234.95	DCR|2VULN|2DMG|1FLTARM|1AART|1CDMG	1AART|2MBVNT|3CDMG|4aVULN|5MDPS|67DMG|8RCR|9FLTARM
135	13223 62534	   	234.95	DCR|2VULN|2DMG|1TLV|1AART|1CDMG	1AART|2BBNT|3TLV|48DMG|56VULN|7CDMG|9DUST|aRCR
136	13223 64234	   	234.95	DCR|2VULN|2DMG|1TLV|1AART|1CDMG	1AART|2BBNT|3TLV|47DMG|56VULN|8CDMG|9DUST|aRCR
