0	Index      	 *	Score 	Summary	Detail	
1	31361 22244	 * 	269.49	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	16TLV|25aDUR|37DMG|46VULN|6BPWR|8RCR|9CDMG
25	31361 22221	   	244.39	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9RCVC|aDMSP
26	31361 22222	   	244.39	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9aRCVC
27	31361 22224	   	244.39	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9RCVC|aCGEN
28	31361 22251	   	244.39	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9aFEWX
29	31361 22254	   	244.39	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9FEWX|aBELT
30	31361 22261	   	244.39	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9CGEN|aRPLT
31	31361 22264	   	244.39	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9CGEN|aFEWX
32	31353 32262	   	244.29	DCR|2VULN|2DMG|2TLV|2DUR	18TLV|28DUR|37DMG|4CGEN|58VULN|6BBNT|8BPWR|9DUST|aRCR
33	31361 22223	   	244.29	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9RCVC|aAEPOI
34	31361 22225	   	244.29	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9RCVC|aMBVNT
35	31361 22226	   	244.29	DCR|2VULN|2DMG|2TLV|2DUR|1SELL	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9RCVC|aSELL
36	31361 22232	   	244.29	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aFEWX
37	31361 22234	   	244.29	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aLHND
38	31361 22252	   	244.29	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9FEWX|aBBNT
39	31361 22255	   	244.29	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9FEWX|aLSRHEA
40	31361 22262	   	244.29	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9CGEN|aAEWIND
41	31361 22266	   	244.29	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9CGEN|aAETHUN
42	31361 22211	   	244.19	DCR|2VULN|2DMG|2TLV|2DUR|1MSE	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MSE|aFEWX
43	31361 22212	   	244.19	DCR|2VULN|2DMG|2TLV|2DUR|1MSE	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MSE|aAEPOI
44	31361 22214	   	244.19	DCR|2VULN|2DMG|2TLV|2DUR|1MSE	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MSE|aBELT
45	31361 22215	   	244.19	DCR|2VULN|2DMG|2TLV|2DUR|1MSE	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MSE|aLSRHEA
46	31361 22216	   	244.19	DCR|3VULN|2DMG|2TLV|2DUR|1MSE	16TLV|25DUR|37DMG|46aVULN|6BPWR|8RCR|9MSE
47	31361 22231	   	244.19	DCR|2VULN|2DMG|2TLV|2DUR|1MSE	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aMSE
48	31361 22233	   	244.19	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aDUST
49	31361 22235	   	244.19	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aAEPOI
50	31361 22236	   	244.19	DCR|2VULN|2DMG|2TLV|2DUR	16TLV|25DUR|37DMG|46VULN|6BPWR|8RCR|9MDPS|aAETHUN
51	51613 24222	   	243.64	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|235VULN|46DMG|7TLV|8RCR|9RCVC|aDUR
52	31161 25134	   	242.83	DCR|2VULN|2TLV|2DUR|1MLV|1CDMG	16TLV|25DUR|3MLV|46VULN|6BPWR|7ASPD|8CDMG|9AEBURN|aRCR
53	51542 41114	   	242.39	DCR|DCR|2VULN|1DUR	1FEWX|27VULN|3MBVNT|4DUR|5MDPS|6aRCR|8BBNT|9DUST
54	31161 22333	   	242.20	DCR|2VULN|2TLV|2DUR|1DMG|1MLV	16TLV|25DUR|3MLV|46VULN|6BPWR|7DMG|8FRZFST|9TBNT|aRCR
55	31161 26352	   	242.20	DCR|2VULN|2TLV|2DUR|1DMG|1MLV	16TLV|25DUR|3MLV|46VULN|6BPWR|7DUST|8TBNT|9DMG|aRCR
56	31161 22234	   	242.06	DCR|2VULN|2TLV|2DUR|1DMG|1MLV|1SELL	16TLV|25DUR|3MLV|46VULN|6BPWR|7DMG|8SELL|9AEBURN|aRCR
57	31421 22134	 * 	242.04	DCR|2TLV|1VULN|2MLV|2DUR|1DMG|1CDMG	16TLV|25DUR|3VULN|46MLV|6BPWR|7DMG|8CDMG|9AEBURN|aRCR
58	31413 22124	   	240.45	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	19TLV|26DUR|36VULN|45RMIN|6BPWR|7DMG|8CDMG|aRCR
59	31361 26134	   	240.35	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	16TLV|25DUR|3DMG|46VULN|6BPWR|7RMIN|8CDMG|9AEBURN|aRCR
60	31361 24334	   	240.25	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	16TLV|25DUR|3DMG|46VULN|6BPWR|7CDMG|8AME|9AEBURN|aRCR
61	35113 32563	   	239.60	DCR|2VULN|2DMG|1TLV|1MSLTOX|1MLV	1TLV|2LWND|3MLV|47DMG|59VULN|6BBNT|8MSLTOX|aRCR
62	31113 32533	   	239.50	DCR|2DMG|1VULN|2DUR|1TLV|1MSLTOX|1MLV	1TLV|29DUR|3MLV|47DMG|5VULN|6BBNT|8MSLTOX|aRCR
