0	Index      	 *	Score 	Summary	Detail	
1	13215 52134	 * 	265.13	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1AEBURN|2VULN|3ASPD|4CDMG|5FEWX|6TBNT|79RCR|8MLV|aTLV
24	41235 35332	   	242.86	DCR|DCR|1VULN|1DMG|2CDMG	1DUST|25CDMG|345FEWX|5BPWR|6VULN|79RCR|8DMG|aAIRHEA
25	41235 35333	   	242.86	DCR|DCR|1VULN|1DMG|2CDMG|1MSE	1DUST|25CDMG|345FEWX|5BPWR|6VULN|79RCR|8DMG|aMSE
26	23321 15141	 * 	242.69	DCR|DCR|2VULN|2ASPD	14ASPD|2RPLT|34VULN|4BPWR|5FEWX|6CGEN|79RCR|8AETHUN|aBEXP
27	23321 15143	   	242.69	DCR|DCR|2VULN|2ASPD	14ASPD|2RPLT|34VULN|4BPWR|5FEWX|6CGEN|79RCR|8AETHUN|aLHND
28	23321 15146	   	242.69	DCR|DCR|2VULN|2ASPD	14ASPD|2RPLT|34VULN|4BPWR|5FEWX|6CGEN|79RCR|8AETHUN|aBELT
29	23321 15142	   	242.59	DCR|DCR|2VULN|2ASPD	14ASPD|2RPLT|34VULN|4BPWR|5FEWX|6CGEN|79RCR|8AETHUN|aAEFBLL
30	23321 15144	   	242.59	DCR|DCR|2VULN|2ASPD	14ASPD|2RPLT|34VULN|4BPWR|5FEWX|6CGEN|79RCR|8AETHUN|aDUST
31	23321 15145	   	242.59	DCR|DCR|2VULN|2ASPD	14ASPD|2RPLT|34VULN|4BPWR|5FEWX|6CGEN|79RCR|8AETHUN|aTBNT
32	58414 22713	   	242.49	DCR|DCR|2VULN|1CDMG	1MBVNT|2CDMG|3aVULN|4MDPS|5CGEN|68RCR|7RPLT|9FLTHEA
33	58414 22743	   	242.49	DCR|DCR|2VULN|1CDMG	1MBVNT|2CDMG|3aVULN|4MDPS|5CGEN|68RCR|7RPLT|9VENICY
34	31651 14131	 * 	242.48	ACR|DCR|1VULN|2DUR|1DMG|1AART|1CDMG	1BEXP|2CDMG|34DUR|57RCR|6AART|8DMG|9ZMB|aVULN
35	32216 18832	   	242.39	DCR|DCR|1VULN|1TLV|1AAC	1BEXP|2TBNT|34ERES|5MBVNT|6VULN|78RCR|9TLV|aAAC
36	24165 13212	 * 	240.89	DCR|DCR|2TLV|1DMG|2ASPD	1aASPD|2DMG|3RAT|49TLV|5ERES|6RMIN|78RCR
37	31651 14123	 * 	239.63	ACR|DCR|3DUR|2DMG|1AART|1CDMG	1aBEXP|2CDMG|34aDUR|57RCR|6AART|8aDMG|9RCVC|aBPWR
38	52344 42245	 * 	239.50	DCR|3VULN|3DMG|2CDMG	1MBVNT|249DMG|37LHND|569VULN|89CDMG|9BPWR|aRCR
39	13215 52132	   	238.93	DCR|DCR|1VULN|1MLV|1CDMG	1AEBURN|2VULN|3ASPD|4CDMG|5FEWX|6TBNT|79RCR|8MLV|aZMB
40	13215 52136	   	238.93	DCR|DCR|1VULN|1MLV|1CDMG	1AEBURN|2VULN|3ASPD|4CDMG|5FEWX|6TBNT|79RCR|8MLV|aCGEN
41	13215 52131	   	238.83	DCR|DCR|1VULN|1MLV|1CDMG	1AEBURN|2VULN|3ASPD|4CDMG|5FEWX|6TBNT|79RCR|8MLV|aAETHUN
42	13215 52133	   	238.83	DCR|DCR|1VULN|1MLV|1CDMG	1AEBURN|2VULN|3ASPD|4CDMG|5FEWX|6TBNT|79RCR|8MLV|aBBNT
43	24165 13223	   	237.60	DCR|DCR|1TLV|1DMG|1AAC	1ASPD|2DMG|3RAT|4TLV|5ERES|6RMIN|78RCR|9CGEN|aAAC
44	24165 13231	   	237.60	DCR|DCR|1TLV|1DMG|1CDMG	1ASPD|2DMG|3RAT|4TLV|5ERES|6RMIN|78RCR|9LIT|aCDMG
45	58833 43221	   	236.55	DCR|DCR|1VULN|1DMG|1CDMG	1MBVNT|2CDMG|3RAT|4DMG|5ZMB|6RPLT|7RCVC|8aRCR|9VULN
46	25236 11262	   	236.45	DCR|DCR|1VULN|1DMG|2ASPD	1aASPD|2ZMB|3CGEN|4DMG|5TBNT|6VULN|7BELT|89RCR
47	58833 41221	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1MBVNT|2CDMG|3RAT|4DMG|5ZMB|6RPLT|7AEPOI|8aRCR|9VULN
48	13432 11651	 * 	236.29	DCR|3VULN|2TLV|1DMG|1AART	19AEBURN|269VULN|3ZMB|4DMG|5TBNT|79TLV|8AART|9BPWR|aRCR
49	23223 16151	   	235.98	DCR|DCR|1VULN|1TLV	1ASPD|2RPLT|3LWND|4LSRHEA|5VULN|69RCR|7TLV|8FEWX|aBOSS
50	23223 16156	   	235.98	DCR|DCR|1VULN|1TLV	1ASPD|2RPLT|3LWND|4LSRHEA|5VULN|69RCR|7TLV|8FEWX|aRAT
51	23223 16152	   	235.88	DCR|DCR|1VULN|1TLV	1ASPD|2RPLT|3LWND|4LSRHEA|5VULN|69RCR|7TLV|8FEWX|aDUST
52	23223 16153	   	235.88	DCR|DCR|1VULN|1TLV	1ASPD|2RPLT|3LWND|4LSRHEA|5VULN|69RCR|7TLV|8FEWX|aTBNT
53	23223 16154	   	235.88	DCR|DCR|1VULN|1TLV	1ASPD|2RPLT|3LWND|4LSRHEA|5VULN|69RCR|7TLV|8FEWX|aMDPS
