0	Index      	 *	Score 	Summary	Detail	
1	21551 61312	 * 	280.31	DCR|4VULN|3FLTARM|2ASPD|1CDMG|1AAC	1AAC|2478VULN|348FLTARM|48BPWR|58ASPD|6RCR|9BOSS|aCDMG
38	14543 22322	   	258.39	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1BOSS|27CGEN|3VULN|4TLV|5DUR|68RCR|9MLV|aZMB
39	14543 22321	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1BOSS|27CGEN|3VULN|4TLV|5DUR|68RCR|9MLV|aTSLARM
40	14543 21331	 * 	258.21	DCR|2VULN|2MLV|1FLTARM|1TLV|1DMG|1DUR	1BOSS|28CGEN|38VULN|4TLV|5DUR|6RCR|78MLV|8BPWR|9FLTARM|aDMG
41	15543 21331	   	258.01	DCR|2VULN|2MLV|1FLTARM|1TLV|1DMG|1DUR	1BOSS|28ERES|38VULN|4TLV|5DUR|6RCR|78MLV|8BPWR|9FLTARM|aDMG
42	21521 61324	   	255.53	DCR|3VULN|2FLTARM|2ASPD|1AART|1CDMG|1AAC	1AAC|278VULN|38FLTARM|4RCVC|58ASPD|6RCR|8BPWR|9AART|aCDMG
43	21552 61212	   	255.43	DCR|3VULN|2FLTARM|1DUR|1AART|1CDMG|1AAC	1AAC|247VULN|34FLTARM|4BPWR|5ERES|6RCR|8DUR|9CDMG|aAART
44	14543 22313	   	253.79	DCR|DCR|1VULN|1TLV|1DUR|1NUKE	1BOSS|27CGEN|3VULN|4TLV|5DUR|68RCR|9RMIN|aNUKE
45	14543 22333	   	253.69	DCR|DCR|1VULN|1TLV|1DUR|1NUKE	1BOSS|27CGEN|3VULN|4TLV|5DUR|68RCR|9AME|aNUKE
46	42133 22333	   	253.69	DCR|DCR|1VULN|1TLV|1DUR|1NUKE	1AME|27CGEN|3BOSS|4VULN|5DUR|68RCR|9TLV|aNUKE
47	42133 26333	   	253.59	DCR|DCR|1VULN|1TLV|1DUR|1NUKE	17AME|2CGEN|3BOSS|4VULN|5DUR|68RCR|9TLV|aNUKE
48	14543 23312	   	253.12	DCR|DCR|2TLV|1VULN|1DUR	1BOSS|2CGEN|3VULN|47TLV|5DUR|68RCR|9RMIN|aZMB
49	15543 23312	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1BOSS|2ERES|3VULN|47TLV|5DUR|68RCR|9RMIN|aZMB
50	14543 23311	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1BOSS|2CGEN|3VULN|47TLV|5DUR|68RCR|9RMIN|aAIRARM
51	14543 23332	   	253.02	DCR|DCR|2TLV|1VULN|1DUR	1BOSS|2CGEN|3VULN|47TLV|5DUR|68RCR|9AME|aZMB
52	15543 23311	   	252.92	DCR|DCR|2TLV|1VULN|1DUR	1BOSS|2ERES|3VULN|47TLV|5DUR|68RCR|9RMIN|aAIRARM
53	15543 23332	   	252.92	DCR|DCR|2TLV|1VULN|1DUR	1BOSS|2ERES|3VULN|47TLV|5DUR|68RCR|9AME|aZMB
54	14543 23331	   	252.92	DCR|DCR|2TLV|1VULN|1DUR	1BOSS|2CGEN|3VULN|47TLV|5DUR|68RCR|9AME|aTSLARM
55	15543 23331	   	252.82	DCR|DCR|2TLV|1VULN|1DUR	1BOSS|2ERES|3VULN|47TLV|5DUR|68RCR|9AME|aTSLARM
56	22611 21612	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1AART|1AAC	1AAC|2FEWX|3BOSS|4AART|5MLV|6DMG|7VULN|8aRCR|9CGEN
57	14543 21332	   	251.80	DCR|2VULN|2MLV|1FLTARM|1TLV|1DUR|1AAC	1BOSS|28CGEN|38VULN|4TLV|5DUR|6RCR|78MLV|8BPWR|9FLTARM|aAAC
58	15543 21332	   	251.60	DCR|2VULN|2MLV|1FLTARM|1TLV|1DUR|1AAC	1BOSS|28ERES|38VULN|4TLV|5DUR|6RCR|78MLV|8BPWR|9FLTARM|aAAC
59	42332 25221	   	251.18	DCR|DCR|3VULN	1AME|246CGEN|356VULN|6BPWR|7DLOT|8aRCR|9LHND
60	42332 25231	   	251.18	DCR|DCR|3VULN	1AME|246CGEN|356VULN|6BPWR|7DLOT|8aRCR|9LWND
