0	Index      	 *	Score 	Summary	Detail	
1	31611 32426	 * 	262.85	DCR|DCR|2VULN|1DMG|1DUR	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8LIT|9aVULN
14	66112 12253	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9AEPOI|aDMG
15	34126 32152	   	250.20	DCR|DCR|1VULN|1DMG|1DUR|1CDMG	1DMG|2DUR|3ERES|4RAT|5RPLT|67RCR|8CDMG|9BELT|aVULN
16	22312 24443	 * 	249.53	DCR|DCR|1VULN|1FLTARM|1DUR	1MDPS|2BEXP|3FLTARM|4ASPD|5SPLJET|6VULN|7RAT|89RCR|aDUR
17	31611 32626	 * 	249.10	DCR|DCR|1VULN|2DUR|1DMG	1DMG|2RPLT|39DUR|4RMIN|58RAT|67RCR|aVULN
18	33126 32426	   	249.00	DCR|DCR|2VULN|1DMG	1DMG|2LEGI|3ERES|4RAT|5RPLT|67RCR|8LIT|9aVULN
19	25113 41215	 * 	249.00	DCR|DCR|1VULN|1TLV|1DMG	1MDPS|2RAT|3BEXP|4VULN|5DMG|6TLV|7BOSS|8TBNT|9aRCR
20	31611 32341	 * 	248.35	DCR|DCR|2DMG|1TLV|1DUR	19DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8FEWX|aTLV
21	31611 32353	   	248.35	DCR|DCR|2DMG|1TLV|1DUR	1aDMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8FEWX|9TLV
22	31611 32541	   	248.35	DCR|DCR|2DMG|1TLV|1DUR	19DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8BEXP|aTLV
23	31611 32553	   	248.35	DCR|DCR|2DMG|1TLV|1DUR	1aDMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8BEXP|9TLV
24	34126 32353	   	248.25	DCR|DCR|2DMG|1TLV|1DUR	1aDMG|2DUR|3ERES|4RAT|5RPLT|67RCR|8FEWX|9TLV
25	31611 32425	   	247.65	DCR|DCR|1VULN|1DMG|1DUR|1NUKE	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8LIT|9VULN|aNUKE
26	41661 32113	   	246.79	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1MLV|2RPLT|3DUR|4ASPD|5RAT|67RCR|8CDMG|9DLOT|aTLV
27	12221 64246	   	246.07	DCR|DCR|1TLV|1DMG|1MLV|1DUR	1TSLFST|2DMG|3RAT|4TLV|5DUR|6aRCR|7MLV|8MBVNT|9AETHUN
28	66112 12212	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9AART|aBEXP
29	66112 12213	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9AART|aRPLT
30	66112 12214	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9AART|aLIT
31	66112 12221	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1AAC	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9RPLT|aAAC
32	66112 12231	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9FEWX|aAART
33	66112 12216	   	245.64	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9AART|aERES
34	66112 12241	   	244.54	DCR|DCR|1VULN|2DUR|1MLV	1aDUR|2BELT|3MLV|4VULN|5BBNT|68RCR|79CGEN
35	66112 12261	   	244.54	DCR|DCR|1VULN|2DUR|1MLV	1aDUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9LHND
36	66112 12251	   	244.44	DCR|DCR|1VULN|2DUR|1MLV	1aDUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9AEPOI
37	31611 32126	   	244.41	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8CDMG|9FRZARM|aTLV
38	31611 32113	   	244.31	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8CDMG|9DLOT|aTLV
39	34126 32113	   	244.21	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1DMG|2DUR|3ERES|4RAT|5RPLT|67RCR|8CDMG|9DLOT|aTLV
40	34126 32126	   	244.21	DCR|DCR|1TLV|1DMG|1DUR|1CDMG	1DMG|2DUR|3ERES|4RAT|5RPLT|67RCR|8CDMG|9VENICY|aTLV
41	31611 32422	   	243.59	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8LIT|9VULN|aASPD
42	34126 32422	   	243.49	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2DUR|3ERES|4RAT|5RPLT|67RCR|8LIT|9VULN|aASPD
43	31611 32266	   	243.35	DCR|DCR|1VULN|1DMG|1DUR|1SELL	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8SELL|9ASPD|aVULN
44	31611 33136	 * 	243.21	DCR|DCR|2DUR|1TLV|1DMG|1AAC	1DMG|2RPLT|3aDUR|4RMIN|5RAT|69RCR|7AAC|8TLV
45	15122 46123	   	242.35	DCR|DCR|1VULN|1TLV|1AART|1SELL	1TSLFST|2AEFRZ|3VULN|4BELT|5AART|6ZMB|7SELL|8TLV|9aRCR
46	61132 56223	 * 	242.23	DCR|2VULN|1FLTARM|1TLV|2DUR|1DMG|1SELL	15DUR|25VULN|3SELL|4TBNT|5BPWR|6FLTARM|7MSLFST|8TLV|9RCR|aDMG
47	31611 32161	   	240.75	DCR|DCR|1DMG|1MLV|1DUR|1CDMG	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8CDMG|9ASPD|aMLV
48	33126 32415	   	240.39	DCR|DCR|2DMG|1VULN	19DMG|2LEGI|3ERES|4RAT|5RPLT|67RCR|8LIT|aVULN
49	33126 32424	   	240.39	DCR|DCR|2DMG|1VULN	1aDMG|2LEGI|3ERES|4RAT|5RPLT|67RCR|8LIT|9VULN
50	33126 32616	   	240.39	DCR|DCR|2DMG|1VULN	19DMG|2LEGI|3ERES|48RAT|5RPLT|67RCR|aVULN
51	12261 31442	   	240.29	DCR|DCR|2DMG|1VULN	1TSLFST|25DMG|3RAT|4VULN|6AIRHEA|7BBNT|89RCR|aLHND
52	12261 31441	   	240.19	DCR|DCR|2DMG|1VULN	1TSLFST|25DMG|3RAT|4VULN|6AIRHEA|7BBNT|89RCR|aAEPOI
53	66112 12233	   	239.03	DCR|DCR|1VULN|1MLV|1DUR	1DUR|2BELT|3MLV|4VULN|5BBNT|68RCR|7CGEN|9FEWX|aASPD
54	31611 32613	   	238.40	DCR|DCR|2DMG|1MSLTOX|1DUR	19DMG|2RPLT|3DUR|4RMIN|58RAT|67RCR|aMSLTOX
55	31611 32356	   	237.70	DCR|DCR|1TLV|1DMG|1DUR	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8FEWX|9TLV|aASPD
56	34126 32333	   	237.65	DCR|DCR|2DMG|1MLV|1DUR	1aDMG|2DUR|3ERES|4RAT|5RPLT|67RCR|8FEWX|9MLV
57	31611 32421	   	236.65	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8LIT|9VULN|aLWND
58	31611 32423	   	236.65	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8LIT|9VULN|aLHND
59	31611 32652	   	236.65	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2RPLT|3DUR|4RMIN|58RAT|67RCR|9VULN|aBEXP
60	31611 32653	   	236.65	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2RPLT|3DUR|4RMIN|58RAT|67RCR|9VULN|aLHND
61	31611 32651	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2RPLT|3DUR|4RMIN|58RAT|67RCR|9VULN|aAME
62	34126 32421	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2DUR|3ERES|4RAT|5RPLT|67RCR|8LIT|9VULN|aLWND
63	33126 32156	   	236.45	DCR|DCR|1VULN|1DMG|1CDMG	1DMG|2LEGI|3ERES|4RAT|5RPLT|67RCR|8CDMG|9BELT|aVULN
64	34126 32423	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1DMG|2DUR|3ERES|4RAT|5RPLT|67RCR|8LIT|9VULN|aLEGI
65	34211 35423	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DMG|2DUR|3LWND|49ERES|5AAC|6VULN|7BEXP|8aRCR
66	34211 42523	   	236.45	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DMG|2DUR|3LWND|49ERES|5AAC|6BEXP|7aRCR|8VULN
67	12262 31443	   	236.35	DCR|DCR|1VULN|1DMG|1DUR	1TSLFST|2DMG|3RAT|4VULN|5CANSTR|6DMSP|7BBNT|89RCR|aDUR
68	34211 34423	   	236.35	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DMG|2DUR|3LWND|49ERES|5AAC|6VULN|7DUST|8aRCR
69	34211 52523	   	236.35	DCR|DCR|1VULN|1DMG|1DUR|1AAC	1DMG|2DUR|3LWND|49ERES|5AAC|6DUST|7aRCR|8VULN
70	34126 32252	   	236.31	DCR|DCR|1VULN|1DMG|1DUR|1SELL	1DMG|2DUR|3ERES|4RAT|5RPLT|67RCR|8SELL|9BELT|aVULN
71	22312 24442	   	235.88	DCR|DCR|1VULN|1FLTARM	1MDPS|2BEXP|3FLTARM|4ASPD|5SPLJET|6VULN|7RAT|89RCR|aLHND
72	22312 24441	   	235.78	DCR|DCR|1VULN|1FLTARM	1MDPS|2BEXP|3FLTARM|4ASPD|5SPLJET|6VULN|7RAT|89RCR|aAEPOI
73	45211 23223	 * 	235.73	DCR|2VULN|2TLV|2MLV|2ASPD|1CDMG	18MLV|29ASPD|3TBNT|48TLV|5LHND|6CDMG|78VULN|8BPWR|aRCR
74	45215 23223	   	235.73	DCR|2VULN|2TLV|2MLV|2ASPD|1CDMG	18MLV|29ASPD|3TBNT|48TLV|5CDMG|6LWND|78VULN|8BPWR|aRCR
75	45216 23223	   	235.73	DCR|2VULN|2TLV|2MLV|2ASPD|1CDMG	18MLV|29ASPD|3TBNT|48TLV|5LWND|6CDMG|78VULN|8BPWR|aRCR
76	31611 32346	 * 	234.60	DCR|DCR|2DMG|2DUR	19DMG|2RPLT|3aDUR|4RMIN|5RAT|67RCR|8FEWX
77	33126 32353	   	234.50	DCR|DCR|2DMG|1TLV	1aDMG|2LEGI|3ERES|4RAT|5RPLT|67RCR|8FEWX|9TLV
78	12221 65132	 * 	234.05	DCR|2VULN|2DMG|2DUR|1TLV	1TSLFST|2aDMG|3RAT|4TLV|5aDUR|6RCR|7BOSS|8FEWX|9aVULN|aBPWR
79	12221 65232	   	234.05	DCR|2VULN|2DMG|2DUR|1TLV	1TSLFST|2aDMG|3RAT|4TLV|5aDUR|6RCR|7BOSS|8LWND|9aVULN|aBPWR
80	12221 65632	   	234.05	DCR|2VULN|2DMG|2DUR|1TLV	1TSLFST|2aDMG|3RAT|4TLV|5aDUR|6RCR|7BOSS|8BEXP|9aVULN|aBPWR
81	33126 32425	   	233.80	DCR|DCR|1VULN|1DMG|1NUKE	1DMG|2LEGI|3ERES|4RAT|5RPLT|67RCR|8LIT|9VULN|aNUKE
82	31611 32131	   	233.71	DCR|DCR|1DMG|1MLV|1DUR|1CDMG	1DMG|2RPLT|3DUR|4RMIN|5RAT|67RCR|8CDMG|9ERES|aMLV
83	61132 52423	 * 	233.61	DCR|2VULN|2DMG|2DUR|1FLTARM|1SELL	15DUR|25VULN|3SELL|4TBNT|5BPWR|6FLTARM|7aDMG|8MULARM|9RCR
84	31611 32623	   	233.26	DCR|DCR|2DUR|1DMG|1MSLTOX	1DMG|2RPLT|39DUR|4RMIN|58RAT|67RCR|aMSLTOX
85	41661 32311	   	233.24	DCR|DCR|1TLV|1MLV|1DUR	1MLV|2RPLT|3DUR|4ASPD|59RAT|67RCR|8FEWX|aTLV
86	41661 33132	   	233.24	DCR|DCR|1TLV|1MLV|1DUR|1AAC	1MLV|2RPLT|3DUR|4ASPD|5RAT|69RCR|7AAC|8TLV|aBEXP
87	41661 33133	   	233.24	DCR|DCR|1TLV|1MLV|1DUR|1AAC	1MLV|2RPLT|3DUR|4ASPD|5RAT|69RCR|7AAC|8TLV|aLHND
88	45126 32113	   	233.14	DCR|DCR|1TLV|1MLV|1CDMG	1MLV|2ASPD|3LHND|4RAT|5RPLT|67RCR|8CDMG|9DLOT|aTLV
89	41661 33131	   	233.14	DCR|DCR|1TLV|1MLV|1DUR|1AAC	1MLV|2RPLT|3DUR|4ASPD|5RAT|69RCR|7AAC|8TLV|aAME
90	41661 32131	 * 	232.88	DCR|DCR|2MLV|1DUR|1CDMG	1aMLV|2RPLT|3DUR|4ASPD|5RAT|67RCR|8CDMG|9ERES
