0	Index      	 *	Score 	Summary	Detail	
1	11671 22261	 * 	271.24	DCR|DCR|3VULN|1DMG|1AAC	14aVULN|2DMSP|3MBVNT|5AAC|6RAT|7DMG|89RCR
16	15641 64212	 * 	249.73	DCR|4VULN|2TLV|2MLV	129aVULN|29BPWR|3MBVNT|4BBNT|5ZMB|69TLV|7RCR|89MLV
17	11671 22262	   	249.10	DCR|DCR|2VULN|1DMG|1AAC	14VULN|2DMSP|3MBVNT|5AAC|6RAT|7DMG|89RCR|aFEWX
18	11671 22263	   	249.10	DCR|DCR|2VULN|1DMG|1AAC	14VULN|2DMSP|3MBVNT|5AAC|6RAT|7DMG|89RCR|aFRZICY
19	11672 32262	   	249.10	DCR|DCR|2VULN|1DMG	14VULN|2DMSP|3MBVNT|5RAT|6ZMB|7DMG|89RCR|aFEWX
20	11672 32263	   	249.10	DCR|DCR|2VULN|1DMG	14VULN|2DMSP|3MBVNT|5RAT|6ZMB|7DMG|89RCR|aFRZICY
21	11671 22264	   	249.00	DCR|DCR|2VULN|1DMG|1AAC	14VULN|2DMSP|3MBVNT|5AAC|6RAT|7DMG|89RCR|aCANSTR
22	11672 32264	   	249.00	DCR|DCR|2VULN|1DMG	14VULN|2DMSP|3MBVNT|5RAT|6ZMB|7DMG|89RCR|aCANSTR
23	34453 21331	   	249.00	DCR|DCR|2VULN|1DMG	1SNIFST|2DMG|3BOSS|4RPLT|5LWND|6DLOT|7aVULN|89RCR
24	13331 43142	 * 	248.84	DCR|3VULN|2TLV|1FLTARM|2CDMG	13aVULN|2LWND|4aCDMG|5ERES|6FLTARM|7TBNT|8RCR|9aTLV|aBPWR
25	12321 43663	 * 	248.52	ACR|DCR|2VULN|1TLV|1AART|1DUR	13VULN|2BEXP|4DUR|5aRCR|6TLV|7MDPS|8AART|9TSLARM
26	12635 53111	 * 	245.60	DCR|2VULN|3DUR|2DMG|1TLV|1AAC	18VULN|2BEXP|38DMG|4ZMB|5AAC|6TLV|789DUR|8BPWR|aRCR
27	51511 22533	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1BELT|2VULN|3MDPS|4CDMG|5DUR|68RCR|7AEWIND|9MLV|aAEPOI
28	12321 24142	   	244.82	ACR|DCR|2VULN|1MLV|1DUR|1CDMG|1SELL	13VULN|2BEXP|4DUR|59RCR|6ASPD|7SELL|8MLV|aCDMG
29	13321 24142	   	244.82	ACR|DCR|2VULN|1MLV|1DUR|1CDMG|1SELL	13VULN|2LWND|4DUR|59RCR|6ASPD|7SELL|8MLV|aCDMG
30	15641 64211	   	244.22	DCR|3VULN|2TLV|2MLV|1AAC	129VULN|29BPWR|3MBVNT|4BBNT|5ZMB|69TLV|7RCR|89MLV|aAAC
31	21625 22252	   	244.21	DCR|DCR|1TLV|1DMG|1CDMG|1AAC	1RPLT|2AEFRZ|3TLV|4AME|5CDMG|6RAT|7DMG|89RCR|aAAC
32	15111 25232	   	243.64	DCR|3VULN|2DMG|1TLV|1AART	127VULN|27BPWR|3AEWIND|47RAT|5AART|67DMG|8MULHEA|9RCR|aTLV
33	15111 25532	   	243.64	DCR|3VULN|2DMG|1TLV|1AART	127VULN|27BPWR|3AEWIND|47RAT|5AART|67DMG|8AIRHEA|9RCR|aTLV
34	15311 25232	   	243.64	DCR|3VULN|2DMG|1TLV|1AART	127VULN|27BPWR|3AEBURN|47RAT|5AART|67DMG|8MULHEA|9RCR|aTLV
35	15311 25532	   	243.64	DCR|3VULN|2DMG|1TLV|1AART	127VULN|27BPWR|3AEBURN|47RAT|5AART|67DMG|8AIRHEA|9RCR|aTLV
36	12121 24146	   	243.62	ACR|DCR|2VULN|1TLV|1MLV|1SELL	1aVULN|2BEXP|3TLV|4ERES|59RCR|6ASPD|7SELL|8MLV
37	13121 24146	   	243.62	ACR|DCR|2VULN|1TLV|1MLV|1SELL	1aVULN|2LWND|3TLV|4ERES|59RCR|6ASPD|7SELL|8MLV
38	31651 13633	   	242.59	DCR|DCR|2VULN|1DUR	1SNIFST|2AEBURN|3aVULN|4DUR|5FEWX|6LHND|7BOSS|89RCR
39	31652 33633	   	242.59	DCR|DCR|2VULN|1DUR	1SNIFST|2AEBURN|3aVULN|4DUR|5LHND|6FEWX|7BOSS|89RCR
40	36235 11633	   	242.59	DCR|DCR|2VULN|1DUR	1SNIFST|2RMIN|3aVULN|4DUR|5BOSS|6AME|7LHND|89RCR
41	36235 13633	   	242.59	DCR|DCR|2VULN|1DUR	1SNIFST|2RMIN|3aVULN|4DUR|5BOSS|6AME|7FEWX|89RCR
42	12111 13633	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2BEXP|3TLV|4AIRBOS|5LWND|6ERES|7BOSS|89RCR|aAAC
43	12113 13631	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2BEXP|3TLV|4AIRBOS|5DUR|6ERES|7BOSS|89RCR|aLWND
44	12113 13634	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2BEXP|3TLV|4AIRBOS|5DUR|6ERES|7BOSS|89RCR|aRAT
45	12113 13635	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2BEXP|3TLV|4AIRBOS|5DUR|6ERES|7BOSS|89RCR|aLIT
46	12122 16636	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2BEXP|3TLV|4ERES|5LIT|6FEWX|7AIRARM|89RCR|aDUR
47	12453 13631	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2BEXP|3DUR|4TLV|5BLAICY|6ERES|7BOSS|89RCR|aLWND
48	13112 13633	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2LWND|3TLV|4AIRBOS|5FEWX|6ERES|7BOSS|89RCR|aAAC
49	13115 13633	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2LWND|3TLV|4AIRBOS|5ERES|6LHND|7BOSS|89RCR|aAAC
50	13122 16633	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2LWND|3TLV|4ERES|5LIT|6BEXP|7AIRARM|89RCR|aAAC
51	13122 66633	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2LWND|3TLV|4ERES|5LIT|6FEWX|7AIRARM|89RCR|aAAC
52	13153 13633	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2LWND|3TLV|4LHND|5BLAICY|6ERES|7BOSS|89RCR|aAAC
53	13163 13633	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2LWND|3TLV|4FEWX|5BLAICY|6ERES|7BOSS|89RCR|aAAC
54	13253 13633	   	242.59	DCR|DCR|1VULN|1TLV|1AAC	1VULN|2LWND|3LHND|4TLV|5BLAICY|6ERES|7BOSS|89RCR|aAAC
55	12112 64368	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1VULN|28BEXP|3TLV|4AIRBOS|5AART|6MBVNT|7aRCR|9BBNT
56	12113 13632	   	242.49	DCR|DCR|1VULN|1TLV|1DUR|1MSE	1VULN|2BEXP|3TLV|4AIRBOS|5DUR|6ERES|7BOSS|89RCR|aMSE
57	12113 13636	   	242.49	DCR|DCR|1VULN|1TLV|1DUR	1VULN|2BEXP|3TLV|4AIRBOS|5DUR|6ERES|7BOSS|89RCR|aDUST
58	12453 13632	   	242.49	DCR|DCR|1VULN|1TLV|1DUR|1MSE	1VULN|2BEXP|3DUR|4TLV|5BLAICY|6ERES|7BOSS|89RCR|aMSE
59	51511 22522	   	242.49	DCR|DCR|1VULN|2DUR|1CDMG	1BELT|2VULN|3MDPS|4CDMG|59DUR|68RCR|7AEWIND|aRAT
60	51511 22512	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG	1BELT|2VULN|3MDPS|4CDMG|5aDUR|68RCR|7AEWIND|9AME
61	51511 22523	   	242.39	DCR|DCR|1VULN|2DUR|1CDMG|1MSE	1BELT|2VULN|3MDPS|4CDMG|59DUR|68RCR|7AEWIND|aMSE
62	15212 14142	 * 	242.33	DCR|3VULN|2TLV|2DUR|1CDMG	12aVULN|2aBPWR|3TBNT|4VENICY|5aDUR|6CDMG|7ERES|8RCR|9aTLV
63	15223 14122	 * 	241.70	DCR|4VULN|2TLV|2CDMG	1289VULN|28BPWR|3TBNT|48CDMG|5ERES|6DUST|78TLV|aRCR
