0	Index      	 *	Score 	Summary	Detail	
1	21211 32316	 * 	263.38	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1FEWX|2RCVC|3CDMG|4ASPD|5AART|6TLV|7CGEN|89RCR|aVULN
19	42231 33526	 * 	249.10	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1BASHEA|2LIT|3AAC|4VULN|5RPLT|6DMG|7aRCR|8TLV|9RCVC
20	62231 33526	   	249.10	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1SPLJET|2LIT|3AAC|4VULN|5RPLT|6DMG|7aRCR|8TLV|9RCVC
21	42231 33516	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1BASHEA|2LIT|3AAC|4VULN|5RPLT|6DMG|7aRCR|8TLV|9AEBURN
22	62231 33516	   	249.00	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1SPLJET|2LIT|3AAC|4VULN|5RPLT|6DMG|7aRCR|8TLV|9AEBURN
23	31212 54412	 * 	246.42	ACR|DCR|2DMG|1VULN|1TLV|1DUR	1BELT|27RCR|38DMG|4CGEN|5FLTHEA|6DUR|9TLV|aVULN
24	31251 36433	 * 	246.28	ACR|DCR|2VULN|2DMG|1AART|1SELL	1BELT|29RCR|38DMG|48VULN|5RPLT|6BBNT|7SELL|8BPWR|aAART
25	31151 26262	 * 	245.46	ACR|DCR|3VULN|2MLV	1BELT|28RCR|3aCGEN|49aVULN|56RPLT|7aMLV|aBPWR
26	32231 41624	   	245.29	DCR|DCR|1VULN|1TLV|1MSLTOX	1BELT|2LWND|3RAT|4BOSS|5VULN|6TLV|7BBNT|89RCR|aMSLTOX
27	31351 26262	   	245.26	ACR|DCR|3VULN|2MLV	1BELT|28RCR|3aERES|49aVULN|56RPLT|7aMLV|aBPWR
28	33231 41624	   	245.19	DCR|DCR|1VULN|1TLV|1MSLTOX	1BELT|2DUST|3RAT|4BOSS|5VULN|6TLV|7BBNT|89RCR|aMSLTOX
29	21211 32312	   	244.94	DCR|DCR|1TLV|1DUR|1AART|1CDMG	1FEWX|2RCVC|3CDMG|4ASPD|5AART|6TLV|7CGEN|89RCR|aDUR
30	31252 25224	 * 	244.44	ACR|DCR|2VULN|1DMG|1MLV|1DUR	1BELT|28RCR|3DMG|46VULN|5DMSP|7DUR|9MBVNT|aMLV
31	31256 25224	   	244.34	ACR|DCR|2VULN|1DMG|1MLV|1DUR	1BELT|28RCR|3DMG|46VULN|5AEFBLL|7DUR|9MBVNT|aMLV
32	31151 21265	   	243.56	ACR|DCR|3VULN|1TLV	1BELT|28RCR|3CGEN|49aVULN|56RPLT|7TLV
33	31351 21265	   	243.46	ACR|DCR|3VULN|1TLV	1BELT|28RCR|3ERES|49aVULN|56RPLT|7TLV
34	11414 31313	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1CGEN|2RAT|3TBNT|4AART|5LHND|68RCR|7VULN|9DUST|aTLV
35	11415 31313	   	242.59	DCR|DCR|1VULN|1TLV|1AART	1CGEN|2RAT|3TBNT|4AART|5LWND|68RCR|7VULN|9DUST|aTLV
36	31252 25243	   	242.58	ACR|DCR|2VULN|1DMG|1DUR|1CDMG	1BELT|28RCR|3DMG|46VULN|5DMSP|7DUR|9RPLT|aCDMG
37	51414 31313	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1ERES|2RAT|3TBNT|4AART|5LHND|68RCR|7VULN|9DUST|aTLV
38	51415 31313	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1ERES|2RAT|3TBNT|4AART|5LWND|68RCR|7VULN|9DUST|aTLV
39	31252 24226	 * 	241.29	ACR|DCR|2VULN|2AAC|1DMG	1BELT|28RCR|3DMG|46VULN|5DMSP|7AETHUN|9aAAC
40	31212 54512	 * 	241.29	ACR|DCR|1VULN|2DUR|1TLV|1DMG	1BELT|27RCR|3DMG|4CGEN|5FLTHEA|68DUR|9TLV|aVULN
41	31231 66112	   	239.81	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7DMSP|9VULN|aLHND
42	31231 66114	   	239.81	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7DMSP|9VULN|aBEXP
43	31231 66116	   	239.81	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7DMSP|9VULN|aLWND
44	31231 66131	   	239.81	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7DMSP|9LIT|aVULN
45	31231 64112	   	239.71	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7AEWIND|9VULN|aLHND
46	31231 64114	   	239.71	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7AEWIND|9VULN|aBEXP
47	31231 64116	   	239.71	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7AEWIND|9VULN|aLWND
48	31231 64131	   	239.71	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7AEWIND|9LIT|aVULN
49	31231 66111	   	239.71	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7DMSP|9VULN|aVENICY
50	31231 66113	   	239.71	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7DMSP|9VULN|aERES
51	31231 66115	   	239.71	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7DMSP|9VULN|aAME
52	31231 64111	   	239.61	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7AEWIND|9VULN|aVENICY
53	31231 64113	   	239.61	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7AEWIND|9VULN|aERES
54	31231 64115	   	239.61	ACR|DCR|2DMG|1VULN|1TLV	1BELT|28RCR|36DMG|4ASPD|5TLV|7AEWIND|9VULN|aAME
55	31231 66161	 * 	238.98	ACR|DCR|3DMG|1TLV|1MLV	1BELT|28RCR|36aDMG|4ASPD|5TLV|7DMSP|9MLV
56	31231 64161	   	238.88	ACR|DCR|3DMG|1TLV|1MLV	1BELT|28RCR|36aDMG|4ASPD|5TLV|7AEWIND|9MLV
57	14621 21412	   	238.13	ACR|DCR|2VULN|1MLV|1AART|1CDMG|1AAC	1CGEN|24VULN|3AAC|59RCR|6AART|7MLV|8CDMG|aRCVC
58	14621 21411	   	238.03	ACR|DCR|2VULN|1MLV|1AART|1CDMG|1AAC	1CGEN|24VULN|3AAC|59RCR|6AART|7MLV|8CDMG|aAEFRZ
59	14621 21413	   	238.03	ACR|DCR|2VULN|1MLV|1AART|1CDMG|1AAC	1CGEN|24VULN|3AAC|59RCR|6AART|7MLV|8CDMG|aERES
60	45124 33322	 * 	237.85	DCR|2VULN|2MLV|2DUR|1TLV|1AART	18BASHEA|28DUR|39MLV|4TLV|58VULN|6RCR|7AART|8BPWR|aLIT
61	45124 33321	   	237.75	DCR|2VULN|2MLV|2DUR|1TLV|1AART	18BASHEA|28DUR|39MLV|4TLV|58VULN|6RCR|7AART|8BPWR|aERES
62	45124 33323	   	237.75	DCR|2VULN|2MLV|2DUR|1TLV|1AART	18BASHEA|28DUR|39MLV|4TLV|58VULN|6RCR|7AART|8BPWR|aAEWIND
63	31252 24243	 * 	237.32	ACR|DCR|3VULN|1DMG	1BELT|28RCR|3DMG|46aVULN|5DMSP|7AETHUN|9RPLT
64	66124 33211	   	237.11	DCR|2VULN|2DMG|1TLV|1MLV|1DUR	1SPLJET|29BEXP|3MLV|4TLV|59VULN|6RCR|7AEPOI|89DMG|9BPWR|aDUR
65	21211 12316	   	237.08	DCR|DCR|1VULN|1AART|1CDMG	1FEWX|2RCVC|3CDMG|4ASPD|5AART|6ERES|7CGEN|89RCR|aVULN
66	31151 21263	   	237.03	ACR|DCR|2VULN|1TLV|1MLV	1BELT|28RCR|3CGEN|49VULN|56RPLT|7TLV|aMLV
67	31551 26223	   	237.03	ACR|DCR|2VULN|1TLV|1MLV|1AAC	1BELT|28RCR|3TLV|4aVULN|56RPLT|7MLV|9AAC
68	31351 21263	   	236.93	ACR|DCR|2VULN|1TLV|1MLV	1BELT|28RCR|3ERES|49VULN|56RPLT|7TLV|aMLV
69	31551 26213	   	236.93	ACR|DCR|2VULN|1TLV|1MLV	1BELT|28RCR|3TLV|4aVULN|56RPLT|7MLV|9ERES
70	31351 41263	   	236.83	ACR|DCR|2VULN|1TLV|1MLV	1BELT|28RCR|36ERES|49VULN|5RPLT|7TLV|aMLV
71	11415 31352	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1CGEN|2RAT|3TBNT|4AART|5LWND|68RCR|7VULN|9BBNT|aDMG
72	21214 13116	 * 	235.77	ACR|DCR|2VULN|2CDMG|1AART	1FEWX|2RCVC|36CDMG|4ASPD|59RCR|7AART|8aVULN
73	31252 25232	   	235.77	ACR|DCR|2VULN|1DMG|1DUR	1BELT|28RCR|3DMG|46VULN|5DMSP|7DUR|9BBNT|aASPD
74	31256 25232	   	235.67	ACR|DCR|2VULN|1DMG|1DUR	1BELT|28RCR|3DMG|46VULN|5AEFBLL|7DUR|9BBNT|aASPD
75	32236 31624	   	234.69	DCR|DCR|1VULN|1MSLTOX|1MLV	1BELT|2LWND|3RAT|4BOSS|5BBNT|6MLV|7VULN|89RCR|aMSLTOX
76	35224 43122	 * 	234.60	DCR|DCR|2DMG|1TLV|1AAC	1BELT|2LHND|3RAT|48DMG|5BBNT|69RCR|7AAC|aTLV
77	33224 43122	   	234.50	DCR|DCR|2DMG|1TLV|1AAC	1BELT|2DUST|3RAT|48DMG|5BBNT|69RCR|7AAC|aTLV
78	12224 26341	 * 	234.24	DCR|2VULN|2TLV|1FLTARM|1DUR|1CDMG	1CGEN|2RPLT|39VULN|4FLTARM|5CDMG|69BEXP|7DUR|89TLV|9BPWR|aRCR
79	52222 22341	   	234.14	DCR|2VULN|2TLV|1FLTARM|1DUR|1CDMG	1ERES|2RPLT|39VULN|4FLTARM|5DUR|69LHND|7CDMG|89TLV|9BPWR|aRCR
80	54122 22341	   	234.14	DCR|2VULN|2TLV|1FLTARM|1DUR|1CDMG	1ERES|29VULN|3RPLT|4FLTARM|5DUR|69LHND|7CDMG|89TLV|9BPWR|aRCR
81	52222 52341	   	233.94	DCR|2VULN|2TLV|1FLTARM|1DUR|1CDMG	1ERES|2RPLT|39VULN|4FLTARM|5DUR|69DUST|7CDMG|89TLV|9BPWR|aRCR
