0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41321 66113	10	 * 	284.31	DCR|4VULN|2DMG|3TLV|2AART|1SELL	13AART|269TLV|469aVULN|5SELL|69BPWR|79DMG|8RCR
12	45321 11135	7	 * 	269.77	DCR|3VULN|3DUR|3TLV|2AART|1SELL	15AART|279VULN|3CGEN|479TLV|679DUR|79BPWR|8SELL|aRCR
13	16355 13233	1	 * 	269.55	DCR|3VULN|3DMG|1TLV|1DUR|1SELL	1SELL|235DMG|459VULN|5BPWR|6TLV|7DUR|8MLV|aRCR
14	13246 42323	5	 * 	268.73	DCR|3VULN|2TLV|2DUR|1DMG|1AART|1SELL	1SELL|2AART|38DUR|4DMG|58TLV|6RCR|78aVULN|8BPWR|9CGEN
15	13246 42333	5	 * 	268.63	DCR|3VULN|2TLV|2DUR|1DMG|1AART|1SELL	1SELL|2AART|38DUR|4DMG|58TLV|6RCR|78aVULN|8BPWR|9ERES
16	45212 33512	10	   	267.50	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG|1AART	1AART|24aVULN|3BEXP|5aASPD|6DUR|7CDMG|8aDMG|9RCR|aBPWR
17	45212 33513	9	   	267.50	DCR|3VULN|2DMG|2ASPD|1DUR|1CDMG|1AART	1AART|24aVULN|3BEXP|5aASPD|6DUR|7CDMG|8aDMG|9RCR|aBPWR
18	45111 42333	6	 * 	265.93	DCR|4VULN|2DMG|3ASPD|1AART|1SELL	1AART|246aVULN|36aASPD|5SELL|6aBPWR|7BELT|8RCR|9aDMG
19	13141 42363	3	 * 	265.26	DCR|3VULN|3DUR|2DMG|1AART|1SELL	1SELL|2AART|38DMG|4CGEN|589DUR|6RCR|78aVULN|8BPWR
20	45122 11215	10	 * 	264.61	DCR|3VULN|2DUR|1TLV|3ASPD|1AART	1AART|289VULN|358ASPD|4TLV|69DUR|789MLV|89BPWR|aRCR
21	45123 23631	6	   	263.69	DCR|4VULN|2TLV|1DUR|1AART	1AART|2578VULN|3ASPD|48TLV|68MLV|8BPWR|9DUR|aRCR
22	45123 23631	7	   	263.69	DCR|4VULN|2TLV|1DUR|1AART	1AART|2578VULN|3ASPD|48TLV|68MLV|8BPWR|9DUR|aRCR
23	45123 23631	5	   	263.69	DCR|4VULN|2TLV|1DUR|1AART	1AART|2578VULN|3ASPD|48TLV|68CGEN|8BPWR|9DUR|aRCR
24	41112 52315	4	   	263.67	DCR|3VULN|2TLV|2DUR|2LIT|1AART	1AART|2aTLV|3LEGI|467VULN|5aLIT|8aDUR|9RCR|aBPWR
25	41313 14621	4	 * 	263.50	DCR|3VULN|2DMG|2TLV|2AART	13AART|27TLV|4LWND|578VULN|67DMG|7BPWR|9MLV|aRCR
26	45123 11331	8	   	263.45	DCR|4VULN|1TLV|2ASPD|1DUR|1AART	1AART|2589VULN|39ASPD|4TLV|6DUR|79MLV|9BPWR|aRCR
27	15123 56221	3	 * 	263.43	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|2378VULN|47DUR|5DMSP|67DMG|7BPWR|9RCR|aBELT
28	15123 56223	3	 * 	263.43	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|2378VULN|47DUR|5DMSP|67DMG|7BPWR|9RCR|aRMIN
29	15223 56221	2	 * 	263.43	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|2378VULN|47DUR|5DMSP|67DMG|7BPWR|9RCR|aBELT
30	15223 56223	2	 * 	263.43	DCR|4VULN|2DMG|2DUR|1SELL	1SELL|2378VULN|47DUR|5DMSP|67DMG|7BPWR|9RCR|aRMIN
31	41321 32662	4	   	263.37	DCR|2VULN|2DMG|2TLV|2AART|1DUR	13AART|28TLV|48VULN|5CGEN|6DUR|78DMG|8BPWR|9RCR|aLIT
32	41321 66111	9	 * 	263.26	DCR|3VULN|2DMG|3TLV|2AART|1SELL	13AART|269TLV|469VULN|5SELL|69BPWR|79DMG|8RCR|aRCVC
33	41321 66112	10	 * 	263.26	DCR|3VULN|2DMG|3TLV|2AART|1SELL	13AART|269TLV|469VULN|5SELL|69BPWR|79DMG|8RCR|aLWND
34	41321 66112	9	 * 	263.26	DCR|3VULN|2DMG|3TLV|2AART|1SELL	13AART|269TLV|469VULN|5SELL|69BPWR|79DMG|8RCR|aMLV
35	41321 66113	9	 * 	263.26	DCR|3VULN|2DMG|3TLV|2AART|1SELL	13AART|269TLV|469VULN|5SELL|69BPWR|79DMG|8RCR|aBEXP
36	45123 13331	8	   	263.25	DCR|4VULN|1TLV|2ASPD|1DUR|1AART	1AART|2589VULN|39ASPD|4TLV|6DUR|79ERES|9BPWR|aRCR
37	41321 56113	10	 * 	263.16	DCR|3VULN|2DMG|3TLV|2AART|1SELL	13AART|269TLV|49aVULN|5SELL|79DMG|8RCR|9BPWR
38	45322 41312	10	 * 	262.81	DCR|4VULN|3TLV|3ASPD|1AART	1AART|279aVULN|3CGEN|479TLV|579ASPD|6RMIN|79BPWR|8RCR
39	13111 55111	10	 * 	262.53	DCR|2VULN|3DMG|2TLV|2AART|1SELL	1SELL|27AART|349DMG|59TLV|69VULN|8RCR|9BPWR|aLIT
40	41253 62313	2	   	262.46	DCR|3VULN|2TLV|2DUR|1CDMG|1AART	1AART|24TLV|345VULN|4BPWR|6CDMG|7BELT|8RCR|9aDUR
41	32315 62533	1	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1aLHND|2DUR|3aDMG|4ASPD|5TLV|6RCR|78aVULN|9BBNT|aBPWR
42	33315 62533	2	   	262.45	DCR|3VULN|2DMG|1TLV|1DUR	1aLHND|2DUR|3aDMG|4ASPD|5TLV|6RCR|78aVULN|9BBNT|aBPWR
43	15166 11111	10	 * 	262.34	DCR|3VULN|2DMG|2DUR|2CDMG|1SELL	1SELL|23aVULN|49CDMG|5DMSP|6aDUR|7RCR|8aDMG|aBPWR
44	15563 11111	10	 * 	262.34	DCR|3VULN|2DMG|2DUR|2CDMG|1SELL	1SELL|25aVULN|3DMSP|49CDMG|6aDUR|7RCR|8aDMG|aBPWR
45	13141 53123	2	 * 	262.12	DCR|4VULN|2DMG|3LIT|1AART|1SELL	1SELL|2AART|369aVULN|49DMG|579LIT|8RCR|9BPWR
46	15241 53123	3	 * 	262.12	DCR|4VULN|2DMG|3LIT|1AART|1SELL	1SELL|269aVULN|3AART|49DMG|579LIT|8RCR|9BPWR
47	15241 53123	4	 * 	262.12	DCR|4VULN|2DMG|3LIT|1AART|1SELL	1SELL|269aVULN|3AART|49DMG|579LIT|8RCR|9BPWR
48	42141 53123	1	 * 	262.12	DCR|4VULN|2DMG|3LIT|1AART|1SELL	1AART|2SELL|369aVULN|49DMG|579LIT|8RCR|9BPWR
49	45323 11135	7	 * 	262.00	DCR|3VULN|3DUR|3TLV|1AART|1SELL	1AART|279VULN|3CGEN|479TLV|5RCVC|679DUR|79BPWR|8SELL|aRCR
50	41254 12221	2	 * 	261.77	DCR|2VULN|2DMG|2TLV|2DUR|1AART	1AART|24TLV|34VULN|4BPWR|58DUR|67DMG|9MLV|aRCR
51	13246 33262	10	   	261.32	DCR|2VULN|2DMG|2DUR|1TLV|2AART|1SELL	1SELL|26AART|3aDUR|4aDMG|5TLV|7RCR|8BEXP|9aVULN|aBPWR
52	13242 53612	10	   	261.32	DCR|2VULN|2DMG|2DUR|1TLV|2AART|1SELL	1SELL|27AART|3aDUR|4aDMG|5LHND|6TLV|8aVULN|9RCR|aBPWR
53	13246 32612	10	   	261.32	DCR|2VULN|2DMG|2DUR|1TLV|2AART|1SELL	1SELL|26AART|3aDUR|4aDMG|5TLV|7LHND|8aVULN|9RCR|aBPWR
54	13142 23624	2	   	261.06	DCR|3VULN|2DMG|1TLV|1CDMG|1AART|1SELL	1SELL|2AART|359VULN|49DMG|6TLV|7CDMG|89MLV|9BPWR|aRCR
55	13142 23324	2	   	260.86	DCR|3VULN|2DMG|1TLV|1CDMG|1AART|1SELL	1SELL|2AART|359VULN|49DMG|6TLV|7CDMG|89ERES|9BPWR|aRCR
56	15242 23324	3	   	260.86	DCR|3VULN|2DMG|1TLV|1CDMG|1AART|1SELL	1SELL|259VULN|3AART|49DMG|6TLV|7CDMG|89ERES|9BPWR|aRCR
57	15242 23324	4	   	260.86	DCR|3VULN|2DMG|1TLV|1CDMG|1AART|1SELL	1SELL|259VULN|3AART|49DMG|6TLV|7CDMG|89ERES|9BPWR|aRCR
58	42142 23324	1	   	260.86	DCR|3VULN|2DMG|1TLV|1CDMG|1AART|1SELL	1AART|2SELL|359VULN|49DMG|6TLV|7CDMG|89ERES|9BPWR|aRCR
59	15211 52512	10	 * 	260.34	DCR|3VULN|2DMG|2DUR|1AART|1SELL	1SELL|26aVULN|3AART|4aDUR|5BEXP|7ASPD|8aDMG|9RCR|aBPWR
60	15211 52513	9	 * 	260.34	DCR|3VULN|2DMG|2DUR|1AART|1SELL	1SELL|26aVULN|3AART|4aDUR|5BEXP|7ASPD|8aDMG|9RCR|aBPWR
61	36613 11125	2	   	260.33	DCR|4VULN|2DUR|1TLV	1LHND|2LIT|34DUR|5789VULN|6TLV|aRCR
62	45111 16132	10	 * 	260.24	DCR|3VULN|2DMG|2DUR|1AART|1SELL	1AART|24aVULN|3ASPD|5SELL|6aDUR|7aDMG|8RCR|9LEGI|aBPWR
63	13141 15124	2	   	260.08	DCR|3VULN|2DMG|2AART|1DUR|2LIT|1SELL	1SELL|26AART|379VULN|49DMG|59LIT|8RCR|9BPWR|aDUR
64	15113 43251	5	 * 	259.35	DCR|5VULN|1TLV|1DMG|1SELL	1SELL|23589VULN|4RMIN|5BPWR|6DMG|7TLV|aRCR
65	21343 26325	1	 * 	259.24	DCR|3VULN|2DUR|1TLV|1DMG	1ERES|23DUR|459VULN|6DMG|7TLV|8LIT|aRCR
66	15163 13324	6	 * 	258.87	DCR|4VULN|3DUR|2CDMG|1SELL	1SELL|2357VULN|47CDMG|679DUR|7BPWR|8BBNT|aRCR
67	15113 43225	5	 * 	258.60	DCR|4VULN|2DMG|1TLV|1SELL	1SELL|2358VULN|4RMIN|5BPWR|6aDMG|7TLV|9RCR
68	15163 11151	8	   	258.16	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1SELL	1SELL|235VULN|4CDMG|6DUR|7RCR|8DMG|9ASPD|aTLV
69	32355 23351	1	 * 	258.07	DCR|3VULN|3DMG|2DUR	1LHND|27DUR|345DMG|6RCR|89aVULN
70	33355 23351	2	   	258.07	DCR|3VULN|3DMG|2DUR	1LHND|27DUR|345DMG|6RCR|89aVULN
71	32325 22511	1	   	258.07	DCR|3VULN|3DMG|2DUR	1LHND|24DUR|356DMG|78aVULN|9RCR
72	32355 12511	1	   	258.07	DCR|3VULN|3DMG|2DUR	1LHND|26DUR|345DMG|78aVULN|9RCR
73	33225 22511	4	   	258.07	DCR|3VULN|3DMG|2DUR	1LHND|23DUR|456DMG|78aVULN|9RCR
74	33325 22511	2	   	258.07	DCR|3VULN|3DMG|2DUR	1LHND|24DUR|356DMG|78aVULN|9RCR
75	33355 12511	2	   	258.07	DCR|3VULN|3DMG|2DUR	1LHND|26DUR|345DMG|78aVULN|9RCR
76	13112 53612	10	 * 	258.01	DCR|4VULN|3DMG|1AART|1SELL	1SELL|2AART|349DMG|59aMLV|689aVULN|7RCR|9aBPWR
77	22256 23121	7	   	257.97	DCR|3VULN|3DMG|2DUR	138ERES|239DMG|39BPWR|4MBVNT|59aVULN|6RCR|79DUR
78	22256 23121	6	   	257.97	DCR|3VULN|3DMG|2DUR	138ERES|239DMG|39BPWR|4MBVNT|59aVULN|6RCR|79DUR
79	13144 32233	2	   	257.85	DCR|2VULN|3DMG|2DUR|2LIT|1AART|1SELL	1SELL|2AART|3aVULN|456DMG|7aDUR|8RCR|9aLIT|aBPWR
80	42144 32233	1	   	257.85	DCR|2VULN|3DMG|2DUR|2LIT|1AART|1SELL	1AART|2SELL|3aVULN|456DMG|7aDUR|8RCR|9aLIT|aBPWR
81	15244 32233	3	   	257.85	DCR|2VULN|3DMG|2DUR|2LIT|1AART|1SELL	1SELL|2aVULN|3AART|456DMG|7aDUR|8RCR|9aLIT|aBPWR
82	15244 32233	4	   	257.85	DCR|2VULN|3DMG|2DUR|2LIT|1AART|1SELL	1SELL|2aVULN|3AART|456DMG|7aDUR|8RCR|9aLIT|aBPWR
83	26215 53233	10	 * 	257.75	DCR|3VULN|2DMG|1TLV|2CDMG	18ERES|28CDMG|3TLV|4RMIN|5aDMG|689VULN|7RCR|8BPWR
84	13631 42362	4	 * 	257.27	DCR|2VULN|3DUR|2TLV|1DMG|1AART|1SELL	1SELL|2AART|3RMIN|48TLV|589DUR|6RCR|78VULN|8BPWR|aDMG
85	41232 12315	2	   	257.22	DCR|3VULN|2TLV|2DUR|1AART	1AART|2aTLV|37aVULN|46LWND|5LIT|8aDUR|9RCR|aBPWR
86	13246 42311	5	 * 	257.17	DCR|2VULN|3DUR|2TLV|1DMG|1AART|1SELL	1SELL|2AART|38aDUR|4DMG|58TLV|6RCR|78VULN|8BPWR|9DUST
87	41222 53315	2	   	257.12	DCR|3VULN|2TLV|2DUR|1AART	1AART|2aTLV|36aVULN|4DUST|5LIT|7RCVC|8aDUR|9RCR|aBPWR
88	13141 55122	2	   	257.11	DCR|4VULN|2DMG|2LIT|1AART|1SELL	1SELL|2AART|3679VULN|49DMG|59LIT|8RCR|9BPWR|aLHND
89	13141 55123	2	   	257.11	DCR|4VULN|2DMG|2LIT|1AART|1SELL	1SELL|2AART|3679VULN|49DMG|59LIT|8RCR|9BPWR|aZMB
90	13141 55121	2	   	257.01	DCR|4VULN|2DMG|2LIT|1AART|1SELL	1SELL|2AART|3679VULN|49DMG|59LIT|8RCR|9BPWR|aMBVNT
91	45123 11241	9	   	256.98	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	1AART|258VULN|38ASPD|4TLV|69DUR|78MLV|8BPWR|aRCR
92	45123 11431	7	   	256.98	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	1AART|259VULN|39ASPD|4TLV|68DUR|79MLV|9BPWR|aRCR
93	45123 13241	9	   	256.78	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	1AART|258VULN|38ASPD|4TLV|69DUR|78ERES|8BPWR|aRCR
94	45123 13431	7	   	256.78	DCR|3VULN|2DUR|1TLV|2ASPD|1AART	1AART|259VULN|39ASPD|4TLV|68DUR|79ERES|9BPWR|aRCR
95	45321 11631	7	   	256.68	DCR|3VULN|2TLV|2DUR|2AART	15AART|278VULN|3CGEN|47TLV|67DUR|7BPWR|9RMIN|aRCR
96	26215 53223	8	   	256.42	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18ERES|28CDMG|3TLV|4RMIN|5DMG|689VULN|7RCR|8BPWR|aDUR
97	26215 53233	9	   	256.42	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18ERES|28CDMG|3TLV|4RMIN|5DMG|689VULN|7RCR|8BPWR|aDUR
98	13141 42362	3	 * 	256.23	DCR|2VULN|3DMG|3DUR|1AART|1SELL	1SELL|2AART|38aDMG|4CGEN|589DUR|6RCR|78VULN|8BPWR
99	45213 61343	7	 * 	255.54	DCR|4VULN|2DUR|2CDMG|1AART	1AART|247aVULN|3BEXP|5aDUR|6MBVNT|8RCR|9aCDMG|aBPWR
100	22166 13621	1	   	255.53	DCR|3VULN|2DMG|2TLV|1AART	18ERES|26DMG|3AART|48TLV|578VULN|8BPWR|9LHND|aRCR
101	22166 13621	2	   	255.53	DCR|3VULN|2DMG|2TLV|1AART	18ERES|26DMG|3AART|48TLV|578VULN|8BPWR|9LHND|aRCR
102	22166 13631	1	   	255.53	DCR|3VULN|2DMG|2TLV|1AART	18ERES|26DMG|3AART|48TLV|578VULN|8BPWR|9BEXP|aRCR
103	22166 13631	2	   	255.53	DCR|3VULN|2DMG|2TLV|1AART	18ERES|26DMG|3AART|48TLV|578VULN|8BPWR|9BEXP|aRCR
104	41113 14623	5	 * 	255.53	DCR|3VULN|2DMG|3TLV|1AART	1AART|257TLV|3LEGI|478VULN|67DMG|7BPWR|9ZMB|aRCR
105	45322 41313	10	   	255.41	DCR|3VULN|3TLV|3ASPD|1CDMG|1AART	1AART|279VULN|3CGEN|479TLV|579ASPD|6RMIN|79BPWR|8RCR|aCDMG
106	41253 22331	2	   	255.28	DCR|4VULN|2TLV|1DUR|1AART	1AART|24TLV|3458VULN|4BPWR|6RCVC|7LWND|9DUR|aRCR
107	41143 31631	2	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	13AART|28TLV|45VULN|68DMG|78CGEN|8BPWR|9DUR|aRCR
108	41323 31631	4	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	13AART|28TLV|45VULN|68DMG|78CGEN|8BPWR|9DUR|aRCR
109	41343 31631	3	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	13AART|28TLV|45VULN|68DMG|78CGEN|8BPWR|9DUR|aRCR
110	41321 32661	4	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	13AART|28TLV|48VULN|5CGEN|6DUR|78DMG|8BPWR|9RCR|aLHND
111	41321 32663	4	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	13AART|28TLV|48VULN|5CGEN|6DUR|78DMG|8BPWR|9RCR|aRPLT
112	45321 12621	6	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	15AART|28VULN|38CGEN|49TLV|6DUR|78DMG|8BPWR|aRCR
113	45321 32621	5	   	255.06	DCR|2VULN|2DMG|2TLV|2AART|1DUR	15AART|28VULN|38CGEN|49TLV|6DUR|78DMG|8BPWR|aRCR
114	33225 35333	7	 * 	254.47	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	19LHND|235DUR|49DMG|6AART|79VULN|8RCR|9BPWR|aCDMG
