0	Index      	Bounty	 *	Score 	Summary	Detail	
1	35142 36213	3	 * 	290.11	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR|1CDMG	19ASPD|2CDMG|39DMG|4RMIN|5DUR|6TLV|789VULN|9BPWR|aRCR
56	12626 16213	3	   	263.65	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1BEXP|29MLV|3TLV|4ASPD|59DMG|6CDMG|789VULN|9BPWR|aRCR
57	15153 23213	1	   	263.65	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1BEXP|259VULN|3TLV|4ASPD|69DMG|7CDMG|89MLV|9BPWR|aRCR
58	51521 16213	2	   	263.65	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	19MLV|2RMIN|3ASPD|49DMG|5DUR|6CDMG|789VULN|9BPWR|aRCR
59	15153 23413	1	   	263.45	DCR|3VULN|2DMG|1TLV|1CDMG|1ASPD	1BEXP|259VULN|3TLV|4ASPD|69DMG|7CDMG|89ERES|9BPWR|aRCR
60	33842 38133	2	   	263.32	DCR|3VULN|1DMG|1TLV|1DUR|2LIT|1ASPD	1ASPD|2MBVNT|357VULN|45LIT|5BPWR|6TLV|8RCR|9DUR|aDMG
61	33116 62423	6	 * 	263.25	DCR|5VULN|2ASPD|2LIT	19ASPD|2MBVNT|3CGEN|49LIT|5689aVULN|7RCR|9BPWR
62	33116 68123	6	   	263.25	DCR|5VULN|2ASPD|2LIT	19ASPD|2MBVNT|3CGEN|49LIT|5679aVULN|8RCR|9BPWR
63	33316 62423	6	   	263.15	DCR|5VULN|2ASPD|2LIT	19ASPD|2MBVNT|3ERES|49LIT|5689aVULN|7RCR|9BPWR
64	33316 68123	6	   	263.15	DCR|5VULN|2ASPD|2LIT	19ASPD|2MBVNT|3ERES|49LIT|5679aVULN|8RCR|9BPWR
65	32281 26147	2	   	263.04	DCR|3VULN|2DMG|3ASPD|1AART	125ASPD|3MBVNT|457VULN|57BPWR|67DMG|8AART|9RCVC|aRCR
66	35113 34216	4	   	262.93	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV|1AART	19ASPD|27CDMG|39DMG|4TLV|5CGEN|69VULN|8RCR|9BPWR|aAART
67	35243 11167	5	 * 	262.93	DCR|4VULN|2DUR|1CDMG|1ASPD	1ASPD|2CDMG|3MBVNT|4aDUR|5689VULN|7RCR
68	35243 41167	6	   	262.93	DCR|4VULN|2DUR|1CDMG|1ASPD	1ASPD|2CDMG|3MBVNT|4aDUR|5689VULN|7RCR
69	35123 31216	3	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	17ASPD|27CDMG|3DMG|4FEWX|567VULN|7BPWR|8RCR|9MLV|aDUR
70	35123 31252	3	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	17ASPD|27CDMG|3DMG|4FEWX|567VULN|7BPWR|8RCR|9DMSP|aDUR
71	35163 31216	4	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	17ASPD|27CDMG|3DMG|4FEWX|567VULN|7BPWR|8RCR|9MLV|aDUR
72	35163 31252	4	   	262.59	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	17ASPD|27CDMG|3DMG|4FEWX|567VULN|7BPWR|8RCR|9DMSP|aDUR
73	35123 31233	3	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	17ASPD|27CDMG|3DMG|4FEWX|567VULN|7BPWR|8RCR|9BBNT|aDUR
74	35123 31243	3	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	17ASPD|27CDMG|3DMG|4FEWX|567VULN|7BPWR|8RCR|9TBNT|aDUR
75	35163 31233	4	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	17ASPD|27CDMG|3DMG|4FEWX|567VULN|7BPWR|8RCR|9BBNT|aDUR
76	35163 31243	4	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	17ASPD|27CDMG|3DMG|4FEWX|567VULN|7BPWR|8RCR|9TBNT|aDUR
77	35241 81183	5	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	19ASPD|29CDMG|3MBVNT|4DUR|5DMG|6RMIN|7RCR|89aVULN|9BPWR
78	35531 31213	3	 * 	262.49	DCR|3VULN|2ASPD|2TLV|2CDMG|1DUR	19ASPD|27CDMG|39TLV|4DUR|5FEWX|689VULN|9BPWR|aRCR
79	35533 21213	3	   	262.49	DCR|3VULN|2ASPD|2TLV|2CDMG|1DUR	19ASPD|27CDMG|39TLV|4DUR|5LHND|689VULN|9BPWR|aRCR
80	35533 21213	7	   	262.49	DCR|3VULN|2ASPD|2TLV|2CDMG|1DUR	19ASPD|24CDMG|39TLV|5DUR|6LWND|789VULN|9BPWR|aRCR
81	33456 27323	10	 * 	262.39	DCR|3VULN|2ASPD|2TLV|1DMG|1DUR	17ASPD|2MBVNT|3DUST|47TLV|567VULN|7BPWR|8DMG|9DUR|aRCR
82	35532 21213	3	   	262.39	DCR|3VULN|2ASPD|2TLV|2CDMG|1DUR	19ASPD|27CDMG|39TLV|4DUR|5DUST|689VULN|9BPWR|aRCR
83	35533 11213	7	   	262.39	DCR|3VULN|2ASPD|2TLV|2CDMG|1DUR	19ASPD|24CDMG|39TLV|5DUR|6DUST|789VULN|9BPWR|aRCR
84	35123 31221	3	   	262.34	DCR|3VULN|2ASPD|1DMG|2CDMG|1TLV|1SELL	17ASPD|27CDMG|3DMG|4FEWX|567VULN|7BPWR|8RCR|9SELL|aTLV
85	35163 31221	4	   	262.34	DCR|3VULN|2ASPD|1DMG|2CDMG|1TLV|1SELL	17ASPD|27CDMG|3DMG|4FEWX|567VULN|7BPWR|8RCR|9SELL|aTLV
86	35242 24287	4	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|3MBVNT|4DUR|5TLV|678VULN|9DMG|aRCR
87	35243 34287	5	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|3MBVNT|4DUR|578VULN|6TLV|9DMG|aRCR
88	35243 44187	8	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|3MBVNT|4DUR|567VULN|8TLV|9DMG|aRCR
89	35244 24287	5	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|3MBVNT|4DUR|5TLV|678VULN|9DMG|aRCR
90	35113 34211	4	   	261.57	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV	19ASPD|27CDMG|39DMG|4TLV|5CGEN|69VULN|8RCR|9BPWR|aLIT
91	35132 34211	5	   	261.47	DCR|2VULN|2DMG|2ASPD|2CDMG|1TLV	19ASPD|27CDMG|39DMG|4ERES|5TLV|69VULN|8RCR|9BPWR|aLIT
92	53521 16213	2	   	260.65	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1MLV|29CGEN|3ASPD|4DMG|59DUR|6CDMG|789VULN|9BPWR|aRCR
93	32313 36615	9	   	260.32	DCR|3VULN|3ASPD|2DUR|1CDMG	127ASPD|3CDMG|478VULN|5RPLT|67DUR|7BPWR|9LHND|aRCR
94	32313 36625	9	   	260.32	DCR|3VULN|3ASPD|2DUR|1CDMG	127ASPD|3CDMG|478VULN|5RPLT|67DUR|7BPWR|9FEWX|aRCR
95	35113 52335	7	 * 	260.23	DCR|2VULN|2DMG|2ASPD|2TLV|1CDMG|1AART	17ASPD|2CDMG|37DMG|47TLV|5AART|6RCR|7BPWR|8BBNT|9aVULN
96	33842 22231	2	 * 	260.23	DCR|2VULN|2DMG|2ASPD|3LIT|1CDMG|1AART	19ASPD|2MBVNT|35VULN|459LIT|59BPWR|69DMG|7RCR|8AART|aCDMG
97	15416 12344	1	 * 	260.21	DCR|4VULN|3DUR	189BEXP|2689VULN|3MBVNT|4LIT|5LWND|789DUR|89BPWR|aRCR
