0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41431 11215	1	 * 	278.08	DCR|5VULN|2DUR|1DMG	1RPLT|2LHND|35679VULN|46DUR|6BPWR|8RCR|aDMG
16	11342 35325	3	 * 	259.69	DCR|3VULN|3DUR|3ASPD	167ERES|279VULN|37aASPD|456DUR|67BPWR|8RCR
17	11361 35325	5	   	259.69	DCR|3VULN|3DUR|3ASPD	167ERES|279VULN|37aASPD|456DUR|67BPWR|8RCR
18	11362 35325	4	   	259.69	DCR|3VULN|3DUR|3ASPD	167ERES|279VULN|37aASPD|456DUR|67BPWR|8RCR
19	31254 61233	9	   	258.81	DCR|3VULN|3DUR|1TLV|1CDMG|1AART|1SELL	18CGEN|268VULN|3AART|4SELL|568DUR|68BPWR|7RCR|9TLV|aCDMG
20	11242 12624	10	   	258.58	DCR|3VULN|3DUR|1DMG|1AART	14ERES|267VULN|3AART|569DUR|6BPWR|8DMG|aRCR
21	11326 14341	10	 * 	258.57	DCR|3VULN|2ASPD|2CDMG|1TLV|1DUR	17ERES|248VULN|37ASPD|57CDMG|6RCR|7BPWR|9DUR|aTLV
22	41431 11221	1	   	258.54	DCR|4VULN|2DUR|1DMG	1RPLT|2LHND|3567VULN|46DUR|6BPWR|8RCR|9FEWX|aDMG
23	41431 11251	1	   	258.54	DCR|4VULN|2DUR|1DMG	1RPLT|2LHND|3567VULN|46DUR|6BPWR|8RCR|9BEXP|aDMG
24	41431 11262	1	   	258.54	DCR|4VULN|2DUR|1DMG	1RPLT|2LHND|3567VULN|46DUR|6BPWR|8RCR|9RCVC|aDMG
25	23521 35523	4	   	258.54	DCR|4VULN|2DUR|1DMG	13LWND|25DUR|459aVULN|5BPWR|6MLV|7RCR|8DMG
26	41433 11212	1	   	258.54	DCR|4VULN|2DUR|1DMG	1RPLT|2LHND|3679VULN|46DUR|5DMSP|6BPWR|8RCR|aDMG
27	11326 14311	10	 * 	258.38	DCR|4VULN|2ASPD|2CDMG|1AART	17ERES|248aVULN|37ASPD|57CDMG|6RCR|7BPWR|9AART
28	64331 24321	10	 * 	258.21	DCR|5VULN|3ASPD	1DMSP|26789VULN|3RPLT|479ASPD|579MLV|79BPWR|aRCR
29	22242 21133	2	   	258.18	DCR|5VULN|1TLV|2LIT	1LWND|26LIT|3TBNT|45678VULN|6BPWR|9RCR|aTLV
30	23242 21133	1	   	258.18	DCR|5VULN|1TLV|2LIT	1LWND|26LIT|3TBNT|45678VULN|6BPWR|9RCR|aTLV
31	41431 11211	1	   	258.01	DCR|5VULN|2DUR	1RPLT|2LHND|35679VULN|46DUR|6BPWR|8RCR|aLWND
32	41431 11212	1	   	258.01	DCR|5VULN|2DUR	1RPLT|2LHND|35679VULN|46DUR|6BPWR|8RCR|aMLV
33	41431 11214	1	   	258.01	DCR|5VULN|2DUR	1RPLT|2LHND|35679VULN|46DUR|6BPWR|8RCR|aCGEN
34	11326 14323	10	 * 	257.99	DCR|3VULN|3ASPD|3CDMG|1DUR	179ERES|248VULN|379ASPD|579CDMG|6RCR|79BPWR|aDUR
35	11326 14325	9	   	257.99	DCR|3VULN|3ASPD|3CDMG|1DUR	179ERES|248VULN|379ASPD|579CDMG|6RCR|79BPWR|aDUR
36	41431 11213	1	   	257.91	DCR|5VULN|2DUR	1RPLT|2LHND|35679VULN|46DUR|6BPWR|8RCR|aERES
37	31226 11211	3	 * 	257.53	DCR|4VULN|1DMG|2CDMG|1AART	147CGEN|2457VULN|3AART|47BPWR|67CDMG|8ZMB|9DMG|aRCR
38	11326 14342	9	 * 	256.91	DCR|3VULN|2DUR|2ASPD|2CDMG	17ERES|248VULN|37ASPD|57CDMG|6RCR|7BPWR|9aDUR
39	31234 12364	10	   	256.90	DCR|5VULN|1DMG|1AART	1CGEN|25678VULN|3AART|46BEXP|6BPWR|9DMG|aRCR
40	31234 12634	10	   	256.90	DCR|5VULN|1DMG|1AART	1CGEN|25679VULN|3AART|46BEXP|6BPWR|8DMG|aRCR
41	11234 12634	10	   	256.80	DCR|5VULN|1DMG|1AART	1ERES|25679VULN|3AART|46BEXP|6BPWR|8DMG|aRCR
42	31326 16631	6	   	256.75	DCR|4VULN|1DUR|1CDMG|1ASPD	1CGEN|248aVULN|3ASPD|5CDMG|6RCR|7DUR|9LIT
43	31214 12634	10	   	256.70	DCR|5VULN|1DMG|1AART	1CGEN|25679VULN|3AART|46DUST|6BPWR|8DMG|aRCR
44	11326 16631	6	   	256.65	DCR|4VULN|1DUR|1CDMG|1ASPD	1ERES|248aVULN|3ASPD|5CDMG|6RCR|7DUR|9LIT
45	11214 12634	10	   	256.60	DCR|5VULN|1DMG|1AART	1ERES|25679VULN|3AART|46DUST|6BPWR|8DMG|aRCR
46	26412 33352	7	 * 	256.47	DCR|3VULN|3DMG|1AART	19aLWND|29aVULN|3BEXP|4LIT|59aDMG|6AART|7RCR|8TBNT|9aBPWR
47	31361 65221	6	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1CGEN|28aVULN|3ASPD|459DUR|6TLV|7RCR
48	65132 52231	5	   	255.88	DCR|2VULN|3DMG|2DUR|1CDMG	1DMSP|238DMG|4CDMG|58VULN|68DUR|7BBNT|8BPWR|9RCR|aRMIN
49	65132 52232	5	   	255.88	DCR|2VULN|3DMG|2DUR|1CDMG	1DMSP|238DMG|4CDMG|58VULN|68DUR|7BBNT|8BPWR|9RCR|aBEXP
50	65132 52233	5	   	255.88	DCR|2VULN|3DMG|2DUR|1CDMG	1DMSP|238DMG|4CDMG|58VULN|68DUR|7BBNT|8BPWR|9RCR|aFEWX
51	11326 14261	7	 * 	255.80	DCR|3VULN|2ASPD|1DMG|2CDMG|1AART	17ERES|24aVULN|37ASPD|57CDMG|6RCR|7BPWR|8DMG|9AART
52	65114 11233	7	 * 	255.55	DCR|2VULN|3DMG|3DUR	1DMSP|238DMG|458DUR|6RPLT|78VULN|8BPWR|9MLV|aRCR
53	31423 53411	7	   	255.25	DCR|3VULN|2DMG|1TLV|1DUR	19CGEN|269VULN|3DUR|4BELT|5BEXP|79DMG|8RCR|9BPWR|aTLV
54	31363 14331	7	   	255.20	DCR|3VULN|2DUR|2CDMG|1ASPD	17CGEN|27aVULN|3ASPD|46DUR|57CDMG|7BPWR|8RCR|9LIT
55	26322 53411	7	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR	19LWND|269VULN|3ERES|4BELT|5DUR|79DMG|8RCR|9BPWR|aTLV
56	31322 22262	4	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1CGEN|249VULN|3ASPD|5LIT|6DMG|7aDUR|8RCR
57	11622 53411	7	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	19ERES|269VULN|3LWND|4BELT|5DUR|79DMG|8RCR|9BPWR|aTLV
58	11363 14331	7	   	255.00	DCR|3VULN|2DUR|2CDMG|1ASPD	17ERES|27aVULN|3ASPD|46DUR|57CDMG|7BPWR|8RCR|9LIT
59	31121 62212	3	 * 	254.92	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	17CGEN|279VULN|3CDMG|4DUR|57TLV|6MBVNT|7BPWR|8RCR|aDMG
60	31151 62212	4	   	254.92	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	17CGEN|279VULN|3CDMG|4DUR|57TLV|6MBVNT|7BPWR|8RCR|aDMG
61	31156 62212	5	   	254.92	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	17CGEN|279VULN|3CDMG|4DUR|57TLV|6MBVNT|7BPWR|8RCR|aDMG
62	31214 12632	8	   	254.75	DCR|4VULN|2DMG|1AART	1CGEN|2567VULN|3AART|46DUST|6BPWR|89DMG|aRCR
63	11121 62212	3	   	254.72	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	17ERES|279VULN|3CDMG|4DUR|57TLV|6MBVNT|7BPWR|8RCR|aDMG
64	65161 13112	9	   	254.65	DCR|3VULN|3DMG|1TLV	1DMSP|239DMG|4TLV|5RCVC|69CGEN|789VULN|9BPWR|aRCR
65	11214 12632	8	   	254.65	DCR|4VULN|2DMG|1AART	1ERES|2567VULN|3AART|46DUST|6BPWR|89DMG|aRCR
66	65161 23112	9	   	254.45	DCR|3VULN|3DMG|1TLV	1DMSP|239DMG|4TLV|5RCVC|69ERES|789VULN|9BPWR|aRCR
67	26514 23221	10	   	253.96	DCR|3VULN|2DUR|1DMG|1AART	17LWND|278VULN|3LHND|4LIT|5AART|67DUR|7BPWR|9DMG|aRCR
68	64215 33313	2	   	253.73	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	1DMSP|26VULN|3ASPD|4TLV|56DUR|6BPWR|7TBNT|8RCR|9aDMG
69	33136 11632	6	   	253.69	DCR|4VULN|1DUR|1TLV|1CDMG	1CGEN|2FEWX|3CDMG|4789VULN|5TLV|6DUR|aRCR
70	31153 16632	5	   	253.69	DCR|4VULN|1DUR|1TLV|1CDMG	1CGEN|2689VULN|3CDMG|4DUR|5FEWX|7TLV|aRCR
71	31234 12624	9	   	253.61	DCR|4VULN|1DMG|1DUR|1AART	1CGEN|2567VULN|3AART|46BEXP|6BPWR|8DMG|9DUR|aRCR
72	12136 25312	9	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1ERES|2LWND|3CDMG|4678VULN|5TLV|9DUR|aRCR
73	13136 11632	6	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1ERES|2FEWX|3CDMG|4789VULN|5TLV|6DUR|aRCR
74	31425 23413	7	   	253.58	DCR|3VULN|2DMG|2DUR	19CGEN|29aVULN|35DUR|4BELT|6LWND|79DMG|8RCR|9BPWR
75	31423 53412	7	   	253.58	DCR|3VULN|2DMG|2DUR	19CGEN|269VULN|3aDUR|4BELT|5BEXP|79DMG|8RCR|9BPWR
76	11234 12624	9	   	253.51	DCR|4VULN|1DMG|1DUR|1AART	1ERES|2567VULN|3AART|46BEXP|6BPWR|8DMG|9DUR|aRCR
77	11165 31126	3	   	253.51	DCR|3VULN|3DUR|1CDMG|1ASPD	17ERES|27aVULN|3CDMG|4TBNT|5ASPD|678DUR|7BPWR|9RCR
78	26322 53412	7	   	253.48	DCR|3VULN|2DMG|2DUR	19LWND|269VULN|3ERES|4BELT|5aDUR|79DMG|8RCR|9BPWR
79	11256 32342	7	   	253.41	DCR|4VULN|1DMG|1TLV|1AART	1ERES|2789VULN|3AART|4MLV|5TLV|6DMG|aRCR
80	31214 12624	9	   	253.41	DCR|4VULN|1DMG|1DUR|1AART	1CGEN|2567VULN|3AART|46DUST|6BPWR|8DMG|9DUR|aRCR
81	11622 53412	7	   	253.38	DCR|3VULN|2DMG|2DUR	19ERES|269VULN|3LWND|4BELT|5aDUR|79DMG|8RCR|9BPWR
82	11422 23413	7	   	253.38	DCR|3VULN|2DMG|2DUR	19ERES|29aVULN|35DUR|4BELT|6LWND|79DMG|8RCR|9BPWR
83	11422 53413	7	   	253.38	DCR|3VULN|2DMG|2DUR	19ERES|29aVULN|35DUR|4BELT|6BEXP|79DMG|8RCR|9BPWR
84	11214 12624	9	   	253.31	DCR|4VULN|1DMG|1DUR|1AART	1ERES|2567VULN|3AART|46DUST|6BPWR|8DMG|9DUR|aRCR
85	11242 32642	8	   	253.31	DCR|4VULN|1DMG|1DUR|1AART	14ERES|2679VULN|3AART|5DUR|8DMG|aRCR
86	11422 63413	7	   	253.28	DCR|3VULN|2DMG|2DUR	19ERES|29aVULN|35DUR|4BELT|6DUST|79DMG|8RCR|9BPWR
87	31234 12335	9	   	253.09	DCR|5VULN|1DUR|1AART	1CGEN|25678VULN|3AART|46BEXP|6BPWR|9DUR|aRCR
88	31245 15211	7	   	252.99	DCR|5VULN|1TLV|1AART	18CGEN|25678VULN|3AART|48ERES|8BPWR|9RCR|aTLV
89	31254 61232	9	   	252.94	DCR|3VULN|3DUR|2AART|1TLV|1SELL	18CGEN|268VULN|3aAART|4SELL|568DUR|68BPWR|7RCR|9TLV
90	31214 16433	8	   	252.89	DCR|5VULN|1DUR|1AART	1CGEN|2569aVULN|3AART|46DUST|6BPWR|7DUR|8RCR
91	31245 15111	8	   	252.89	DCR|5VULN|1TLV|1AART	1CGEN|25678VULN|3AART|4ERES|9RCR|aTLV
92	31363 26322	9	   	252.79	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1CGEN|27VULN|3ASPD|4DUR|5CDMG|6aDMG|8TLV|9RCR
93	31443 26322	9	   	252.79	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1CGEN|27VULN|3DUR|4aDMG|5CDMG|6ASPD|8TLV|9RCR
94	11363 26322	9	   	252.69	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1ERES|27VULN|3ASPD|4DUR|5CDMG|6aDMG|8TLV|9RCR
95	11443 26322	9	   	252.69	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1ERES|27VULN|3DUR|4aDMG|5CDMG|6ASPD|8TLV|9RCR
96	31326 54333	7	   	252.46	DCR|4VULN|1DMG|1CDMG|1ASPD	17CGEN|2479VULN|3ASPD|5CDMG|67FEWX|7BPWR|8RCR|aDMG
97	23143 21212	5	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1LWND|2DUR|3ZMB|4aDMG|5CDMG|679VULN|8RCR
98	24443 21212	5	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1LWND|2ZMB|3DUR|4aDMG|5CDMG|679VULN|8RCR
99	26141 21212	5	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1LWND|279VULN|3ZMB|4aDMG|5DUR|6CDMG|8RCR
100	31441 21212	4	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1CGEN|279VULN|3DUR|4aDMG|5LWND|6CDMG|8RCR
101	31443 21212	4	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1CGEN|279VULN|3DUR|4aDMG|5LHND|6CDMG|8RCR
102	31446 21212	5	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1CGEN|279VULN|3DUR|4aDMG|5LWND|6CDMG|8RCR
103	31641 21212	5	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1CGEN|279VULN|3LWND|4aDMG|5DUR|6CDMG|8RCR
104	31443 31212	5	   	252.45	DCR|3VULN|2DMG|1DUR|1CDMG	1CGEN|279VULN|3DUR|4aDMG|5CDMG|6LWND|8RCR
105	11441 21212	4	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1ERES|279VULN|3DUR|4aDMG|5LWND|6CDMG|8RCR
106	11443 21212	4	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1ERES|279VULN|3DUR|4aDMG|5LHND|6CDMG|8RCR
107	11443 31212	5	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1ERES|279VULN|3DUR|4aDMG|5CDMG|6LWND|8RCR
108	11443 61212	6	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1ERES|279VULN|3DUR|4aDMG|5CDMG|6LWND|8RCR
109	11446 21212	5	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1ERES|279VULN|3DUR|4aDMG|5LWND|6CDMG|8RCR
110	11641 21212	5	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1ERES|279VULN|3LWND|4aDMG|5DUR|6CDMG|8RCR
111	26341 21212	5	   	252.35	DCR|3VULN|2DMG|1DUR|1CDMG	1LWND|279VULN|3ERES|4aDMG|5DUR|6CDMG|8RCR
112	11326 54333	7	   	252.26	DCR|4VULN|1DMG|1CDMG|1ASPD	17ERES|2479VULN|3ASPD|5CDMG|67FEWX|7BPWR|8RCR|aDMG
113	33136 12632	6	   	252.15	DCR|3VULN|2DUR|2CDMG|1TLV	17CGEN|2FEWX|37CDMG|489VULN|5TLV|67DUR|7BPWR|aRCR
114	41433 11216	1	   	252.12	DCR|4VULN|2DUR|1CDMG	1RPLT|2LHND|3679VULN|46DUR|5DMSP|6BPWR|8RCR|aCDMG
115	43411 16212	3	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1RPLT|2CGEN|369VULN|45DUR|7TLV|8RCR|aDMG
116	43611 16212	2	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1RPLT|2CGEN|369VULN|45DUR|7TLV|8RCR|aDMG
117	31461 16212	2	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|269VULN|34DUR|5RPLT|7TLV|8RCR|aDMG
118	31461 16212	3	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1CGEN|269VULN|34DUR|5RPLT|7TLV|8RCR|aDMG
119	11326 14312	10	   	251.98	DCR|3VULN|2ASPD|2CDMG|1DUR|1AART	17ERES|248VULN|37ASPD|57CDMG|6RCR|7BPWR|9AART|aDUR
120	13136 12632	6	   	251.95	DCR|3VULN|2DUR|2CDMG|1TLV	17ERES|2FEWX|37CDMG|489VULN|5TLV|67DUR|7BPWR|aRCR
121	42336 17442	8	   	251.92	DCR|4VULN|2DUR|1CDMG	1RPLT|2CDMG|35DUR|4MBVNT|6789VULN|aRCR
122	42338 37342	7	   	251.92	DCR|4VULN|2DUR|1CDMG	1RPLT|2CDMG|38DUR|4MBVNT|5679VULN|aRCR
123	42338 37422	8	   	251.92	DCR|4VULN|2DUR|1CDMG	1RPLT|2CDMG|39DUR|4MBVNT|5678VULN|aRCR
124	31254 61231	8	   	251.56	DCR|4VULN|3DUR|1AART|1SELL	18CGEN|2689VULN|3AART|4SELL|568DUR|68BPWR|7RCR|aZMB
125	31254 61233	8	   	251.56	DCR|4VULN|3DUR|1AART|1SELL	18CGEN|2689VULN|3AART|4SELL|568DUR|68BPWR|7RCR|aFEWX
126	22242 11133	2	   	251.53	DCR|5VULN|1TLV	1LWND|2LIT|3TBNT|45678VULN|9RCR|aTLV
127	23242 11133	1	   	251.53	DCR|5VULN|1TLV	1LWND|2LIT|3TBNT|45678VULN|9RCR|aTLV
128	23153 21212	5	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2DUR|3ZMB|4TLV|5CDMG|679VULN|8RCR|aDMG
129	24113 21212	3	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2ZMB|3CDMG|4TLV|5DUR|679VULN|8RCR|aDMG
130	24123 21212	4	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2ZMB|3CDMG|4TLV|5DUR|679VULN|8RCR|aDMG
131	24123 21212	5	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2ZMB|3CDMG|4TLV|5DUR|679VULN|8RCR|aDMG
132	24136 11212	6	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2ZMB|3CDMG|479VULN|5TLV|6DUR|8RCR|aDMG
133	24453 21212	5	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1LWND|2ZMB|3DUR|4TLV|5CDMG|679VULN|8RCR|aDMG
134	31121 61212	3	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1CGEN|279VULN|3CDMG|4DUR|5TLV|6MBVNT|8RCR|aDMG
135	31151 61212	4	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1CGEN|279VULN|3CDMG|4DUR|5TLV|6MBVNT|8RCR|aDMG
136	31156 61212	5	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1CGEN|279VULN|3CDMG|4DUR|5TLV|6MBVNT|8RCR|aDMG
137	31322 65224	6	   	250.94	DCR|4VULN|1TLV|1DUR|1ASPD	1CGEN|248aVULN|3ASPD|5DUST|6TLV|7RCR|9DUR
138	11121 61212	3	   	250.91	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1ERES|279VULN|3CDMG|4DUR|5TLV|6MBVNT|8RCR|aDMG
139	11342 35122	3	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8BELT|aRCR
140	11342 35314	3	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|27aVULN|37ASPD|456DUR|67BPWR|8RCR|9MLV
141	11342 35321	3	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aBELT
142	11342 35322	3	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aFEWX
143	11361 35122	5	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8BELT|aRCR
144	11361 35314	5	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|27aVULN|37ASPD|456DUR|67BPWR|8RCR|9MLV
145	11361 35321	5	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aBELT
146	11361 35322	5	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aFEWX
147	11362 35122	4	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8BELT|aRCR
148	11362 35314	4	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|27aVULN|37ASPD|456DUR|67BPWR|8RCR|9MLV
149	11362 35321	4	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aBELT
150	11362 35322	4	   	250.17	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aFEWX
151	11342 35326	3	   	250.07	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aBBNT
152	11361 35326	5	   	250.07	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aBBNT
153	11362 35326	4	   	250.07	DCR|3VULN|3DUR|2ASPD	167ERES|279VULN|37ASPD|456DUR|67BPWR|8RCR|aBBNT
154	31363 26326	9	   	249.79	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1CGEN|27VULN|3ASPD|4aDUR|5CDMG|6DMG|8TLV|9RCR
155	11363 26326	9	   	249.69	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD	1ERES|27VULN|3ASPD|4aDUR|5CDMG|6DMG|8TLV|9RCR
156	31113 62212	3	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	17CGEN|279VULN|3CDMG|4MLV|57DUR|6MBVNT|7BPWR|8RCR|aDMG
157	31122 62212	5	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	17CGEN|279VULN|3CDMG|4MLV|57DUR|6MBVNT|7BPWR|8RCR|aDMG
158	31123 62212	4	   	249.55	DCR|3VULN|2DUR|1DMG|1CDMG	17CGEN|279VULN|3CDMG|4MLV|57DUR|6MBVNT|7BPWR|8RCR|aDMG
159	23143 21216	5	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1LWND|2aDUR|3ZMB|4DMG|5CDMG|679VULN|8RCR
160	26141 21216	5	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1LWND|279VULN|3ZMB|4DMG|5aDUR|6CDMG|8RCR
161	31441 21216	4	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1CGEN|279VULN|3aDUR|4DMG|5LWND|6CDMG|8RCR
162	31641 21216	5	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1CGEN|279VULN|3LWND|4DMG|5aDUR|6CDMG|8RCR
163	31121 62217	3	 * 	249.45	DCR|3VULN|2DUR|2TLV|1CDMG	17CGEN|279VULN|3CDMG|4aDUR|57TLV|6MBVNT|7BPWR|8RCR
164	31151 62217	4	   	249.45	DCR|3VULN|2DUR|2TLV|1CDMG	17CGEN|279VULN|3CDMG|4aDUR|57TLV|6MBVNT|7BPWR|8RCR
165	31443 31216	5	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1CGEN|279VULN|3aDUR|4DMG|5CDMG|6LWND|8RCR
166	42221 26162	9	   	249.45	DCR|3VULN|2DUR|1DMG|1CDMG	1RPLT|2CDMG|3ZMB|478VULN|56DUR|9DMG|aRCR
167	31325 35363	4	   	249.38	DCR|4VULN|2DUR|1ASPD	16CGEN|249aVULN|3ASPD|56DUR|6BPWR|7TBNT|8RCR
168	31361 65223	6	   	249.37	DCR|2VULN|3DUR|1DMG|1TLV|1ASPD	1CGEN|28VULN|3ASPD|459DUR|6TLV|7RCR|aDMG
169	64215 33311	2	   	249.37	DCR|2VULN|3DUR|1DMG|1TLV|1ASPD	1DMSP|26VULN|3ASPD|4TLV|56aDUR|6BPWR|7TBNT|8RCR|9DMG
170	11441 21216	4	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1ERES|279VULN|3aDUR|4DMG|5LWND|6CDMG|8RCR
171	11443 31216	5	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1ERES|279VULN|3aDUR|4DMG|5CDMG|6LWND|8RCR
172	11641 21216	5	   	249.35	DCR|3VULN|2DUR|1DMG|1CDMG	1ERES|279VULN|3LWND|4DMG|5aDUR|6CDMG|8RCR
