0	Index      	Bounty	 *	Score 	Summary	Detail	
1	44421 23323	7	 * 	282.05	DCR|3VULN|3DUR|2DMG|1TLV	1RPLT|247VULN|3CGEN|57DMG|679DUR|7BPWR|8TLV|aRCR
33	11132 36421	3	   	265.58	DCR|4VULN|3TLV|2CDMG|1DUR	1BEXP|245TLV|3456VULN|45BPWR|78CDMG|9DUR|aRCR
34	16232 36421	3	   	265.58	DCR|4VULN|3TLV|2CDMG|1DUR	1BEXP|2456VULN|345TLV|45BPWR|78CDMG|9DUR|aRCR
35	51132 36421	3	   	265.58	DCR|4VULN|3TLV|2CDMG|1DUR	1FEWX|245TLV|3456VULN|45BPWR|78CDMG|9DUR|aRCR
36	51232 33426	8	   	265.21	DCR|4VULN|3DUR|1TLV|1SELL	17FEWX|2TLV|3SELL|457DUR|678aVULN|7BPWR|9RCR
37	61234 33326	7	   	265.21	DCR|4VULN|3DUR|1TLV|1SELL	17LHND|2TLV|3SELL|457DUR|678aVULN|7BPWR|9RCR
38	61235 33326	7	   	265.21	DCR|4VULN|3DUR|1TLV|1SELL	17LHND|2TLV|3SELL|467DUR|578aVULN|7BPWR|9RCR
39	11134 12661	8	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	1BEXP|24TLV|37aVULN|58DMG|6DUR|9RCR
40	21134 12661	8	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	14TLV|2BEXP|37aVULN|58DMG|6DUR|9RCR
41	21312 26316	1	   	262.10	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1TLV|2aVULN|3CGEN|4BEXP|5aDMG|6ASPD|7AART|8RCR|9aDUR|aBPWR
42	21322 26316	1	   	262.00	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1TLV|2aVULN|3CGEN|4DUST|5aDMG|6ASPD|7AART|8RCR|9aDUR|aBPWR
43	23111 45131	5	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	18TLV|2LEGI|38aVULN|4AART|589DUR|6RCR|7BBNT|8BPWR
44	23114 45131	4	   	261.94	DCR|3VULN|3DUR|2TLV|1AART	18TLV|2LEGI|38aVULN|4AART|589DUR|6RCR|7BBNT|8BPWR
45	61131 31142	5	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	19LHND|2TLV|3569VULN|4RCVC|79DUR|8RCR|9BPWR|aAART
46	61161 31142	5	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	19LHND|2TLV|3569VULN|4DMSP|79DUR|8RCR|9BPWR|aAART
47	26232 33413	10	   	261.80	DCR|3VULN|3DUR|2TLV|1AART|1SELL	17TLV|2DUST|3SELL|457DUR|678VULN|7BPWR|9AART|aRCR
48	21232 13465	1	 * 	261.72	DCR|3VULN|3DMG|2TLV	19TLV|29aVULN|3MLV|48LWND|579DMG|6RCR|9BPWR
49	21232 13565	1	   	261.72	DCR|3VULN|3DMG|2TLV	19TLV|29aVULN|38MLV|4LWND|579DMG|6RCR|9BPWR
50	25321 33121	4	   	261.72	DCR|3VULN|3DMG|2TLV	18TLV|24MLV|348DMG|48BPWR|5TBNT|678VULN|9RCR|aDMSP
51	25321 33122	4	   	261.72	DCR|3VULN|3DMG|2TLV	18TLV|24MLV|348DMG|48BPWR|5TBNT|678VULN|9RCR|aLHND
52	25321 33123	4	   	261.72	DCR|3VULN|3DMG|2TLV	18TLV|24aMLV|348DMG|48BPWR|5TBNT|678VULN|9RCR
53	25321 33125	4	   	261.72	DCR|3VULN|3DMG|2TLV	18TLV|24MLV|348DMG|48BPWR|5TBNT|678VULN|9RCR|aBEXP
54	25321 33126	4	   	261.72	DCR|3VULN|3DMG|2TLV	18TLV|24MLV|348DMG|48BPWR|5TBNT|678VULN|9RCR|aBELT
55	21134 33142	7	 * 	261.62	DCR|3VULN|3DMG|3TLV	149TLV|2BEXP|379VULN|59aDMG|6RMIN|8RCR|9BPWR
56	21134 34142	6	   	261.62	DCR|3VULN|3DMG|3TLV	149TLV|2BEXP|379VULN|59aDMG|6RMIN|8RCR|9BPWR
57	25321 33124	4	   	261.62	DCR|3VULN|3DMG|2TLV	18TLV|24MLV|348DMG|48BPWR|5TBNT|678VULN|9RCR|aBBNT
58	23231 61242	10	 * 	261.53	DCR|2VULN|2DMG|2TLV|2DUR|1AART|1SELL	18TLV|2LEGI|3SELL|49DUR|58DMG|68VULN|7AART|8BPWR|aRCR
59	26134 33142	7	   	261.52	DCR|3VULN|3DMG|3TLV	149TLV|2DUST|379VULN|59aDMG|6RMIN|8RCR|9BPWR
60	11132 32423	3	 * 	261.46	DCR|5VULN|3TLV|1CDMG	17BEXP|245TLV|34567VULN|457BPWR|8CGEN|9CDMG|aRCR
61	16232 32423	3	   	261.46	DCR|5VULN|3TLV|1CDMG	17BEXP|24567VULN|345TLV|457BPWR|8CGEN|9CDMG|aRCR
62	51132 32423	3	   	261.46	DCR|5VULN|3TLV|1CDMG	17FEWX|245TLV|34567VULN|457BPWR|8CGEN|9CDMG|aRCR
63	21132 31654	3	 * 	261.42	DCR|4VULN|1TLV|1DMG|2CDMG	1TLV|245BEXP|345aVULN|45BPWR|69CDMG|7DMG|8RCR
64	21426 27222	1	   	261.40	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	19TLV|29VULN|3CDMG|4DMG|5MBVNT|689DUR|7RCR|9BPWR|aBEXP
65	21426 27223	1	   	261.40	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	19TLV|29VULN|3CDMG|4DMG|5MBVNT|689DUR|7RCR|9BPWR|aDMSP
66	11132 32623	3	   	261.36	DCR|5VULN|3TLV|1CDMG	17BEXP|245TLV|34567VULN|457BPWR|8ERES|9CDMG|aRCR
67	16232 32623	3	   	261.36	DCR|5VULN|3TLV|1CDMG	17BEXP|24567VULN|345TLV|457BPWR|8ERES|9CDMG|aRCR
68	51132 32623	3	   	261.36	DCR|5VULN|3TLV|1CDMG	17FEWX|245TLV|34567VULN|457BPWR|8ERES|9CDMG|aRCR
69	21426 27224	1	   	261.30	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG	19TLV|29VULN|3CDMG|4DMG|5MBVNT|689DUR|7RCR|9BPWR|aTBNT
70	11132 36326	3	   	261.26	DCR|5VULN|3TLV|1CDMG	1BEXP|245TLV|3456aVULN|45BPWR|7CDMG|8TBNT|9RCR
71	16232 36326	3	   	261.26	DCR|5VULN|3TLV|1CDMG	1BEXP|2456aVULN|345TLV|45BPWR|7CDMG|8TBNT|9RCR
72	51132 36326	3	   	261.26	DCR|5VULN|3TLV|1CDMG	1FEWX|245TLV|3456aVULN|45BPWR|7CDMG|8TBNT|9RCR
73	21161 35363	1	   	261.21	DCR|3VULN|2TLV|2DUR|1CDMG	18TLV|268VULN|39LHND|4ASPD|58DUR|7RCR|8BPWR|aCDMG
74	11161 25361	3	   	260.79	DCR|3VULN|3DUR|2TLV	18BEXP|28TLV|39aVULN|4ASPD|568DUR|7RCR|8BPWR
75	16261 25331	3	   	260.79	DCR|3VULN|3DUR|2TLV	18BEXP|28aVULN|39TLV|4ASPD|568DUR|7RCR|8BPWR
76	21161 25361	3	   	260.79	DCR|3VULN|3DUR|2TLV	18TLV|28BEXP|39aVULN|4ASPD|568DUR|7RCR|8BPWR
77	21161 25362	1	   	260.79	DCR|3VULN|3DUR|2TLV	18TLV|289VULN|3LHND|4ASPD|568DUR|7RCR|8BPWR|aLWND
78	21161 25363	1	   	260.79	DCR|3VULN|3DUR|2TLV	18TLV|289VULN|3LHND|4ASPD|568DUR|7RCR|8BPWR|aBEXP
79	21161 35315	1	   	260.79	DCR|3VULN|3DUR|2TLV	18TLV|268VULN|3LHND|4ASPD|58aDUR|7RCR|8BPWR|9CGEN
80	21161 35331	1	   	260.79	DCR|3VULN|3DUR|2TLV	18TLV|268VULN|3LHND|4ASPD|58aDUR|7RCR|8BPWR|9BELT
81	61111 42114	10	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1LHND|2TLV|3689VULN|4AART|5DUR|7CDMG|aRCR
82	61114 22114	10	   	260.75	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1LHND|2TLV|3589VULN|4AART|6DUR|7CDMG|aRCR
83	23131 35355	3	   	260.69	DCR|3VULN|3DUR|2TLV	18TLV|2LEGI|368VULN|4RMIN|58aDUR|7RCR|8BPWR|9ASPD
84	23111 42114	10	   	260.65	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2LEGI|3689VULN|4AART|5DUR|7CDMG|aRCR
85	23114 22114	10	   	260.65	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1TLV|2LEGI|3589VULN|4AART|6DUR|7CDMG|aRCR
86	16261 35331	3	   	260.53	DCR|4VULN|2DUR|1TLV	18BEXP|268aVULN|3TLV|4ASPD|58DUR|7RCR|8BPWR|9RCVC
87	51111 63432	3	   	260.43	DCR|4VULN|2DUR|1TLV	19FEWX|2TLV|3679VULN|49DUR|5BBNT|8RCR|9BPWR|aASPD
88	51112 63432	3	   	260.43	DCR|4VULN|2DUR|1TLV	19FEWX|2TLV|3679VULN|49DUR|5TBNT|8RCR|9BPWR|aASPD
89	21161 33361	1	   	260.33	DCR|4VULN|2DUR|1TLV	1TLV|267aVULN|3LHND|4ASPD|58DUR|9RCR
90	61161 33361	3	   	260.33	DCR|4VULN|2DUR|1TLV	1LHND|2TLV|367aVULN|4ASPD|58DUR|9RCR
91	61131 31141	5	   	260.30	DCR|4VULN|2TLV|2DUR	19LHND|2aTLV|3569VULN|4RCVC|79DUR|8RCR|9BPWR
92	61161 31141	5	   	260.30	DCR|4VULN|2TLV|2DUR	19LHND|2aTLV|3569VULN|4DMSP|79DUR|8RCR|9BPWR
93	21111 63431	3	   	260.20	DCR|4VULN|2TLV|2DUR	19TLV|2aBEXP|3679VULN|49DUR|5BBNT|8RCR|9BPWR
94	21111 63436	3	   	260.20	DCR|4VULN|2TLV|2DUR	19TLV|2BEXP|3679VULN|49DUR|5BBNT|8RCR|9BPWR|aRCVC
95	21112 63431	3	   	260.20	DCR|4VULN|2TLV|2DUR	19TLV|2aBEXP|3679VULN|49DUR|5TBNT|8RCR|9BPWR
96	21112 63436	3	   	260.20	DCR|4VULN|2TLV|2DUR	19TLV|2BEXP|3679VULN|49DUR|5TBNT|8RCR|9BPWR|aRCVC
97	21131 21145	6	 * 	260.20	DCR|4VULN|3TLV|2DUR	149TLV|26BEXP|359aVULN|79DUR|8RCR|9BPWR
98	21131 25145	7	   	260.20	DCR|4VULN|3TLV|2DUR	149TLV|26BEXP|359aVULN|79DUR|8RCR|9BPWR
99	23131 31143	5	   	260.20	DCR|4VULN|2TLV|2DUR	19TLV|2LEGI|3569VULN|4aRCVC|79DUR|8RCR|9BPWR
100	23131 31144	5	   	260.20	DCR|4VULN|2TLV|2DUR	19TLV|2LEGI|3569VULN|4RCVC|79DUR|8RCR|9BPWR|aLWND
101	23161 31143	5	   	260.20	DCR|4VULN|2TLV|2DUR	19TLV|2LEGI|3569VULN|4DMSP|79DUR|8RCR|9BPWR|aRCVC
102	23161 31144	5	   	260.20	DCR|4VULN|2TLV|2DUR	19TLV|2LEGI|3569VULN|4DMSP|79DUR|8RCR|9BPWR|aLWND
103	21111 63433	3	   	260.10	DCR|4VULN|2TLV|2DUR	19TLV|2BEXP|3679VULN|49DUR|5BBNT|8RCR|9BPWR|aMBVNT
104	21112 63433	3	   	260.10	DCR|4VULN|2TLV|2DUR	19TLV|2BEXP|3679VULN|49DUR|5TBNT|8RCR|9BPWR|aMBVNT
105	23131 31141	5	   	260.10	DCR|4VULN|3TLV|2DUR	19aTLV|2LEGI|3569VULN|4RCVC|79DUR|8RCR|9BPWR
106	23131 31145	5	   	260.10	DCR|4VULN|2TLV|2DUR	19TLV|2LEGI|3569VULN|4RCVC|79DUR|8RCR|9BPWR|aDUST
107	23161 31141	5	   	260.10	DCR|4VULN|3TLV|2DUR	19aTLV|2LEGI|3569VULN|4DMSP|79DUR|8RCR|9BPWR
108	23161 31145	5	   	260.10	DCR|4VULN|2TLV|2DUR	19TLV|2LEGI|3569VULN|4DMSP|79DUR|8RCR|9BPWR|aDUST
109	21234 32221	8	   	259.96	DCR|4VULN|3TLV|2DUR|1SELL	149TLV|2BEXP|3SELL|5689VULN|79DUR|9BPWR|aRCR
110	23244 32221	8	   	259.86	DCR|4VULN|3TLV|2DUR|1SELL	149TLV|2LEGI|3SELL|5689VULN|79DUR|9BPWR|aRCR
111	26244 32221	8	   	259.86	DCR|4VULN|3TLV|2DUR|1SELL	149TLV|2DUST|3SELL|5689VULN|79DUR|9BPWR|aRCR
112	56321 33326	9	   	259.73	DCR|4VULN|2DUR|1DMG|1CDMG	17FEWX|2678VULN|3LWND|4CDMG|57DUR|7BPWR|9RCR|aDMG
113	23362 51422	1	   	259.72	DCR|3VULN|2DMG|3TLV|1CDMG	159TLV|2ZMB|39DMG|459VULN|59BPWR|6RCR|7RMIN|8RPLT|aCDMG
114	16134 15331	7	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	138BEXP|28aVULN|49TLV|5DMG|68DUR|7RCR|8BPWR
115	16134 15331	6	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	138BEXP|28aVULN|49TLV|5DMG|68DUR|7RCR|8BPWR
116	16234 15331	7	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	18BEXP|28aVULN|34TLV|5DMG|68DUR|7RCR|8BPWR|9RCVC
117	16234 15331	6	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	18BEXP|28aVULN|34TLV|5DMG|68DUR|7RCR|8BPWR|9RCVC
118	11132 16636	3	   	259.27	DCR|4VULN|3TLV|1DUR|1CDMG	1BEXP|245TLV|3459VULN|45BPWR|6LHND|7CDMG|8RCR|aDUR
119	16211 63432	3	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	19BEXP|267VULN|39TLV|49DUR|5BBNT|8RCR|9BPWR|aDMG
120	16212 63432	3	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	19BEXP|267VULN|39TLV|49DUR|5TBNT|8RCR|9BPWR|aDMG
121	21114 34142	3	 * 	259.22	DCR|3VULN|3TLV|2DUR|1DMG	169TLV|2BEXP|379VULN|49DUR|5RCVC|8RCR|9BPWR|aDMG
122	21114 43432	3	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	19TLV|2BEXP|379VULN|49DUR|5RCVC|6BBNT|8RCR|9BPWR|aDMG
123	21131 21142	6	   	259.22	DCR|3VULN|3TLV|2DUR|1DMG	149TLV|26BEXP|359VULN|79DUR|8RCR|9BPWR|aDMG
124	21131 25142	7	   	259.22	DCR|3VULN|3TLV|2DUR|1DMG	149TLV|26BEXP|359VULN|79DUR|8RCR|9BPWR|aDMG
125	21651 34331	1	 * 	259.22	DCR|3VULN|2TLV|2DUR|2CDMG	18TLV|26aVULN|3RPLT|48CDMG|58DUR|7RCR|8BPWR|9RCVC
126	11131 52264	10	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	1BEXP|24TLV|3589VULN|6CDMG|7DUR|aRCR
127	21131 52264	10	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	14TLV|2BEXP|3589VULN|6CDMG|7DUR|aRCR
128	11134 12161	8	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1BEXP|24TLV|37aVULN|5DMG|68DUR|9RCR
129	11134 12361	7	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1BEXP|24TLV|37aVULN|5DMG|68DUR|9RCR
130	16234 12161	8	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1BEXP|27aVULN|34TLV|5DMG|68DUR|9RCR
131	16234 12361	7	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1BEXP|27aVULN|34TLV|5DMG|68DUR|9RCR
132	21134 12161	8	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	14TLV|2BEXP|37aVULN|5DMG|68DUR|9RCR
133	21134 12361	7	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	14TLV|2BEXP|37aVULN|5DMG|68DUR|9RCR
134	23125 34142	3	   	259.12	DCR|3VULN|3TLV|2DUR|1DMG	169TLV|2LEGI|379VULN|49DUR|5DMSP|8RCR|9BPWR|aDMG
135	51134 12161	8	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1FEWX|24TLV|37aVULN|5DMG|68DUR|9RCR
136	51134 12361	7	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	1FEWX|24TLV|37aVULN|5DMG|68DUR|9RCR
137	26134 12161	8	   	259.02	DCR|3VULN|2TLV|2DUR|1DMG	14TLV|2DUST|37aVULN|5DMG|68DUR|9RCR
138	26134 12361	7	   	259.02	DCR|3VULN|2TLV|2DUR|1DMG	14TLV|2DUST|37aVULN|5DMG|68DUR|9RCR
139	21132 31631	3	   	258.61	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|245BEXP|345VULN|45BPWR|6CDMG|7DMG|8RCR|9DUR|aLIT
140	21132 31636	3	   	258.61	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|245BEXP|345VULN|45BPWR|6CDMG|7DMG|8RCR|9DUR|aASPD
141	21132 31641	3	   	258.61	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|245BEXP|345VULN|45BPWR|6CDMG|7DMG|8RCR|9LIT|aDUR
142	26132 31641	3	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|245DUST|345VULN|45BPWR|6CDMG|7DMG|8RCR|9LIT|aDUR
143	26132 31631	3	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|245DUST|345VULN|45BPWR|6CDMG|7DMG|8RCR|9DUR|aLIT
144	26132 31636	3	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|245DUST|345VULN|45BPWR|6CDMG|7DMG|8RCR|9DUR|aASPD
145	51134 16321	10	   	258.18	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	1FEWX|24TLV|38aVULN|5DMG|6DUR|7CDMG|9RCR
146	26134 16321	10	   	258.08	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	14TLV|2DUST|38aVULN|5DMG|6DUR|7CDMG|9RCR
147	56321 33321	10	 * 	258.01	DCR|5VULN|2DUR|1CDMG	17FEWX|2678aVULN|3LWND|4CDMG|57DUR|7BPWR|9RCR
148	25262 11126	1	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1TLV|2RCVC|358DUR|45aVULN|5BPWR|6LWND|7RCR|9CDMG
149	25262 21126	1	   	257.95	DCR|3VULN|3DUR|1TLV|1CDMG	1TLV|2RCVC|358DUR|45aVULN|5BPWR|6FEWX|7RCR|9CDMG
150	61131 31261	5	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1LHND|2TLV|356aVULN|4RCVC|7DUR|8DMG|9RCR
151	61161 31261	5	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1LHND|2TLV|356aVULN|4DMSP|7DUR|8DMG|9RCR
152	23131 31261	5	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2LEGI|356aVULN|4RCVC|7DUR|8DMG|9RCR
153	23161 31261	5	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2LEGI|356aVULN|4DMSP|7DUR|8DMG|9RCR
154	44161 23123	8	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	1RPLT|27VULN|3RCVC|4TLV|57DMG|679DUR|7BPWR|8MLV|aRCR
155	44261 23123	8	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	1RPLT|27VULN|3DMSP|4TLV|57DMG|679DUR|7BPWR|8MLV|aRCR
156	45131 63323	7	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	1RPLT|279DUR|3RCVC|4MLV|57DMG|67VULN|7BPWR|8TLV|aRCR
157	45331 63323	7	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	13RPLT|279DUR|4MLV|57DMG|67VULN|7BPWR|8TLV|aRCR
158	44411 23323	7	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	14RPLT|27VULN|3CGEN|57DMG|679DUR|7BPWR|8TLV|aRCR
159	21132 31651	3	   	256.62	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|245BEXP|345VULN|45BPWR|69CDMG|7DMG|8RCR|aDUR
160	26132 31651	3	   	256.32	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	1TLV|245DUST|345VULN|45BPWR|69CDMG|7DMG|8RCR|aDUR
161	45112 24331	6	   	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	1RPLT|28DUR|39RCVC|4CDMG|58DMG|68aVULN|7RCR|8BPWR
162	45312 24331	6	   	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	13RPLT|28DUR|4CDMG|58DMG|68aVULN|7RCR|8BPWR|9RCVC
163	21161 25311	1	   	256.16	DCR|2VULN|3DUR|2TLV|1DMG	18TLV|28VULN|3LHND|4ASPD|568DUR|7RCR|8BPWR|9RPLT|aDMG
164	21161 25336	1	 * 	256.06	DCR|2VULN|3DUR|3TLV|1DMG	189TLV|28VULN|3LHND|4ASPD|568DUR|7RCR|8BPWR|aDMG
165	21161 35334	1	   	255.87	DCR|3VULN|2TLV|2DUR	18TLV|268VULN|3LHND|4ASPD|58DUR|7RCR|8BPWR|9BELT|aLIT
166	44421 23123	8	   	255.85	DCR|3VULN|3DUR|2DMG	1RPLT|247VULN|3CGEN|57DMG|679DUR|7BPWR|8MLV|aRCR
167	11232 54236	1	   	255.78	DCR|5VULN|1TLV|2ASPD	1BEXP|2579aVULN|3DMSP|45ASPD|5BPWR|6RCR|8TLV
168	11134 33142	7	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19BEXP|24TLV|379VULN|59DMG|6RMIN|8RCR|9BPWR|aAART
169	11134 34142	6	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19BEXP|24TLV|379VULN|59DMG|6RMIN|8RCR|9BPWR|aAART
170	21114 33142	7	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|2BEXP|379VULN|4DMSP|59DMG|6RMIN|8RCR|9BPWR|aAART
171	21114 34142	6	   	255.73	DCR|3VULN|2DMG|2TLV|1AART	19TLV|2BEXP|379VULN|4DMSP|59DMG|6RMIN|8RCR|9BPWR|aAART
