0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26124 42211	3	 * 	280.74	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	1RPLT|2aDUR|3aDMG|4TLV|5ASPD|69aVULN|7MBVNT|8RCR|aBPWR
22	15321 32151	1	   	260.20	DCR|4VULN|1DMG|1TLV|1DUR	13FEWX|2347VULN|3BPWR|5CGEN|6DMG|8DUR|9TLV|aRCR
23	15324 32151	1	   	260.20	DCR|4VULN|1DMG|1TLV|1DUR	13FEWX|2347VULN|3BPWR|5MLV|6DMG|8DUR|9TLV|aRCR
24	16321 32151	2	   	260.20	DCR|4VULN|1DMG|1TLV|1DUR	13FEWX|2347VULN|3BPWR|5CGEN|6DMG|8DUR|9TLV|aRCR
25	16324 32151	2	   	260.20	DCR|4VULN|1DMG|1TLV|1DUR	13FEWX|2347VULN|3BPWR|5MLV|6DMG|8DUR|9TLV|aRCR
26	16136 33224	3	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1FEWX|245VULN|359DUR|5BPWR|6ERES|7ASPD|8DMG|aRCR
27	26112 16212	10	 * 	259.86	DCR|2VULN|3DUR|2DMG|2CDMG	1RPLT|28aDUR|37DMG|4RCVC|58CDMG|68VULN|8BPWR|9RCR
28	26632 16212	10	   	259.86	DCR|2VULN|3DUR|2DMG|2CDMG	1RPLT|28aDUR|3RCVC|47DMG|58CDMG|68VULN|8BPWR|9RCR
29	33133 54335	9	   	259.63	DCR|2VULN|2DMG|2DUR|1CDMG|1ASPD	1ZMB|2LWND|3aDMG|4aDUR|5CDMG|6aVULN|7RCR|8LIT|9ASPD|aBPWR
30	52432 11153	6	   	259.17	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1SELL	1SELL|26aVULN|3DUR|4DMG|5CDMG|7LIT|8RCR|9TLV
31	52432 12153	7	   	259.17	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG|1SELL	1SELL|26aVULN|3DUR|4DMG|5CDMG|7LIT|8RCR|9TLV
32	52232 46121	5	   	259.06	DCR|3VULN|2DUR|1DMG|1CDMG|1AART|1SELL	1SELL|278VULN|37LHND|4DMG|5CDMG|67DUR|7BPWR|9AART|aRCR
33	52432 36121	5	   	259.06	DCR|3VULN|2DUR|1DMG|1CDMG|1AART|1SELL	1SELL|278VULN|37DUR|4DMG|5CDMG|67LHND|7BPWR|9AART|aRCR
34	15312 13533	1	 * 	258.74	DCR|4VULN|2DUR|2TLV	134FEWX|2348VULN|348BPWR|58TLV|6RCR|78BEXP|9aDUR
35	16312 13533	2	   	258.74	DCR|4VULN|2DUR|2TLV	134FEWX|2348VULN|348BPWR|58TLV|6RCR|78BEXP|9aDUR
36	15322 42113	1	   	258.64	DCR|4VULN|2DUR|1DMG	137FEWX|2347VULN|37BPWR|5TBNT|67DUR|8LHND|9DMG|aRCR
37	16322 42113	2	   	258.64	DCR|4VULN|2DUR|1DMG	137FEWX|2347VULN|37BPWR|5TBNT|67DUR|8LHND|9DMG|aRCR
38	15312 16533	1	   	258.54	DCR|4VULN|2DUR|2TLV	134FEWX|2348VULN|348BPWR|58TLV|6RCR|78DUST|9aDUR
39	16312 16533	2	   	258.54	DCR|4VULN|2DUR|2TLV	134FEWX|2348VULN|348BPWR|58TLV|6RCR|78DUST|9aDUR
40	26133 81481	8	   	258.48	DCR|2VULN|3DMG|2DUR|1TLV	1RPLT|2aDUR|38aDMG|4MBVNT|5TLV|6ZMB|7aVULN|9RCR|aBPWR
41	33133 54141	9	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ZMB|2LWND|3aDMG|4aDUR|5CDMG|6aVULN|7RCR|8BEXP|9TLV|aBPWR
42	33133 54241	9	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1ZMB|2LWND|3aDMG|4aDUR|5CDMG|6aVULN|7RCR|8FEWX|9TLV|aBPWR
43	26126 21124	3	   	256.37	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RPLT|29DUR|35DMG|4TLV|6CDMG|7aVULN|8RCR
44	52336 23621	5	   	256.37	DCR|2VULN|2DMG|2ASPD|1TLV|1CDMG|1AART|1SELL	1SELL|28VULN|3BEXP|48DMG|5TLV|6CDMG|78ASPD|8BPWR|9AART|aRCR
45	52432 23621	5	   	256.37	DCR|2VULN|2DMG|2ASPD|1DUR|1CDMG|1AART|1SELL	1SELL|28VULN|3DUR|48DMG|5CDMG|6CGEN|78ASPD|8BPWR|9AART|aRCR
46	16136 12224	3	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD|1NUKE	1FEWX|245VULN|359DUR|5BPWR|6NUKE|7TLV|8ASPD|aRCR
47	16136 32224	3	   	256.21	DCR|3VULN|3DUR|1TLV|1ASPD	1FEWX|245VULN|359DUR|5BPWR|6ERES|7TLV|8ASPD|aRCR
48	26133 81281	7	   	256.05	DCR|2VULN|3DUR|2DMG|1TLV	1RPLT|29aDUR|3aDMG|4MBVNT|5TLV|6ZMB|7aVULN|8RCR|aBPWR
49	16255 22132	5	 * 	255.97	DCR|4VULN|1DMG|2CDMG	1FEWX|2456VULN|34CDMG|4BPWR|7RCR|8LWND|9LIT|aDMG
50	26133 21422	3	   	255.78	DCR|2VULN|3DMG|2DUR|1CDMG	1RPLT|25DUR|357DMG|4BBNT|5BPWR|69VULN|8RCR|aCDMG
51	26143 21422	3	   	255.78	DCR|2VULN|3DMG|2DUR|1CDMG	1RPLT|25DUR|357DMG|4TBNT|5BPWR|69VULN|8RCR|aCDMG
52	52453 11313	5	 * 	255.68	DCR|2VULN|3DUR|2TLV|1DMG|1CDMG|1SELL	1SELL|24VULN|346DUR|46BPWR|56TLV|7DMG|8DMSP|9CDMG|aRCR
53	26133 22662	3	   	255.55	DCR|2VULN|3DMG|3DUR	1RPLT|258DUR|358DMG|4BBNT|58BPWR|68VULN|7BELT|9RCR|aFEWX
54	52516 31212	10	 * 	255.51	DCR|3VULN|2DUR|1DMG|2CDMG|1SELL	1SELL|245VULN|34CDMG|4BPWR|6aDUR|7MBVNT|8DMG|9RCR
55	26133 22663	3	   	255.45	DCR|2VULN|3DMG|3DUR	1RPLT|258DUR|358DMG|4BBNT|58BPWR|68VULN|7BELT|9RCR|aERES
56	16255 22131	5	 * 	255.45	DCR|5VULN|2CDMG	1FEWX|2456aVULN|34CDMG|4BPWR|7RCR|8LWND|9LIT
57	26133 21421	3	   	255.35	DCR|2VULN|3DMG|3DUR	1RPLT|25aDUR|357DMG|4BBNT|5BPWR|69VULN|8RCR
58	26143 21421	3	   	255.35	DCR|2VULN|3DMG|3DUR	1RPLT|25aDUR|357DMG|4TBNT|5BPWR|69VULN|8RCR
59	12154 21511	3	   	255.15	DCR|3VULN|2DMG|1TLV|1DUR	14FEWX|2RMIN|34DMG|4BPWR|5TLV|678VULN|9DUR|aRCR
60	23143 53633	7	 * 	255.12	DCR|3VULN|3DUR|3CDMG|1SELL	1RPLT|2SELL|378VULN|4FEWX|578DUR|678CDMG|78BPWR|9LHND|aRCR
61	15312 13313	1	   	255.02	DCR|4VULN|2DUR|1TLV	134FEWX|234aVULN|34aBPWR|5TLV|6RCR|79aBEXP|8aDUR
62	15312 13351	1	   	255.02	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79BEXP|89DUR|aLWND
63	15312 13352	1	   	255.02	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79BEXP|89DUR|aDMSP
64	15312 14353	1	   	255.02	DCR|4VULN|2DUR|1TLV	134FEWX|234aVULN|34aBPWR|5TLV|6RCR|7aLWND|8RCVC|9aDUR
65	16312 13313	2	   	255.02	DCR|4VULN|2DUR|1TLV	134FEWX|234aVULN|34aBPWR|5TLV|6RCR|79aBEXP|8aDUR
66	16312 13351	2	   	255.02	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79BEXP|89DUR|aLWND
67	16312 13352	2	   	255.02	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79BEXP|89DUR|aDMSP
68	16312 14353	2	   	255.02	DCR|4VULN|2DUR|1TLV	134FEWX|234aVULN|34aBPWR|5TLV|6RCR|7aLWND|8RCVC|9aDUR
69	15312 13355	1	   	254.92	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79BEXP|89DUR|aDUST
70	15312 13356	1	   	254.92	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79BEXP|89DUR|aMBVNT
71	16312 13355	2	   	254.92	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79BEXP|89DUR|aDUST
72	16312 13356	2	   	254.92	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79BEXP|89DUR|aMBVNT
73	15612 13351	1	   	254.92	DCR|4VULN|2DUR|1TLV	134FEWX|249aVULN|49BPWR|5TLV|6RCR|79BEXP|89DUR
74	16512 13351	3	   	254.92	DCR|4VULN|2DUR|1TLV	134FEWX|249aVULN|49BPWR|5TLV|6RCR|79BEXP|89DUR
75	16612 13351	2	   	254.92	DCR|4VULN|2DUR|1TLV	134FEWX|249aVULN|49BPWR|5TLV|6RCR|79BEXP|89DUR
76	52453 22121	8	   	254.90	DCR|3VULN|2DUR|1TLV|1CDMG|1AART|2SELL	16SELL|247VULN|34DUR|4BPWR|5TLV|8CDMG|9AART|aRCR
77	16253 32342	10	   	254.86	DCR|4VULN|2CDMG|1TLV|1ASPD	1FEWX|2478VULN|34CDMG|4BPWR|5TLV|6LHND|9RCR|aASPD
78	15312 16351	1	   	254.82	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79DUST|89DUR|aLWND
79	15312 16352	1	   	254.82	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79DUST|89DUR|aDMSP
80	16312 16351	2	   	254.82	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79DUST|89DUR|aLWND
81	16312 16352	2	   	254.82	DCR|4VULN|2DUR|1TLV	134FEWX|2349VULN|349BPWR|5TLV|6RCR|79DUST|89DUR|aDMSP
82	21436 23621	7	 * 	254.75	DCR|3VULN|3DMG|1DUR|1NUKE	1RPLT|278ZMB|378DMG|4NUKE|578VULN|6RCR|78BPWR|9FEWX|aDUR
83	21436 23633	7	   	254.75	DCR|3VULN|3DMG|1DUR|1NUKE	1RPLT|278ZMB|378DMG|4NUKE|578VULN|6RCR|78BPWR|9RCVC|aDUR
84	15312 16333	1	   	254.72	DCR|4VULN|2DUR|1TLV	134FEWX|234aVULN|34aBPWR|5TLV|6RCR|79aDUST|8aDUR
85	16136 52131	3	   	254.72	DCR|4VULN|2DUR|1TLV	1FEWX|2458VULN|35DUR|5BPWR|6MLV|7TLV|9RMIN|aRCR
86	16312 16333	2	   	254.72	DCR|4VULN|2DUR|1TLV	134FEWX|234aVULN|34aBPWR|5TLV|6RCR|79aDUST|8aDUR
87	52453 12313	10	   	254.63	DCR|3VULN|3DUR|1TLV|1AART|1SELL	1SELL|248VULN|347DUR|4BPWR|5TLV|6AART|9DUST|aRCR
88	16136 11151	3	   	254.62	DCR|4VULN|2DUR|1TLV|1NUKE	1FEWX|2457VULN|35DUR|5BPWR|6NUKE|8RMIN|9TLV|aRCR
89	16136 31151	3	   	254.62	DCR|4VULN|2DUR|1TLV	1FEWX|2457VULN|35DUR|5BPWR|6ERES|8RMIN|9TLV|aRCR
90	16136 32131	3	   	254.62	DCR|4VULN|2DUR|1TLV	1FEWX|2458VULN|35DUR|5BPWR|6ERES|7TLV|9RMIN|aRCR
91	16253 22223	4	 * 	253.91	DCR|4VULN|3CDMG|1DMG	17FEWX|247aVULN|346CDMG|47BPWR|57BEXP|8DMG|9RCR
92	26124 42231	3	   	253.83	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD	1RPLT|2aDUR|3aDMG|4TLV|5ASPD|6aVULN|7MBVNT|8RCR|9DMSP|aBPWR
93	16255 22223	4	   	253.71	DCR|4VULN|3CDMG|1DMG	17FEWX|247aVULN|346CDMG|47BPWR|57DUST|8DMG|9RCR
94	26132 81211	7	   	253.48	DCR|3VULN|2DMG|2DUR	1RPLT|2aDUR|3aDMG|4MBVNT|5CGEN|6ZMB|79aVULN|8RCR|aBPWR
95	26113 31552	4	   	253.48	DCR|3VULN|2DMG|2DUR	1RPLT|25DUR|35DMG|4RCVC|5BPWR|67aVULN|8BELT|9RCR
96	33152 32262	3	   	253.46	DCR|3VULN|3DMG|2LIT	179ZMB|24LWND|347DMG|479BPWR|5TBNT|679VULN|89LIT|aRCR
97	26137 63413	7	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|27DUR|37DMG|4MBVNT|567VULN|7BPWR|8BBNT|9BELT|aRCR
98	26137 63423	7	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|27DUR|37DMG|4MBVNT|567VULN|7BPWR|8BBNT|9LHND|aRCR
99	26137 63432	7	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|27DUR|37DMG|4MBVNT|567VULN|7BPWR|8BBNT|9CGEN|aRCR
100	33133 52613	8	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	19ZMB|2LWND|39DMG|4DUR|5CDMG|679VULN|8BELT|9BPWR|aRCR
101	26135 21732	7	   	252.49	DCR|2VULN|2DMG|2DUR|1TLV|1AART	1RPLT|28DUR|38DMG|4MBVNT|5RCVC|6RCR|78VULN|8BPWR|9AART|aTLV
102	31213 53163	10	 * 	252.25	DCR|3VULN|2DUR|2CDMG|1TLV	124ZMB|247BPWR|347VULN|57DUR|67CDMG|8FEWX|9TLV|aRCR
103	31213 53651	9	   	252.25	DCR|3VULN|2DUR|2CDMG|1TLV	124ZMB|247BPWR|347VULN|57DUR|67CDMG|8CGEN|9RCR|aTLV
104	21436 23632	7	   	252.15	DCR|3VULN|3DMG|1CDMG|1NUKE	1RPLT|278ZMB|378DMG|4NUKE|578VULN|6RCR|78BPWR|9RCVC|aCDMG
105	23155 32121	7	   	252.15	DCR|4VULN|1TLV|2LIT|1CDMG|1SELL	1RPLT|2SELL|357aVULN|45LIT|5BPWR|6TLV|8RCR|9CDMG
106	51155 32121	7	   	252.15	DCR|4VULN|1TLV|2LIT|1CDMG|1SELL	1SELL|2RPLT|357aVULN|45LIT|5BPWR|6TLV|8RCR|9CDMG
107	12152 52151	5	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1FEWX|2RMIN|3DMG|478VULN|56DUR|9TLV|aRCR
108	15322 42143	1	   	251.80	DCR|4VULN|3DUR	137FEWX|2347VULN|37BPWR|5TBNT|679DUR|8LHND|aRCR
109	15322 42343	1	   	251.80	DCR|4VULN|3DUR	137FEWX|2347VULN|37BPWR|5TBNT|678DUR|9LWND|aRCR
110	16322 42143	2	   	251.80	DCR|4VULN|3DUR	137FEWX|2347VULN|37BPWR|5TBNT|679DUR|8LHND|aRCR
111	16322 42343	2	   	251.80	DCR|4VULN|3DUR	137FEWX|2347VULN|37BPWR|5TBNT|678DUR|9LWND|aRCR
112	16133 31316	3	   	251.70	DCR|4VULN|3DUR	1FEWX|2468VULN|369DUR|5RPLT|6BPWR|7CGEN|aRCR
113	16133 36216	3	   	251.70	DCR|4VULN|3DUR	1FEWX|2467VULN|369DUR|5RPLT|6BPWR|8MLV|aRCR
114	52422 22312	3	   	251.68	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2679VULN|37DUR|47ERES|5BBNT|7BPWR|8RCR|aCDMG
115	52452 31312	4	   	251.68	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2469VULN|34DUR|4BPWR|5ERES|7TBNT|8RCR|aCDMG
116	52452 31312	5	   	251.68	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2469VULN|34DUR|4BPWR|5ERES|7TBNT|8RCR|aCDMG
117	52462 22312	4	   	251.68	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2679VULN|37DUR|47ERES|5BBNT|7BPWR|8RCR|aCDMG
118	52622 22312	2	   	251.68	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2679VULN|37DUR|47ERES|5BBNT|7BPWR|8RCR|aCDMG
119	55622 22312	1	   	251.68	DCR|4VULN|2DUR|1CDMG|1SELL	1SELL|2679VULN|37DUR|47ERES|5BBNT|7BPWR|8RCR|aCDMG
120	15326 11532	1	   	251.63	DCR|5VULN|1DUR|1NUKE	13FEWX|23478VULN|3BPWR|5DUR|6NUKE|9LIT|aRCR
121	16326 11532	2	   	251.63	DCR|5VULN|1DUR|1NUKE	13FEWX|23478VULN|3BPWR|5DUR|6NUKE|9LIT|aRCR
122	16136 31225	3	   	251.50	DCR|4VULN|3DUR	1FEWX|2457VULN|359DUR|5BPWR|6ERES|8MBVNT|aRCR
123	15326 33151	1	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	13FEWX|2348VULN|3BPWR|5DUR|6ERES|7ASPD|9TLV|aRCR
124	16326 33151	2	   	251.04	DCR|4VULN|1TLV|1DUR|1ASPD	13FEWX|2348VULN|3BPWR|5DUR|6ERES|7ASPD|9TLV|aRCR
