0	Index      	Bounty	 *	Score 	Summary	Detail	
1	64533 33232	3	 * 	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1RCVC|24DMG|3459VULN|4BPWR|6RCR|7CDMG|8TLV|aDUR
47	21611 22156	1	   	266.93	DCR|5VULN|3DMG	18FEWX|23578VULN|458DMG|58BPWR|6DMSP|9LHND|aRCR
48	21611 22156	2	   	266.93	DCR|5VULN|3DMG	18FEWX|23578VULN|458DMG|58BPWR|6DMSP|9LHND|aRCR
49	21611 22146	1	   	266.83	DCR|5VULN|3DMG	18FEWX|23578VULN|458DMG|58BPWR|6DMSP|9DUST|aRCR
50	21611 22146	2	   	266.83	DCR|5VULN|3DMG	18FEWX|23578VULN|458DMG|58BPWR|6DMSP|9DUST|aRCR
51	64533 32121	3	   	266.83	DCR|5VULN|3DMG	1RCVC|248DMG|34578VULN|48BPWR|6RCR|9FEWX|aLWND
52	64533 32122	3	   	266.83	DCR|5VULN|3DMG	1RCVC|248DMG|34578VULN|48BPWR|6RCR|9FEWX|aBEXP
53	64533 32131	3	   	266.83	DCR|5VULN|3DMG	1RCVC|248DMG|34578VULN|48BPWR|6RCR|9CGEN|aFEWX
54	64533 32111	3	   	266.73	DCR|5VULN|3DMG	1RCVC|248DMG|34578VULN|48BPWR|6RCR|9DUST|aLWND
55	64533 32112	3	   	266.73	DCR|5VULN|3DMG	1RCVC|248DMG|34578VULN|48BPWR|6RCR|9DUST|aFEWX
56	64533 32132	3	   	266.73	DCR|5VULN|3DMG	1RCVC|248DMG|34578VULN|48BPWR|6RCR|9CGEN|aERES
57	64533 32133	3	   	266.73	DCR|5VULN|3DMG	1RCVC|248DMG|34578VULN|48BPWR|6RCR|9CGEN|aDUST
58	64123 32151	4	   	266.63	DCR|5VULN|3DMG	1RCVC|238DMG|4578aVULN|6RCR|8BPWR|9BBNT
59	21563 42174	4	   	266.63	DCR|5VULN|3DMG	1FEWX|2467aVULN|3MBVNT|568DMG|6BPWR|9RCR
60	21563 42174	5	   	266.63	DCR|5VULN|3DMG	1FEWX|2467aVULN|3MBVNT|568DMG|6BPWR|9RCR
61	11565 32331	9	   	265.81	DCR|4VULN|1TLV|1DMG|1DUR	1BEXP|2359VULN|4TLV|6LIT|7DUR|8RCR|aDMG
62	51133 22145	5	   	265.78	DCR|4VULN|2TLV|1DMG|1DUR	129aVULN|39ZMB|4DUR|5BELT|6DMG|7RCR|89TLV|9BPWR
63	51133 36215	3	   	265.68	DCR|4VULN|2TLV|1DMG|1DUR	1245VULN|34ZMB|4BPWR|6RCR|78TLV|9DMG|aDUR
64	51135 33234	7	   	265.67	DCR|4VULN|2DUR|1TLV|1CDMG	1259VULN|3ZMB|47DUR|6CDMG|8TLV|aRCR
65	51213 54321	2	   	264.94	DCR|4VULN|3DMG|1DUR	1278VULN|3BEXP|478DMG|578MLV|6RCR|78BPWR|9DUR|aFEWX
66	51213 54322	2	   	264.84	DCR|4VULN|3DMG|1DUR	1278VULN|3BEXP|478DMG|578MLV|6RCR|78BPWR|9DUR|aERES
67	51213 54323	2	   	264.84	DCR|4VULN|3DMG|1DUR	1278VULN|3BEXP|478DMG|578MLV|6RCR|78BPWR|9DUR|aDUST
68	64123 32115	4	   	264.64	DCR|4VULN|3DMG|1DUR	1RCVC|238DMG|4578VULN|6RCR|8BPWR|9LWND|aDUR
69	64123 32142	4	   	264.64	DCR|4VULN|3DMG|1DUR	1RCVC|238DMG|4578VULN|6RCR|8BPWR|9FEWX|aDUR
70	64123 32161	4	   	264.64	DCR|4VULN|3DMG|1DUR	1RCVC|238DMG|4578VULN|6RCR|8BPWR|9DUR|aLWND
71	64123 32162	4	   	264.64	DCR|4VULN|3DMG|1DUR	1aRCVC|238DMG|4578VULN|6RCR|8BPWR|9DUR
72	64123 32163	4	   	264.64	DCR|4VULN|3DMG|1DUR	1RCVC|238DMG|4578VULN|6RCR|8BPWR|9DUR|aRPLT
73	64533 32311	3	   	264.64	DCR|4VULN|3DMG|1DUR	1RCVC|24aDMG|3457VULN|4BPWR|6RCR|8DUR|9RMIN
74	51133 35135	3	 * 	264.35	DCR|5VULN|1TLV|2LIT|1AART	12459VULN|349ZMB|49BPWR|6RCR|7AART|89LIT|aTLV
75	51151 22316	3	   	264.15	DCR|3VULN|3DUR|2DMG	129VULN|3ZMB|4BELT|589DUR|69DMG|7RCR|9BPWR|aLIT
76	51133 22316	5	   	264.15	DCR|3VULN|3DUR|2DMG	129VULN|3ZMB|489DUR|5BELT|69DMG|7RCR|9BPWR|aLIT
77	51315 11262	2	 * 	264.13	DCR|5VULN|2DUR|3LIT	1279aVULN|38aLIT|4BBNT|5aDUR|6RCR|aBPWR
78	51355 33142	5	 * 	263.96	DCR|5VULN|2TLV|1DUR	12789VULN|39CGEN|49TLV|5MBVNT|6RCR|9BPWR|aDUR
79	32323 15413	6	   	263.87	DCR|4VULN|2DMG|2DUR	1RMIN|2BELT|3579VULN|47DUR|679LHND|79BPWR|89DMG|aRCR
80	32351 15413	6	   	263.87	DCR|4VULN|2DMG|2DUR	1RMIN|2BELT|3479VULN|57DUR|679LHND|79BPWR|89DMG|aRCR
81	52333 54133	5	   	263.67	DCR|4VULN|2DMG|2DUR	1789VULN|2DMSP|3CGEN|47DUR|57DMG|6RCR|7BPWR|aBEXP
82	51333 54121	5	   	263.67	DCR|4VULN|2DMG|2DUR	1278VULN|3CGEN|47DUR|57DMG|6RCR|7BPWR|9FEWX|aRCVC
83	51333 54122	5	   	263.67	DCR|4VULN|2DMG|2DUR	1278VULN|3CGEN|47DUR|57DMG|6RCR|7BPWR|9FEWX|aLWND
84	52333 54132	5	   	263.57	DCR|4VULN|2DMG|2DUR	1789VULN|2DMSP|3CGEN|47DUR|57DMG|6RCR|7BPWR|aDUST
85	51333 54111	5	   	263.57	DCR|4VULN|2DMG|2DUR|1NUKE	1278VULN|3CGEN|47DUR|57DMG|6RCR|7BPWR|9NUKE|aRMIN
86	51333 54113	5	   	263.57	DCR|4VULN|2DMG|2DUR|1NUKE	1278VULN|3CGEN|47DUR|57DMG|6RCR|7BPWR|9NUKE|aBELT
87	51333 54123	5	   	263.57	DCR|4VULN|2DMG|2DUR|1NUKE	1278VULN|3CGEN|47DUR|57DMG|6RCR|7BPWR|9FEWX|aNUKE
88	51333 54231	5	   	263.57	DCR|4VULN|2DMG|2DUR	127aVULN|3CGEN|47DUR|57DMG|6RCR|7BPWR|8RMIN|9BBNT
89	51333 54112	5	   	263.47	DCR|4VULN|2DMG|2DUR|1NUKE	1278VULN|3CGEN|47DUR|57DMG|6RCR|7BPWR|9NUKE|aERES
90	53523 42147	4	   	263.45	DCR|4VULN|3DMG|2LIT	178aVULN|248LHND|3MBVNT|58aDMG|6RCR|8aBPWR|9aLIT
91	53523 42147	5	   	263.45	DCR|4VULN|3DMG|2LIT	178aVULN|248LHND|3MBVNT|58aDMG|6RCR|8aBPWR|9aLIT
92	51333 53135	5	   	263.29	DCR|5VULN|1DMG|1DUR|1CDMG	12789VULN|3CGEN|4DUR|5DMG|6RCR|aCDMG
93	64126 32131	5	   	263.21	DCR|3VULN|3DMG|1TLV|1AART	1RCVC|238DMG|478VULN|5DMSP|6RCR|8BPWR|9AART|aTLV
94	64126 32131	4	   	263.21	DCR|3VULN|3DMG|1TLV|1AART	15RCVC|238DMG|478VULN|6RCR|8BPWR|9AART|aTLV
95	51133 23162	2	   	262.73	DCR|4VULN|2DUR|2LIT|1CDMG	123aVULN|4TBNT|5aLIT|6ASPD|7CDMG|8aDUR|9RCR|aBPWR
96	51153 23162	2	   	262.73	DCR|4VULN|2DUR|2LIT|1CDMG	123aVULN|4BBNT|5aLIT|6ASPD|7CDMG|8aDUR|9RCR|aBPWR
97	51423 23162	2	   	262.73	DCR|4VULN|2DUR|2LIT|1CDMG	124aVULN|3BBNT|5aLIT|6ASPD|7CDMG|8aDUR|9RCR|aBPWR
98	64323 35131	4	   	262.51	DCR|3VULN|2DMG|1TLV|2LIT|1AART	13RCVC|29DMG|459VULN|6RCR|7AART|89LIT|9BPWR|aTLV
99	34211 52236	7	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1RMIN|29TLV|3RPLT|4DUR|5LEGI|679VULN|89DMG|9BPWR|aRCR
100	32353 11141	6	   	262.22	DCR|3VULN|2DMG|2TLV|1DUR	1RMIN|2BELT|349VULN|59DMG|6RCR|7LEGI|89TLV|9BPWR|aDUR
101	51333 12114	5	   	262.12	DCR|3VULN|2DMG|2TLV|1DUR	127VULN|3CGEN|4DUR|58DMG|6aTLV|9RCR
102	64123 32123	4	   	262.04	DCR|4VULN|3DMG|1CDMG	1RCVC|238DMG|4578VULN|6RCR|8BPWR|9CGEN|aCDMG
103	51133 33233	3	   	261.59	DCR|5VULN|1TLV|1CDMG	12459VULN|34ZMB|4BPWR|6RCR|7CDMG|8TLV|aASPD
104	51133 36333	3	   	261.59	DCR|5VULN|1TLV|1CDMG	12459VULN|34ZMB|4BPWR|6RCR|7TLV|8CDMG|aASPD
105	51153 33233	4	   	261.49	DCR|5VULN|1TLV|1CDMG	12459VULN|3ZMB|6RCR|7CDMG|8TLV|aASPD
106	51153 36333	4	   	261.49	DCR|5VULN|1TLV|1CDMG	12459VULN|3ZMB|6RCR|7TLV|8CDMG|aASPD
107	11511 46332	3	   	261.20	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1BEXP|235VULN|45DMG|5BPWR|6CGEN|7TLV|8CDMG|9AART|aRCR
108	11611 46332	2	   	261.20	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1BEXP|235VULN|45DMG|5BPWR|6CGEN|7TLV|8CDMG|9AART|aRCR
109	11611 46332	1	   	261.20	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1BEXP|235VULN|45DMG|5BPWR|6CGEN|7TLV|8CDMG|9AART|aRCR
110	32323 16166	5	   	260.79	DCR|3VULN|3DUR|2TLV	1RMIN|2BELT|359VULN|469DUR|79TLV|8RCR|9BPWR|aLIT
111	32323 26166	6	   	260.79	DCR|3VULN|3DUR|2TLV	1RMIN|2BELT|359VULN|469DUR|79TLV|8RCR|9BPWR|aLIT
112	32331 16166	3	   	260.79	DCR|3VULN|3DUR|2TLV	1RMIN|2BELT|349VULN|569DUR|79TLV|8RCR|9BPWR|aLIT
113	51221 16412	1	   	260.65	DCR|4VULN|1TLV|1DUR|1CDMG|1AART	1578VULN|2BBNT|3DUR|4CDMG|6TLV|9RCR|aAART
114	11511 63162	3	   	260.64	DCR|5VULN|2DMG|1NUKE|1AART	1BEXP|2358aVULN|45DMG|5BPWR|6AART|7NUKE|9RCR
115	11611 63162	2	   	260.64	DCR|5VULN|2DMG|1NUKE|1AART	1BEXP|2358aVULN|45DMG|5BPWR|6AART|7NUKE|9RCR
116	11611 63162	1	   	260.64	DCR|5VULN|2DMG|1NUKE|1AART	1BEXP|2358aVULN|45DMG|5BPWR|6AART|7NUKE|9RCR
117	21611 63162	2	   	260.64	DCR|5VULN|2DMG|1NUKE|1AART	1FEWX|2358aVULN|45DMG|5BPWR|6AART|7NUKE|9RCR
118	21611 63162	1	   	260.64	DCR|5VULN|2DMG|1NUKE|1AART	1FEWX|2358aVULN|45DMG|5BPWR|6AART|7NUKE|9RCR
119	11565 32332	9	   	260.33	DCR|4VULN|2DUR|1TLV	1BEXP|2359VULN|4TLV|6LIT|7aDUR|8RCR
120	32323 66161	6	   	260.30	DCR|4VULN|2TLV|2DUR	1RMIN|2BELT|3569VULN|49DUR|79TLV|8RCR|9BPWR|aFEWX
121	32323 66163	6	   	260.30	DCR|4VULN|2TLV|2DUR	1aRMIN|2BELT|3569VULN|49DUR|79TLV|8RCR|9BPWR
122	11333 42453	10	   	260.20	DCR|4VULN|2TLV|2DUR	1BEXP|2679VULN|3CGEN|48DUR|56TLV|6BPWR|aRCR
123	32111 23234	1	   	259.85	DCR|3VULN|2DMG|1TLV|1CDMG	1RMIN|2ASPD|359VULN|45DMG|5BPWR|6DMSP|7CDMG|8TLV|aRCR
124	51333 12332	5	   	259.76	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG|1AART	127VULN|3CGEN|4DUR|5DMG|6TLV|8CDMG|9AART|aRCR
125	51133 32156	3	 * 	259.70	DCR|5VULN|1TLV|1DMG	12457VULN|34ZMB|4BPWR|6RCR|8CGEN|9DMG|aTLV
126	53335 22244	1	 * 	259.34	DCR|3VULN|2DUR|1TLV|2CDMG	179VULN|2FEWX|37DUR|4TLV|5LIT|67CDMG|7BPWR|8MBVNT|aRCR
127	51151 22141	3	 * 	259.32	DCR|3VULN|2TLV|2DUR|1DMG	129VULN|39ZMB|4BELT|5aDUR|6DMG|7RCR|89TLV|9BPWR
128	51133 11143	7	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	129VULN|3ZMB|49DUR|5BELT|6LHND|7DMG|89TLV|9BPWR|aRCR
129	51133 22141	5	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	129VULN|39ZMB|4aDUR|5BELT|6DMG|7RCR|89TLV|9BPWR
130	51133 24143	5	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	129VULN|3ZMB|49DUR|5BELT|6DMG|7BEXP|89TLV|9BPWR|aRCR
131	51133 25143	5	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	129VULN|3ZMB|49DUR|5BELT|6DMG|7LHND|89TLV|9BPWR|aRCR
132	51622 13162	2	   	259.30	DCR|5VULN|1DMG|1DUR|1AART	1268aVULN|3AART|4RMIN|5DUR|7DMG|9RCR
133	56122 13162	2	   	259.30	DCR|5VULN|1DMG|1DUR|1AART	1368aVULN|2AART|4RMIN|5DUR|7DMG|9RCR
134	51221 16413	1	   	259.30	DCR|4VULN|1TLV|1DUR|1CDMG	1578VULN|2BBNT|3DUR|4CDMG|6TLV|9RCR|aASPD
135	51133 26143	5	   	259.22	DCR|3VULN|2TLV|2DUR|1DMG	129VULN|3ZMB|49DUR|5BELT|6DMG|7DUST|89TLV|9BPWR|aRCR
136	51411 25133	3	   	259.16	ACR|5VULN|3DMG|2LIT|1AART	1259aVULN|3RCR|459DMG|59BPWR|6DMSP|7AART|89LIT
137	51411 62131	3	   	259.16	ACR|5VULN|3DMG|2LIT|1AART	12579VULN|3RCR|459DMG|59BPWR|6AART|89LIT|aMLV
138	51411 62133	3	   	259.16	ACR|5VULN|3DMG|2LIT|1AART	12579VULN|3RCR|459DMG|59BPWR|6AART|89LIT|aFEWX
139	52411 62133	3	   	259.16	ACR|5VULN|3DMG|2LIT|1AART	1579aVULN|2DMSP|3RCR|459DMG|59BPWR|6AART|89LIT
140	21611 35613	2	   	259.14	DCR|5VULN|2DMG|1SELL	1FEWX|2357aVULN|45DMG|5BPWR|6ASPD|8RCR|9SELL
141	21611 35613	1	   	259.14	DCR|5VULN|2DMG|1SELL	1FEWX|2357aVULN|45DMG|5BPWR|6ASPD|8RCR|9SELL
142	51146 11232	2	   	259.12	DCR|5VULN|2DUR|2LIT	1235aVULN|4RCVC|6DLOT|7RCR|8aLIT|9aDUR|aBPWR
143	51411 62132	3	   	259.06	ACR|5VULN|3DMG|2LIT|1AART	12579VULN|3RCR|459DMG|59BPWR|6AART|89LIT|aERES
144	56621 22131	5	 * 	259.03	ACR|4VULN|2DMG|1TLV|2AART|2LIT	1379VULN|25AART|4RCR|69DMG|89LIT|9BPWR|aTLV
145	21611 26623	2	   	258.94	DCR|4VULN|2DMG|1TLV	1FEWX|235aVULN|45DMG|5BPWR|6DMSP|7TLV|8RCR|9BELT
146	21611 26623	1	   	258.94	DCR|4VULN|2DMG|1TLV	1FEWX|235aVULN|45DMG|5BPWR|6DMSP|7TLV|8RCR|9BELT
147	51213 53314	2	   	258.94	DCR|4VULN|2DMG|1TLV|1NUKE	1278VULN|3BEXP|48DMG|58MLV|6RCR|8BPWR|9NUKE|aTLV
148	51213 53334	2	   	258.94	DCR|4VULN|2DMG|1TLV	1278VULN|3BEXP|48DMG|58MLV|6RCR|8BPWR|9ERES|aTLV
149	11511 22214	3	   	258.94	DCR|4VULN|2DMG|1TLV	1BEXP|2357VULN|45DMG|5BPWR|6DMSP|8FEWX|9RCR|aTLV
150	11511 22514	3	   	258.94	DCR|4VULN|2DMG|1TLV	1BEXP|2357VULN|45DMG|5BPWR|6DMSP|8LWND|9RCR|aTLV
151	11611 22214	2	   	258.94	DCR|4VULN|2DMG|1TLV	1BEXP|2357VULN|45DMG|5BPWR|6DMSP|8FEWX|9RCR|aTLV
152	11611 22214	1	   	258.94	DCR|4VULN|2DMG|1TLV	1BEXP|2357VULN|45DMG|5BPWR|6DMSP|8FEWX|9RCR|aTLV
153	11611 22514	2	   	258.94	DCR|4VULN|2DMG|1TLV	1BEXP|2357VULN|45DMG|5BPWR|6DMSP|8LWND|9RCR|aTLV
154	11611 22514	1	   	258.94	DCR|4VULN|2DMG|1TLV	1BEXP|2357VULN|45DMG|5BPWR|6DMSP|8LWND|9RCR|aTLV
155	21611 22514	1	   	258.94	DCR|4VULN|2DMG|1TLV	1FEWX|2357VULN|45DMG|5BPWR|6DMSP|8LWND|9RCR|aTLV
156	21611 22514	2	   	258.94	DCR|4VULN|2DMG|1TLV	1FEWX|2357VULN|45DMG|5BPWR|6DMSP|8LWND|9RCR|aTLV
157	53641 33112	7	 * 	258.89	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	18VULN|2LHND|38DUR|49LIT|5ERES|6RCR|78DMG|8BPWR|aTLV
