0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12345 63123	8	 * 	286.79	DCR|3VULN|2DMG|2DUR|1TLV|1AART	19aVULN|2LHND|3AART|49DMG|5TLV|6RCR|7LIT|89DUR|9BPWR
27	15341 34222	10	   	261.17	DCR|3VULN|1TLV|1DMG|1DUR|2LIT|1AART	178VULN|27FEWX|3AART|4DMG|5DUR|67LIT|7BPWR|9RCR|aTLV
28	11413 11541	10	   	260.79	DCR|3VULN|3DUR|3TLV	178VULN|2DUST|3RMIN|4RPLT|578DUR|678TLV|78BPWR|9RCR|aASPD
29	11413 11562	10	   	260.79	DCR|3VULN|3DUR|3TLV	178VULN|2DUST|3RMIN|4RPLT|578DUR|678TLV|78BPWR|9ASPD|aRCR
30	15113 11513	1	   	260.57	DCR|4VULN|2TLV|1DUR|2LIT	1358VULN|28LIT|4RMIN|6RCR|78TLV|8BPWR|9BEXP|aDUR
31	15113 11553	1	   	260.57	DCR|4VULN|2TLV|1DUR|2LIT	1358VULN|28LIT|4RMIN|6RCR|78TLV|8BPWR|9LHND|aDUR
32	15113 11523	1	   	260.47	DCR|4VULN|2TLV|1DUR|2LIT	1358VULN|28LIT|4RMIN|6RCR|78TLV|8BPWR|9DUST|aDUR
33	11613 41613	1	 * 	259.40	DCR|5VULN|1TLV|2CDMG	1478aVULN|25CDMG|35ERES|5BPWR|6RCR|9TLV
34	15132 13143	1	   	259.16	DCR|3VULN|3DUR|1TLV|2LIT	139VULN|29LIT|4BBNT|5TLV|6ZMB|7RCR|89aDUR|9BPWR
35	11362 22216	9	   	259.12	DCR|4VULN|1TLV|1DMG|1AART	158aVULN|2DUST|3AART|4ASPD|6TLV|7RCR|9DMG
36	14213 33636	2	   	259.12	DCR|3VULN|2TLV|2DUR|1DMG	189VULN|2ERES|38TLV|4FEWX|5LEGI|6DMG|78DUR|8BPWR|aRCR
37	13114 42313	5	   	258.97	DCR|3VULN|2TLV|2DUR|1DMG|1SELL	149VULN|2RCVC|3SELL|59TLV|6RCR|79DUR|8DLOT|9BPWR|aDMG
38	14321 32353	2	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17VULN|2ERES|37DMG|4TLV|59CGEN|67DUR|7BPWR|8RCR|aCDMG
39	34321 12353	2	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	17DUR|2ERES|37DMG|4TLV|59CGEN|67VULN|7BPWR|8RCR|aCDMG
40	12226 26122	3	   	257.54	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	16VULN|24LHND|34DUR|46BPWR|56DMG|7SELL|8RCR|9TLV|aCDMG
41	15226 26122	3	   	257.54	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	16VULN|24FEWX|34DUR|46BPWR|56DMG|7SELL|8RCR|9TLV|aCDMG
42	12236 26122	4	   	257.44	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	16VULN|2LHND|34DUR|56DMG|6BPWR|7SELL|8RCR|9TLV|aCDMG
43	15236 26122	4	   	257.44	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG|1SELL	16VULN|2FEWX|34DUR|56DMG|6BPWR|7SELL|8RCR|9TLV|aCDMG
44	12226 21331	3	 * 	257.36	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|24LHND|34aDUR|46BPWR|56DMG|7TLV|8RCR|9LWND
45	15226 21331	3	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|24FEWX|34aDUR|46BPWR|56DMG|7TLV|8RCR|9LWND
46	11613 41235	1	   	257.30	DCR|4VULN|1TLV|2CDMG|1DUR	147aVULN|25CDMG|35ERES|5BPWR|6RCR|8DUR|9TLV
47	14251 21115	7	   	257.30	DCR|4VULN|1TLV|2CDMG|1DUR	138aVULN|25ERES|45CDMG|5BPWR|6TLV|7RCR|9DUR
48	12226 21321	3	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|24LHND|34aDUR|46BPWR|56DMG|7TLV|8RCR|9DUST
49	12236 21331	4	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|2LHND|34aDUR|56DMG|6BPWR|7TLV|8RCR|9LWND
50	14321 32331	2	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	17VULN|2ERES|37DMG|4TLV|5CGEN|67aDUR|7BPWR|8RCR|9LHND
51	15226 21321	3	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|24FEWX|34aDUR|46BPWR|56DMG|7TLV|8RCR|9DUST
52	15236 21331	4	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|2FEWX|34aDUR|56DMG|6BPWR|7TLV|8RCR|9LWND
53	34321 12331	2	   	257.26	DCR|2VULN|3DUR|2DMG|1TLV	17aDUR|2ERES|37DMG|4TLV|5CGEN|67VULN|7BPWR|8RCR|9LHND
54	14321 32321	2	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	17VULN|2ERES|37DMG|4TLV|5CGEN|67aDUR|7BPWR|8RCR|9DUST
55	34321 12321	2	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	17aDUR|2ERES|37DMG|4TLV|5CGEN|67VULN|7BPWR|8RCR|9DUST
56	12236 21321	4	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|2LHND|34aDUR|56DMG|6BPWR|7TLV|8RCR|9DUST
57	15236 21321	4	   	257.16	DCR|2VULN|3DUR|2DMG|1TLV	16VULN|2FEWX|34aDUR|56DMG|6BPWR|7TLV|8RCR|9DUST
