0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41411 23234	6	 * 	299.73	DCR|4VULN|3DUR|3TLV|3CDMG	179aVULN|2BELT|35aCDMG|457TLV|57aBPWR|67aDUR|8RCR
30	22211 53436	5	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	128DUR|29BPWR|39VULN|4LIT|59DMG|69TLV|7RCR|aRMIN
31	24411 13432	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	138DUR|29VULN|4LIT|59DMG|69TLV|7RCR|9BPWR|aRPLT
32	24411 13433	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	138DUR|29VULN|4LIT|59DMG|69TLV|7RCR|9BPWR|aCGEN
33	43321 13432	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|2LIT|348DUR|59DMG|69TLV|7RCR|9BPWR|aRPLT
34	43321 13433	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|2LIT|348DUR|59DMG|69TLV|7RCR|9BPWR|aCGEN
35	43321 13434	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|2LIT|348DUR|59DMG|69TLV|7RCR|9BPWR|aZMB
36	43321 13436	6	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|2LIT|348DUR|59DMG|69TLV|7RCR|9BPWR|aRMIN
37	43321 53432	5	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|2LIT|348DUR|59DMG|69TLV|7RCR|9BPWR|aRPLT
38	43321 53433	5	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|2LIT|348DUR|59DMG|69TLV|7RCR|9BPWR|aCGEN
39	43323 43432	3	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|2LIT|358DUR|49TLV|69DMG|7RCR|9BPWR|aRPLT
40	43323 43433	3	   	273.74	DCR|2VULN|3DUR|2DMG|2TLV	19VULN|2LIT|358DUR|49TLV|69DMG|7RCR|9BPWR|aCGEN
41	22265 33235	5	   	273.53	DCR|4VULN|3DUR|2TLV	128DUR|28BPWR|3568VULN|4RMIN|78TLV|9RCR|aDMSP
42	22265 33236	5	   	273.53	DCR|4VULN|3DUR|2TLV	128DUR|28BPWR|3568VULN|4RMIN|78TLV|9RCR|aLWND
43	41113 53226	2	   	273.49	DCR|4VULN|3DUR|2TLV|1SELL	147aVULN|2BELT|37TLV|57aDUR|6SELL|7aBPWR|8RCR|9aLWND
44	22265 33233	5	   	273.43	DCR|4VULN|3DUR|2TLV	128DUR|28BPWR|3568VULN|4RMIN|78TLV|9RCR|aTBNT
45	22265 33234	5	   	273.43	DCR|4VULN|3DUR|3TLV	128DUR|28BPWR|3568VULN|4RMIN|78aTLV|9RCR
46	41413 23263	6	   	272.97	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	179VULN|2BELT|3CDMG|47TLV|5DMSP|67DUR|7BPWR|8RCR|aDMG
47	41412 23237	6	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	157VULN|2BELT|3CDMG|47TLV|67DUR|7BPWR|8RCR|9MBVNT|aDMG
48	22265 23232	5	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	128DUR|28BPWR|358VULN|46RMIN|78TLV|9RCR|aDMG
49	22266 33232	4	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	128DUR|28BPWR|368VULN|4RMIN|5RCVC|78TLV|9RCR|aDMG
50	22416 33232	2	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	128DUR|28BPWR|3RMIN|468VULN|5RCVC|78TLV|9RCR|aDMG
51	24316 33232	2	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	148DUR|268VULN|3RMIN|5RCVC|78TLV|8BPWR|9RCR|aDMG
52	24316 33232	3	   	272.54	DCR|3VULN|3DUR|2TLV|1DMG	148DUR|268VULN|3RMIN|5RCVC|78TLV|8BPWR|9RCR|aDMG
53	21115 11452	2	 * 	272.44	DCR|3VULN|3DUR|2TLV|3LIT	19aDUR|2BELT|3aTLV|49aVULN|589LIT|6RCR|7BBNT|9aBPWR
54	41411 23232	6	   	272.44	DCR|3VULN|3DUR|3TLV|2CDMG	179VULN|2BELT|35CDMG|457TLV|57BPWR|67aDUR|8RCR
55	22223 24453	3	   	271.90	DCR|3VULN|3DUR|2DMG|2ASPD	127DUR|27aBPWR|37aVULN|47ERES|5BBNT|6RCR|8aDMG|9aASPD
56	41613 31332	2	 * 	271.88	DCR|4VULN|2DMG|2DUR	1348VULN|2BELT|5BBNT|68DMG|78DUR|8BPWR|9LIT|aRCR
57	41636 31332	2	   	271.88	DCR|4VULN|2DMG|2DUR	1358VULN|2BELT|4TBNT|58BPWR|68DMG|78DUR|9LIT|aRCR
58	41412 23263	7	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1579VULN|2BELT|3CDMG|4TLV|6DUR|8RCR|aDMG
59	41412 23252	6	   	270.87	DCR|3VULN|2TLV|2DUR|1CDMG	157VULN|2BELT|3CDMG|47TLV|67DUR|7BPWR|8RCR|9AART|aASPD
60	43323 51363	8	   	270.70	DCR|3VULN|3DUR|2DMG|2LIT	159VULN|26LIT|349DUR|79DMG|8RCR|9BPWR|aRCVC
61	43323 51362	8	   	270.60	DCR|3VULN|3DUR|2DMG|2LIT	159VULN|26LIT|349DUR|79DMG|8RCR|9BPWR|aBBNT
62	22213 34776	10	   	270.60	DCR|3VULN|3DUR|2DMG|2LIT	127DUR|2aBPWR|35aVULN|4aLIT|6MBVNT|8RCR|9aDMG
