0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21263 11285	8	 * 	292.02	DCR|3VULN|3DMG|3DUR|1AART	17aDMG|2AART|3aDUST|47aVULN|5MBVNT|678DUR|7aBPWR|9RCR
46	23132 14641	9	   	265.22	DCR|2VULN|3DMG|3DUR|1AART	18aDMG|2RPLT|3AART|4MLV|589DUR|68VULN|7RCR|8BPWR
47	23132 14651	8	   	265.22	DCR|2VULN|3DMG|3DUR|1AART	18aDMG|2RPLT|3AART|4MLV|589DUR|68VULN|7RCR|8BPWR
48	21341 23443	10	   	265.14	DCR|2VULN|3DMG|2TLV|2AART|1DUR	13aDMG|28AART|4aTLV|5FEWX|6RCR|7DUR|9aVULN|aBPWR
49	22166 33121	1	   	264.86	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD	1aDMG|2BEXP|38aVULN|4BELT|5ASPD|6RCR|7TLV|9aLIT|aBPWR
50	22166 33331	1	   	264.86	DCR|3VULN|2DMG|1TLV|2LIT|1ASPD	1aDMG|2BEXP|39aVULN|4BELT|5ASPD|6RCR|7TLV|8aLIT|aBPWR
51	13111 12162	1	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1LHND|26DMG|345VULN|7AART|8DUR|9TLV|aRCR
52	21352 23633	8	   	264.61	DCR|3VULN|2DMG|1TLV|1DUR|1AART	13DMG|2AART|49aVULN|5ERES|6RCR|7DUR|8TLV
53	24326 21143	5	   	263.81	DCR|2VULN|3DMG|2ASPD|1TLV|2LIT	128DMG|3BEXP|48LIT|5aASPD|6TLV|78VULN|8BPWR|9RCR
54	24326 62222	9	   	263.81	DCR|2VULN|3DMG|2ASPD|1DUR|2LIT	128DMG|3BEXP|48LIT|5aASPD|6DUR|78VULN|8BPWR|9RCR
55	21346 23423	9	   	263.39	DCR|2VULN|2DMG|2DUR|1TLV|1ASPD|1AART	13DMG|2AART|4TLV|57DUR|6RCR|8aVULN|9ASPD
56	21612 14631	8	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2AART|3RPLT|4CGEN|58DUR|68aVULN|7RCR|8BPWR|9MLV
57	21632 14611	9	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2AART|3RPLT|4MLV|58DUR|68aVULN|7RCR|8BPWR|9CGEN
58	23112 14631	8	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2RPLT|3AART|4CGEN|58DUR|68aVULN|7RCR|8BPWR|9MLV
59	23112 14641	8	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2RPLT|3AART|4CGEN|58DUR|68aVULN|7RCR|8BPWR|9RMIN
60	23132 14611	9	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2RPLT|3AART|4MLV|58DUR|68aVULN|7RCR|8BPWR|9CGEN
61	23132 14641	8	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2RPLT|3AART|4MLV|58DUR|68aVULN|7RCR|8BPWR|9RMIN
62	23412 14631	8	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2RPLT|3CGEN|4AART|58DUR|68aVULN|7RCR|8BPWR|9MLV
63	23161 14611	9	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2RPLT|3AART|48DUR|5RMIN|68aVULN|7RCR|8BPWR|9CGEN
64	23161 14631	8	   	263.24	DCR|3VULN|2DMG|2DUR|1AART	18DMG|2RPLT|3AART|48DUR|5RMIN|68aVULN|7RCR|8BPWR|9MLV
65	23112 14642	9	   	263.21	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	18DMG|2RPLT|3AART|4CGEN|589DUR|68VULN|7RCR|8BPWR|aCDMG
66	23112 14652	8	   	263.21	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	18DMG|2RPLT|3AART|4CGEN|589DUR|68VULN|7RCR|8BPWR|aCDMG
67	23132 14642	9	   	263.21	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	18DMG|2RPLT|3AART|4MLV|589DUR|68VULN|7RCR|8BPWR|aCDMG
68	23132 14652	8	   	263.21	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	18DMG|2RPLT|3AART|4MLV|589DUR|68VULN|7RCR|8BPWR|aCDMG
69	21222 22624	2	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2AART|3LHND|4RPLT|5MBVNT|69aVULN|7aDUR|8RCR|aBPWR
70	21236 24624	2	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2AART|3LHND|4aDUR|5MBVNT|6RPLT|79aVULN|8RCR|aBPWR
71	21422 22624	3	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2AART|3LHND|4RPLT|5MBVNT|69aVULN|7aDUR|8RCR|aBPWR
72	21436 24624	3	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2AART|3LHND|4aDUR|5MBVNT|6RPLT|79aVULN|8RCR|aBPWR
73	23235 44624	4	   	263.14	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2RPLT|3LHND|4MBVNT|5aDUR|6AART|79aVULN|8RCR|aBPWR
74	21116 22624	5	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2AART|3aDUR|4LEGI|59aVULN|6MBVNT|7RPLT|8RCR|aBPWR
75	21164 22624	4	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	1aDMG|2AART|3aDUR|49aVULN|5LEGI|6MBVNT|7RPLT|8RCR|aBPWR
76	21236 41136	9	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|47DUR|579VULN|6LEGI|7BPWR|8LHND|aRCR
77	21263 11158	9	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|47aVULN|5MBVNT|67DUR|7BPWR|8LHND|9RCR
78	21263 11442	8	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|478VULN|5MBVNT|67DUR|7BPWR|9RCR|aCGEN
79	21263 11443	8	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|478VULN|5MBVNT|67DUR|7BPWR|9RCR|aLWND
80	21263 11446	8	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|478VULN|5MBVNT|67DUR|7BPWR|9RCR|aZMB
81	21263 11447	8	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|478VULN|5MBVNT|67DUR|7BPWR|9RCR|aRMIN
82	21216 11136	9	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|4LEGI|579VULN|67DUR|7BPWR|8LHND|aRCR
83	21216 11436	9	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|4LEGI|579VULN|67DUR|7BPWR|8LWND|aRCR
84	21216 11536	9	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|4LEGI|579VULN|67DUR|7BPWR|8BEXP|aRCR
85	21261 41136	9	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|479VULN|57DUR|6LEGI|7BPWR|8LHND|aRCR
86	21263 11456	10	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|478VULN|5MBVNT|67DUR|7BPWR|9LWND|aRCR
87	21263 11486	10	   	263.04	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|478VULN|5MBVNT|67DUR|7BPWR|9BEXP|aRCR
88	21263 11286	8	   	263.01	DCR|2VULN|3DUR|2DMG|1CDMG|1AART	17DMG|2AART|3DUST|47VULN|5MBVNT|678DUR|7BPWR|9RCR|aCDMG
89	21263 11441	8	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|478VULN|5MBVNT|67DUR|7BPWR|9RCR|aERES
90	21263 11445	8	   	262.94	DCR|3VULN|2DMG|2DUR|1AART	17DMG|2AART|3DUST|478VULN|5MBVNT|67DUR|7BPWR|9RCR|aBBNT
91	61663 32121	8	   	262.87	DCR|3VULN|3DUR|3LIT|1CDMG	1RCVC|279LIT|379VULN|4CDMG|5LWND|679DUR|79BPWR|8RCR|aLHND
92	61663 32123	8	   	262.87	DCR|3VULN|3DUR|3LIT|1CDMG	1RCVC|279LIT|379VULN|4CDMG|5LWND|679DUR|79BPWR|8RCR|aZMB
93	26331 56313	3	 * 	262.46	ACR|4VULN|3DMG|3TLV|1CDMG	157DMG|29CGEN|3RCR|4789VULN|679TLV|79BPWR|aCDMG
94	21332 36661	6	 * 	262.33	DCR|2VULN|3DMG|2ASPD|2CDMG|1AART	13aDMG|2AART|4BELT|57ASPD|6RCR|8aCDMG|9aVULN|aBPWR
