0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26632 14321	6	 * 	285.22	DCR|5VULN|2DMG|2TLV|1SELL	1aTLV|2CGEN|3459aVULN|6aDMG|7RCR|8SELL|aBPWR
53	25314 16311	6	   	260.78	DCR|3VULN|3TLV|1DMG|2ASPD|1DUR	127TLV|37aVULN|4DMG|5LWND|67ASPD|7BPWR|8DUR|9RCR
54	31231 62212	2	   	260.59	DCR|3VULN|2DMG|2DUR|1AART	17DUR|2MLV|37aVULN|4LIT|5ZMB|67DMG|7BPWR|8AART|9RCR
55	31642 23261	9	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	146DUR|29MLV|39ASPD|579VULN|8RCR|9BPWR|aTLV
56	36632 23261	9	   	260.55	DCR|3VULN|3DUR|1TLV|2ASPD	156DUR|29CGEN|39ASPD|479VULN|8RCR|9BPWR|aTLV
57	25231 62317	1	   	260.42	DCR|2VULN|2DMG|2TLV|2DUR	17TLV|2aDUR|37VULN|4LIT|5ZMB|67DMG|7BPWR|8RCR|9MBVNT
58	25322 61253	10	   	260.37	DCR|4VULN|2TLV|1DUR|2LIT	12TLV|3689VULN|4aLIT|5DUR|7RCR
59	32242 56322	3	   	260.36	ACR|4VULN|3DMG|3DUR	137DUR|2RPLT|479DMG|5RCR|6789VULN|79BPWR|aBELT
60	25212 11231	10	   	260.32	DCR|2VULN|2DMG|2TLV|2DUR	12TLV|37DUR|4aDMG|58VULN|6ASPD|9RCR
61	26635 21221	4	   	259.72	DCR|3VULN|2DMG|2TLV|1CDMG	1aTLV|2aCGEN|349VULN|5CDMG|6aDMG|7RCR|8DMSP|aBPWR
62	25231 62351	1	   	259.58	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	17TLV|2DUR|37VULN|4LIT|5ZMB|67DMG|7BPWR|8RCR|9LWND|aCDMG
63	25231 62361	1	   	259.58	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	17TLV|2DUR|37VULN|4LIT|5ZMB|67DMG|7BPWR|8RCR|9BEXP|aCDMG
64	25312 11233	7	   	259.52	DCR|3VULN|2DMG|2TLV|1CDMG	12TLV|35aVULN|46DMG|7RPLT|8CDMG|9RCR
65	25331 21221	4	   	259.52	DCR|3VULN|2DMG|3TLV|1CDMG	12aTLV|39aVULN|4CDMG|5ERES|6aDMG|7RCR|8DMSP|aBPWR
66	25355 21221	4	   	259.52	DCR|3VULN|2DMG|3TLV|1CDMG	12aTLV|39aVULN|4ERES|5CDMG|6aDMG|7RCR|8DMSP|aBPWR
67	25231 62311	1	   	259.48	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	17TLV|2DUR|37VULN|4LIT|5ZMB|67DMG|7BPWR|8RCR|9MBVNT|aCDMG
68	21632 11322	8	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2RMIN|35aVULN|4RCVC|6DMG|7LHND|8RCR|9aDUR|aBPWR
69	21633 66122	8	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2RMIN|37aVULN|4RCVC|5BEXP|6RCR|8DMG|9aDUR|aBPWR
70	26612 16322	8	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|24CGEN|35aVULN|6DMG|7FEWX|8RCR|9aDUR|aBPWR
71	25313 51311	7	 * 	259.22	DCR|3VULN|3TLV|2DUR|1DMG	128TLV|38aVULN|4DMG|5BEXP|6RMIN|78DUR|8BPWR|9RCR
72	25332 32326	5	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3567VULN|4CDMG|8LHND|9RCR|aDUR
73	25332 32421	8	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aMLV
74	25332 32422	8	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aLWND
75	25332 32425	8	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aFEWX
76	25332 32431	9	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aMLV
77	25332 32431	10	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aLHND
78	25332 32432	9	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aLWND
79	25332 32432	10	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aLWND
80	25332 32435	9	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aFEWX
81	25332 32436	10	   	259.17	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aZMB
82	25232 15133	6	   	259.12	DCR|3VULN|3TLV|2DUR|2CDMG	127TLV|3aDUR|47CDMG|579VULN|6RCR|7BPWR|8RCVC
83	25232 15431	6	   	259.12	DCR|3VULN|3TLV|2DUR|2CDMG	127TLV|38DUR|47CDMG|579VULN|6RCR|7BPWR|aRPLT
84	25232 15432	6	   	259.12	DCR|3VULN|3TLV|2DUR|2CDMG	127TLV|38DUR|47CDMG|579VULN|6RCR|7BPWR|aFEWX
85	25232 32623	10	   	259.12	DCR|3VULN|3TLV|2DUR|2CDMG	129TLV|36DUR|49CDMG|579VULN|8RPLT|9BPWR|aRCR
86	25332 32623	10	   	259.12	DCR|3VULN|3TLV|2DUR|2CDMG	129TLV|357VULN|49CDMG|69DUR|8RPLT|9BPWR|aRCR
87	25332 32433	10	   	259.07	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aDUST
88	25332 32434	10	   	259.07	DCR|4VULN|2TLV|1DUR|1CDMG	12TLV|3579VULN|4CDMG|6DUR|8RCR|aMBVNT
89	25232 15335	6	 * 	258.88	DCR|3VULN|3TLV|3CDMG|1DUR	127TLV|3DUR|478CDMG|57aVULN|6RCR|7BPWR|9ASPD
90	26632 16313	8	   	258.84	DCR|4VULN|2DMG|1TLV	1TLV|2CGEN|345aVULN|69DMG|7FEWX|8RCR
91	21646 32212	5	   	258.79	DCR|3VULN|2TLV|2ASPD|1DUR|1AART	17TLV|2RMIN|37aVULN|4DUR|5LIT|67ASPD|7BPWR|8AART|9RCR
92	25231 32212	1	   	258.79	DCR|3VULN|2TLV|2ASPD|1DUR|1AART	17TLV|2DUR|37aVULN|4LIT|5ZMB|67ASPD|7BPWR|8AART|9RCR
93	32465 11222	8	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2RPLT|3LIT|4CDMG|5DMG|6RCR|789VULN|aTLV
94	25332 32422	10	   	258.18	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	12TLV|357VULN|4CDMG|6DUR|8RCR|9BEXP|aDMG
95	25332 32453	8	   	258.08	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	12TLV|357VULN|4CDMG|6DUR|8RCR|9TBNT|aDMG
96	24231 45313	1	   	258.01	DCR|3VULN|2TLV|1DMG|2CDMG|1AART	19TLV|2AART|369VULN|4ERES|5DMG|7RPLT|89CDMG|9BPWR|aRCR
97	32242 56122	3	 * 	257.84	ACR|3VULN|3DUR|2DMG|2TLV	137DUR|2RPLT|47DMG|5RCR|67aVULN|7BPWR|89TLV
98	35343 63844	5	 * 	257.69	DCR|5VULN|3DUR	178DUR|2LHND|3MBVNT|46789VULN|578FEWX|78BPWR|aRCR
99	25323 61252	10	   	257.64	DCR|4VULN|2TLV|1DMG	12TLV|3689VULN|4LIT|5LHND|7RCR|aDMG
100	22233 31332	7	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2BELT|3467VULN|5ZMB|8DMG|9RCR|aDUR
101	22233 31662	8	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2BELT|3467VULN|5ZMB|8RCR|9DMG|aDUR
102	22233 32532	6	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2BELT|3468VULN|5ZMB|7DMG|9RCR|aDUR
103	22233 35532	7	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2BELT|3468VULN|5ZMB|7DMG|9RCR|aDUR
104	25231 62323	1	 * 	257.49	DCR|2VULN|2DMG|2TLV|3LIT|1DUR	17TLV|2DUR|37VULN|49aLIT|5ZMB|67DMG|7BPWR|8RCR
105	32241 11112	3	 * 	257.36	DCR|2VULN|3DUR|2DMG|1TLV	137DUR|2RPLT|4aDMG|5TLV|6aLWND|8RCR|9aVULN|aBPWR
106	32241 21152	3	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	137DUR|2RPLT|4aDMG|5TLV|6aVULN|8RCR|9aBEXP|aBPWR
107	32241 21162	3	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	137DUR|2RPLT|4aDMG|5TLV|6aVULN|8RCR|9aLWND|aBPWR
108	32241 51112	3	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	137DUR|2RPLT|4aDMG|5TLV|6aLHND|8RCR|9aVULN|aBPWR
109	32624 21112	5	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	157DUR|2RPLT|3aLHND|4TLV|6aDMG|8RCR|9aVULN|aBPWR
110	32626 21112	4	   	257.36	DCR|2VULN|3DUR|2DMG|1TLV	157DUR|2RPLT|3aLHND|4TLV|6aDMG|8RCR|9aVULN|aBPWR
111	25262 22623	1	 * 	257.31	DCR|2VULN|3DUR|2TLV|3LIT|1AART	17TLV|267DUR|3aVULN|4DUST|567LIT|67BPWR|8AART|9RCR
112	26633 11242	9	   	257.22	DCR|3VULN|2TLV|2DUR|1AART	19TLV|2CGEN|349VULN|5BEXP|6ASPD|79DUR|8AART|9BPWR|aRCR
113	25222 61214	8	   	257.02	DCR|3VULN|2TLV|2DUR|1AART	12TLV|35DUR|4LIT|689VULN|7RCR|aAART
114	25322 31214	8	   	257.02	DCR|3VULN|2TLV|2DUR|1AART	12TLV|389VULN|4LIT|56DUR|7RCR|aAART
115	25322 31254	9	   	257.02	DCR|3VULN|2TLV|2DUR|1AART	12TLV|389VULN|4LIT|56DUR|7RCR|aAART
116	25322 31414	7	   	257.02	DCR|3VULN|2TLV|2DUR|1AART	12TLV|389VULN|4LIT|56DUR|7RCR|aAART
117	24241 11162	1	   	256.58	DCR|3VULN|2TLV|2DUR|2AART	15TLV|24AART|356VULN|5BPWR|7BEXP|89DUR|aRCR
118	24241 13162	1	   	256.58	DCR|3VULN|2TLV|2DUR|2AART	15TLV|24AART|356VULN|5BPWR|7LHND|89DUR|aRCR
119	24321 11162	1	   	256.58	DCR|3VULN|2TLV|2DUR|2AART	15TLV|23AART|456VULN|5BPWR|7BEXP|89DUR|aRCR
120	24321 13162	1	   	256.58	DCR|3VULN|2TLV|2DUR|2AART	15TLV|23AART|456VULN|5BPWR|7LHND|89DUR|aRCR
121	24321 36162	1	   	256.48	DCR|3VULN|2TLV|2DUR|2AART	15TLV|23AART|457VULN|5BPWR|6DUST|89DUR|aRCR
122	25232 11231	10	   	256.38	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	12TLV|38DUR|4CDMG|59VULN|6RCR|7LIT|aDMG
123	25232 32411	10	   	256.38	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	12TLV|36DUR|4CDMG|57VULN|8RCR|9LIT|aDMG
124	25332 34411	10	   	256.38	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG	12TLV|35VULN|4CDMG|67DUR|8RCR|9LIT|aDMG
125	33631 22626	7	   	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|26LWND|3BELT|48DMG|578VULN|8BPWR|9CDMG|aRCR
126	33631 32626	7	   	256.27	DCR|3VULN|2DMG|2DUR|1CDMG	18DUR|2LWND|36BELT|48DMG|578VULN|8BPWR|9CDMG|aRCR
127	25332 32413	8	   	256.09	DCR|3VULN|2TLV|1DUR|1CDMG|1AART	12TLV|357VULN|4CDMG|6DUR|8RCR|9AART|aLIT
128	21512 24114	3	   	255.86	DCR|3VULN|2DMG|1TLV|1AART	1TLV|2RMIN|3DMSP|46DMG|569VULN|6BPWR|7RCR|8LIT|aAART
129	22233 31166	9	   	255.78	DCR|5VULN|1TLV|1DUR	1TLV|2BELT|34678VULN|5ZMB|9DUR|aRCR
130	22255 31153	10	   	255.78	DCR|5VULN|1TLV|1DUR	1TLV|2BELT|35678VULN|4CGEN|9RCR|aDUR
131	22433 32375	4	   	255.63	DCR|3VULN|2DMG|2TLV|1AART	1aTLV|2BELT|3aDMG|4RCVC|5AART|6RCR|7MBVNT|89aVULN|aBPWR
132	25231 62211	1	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	17TLV|2DUR|37VULN|4LIT|5ZMB|67DMG|7BPWR|8AART|9RCR|aBEXP
133	25231 62214	1	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	17TLV|2DUR|37VULN|4LIT|5ZMB|67DMG|7BPWR|8AART|9RCR|aLWND
134	25231 62215	1	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	17TLV|2DUR|37VULN|4LIT|5ZMB|67DMG|7BPWR|8AART|9RCR|aRMIN
135	25312 12131	7	   	255.53	DCR|3VULN|2DMG|2TLV|1AART	12TLV|357VULN|46DMG|8ZMB|9RCR|aAART
136	25231 62216	1	   	255.49	DCR|2VULN|2DMG|2TLV|1DUR|1AART	17TLV|2DUR|37VULN|4LIT|5ZMB|67DMG|7BPWR|8AART|9RCR|aBBNT
