0	Index      	 *	Score 	Summary	Detail	
1	12215 54121	 * 	283.93	紫橙3易伤1矿等1暴击1全技能	1赏金塔26a易伤3全技能4矿等57核8暴击9狙击对黄
28	52362 12611	   	257.95	橙橙1易伤1伤害1矿等	1易伤2雷电3核弹4敌人爆炸5伤害6随机矿78核9矿等a多重对甲
29	52362 12612	   	257.95	橙橙1易伤1伤害1矿等	1易伤2雷电3核弹4敌人爆炸5伤害6随机矿78核9矿等a双倍秒伤
30	52362 12613	   	257.95	橙橙1易伤1伤害1矿等	1易伤2雷电3核弹4敌人爆炸5伤害6随机矿78核9矿等a喷火对黄
31	15213 55332	   	256.84	紫橙3易伤1暴击	1赏金塔2立即金币38核4暴击5赏金邻近6敌人爆炸79a易伤
32	12215 54311	   	255.22	紫橙2易伤1矿等1全技能	1赏金塔26易伤3全技能4矿等57核8时间9等级a敌人爆炸
33	12215 54312	   	255.22	紫橙2易伤1矿等1全技能	1赏金塔26易伤3全技能4矿等57核8时间9等级a低血量敌人
34	12215 54313	   	255.22	紫橙2易伤1矿等1全技能	1赏金塔26易伤3全技能4矿等57核8时间9等级a额外掉落
35	12215 54331	   	255.22	紫橙2易伤1矿等1全技能	1赏金塔26易伤3全技能4矿等57核8时间9低血量敌人a技能
36	12215 54321	   	255.12	紫橙2易伤1矿等1全技能	1赏金塔26易伤3全技能4矿等57核8时间9挖尘a技能
37	12215 54332	   	255.12	紫橙2易伤1矿等1全技能1策反	1赏金塔26易伤3全技能4矿等57核8时间9低血量敌人a策反
38	12215 54322	   	255.02	紫橙2易伤1矿等1全技能1策反	1赏金塔26易伤3全技能4矿等57核8时间9挖尘a策反
39	15312 61212	 * 	254.87	橙3易伤3伤害1矿等	1赏金塔2立即金币35a伤害45a易伤5a序列升级6矿等7基地爆炸8a金币生成9核
40	15312 61412	   	254.87	橙3易伤3伤害1矿等	1赏金塔2立即金币35a伤害45a易伤5a序列升级6矿等7基地爆炸8a等级9核
41	15312 62312	   	254.87	橙3易伤3伤害1矿等	1赏金塔2立即金币35a伤害45a易伤5a序列升级6矿等7金币生成8a敌人爆炸9核
42	15312 62612	   	254.87	橙3易伤3伤害1矿等	1赏金塔2立即金币35a伤害45a易伤5a序列升级6矿等7金币生成8a基地爆炸9核
43	15312 63312	   	254.87	橙3易伤3伤害1矿等	1赏金塔2立即金币35a伤害45a易伤5a序列升级6矿等7等级8a敌人爆炸9核
44	15312 64212	   	254.87	橙3易伤3伤害1矿等	1赏金塔2立即金币35a伤害45a易伤5a序列升级6矿等7低血量敌人8a金币生成9核
45	46422 11211	 * 	254.73	橙3易伤2伤害2矿等	1立即金币29矿等38伤害459易伤6额外掉落79寒冰对冰9序列升级a核
46	15312 61612	   	254.67	橙3易伤3伤害1矿等	1赏金塔2立即金币35a伤害45a易伤5a序列升级6矿等7基地爆炸8a掉矿9核
